NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;
1;2;1;2:01.020;0;;34.530;0;52.935;0;33.555;0;128.2;2:01.020;08:02;0:34.530;0:52.935;0:33.555;;Benoit Tréluyer;0:00:13;
1;2;2;1:28.433;0;;22.070;0;46.371;0;19.992;1;175.4;3:29.453;08:03;0:22.070;0:46.371;0:19.992;232.3;Benoit Tréluyer;;
1;2;3;1:29.421;0;B;20.637;3;42.469;3;26.315;0;173.5;4:58.874;08:04;0:20.637;0:42.469;0:26.315;279.1;Benoit Tréluyer;;
1;0;4;2:40.804;0;;1:32.084;0;48.558;0;20.162;1;96.5;7:39.678;08:07;1:32.084;0:48.558;0:20.162;;Marcel Fässler;0:01:18;
1;0;5;1:32.537;0;B;21.112;1;45.098;1;26.327;0;167.6;9:12.215;08:09;0:21.112;0:45.098;0:26.327;268.7;Marcel Fässler;;
1;0;6;2:02.620;0;B;48.248;0;46.535;0;27.837;0;126.5;11:14.835;08:11;0:48.248;0:46.535;0:27.837;;Marcel Fässler;0:00:36;
1;1;7;6:15.485;0;;5:10.995;0;44.569;0;19.921;0;41.3;17:30.320;08:17;5:10.995;0:44.569;0:19.921;;André Lotterer;0:04:58;
1;1;8;1:23.608;2;;20.743;1;43.163;1;19.702;3;185.5;18:53.928;08:18;0:20.743;0:43.163;0:19.702;274.1;André Lotterer;;
1;1;9;1:25.553;0;;20.829;0;44.225;0;20.499;0;181.3;20:19.481;08:20;0:20.829;0:44.225;0:20.499;280.5;André Lotterer;;
12;0;1;1:35.929;0;;30.342;0;45.308;0;20.279;0;161.7;1:35.929;08:01;0:30.342;0:45.308;0:20.279;;Nicolas Prost;0:00:06;
12;0;2;1:25.485;0;;21.337;0;44.078;0;20.070;0;181.5;3:01.414;08:03;0:21.337;0:44.078;0:20.070;272.0;Nicolas Prost;;
12;0;3;1:25.008;0;;21.276;0;43.503;2;20.229;0;182.5;4:26.422;08:04;0:21.276;0:43.503;0:20.229;264.1;Nicolas Prost;;
12;0;4;1:32.569;0;;21.241;0;50.177;0;21.151;0;167.6;5:58.991;08:05;0:21.241;0:50.177;0:21.151;268.7;Nicolas Prost;;
12;0;5;1:25.040;0;;21.255;0;43.748;0;20.037;2;182.4;7:24.031;08:07;0:21.255;0:43.748;0:20.037;264.1;Nicolas Prost;;
12;0;6;1:24.955;2;;21.136;2;43.720;0;20.099;0;182.6;8:48.986;08:08;0:21.136;0:43.720;0:20.099;270.0;Nicolas Prost;;
12;0;7;1:30.212;0;;21.165;0;48.366;0;20.681;0;172.0;10:19.198;08:10;0:21.165;0:48.366;0:20.681;274.8;Nicolas Prost;;
12;0;8;1:40.608;0;B;21.314;0;49.361;0;29.933;0;154.2;11:59.806;08:11;0:21.314;0:49.361;0:29.933;262.8;Nicolas Prost;;
12;1;9;3:14.768;0;;2:08.504;0;45.827;0;20.437;0;79.6;15:14.574;08:15;2:08.504;0:45.827;0:20.437;;Neel Jani;0:01:55;
12;1;10;1:27.162;0;;21.932;1;44.830;1;20.400;1;178.0;16:41.736;08:16;0:21.932;0:44.830;0:20.400;263.4;Neel Jani;;
12;1;11;1:31.382;0;;22.195;0;48.526;0;20.661;0;169.8;18:13.118;08:18;0:22.195;0:48.526;0:20.661;226.4;Neel Jani;;
12;1;12;1:29.617;0;;22.230;0;46.688;0;20.699;0;173.1;19:42.735;08:19;0:22.230;0:46.688;0:20.699;234.8;Neel Jani;;
12;1;13;1:31.419;0;;22.895;0;47.868;0;20.656;0;169.7;21:14.154;08:21;0:22.895;0:47.868;0:20.656;234.3;Neel Jani;;
13;1;1;1:50.937;0;;38.456;0;50.882;0;21.599;0;139.8;1:50.937;08:01;0:38.456;0:50.882;0:21.599;;Harold Primat;0:00:15;
13;1;2;1:26.555;0;;21.849;0;44.301;0;20.405;0;179.2;3:17.492;08:03;0:21.849;0:44.301;0:20.405;244.3;Harold Primat;;
13;1;3;1:25.804;0;;21.503;0;43.987;0;20.314;0;180.8;4:43.296;08:04;0:21.503;0:43.987;0:20.314;267.3;Harold Primat;;
13;1;4;1:27.098;0;;21.447;0;45.211;0;20.440;0;178.1;6:10.394;08:06;0:21.447;0:45.211;0:20.440;247.7;Harold Primat;;
13;1;5;1:30.729;0;;21.385;0;48.346;0;20.998;0;171.0;7:41.123;08:07;0:21.385;0:48.346;0:20.998;257.8;Harold Primat;;
13;1;6;1:25.526;0;;21.396;0;44.029;0;20.101;2;181.4;9:06.649;08:09;0:21.396;0:44.029;0:20.101;250.0;Harold Primat;;
13;1;7;1:25.346;0;;21.252;0;43.933;0;20.161;0;181.8;10:31.995;08:10;0:21.252;0:43.933;0:20.161;266.0;Harold Primat;;
13;1;8;1:25.484;0;;21.275;0;43.521;2;20.688;0;181.5;11:57.479;08:11;0:21.275;0:43.521;0:20.688;260.2;Harold Primat;;
13;1;9;1:25.061;2;;21.205;2;43.727;0;20.129;0;182.4;13:22.540;08:13;0:21.205;0:43.727;0:20.129;259.0;Harold Primat;;
13;1;10;1:27.229;0;;21.238;0;45.716;0;20.275;0;177.8;14:49.769;08:14;0:21.238;0:45.716;0:20.275;265.4;Harold Primat;;
13;1;11;1:27.078;0;;21.323;0;44.680;0;21.075;0;178.1;16:16.847;08:16;0:21.323;0:44.680;0:21.075;262.8;Harold Primat;;
13;1;12;1:26.095;0;;21.665;0;44.251;0;20.179;0;180.2;17:42.942;08:17;0:21.665;0:44.251;0:20.179;247.7;Harold Primat;;
13;1;13;1:25.990;0;;21.416;0;44.407;0;20.167;0;180.4;19:08.932;08:19;0:21.416;0:44.407;0:20.167;259.6;Harold Primat;;
13;1;14;1:32.626;0;B;21.501;0;43.968;0;27.157;0;167.5;20:41.558;08:20;0:21.501;0:43.968;0:27.157;266.7;Harold Primat;;
2;0;1;1:41.161;0;;30.696;0;48.969;0;21.496;0;153.3;1:41.161;08:01;0:30.696;0:48.969;0:21.496;;Tom Kristensen;0:00:08;
2;0;2;1:25.733;0;;21.770;0;43.833;0;20.130;0;180.9;3:06.894;08:03;0:21.770;0:43.833;0:20.130;241.1;Tom Kristensen;;
2;0;3;1:24.135;0;;20.932;0;43.174;0;20.029;0;184.4;4:31.029;08:04;0:20.932;0:43.174;0:20.029;263.4;Tom Kristensen;;
2;0;4;1:26.965;0;;20.732;2;45.646;0;20.587;0;178.4;5:57.994;08:05;0:20.732;0:45.646;0:20.587;273.4;Tom Kristensen;;
2;0;5;1:23.635;2;;20.839;0;42.916;0;19.880;2;185.5;7:21.629;08:07;0:20.839;0:42.916;0:19.880;277.6;Tom Kristensen;;
2;0;6;1:31.155;0;B;21.110;0;42.768;2;27.277;0;170.2;8:52.784;08:08;0:21.110;0:42.768;0:27.277;266.7;Tom Kristensen;;
2;1;7;2:17.911;0;;1:11.746;0;45.798;0;20.367;0;112.5;11:10.695;08:11;1:11.746;0:45.798;0:20.367;;Allan McNish;0:00:59;
2;1;8;1:28.557;0;;23.735;0;44.784;0;20.038;0;175.2;12:39.252;08:12;0:23.735;0:44.784;0:20.038;233.3;Allan McNish;;
2;1;9;1:24.473;0;;20.806;0;43.652;0;20.015;0;183.6;14:03.725;08:14;0:20.806;0:43.652;0:20.015;272.7;Allan McNish;;
2;1;10;1:24.012;0;;20.800;0;43.290;1;19.922;0;184.6;15:27.737;08:15;0:20.800;0:43.290;0:19.922;276.9;Allan McNish;;
2;1;11;1:24.797;0;;20.736;1;43.539;0;20.522;0;182.9;16:52.534;08:16;0:20.736;0:43.539;0:20.522;273.4;Allan McNish;;
2;1;12;1:24.930;0;;21.074;0;43.936;0;19.920;1;182.6;18:17.464;08:18;0:21.074;0:43.936;0:19.920;264.7;Allan McNish;;
2;1;13;1:27.612;0;;21.330;0;45.820;0;20.462;0;177.1;19:45.076;08:19;0:21.330;0:45.820;0:20.462;242.2;Allan McNish;;
2;1;14;1:27.510;0;;21.324;0;46.088;0;20.098;0;177.3;21:12.586;08:21;0:21.324;0:46.088;0:20.098;259.0;Allan McNish;;
21;2;1;2:04.948;0;;52.457;0;51.373;0;21.118;0;124.2;2:04.948;08:02;0:52.457;0:51.373;0:21.118;;Jonny Kane;0:00:28;
21;2;2;1:27.095;0;;21.961;0;44.714;0;20.420;0;178.1;3:32.043;08:03;0:21.961;0:44.714;0:20.420;223.6;Jonny Kane;;
21;2;3;1:25.156;0;;21.339;0;43.587;0;20.230;0;182.2;4:57.199;08:04;0:21.339;0:43.587;0:20.230;255.9;Jonny Kane;;
21;2;4;1:24.823;2;;21.261;2;43.478;2;20.084;2;182.9;6:22.022;08:06;0:21.261;0:43.478;0:20.084;258.4;Jonny Kane;;
