NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;
1;0;1;1:54.882;0;;38.470;0;54.463;0;21.949;0;135.0;1:54.882;11:01;0:38.470;0:54.463;0:21.949;;Marcel Fässler;0:00:14;
1;0;2;1:32.995;0;;22.582;0;49.342;0;21.071;0;166.8;3:27.877;11:03;0:22.582;0:49.342;0:21.071;202.2;Marcel Fässler;;
1;0;3;1:38.105;0;B;21.790;0;46.366;0;29.949;0;158.1;5:05.982;11:05;0:21.790;0:46.366;0:29.949;215.1;Marcel Fässler;;
1;0;4;8:54.450;0;;7:44.252;0;49.605;0;20.593;0;29.0;14:00.432;11:14;7:44.252;0:49.605;0:20.593;;Marcel Fässler;0:07:28;
1;0;5;1:30.584;0;;21.480;0;48.241;0;20.863;0;171.2;15:31.016;11:15;0:21.480;0:48.241;0:20.863;229.3;Marcel Fässler;;
1;0;6;1:26.599;0;;21.509;0;44.383;0;20.707;0;179.1;16:57.615;11:16;0:21.509;0:44.383;0:20.707;246.0;Marcel Fässler;;
1;0;7;1:25.834;0;;21.497;0;43.843;1;20.494;0;180.7;18:23.449;11:18;0:21.497;0:43.843;0:20.494;249.4;Marcel Fässler;;
1;0;8;1:25.950;0;;21.572;0;43.879;0;20.499;0;180.5;19:49.399;11:19;0:21.572;0:43.879;0:20.499;253.5;Marcel Fässler;;
1;0;9;1:27.510;0;;21.820;0;44.991;0;20.699;0;177.3;21:16.909;11:21;0:21.820;0:44.991;0:20.699;241.1;Marcel Fässler;;
1;0;10;1:27.706;0;;21.864;0;45.422;0;20.420;0;176.9;22:44.615;11:22;0:21.864;0:45.422;0:20.420;227.8;Marcel Fässler;;
1;0;11;1:27.266;0;;22.025;0;44.826;0;20.415;0;177.8;24:11.881;11:24;0:22.025;0:44.826;0:20.415;233.3;Marcel Fässler;;
1;0;12;1:26.756;0;;21.751;0;44.562;0;20.443;0;178.8;25:38.637;11:25;0:21.751;0:44.562;0:20.443;245.5;Marcel Fässler;;
1;0;13;1:25.884;0;;21.101;0;44.005;0;20.778;0;180.6;27:04.521;11:27;0:21.101;0:44.005;0:20.778;257.1;Marcel Fässler;;
1;0;14;1:26.601;0;;21.485;0;44.870;0;20.246;1;179.1;28:31.122;11:28;0:21.485;0:44.870;0:20.246;248.8;Marcel Fässler;;
1;0;15;1:25.409;0;;21.022;1;44.060;0;20.327;0;181.6;29:56.531;11:29;0:21.022;0:44.060;0:20.327;260.9;Marcel Fässler;;
1;0;16;1:28.143;0;;21.872;0;45.337;0;20.934;0;176.0;31:24.674;11:31;0:21.872;0:45.337;0:20.934;261.5;Marcel Fässler;;
1;0;17;1:44.932;0;B;23.318;0;51.206;0;30.408;0;147.8;33:09.606;11:33;0:23.318;0:51.206;0:30.408;227.4;Marcel Fässler;;
