NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;
100;0;1;2:58.600;0;;1:32.399;0;1:02.125;0;24.076;0;86.9;2:58.600;13:10;1:32.399;1:02.125;0:24.076;;Ipe Ferraiolo;;
100;0;2;1:41.088;0;;25.290;0;51.988;3;23.810;2;153.5;4:39.688;13:12;0:25.290;0:51.988;0:23.810;216.9;Ipe Ferraiolo;;
100;0;3;1:40.883;3;;24.897;3;52.115;0;23.871;0;153.8;6:20.571;13:14;0:24.897;0:52.115;0:23.871;216.9;Ipe Ferraiolo;;
100;0;4;2:17.159;0;B;30.822;0;1:04.019;0;42.318;0;113.1;8:37.730;13:16;0:30.822;1:04.019;0:42.318;219.5;Ipe Ferraiolo;;
100;0;5;5:04.438;0;;3:45.549;0;54.508;0;24.381;0;51.0;13:42.168;13:21;3:45.549;0:54.508;0:24.381;;Ipe Ferraiolo;0:03:26;
100;0;6;1:54.544;0;B;25.352;0;52.450;0;36.742;0;135.4;15:36.712;13:23;0:25.352;0:52.450;0:36.742;210.9;Ipe Ferraiolo;;
100;0;7;20:13.428;0;;18:44.140;0;1:05.298;0;23.990;0;12.8;35:50.138;13:43;18:44.140;1:05.298;0:23.990;;Ipe Ferraiolo;0:18:19;
100;0;8;2:00.849;0;B;25.143;0;;0;;0;128.4;37:50.987;13:45;0:25.143;;;214.7;Ipe Ferraiolo;;
100;0;9;2:52.872;0;;1:35.599;0;53.441;0;23.832;0;89.7;40:43.859;13:48;1:35.599;0:53.441;0:23.832;;Ipe Ferraiolo;0:01:18;
100;0;10;1:42.420;0;;25.425;0;52.648;0;24.347;0;151.5;42:26.279;13:50;0:25.425;0:52.648;0:24.347;217.3;Ipe Ferraiolo;;
101;0;1;2:45.699;0;;1:22.891;0;58.264;0;24.544;0;93.6;2:45.699;13:10;1:22.891;0:58.264;0:24.544;;Sylvio De Barros;;
101;0;2;1:43.573;0;;25.576;0;54.116;0;23.881;0;149.8;4:29.272;13:12;0:25.576;0:54.116;0:23.881;203.4;Sylvio De Barros;;
101;0;3;1:41.665;0;;25.313;0;52.334;2;24.018;0;152.6;6:10.937;13:14;0:25.313;0:52.334;0:24.018;211.8;Sylvio De Barros;;
101;0;4;1:41.625;0;;25.447;0;52.352;0;23.826;2;152.6;7:52.562;13:15;0:25.447;0:52.352;0:23.826;225.5;Sylvio De Barros;;
101;0;5;1:41.475;2;;25.171;0;52.460;0;23.844;0;152.9;9:34.037;13:17;0:25.171;0:52.460;0:23.844;215.1;Sylvio De Barros;;
101;0;6;1:41.787;0;;25.221;0;52.573;0;23.993;0;152.4;11:15.824;13:19;0:25.221;0:52.573;0:23.993;213.4;Sylvio De Barros;;
101;0;7;1:48.559;0;;29.170;0;55.532;0;23.857;0;142.9;13:04.383;13:21;0:29.170;0:55.532;0:23.857;196.0;Sylvio De Barros;;
101;0;8;1:41.762;0;;25.080;2;52.726;0;23.956;0;152.4;14:46.145;13:22;0:25.080;0:52.726;0:23.956;218.2;Sylvio De Barros;;
101;0;9;2:06.227;0;B;25.348;0;53.156;0;47.723;0;122.9;16:52.372;13:24;0:25.348;0:53.156;0:47.723;214.7;Sylvio De Barros;;
101;0;10;18:09.087;0;;16:47.422;0;57.388;0;24.277;0;14.2;35:01.457;13:43;16:47.422;0:57.388;0:24.277;;Sylvio De Barros;0:16:28;
101;0;11;1:43.258;0;;25.568;0;53.604;0;24.086;0;150.2;36:44.715;13:44;0:25.568;0:53.604;0:24.086;208.9;Sylvio De Barros;;
101;0;12;1:41.870;0;;25.173;0;52.747;0;23.950;0;152.3;38:26.585;13:46;0:25.173;0:52.747;0:23.950;218.6;Sylvio De Barros;;
101;0;13;1:41.930;0;;25.483;0;52.456;0;23.991;0;152.2;40:08.515;13:48;0:25.483;0:52.456;0:23.991;227.8;Sylvio De Barros;;
101;0;14;1:42.125;0;;25.152;0;52.861;0;24.112;0;151.9;41:50.640;13:49;0:25.152;0:52.861;0:24.112;219.1;Sylvio De Barros;;
101;0;15;1:41.890;0;;25.133;0;52.746;0;24.011;0;152.2;43:32.530;13:51;0:25.133;0:52.746;0:24.011;222.7;Sylvio De Barros;;
103;0;1;4:08.068;0;;2:38.269;0;1:03.695;0;26.104;0;62.5;4:08.068;13:12;2:38.269;1:03.695;0:26.104;;Armando Di Nardo;;
103;0;2;1:51.520;0;;26.708;0;59.562;0;25.250;0;139.1;5:59.588;13:13;0:26.708;0:59.562;0:25.250;197.1;Armando Di Nardo;;
103;0;3;1:47.001;0;;26.488;0;55.840;0;24.673;0;145.0;7:46.589;13:15;0:26.488;0:55.840;0:24.673;186.5;Armando Di Nardo;;
103;0;4;1:46.152;0;;25.944;2;55.507;0;24.701;0;146.1;9:32.741;13:17;0:25.944;0:55.507;0:24.701;201.9;Armando Di Nardo;;
103;0;5;1:50.909;0;;26.260;0;59.710;0;24.939;0;139.9;11:23.650;13:19;0:26.260;0:59.710;0:24.939;195.3;Armando Di Nardo;;
103;0;6;1:45.494;0;;26.340;0;54.451;0;24.703;0;147.0;13:09.144;13:21;0:26.340;0:54.451;0:24.703;198.5;Armando Di Nardo;;
103;0;7;1:45.198;2;;26.022;0;54.486;0;24.690;0;147.5;14:54.342;13:22;0:26.022;0:54.486;0:24.690;203.4;Armando Di Nardo;;
103;0;8;2:16.497;0;B;26.325;0;1:01.517;0;48.655;0;113.6;17:10.839;13:25;0:26.325;1:01.517;0:48.655;200.0;Armando Di Nardo;;
103;0;9;17:56.156;0;;16:31.287;0;1:00.085;0;24.784;0;14.4;35:06.993;13:43;16:31.287;1:00.085;0:24.784;;Armando Di Nardo;0:16:11;
103;0;10;1:46.444;0;;26.694;0;55.452;0;24.298;2;145.7;36:53.437;13:44;0:26.694;0:55.452;0:24.298;201.5;Armando Di Nardo;;
103;0;11;1:47.711;0;;26.841;0;56.418;0;24.452;0;144.0;38:41.148;13:46;0:26.841;0:56.418;0:24.452;220.0;Armando Di Nardo;;
103;0;12;1:48.961;0;;27.169;0;56.266;0;25.526;0;142.4;40:30.109;13:48;0:27.169;0:56.266;0:25.526;192.2;Armando Di Nardo;;
103;0;13;1:45.293;0;;26.725;0;54.132;2;24.436;0;147.3;42:15.402;13:50;0:26.725;0:54.132;0:24.436;202.2;Armando Di Nardo;;
104;0;1;2:25.972;0;;51.885;0;1:08.760;0;25.327;0;106.3;2:25.972;13:10;0:51.885;1:08.760;0:25.327;;Gui Affonso;;
104;0;2;1:44.769;0;;25.898;0;54.462;0;24.409;0;148.1;4:10.741;13:12;0:25.898;0:54.462;0:24.409;202.2;Gui Affonso;;
104;0;3;1:42.997;0;;25.604;0;53.090;0;24.303;0;150.6;5:53.738;13:13;0:25.604;0:53.090;0:24.303;195.3;Gui Affonso;;
104;0;4;1:42.773;0;;25.919;0;52.667;0;24.187;0;150.9;7:36.511;13:15;0:25.919;0:52.667;0:24.187;193.5;Gui Affonso;;
104;0;5;1:55.217;0;;27.862;0;1:03.116;0;24.239;0;134.6;9:31.728;13:17;0:27.862;1:03.116;0:24.239;177.9;Gui Affonso;;
104;0;6;2:05.064;0;B;25.278;0;53.226;0;46.560;0;124.0;11:36.792;13:19;0:25.278;0:53.226;0:46.560;207.3;Gui Affonso;;
