NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;
1;1;1;31:38.621;0;;30:31.751;0;46.409;0;20.461;0;8.2;31:38.621;14:31;30:31.751;0:46.409;0:20.461;;André Lotterer;0:30:06;
1;1;2;1:24.947;0;;21.063;0;44.088;0;19.796;0;182.6;33:03.568;14:33;0:21.063;0:44.088;0:19.796;250.6;André Lotterer;;
1;1;3;1:23.740;0;;20.835;0;43.227;0;19.678;3;185.2;34:27.308;14:34;0:20.835;0:43.227;0:19.678;263.4;André Lotterer;;
1;1;4;1:23.389;0;;20.598;0;43.052;0;19.739;0;186.0;35:50.697;14:35;0:20.598;0:43.052;0:19.739;274.8;André Lotterer;;
1;1;5;1:30.258;0;;21.801;0;48.636;0;19.821;0;171.9;37:20.955;14:37;0:21.801;0:48.636;0:19.821;265.4;André Lotterer;;
1;1;6;1:23.332;2;;20.624;0;42.803;2;19.905;0;186.2;38:44.287;14:38;0:20.624;0:42.803;0:19.905;273.4;André Lotterer;;
1;1;7;1:35.071;0;B;20.524;2;46.394;0;28.153;0;163.2;40:19.358;14:40;0:20.524;0:46.394;0:28.153;278.4;André Lotterer;;
12;1;1;42:22.044;0;;41:07.518;0;53.539;0;20.987;0;6.1;42:22.044;14:42;41:07.518;0:53.539;0:20.987;;Neel Jani;0:40:41;
12;1;2;1:23.962;2;;20.843;0;42.924;2;20.195;2;184.8;43:46.006;14:43;0:20.843;0:42.924;0:20.195;262.1;Neel Jani;;
12;1;3;1:24.459;0;;20.667;0;43.437;0;20.355;0;183.7;45:10.465;14:45;0:20.667;0:43.437;0:20.355;273.4;Neel Jani;;
12;1;4;1:25.019;0;;20.806;0;43.495;0;20.718;0;182.5;46:35.484;14:46;0:20.806;0:43.495;0:20.718;270.7;Neel Jani;;
12;1;5;1:33.278;0;B;20.649;2;43.752;0;28.877;0;166.3;48:08.762;14:48;0:20.649;0:43.752;0:28.877;273.4;Neel Jani;;
13;0;1;39:54.794;0;;38:41.202;0;52.439;0;21.153;0;6.5;39:54.794;14:39;38:41.202;0:52.439;0:21.153;;Andrea Belicchi;0:38:08;
13;0;2;1:24.329;0;;20.999;0;43.136;0;20.194;0;184.0;41:19.123;14:41;0:20.999;0:43.136;0:20.194;259.0;Andrea Belicchi;;
13;0;3;1:24.781;0;;21.159;0;43.340;0;20.282;0;183.0;42:43.904;14:42;0:21.159;0:43.340;0:20.282;267.3;Andrea Belicchi;;
13;0;4;1:24.179;2;;20.952;0;42.956;2;20.271;0;184.3;44:08.083;14:44;0:20.952;0:42.956;0:20.271;269.3;Andrea Belicchi;;
13;0;5;1:36.971;0;;21.021;0;55.418;0;20.532;0;160.0;45:45.054;14:45;0:21.021;0:55.418;0:20.532;269.3;Andrea Belicchi;;
13;0;6;1:24.519;0;;21.079;0;43.296;0;20.144;2;183.5;47:09.573;14:47;0:21.079;0:43.296;0:20.144;265.4;Andrea Belicchi;;
13;0;7;1:40.815;0;B;20.941;2;47.083;0;32.791;0;153.9;48:50.388;14:48;0:20.941;0:47.083;0:32.791;266.0;Andrea Belicchi;;
