NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;
1;0;1;6:14.392;0;;1:44.554;0;1:58.490;0;2:31.348;0;131.1;6:14.392;20:36;1:44.554;1:58.490;2:31.348;221.2;David Richards;0:00:46;
1;0;2;5:41.604;0;B;47.797;2;2:14.803;0;2:39.004;0;143.6;11:55.996;20:41;0:47.797;2:14.803;2:39.004;255.3;David Richards;;
1;0;3;25:38.531;0;;21:21.018;0;1:54.326;0;2:23.187;0;31.9;37:34.527;21:07;21:21.018;1:54.326;2:23.187;262.6;David Richards;0:20:45;
1;0;4;5:08.813;0;B;47.901;0;1:49.254;2;2:31.658;0;158.9;42:43.340;21:12;0:47.901;1:49.254;2:31.658;248.3;David Richards;;
1;0;5;7:27.098;0;;3:08.408;0;1:53.175;0;2:25.515;0;109.7;50:10.438;21:20;3:08.408;1:53.175;2:25.515;228.6;David Richards;0:02:29;
1;0;6;5:49.629;0;;48.921;0;2:38.794;0;2:21.914;0;140.3;56:00.067;21:26;0:48.921;2:38.794;2:21.914;267.8;David Richards;;
1;0;7;5:05.460;2;;48.282;0;1:57.619;0;2:19.559;2;160.6;1:01:05.527;21:31;0:48.282;1:57.619;2:19.559;234.5;David Richards;;
12;0;1;8:09.556;0;;3:10.679;0;2:13.721;0;2:45.156;0;100.2;8:09.556;20:38;3:10.679;2:13.721;2:45.156;214.2;Frank Yu;0:02:18;
12;0;2;5:09.115;0;;54.197;0;1:51.981;0;2:22.937;0;158.7;13:18.671;20:43;0:54.197;1:51.981;2:22.937;257.7;Frank Yu;;
12;0;3;4:54.025;0;;50.478;0;1:47.488;0;2:16.059;0;166.9;18:12.696;20:48;0:50.478;1:47.488;2:16.059;206.2;Frank Yu;;
12;0;4;4:52.688;0;;51.790;0;1:44.550;0;2:16.348;0;167.6;23:05.384;20:53;0:51.790;1:44.550;2:16.348;275.9;Frank Yu;;
12;0;5;4:48.483;0;B;46.432;0;1:41.805;0;2:20.246;0;170.1;27:53.867;20:57;0:46.432;1:41.805;2:20.246;281.6;Frank Yu;;
12;0;6;8:33.585;0;;4:26.714;0;1:56.093;0;2:10.778;0;95.5;36:27.452;21:06;4:26.714;1:56.093;2:10.778;222.1;Frank Yu;0:03:45;
