NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;
10;0;1;4:16.490;0;;;0;;0;2:22.932;0;191.3;4:16.490;16:04;;;2:22.932;173.7;Derek Bell;;
10;0;2;4:49.813;0;;49.078;0;1:50.031;0;2:10.704;0;169.3;9:06.303;16:09;0:49.078;1:50.031;2:10.704;211.7;Derek Bell;;
10;0;3;5:16.387;0;B;45.722;0;1:55.338;0;2:35.327;0;155.1;14:22.690;16:14;0:45.722;1:55.338;2:35.327;186.1;Derek Bell;;
10;0;4;8:41.671;0;;4:46.822;0;1:46.851;0;2:07.998;0;94.1;23:04.361;16:23;4:46.822;1:46.851;2:07.998;197.2;Derek Bell;0:04:11;
10;0;5;4:29.901;0;;44.345;0;1:40.404;0;2:05.152;0;181.8;27:34.262;16:27;0:44.345;1:40.404;2:05.152;223.4;Derek Bell;;
10;0;6;4:27.789;2;;43.946;0;1:39.313;2;2:04.530;2;183.2;32:02.051;16:32;0:43.946;1:39.313;2:04.530;235.5;Derek Bell;;
10;0;7;4:47.847;0;B;43.381;2;1:41.542;0;2:22.924;0;170.5;36:49.898;16:36;0:43.381;1:41.542;2:22.924;213.4;Derek Bell;;
102;0;1;3:40.472;0;;;0;;0;2:13.553;0;222.5;3:40.472;16:03;;;2:13.553;201.6;Peter Meyrick;;
102;0;2;4:35.301;0;;44.693;0;1:45.303;0;2:05.305;0;178.2;8:15.773;16:08;0:44.693;1:45.303;2:05.305;252.3;Peter Meyrick;;
102;0;3;4:31.021;0;;43.066;0;1:43.043;0;2:04.912;0;181.0;12:46.794;16:12;0:43.066;1:43.043;2:04.912;255.3;Peter Meyrick;;
102;0;4;4:25.323;0;;41.345;0;1:41.908;0;2:02.070;0;184.9;17:12.117;16:17;0:41.345;1:41.908;2:02.070;255.9;Peter Meyrick;;
102;0;5;4:28.876;0;;42.866;0;1:41.426;0;2:04.584;0;182.5;21:40.993;16:21;0:42.866;1:41.426;2:04.584;261.4;Peter Meyrick;;
102;0;6;4:24.110;0;;43.131;0;1:41.317;0;1:59.662;0;185.8;26:05.103;16:26;0:43.131;1:41.317;1:59.662;256.5;Peter Meyrick;;
102;0;7;4:31.383;0;B;41.202;0;1:39.827;0;2:10.354;0;180.8;30:36.486;16:30;0:41.202;1:39.827;2:10.354;257.7;Peter Meyrick;;
102;0;8;8:25.099;0;;4:38.708;0;1:43.475;0;2:02.916;0;97.1;39:01.585;16:39;4:38.708;1:43.475;2:02.916;256.5;Peter Meyrick;0:03:40;
102;0;9;4:20.571;0;;41.015;0;1:39.262;0;2:00.294;0;188.3;43:22.156;16:43;0:41.015;1:39.262;2:00.294;261.4;Peter Meyrick;;
102;0;10;4:22.191;0;;42.014;0;1:38.655;2;2:01.522;0;187.1;47:44.347;16:47;0:42.014;1:38.655;2:01.522;263.3;Peter Meyrick;;
102;0;11;4:19.822;0;;40.854;2;1:39.215;0;1:59.753;0;188.8;52:04.169;16:52;0:40.854;1:39.215;1:59.753;264.6;Peter Meyrick;;
102;0;12;4:19.915;0;;42.006;0;1:39.170;0;1:58.739;2;188.8;56:24.084;16:56;0:42.006;1:39.170;1:58.739;263.9;Peter Meyrick;;
102;0;13;4:19.326;2;;41.401;0;1:38.918;0;1:59.007;0;189.2;1:00:43.410;17:00;0:41.401;1:38.918;1:59.007;262.0;Peter Meyrick;;
107;0;1;4:31.460;0;B;;0;;0;2:48.262;0;180.7;4:31.460;16:04;;;2:48.262;179.7;Thomas Dozin;;
107;0;2;8:16.982;0;;4:08.187;0;1:52.199;0;2:16.596;0;98.7;12:48.442;16:12;4:08.187;1:52.199;2:16.596;228.1;Thomas Dozin;0:03:23;
107;0;3;4:41.783;0;;47.604;0;1:41.492;0;2:12.687;0;174.1;17:30.225;16:17;0:47.604;1:41.492;2:12.687;269.1;Thomas Dozin;;
107;0;4;4:30.904;0;;44.607;0;1:40.116;0;2:06.181;2;181.1;22:01.129;16:22;0:44.607;1:40.116;2:06.181;270.4;Thomas Dozin;;
107;0;5;5:13.150;0;;1:20.191;0;1:42.660;0;2:10.299;0;156.7;27:14.279;16:27;1:20.191;1:42.660;2:10.299;273.2;Thomas Dozin;;
107;0;6;4:34.093;0;;45.469;0;1:40.750;0;2:07.874;0;179.0;31:48.372;16:31;0:45.469;1:40.750;2:07.874;268.5;Thomas Dozin;;
107;0;7;4:29.956;0;;43.503;2;1:40.100;0;2:06.353;0;181.7;36:18.328;16:36;0:43.503;1:40.100;2:06.353;270.4;Thomas Dozin;;
107;0;8;4:41.511;0;B;44.143;0;1:39.006;0;2:18.362;0;174.3;40:59.839;16:40;0:44.143;1:39.006;2:18.362;269.1;Thomas Dozin;;
107;0;9;8:27.370;0;;4:36.490;0;1:41.086;0;2:09.794;0;96.7;49:27.209;16:49;4:36.490;1:41.086;2:09.794;261.4;Thomas Dozin;0:03:58;
107;0;10;4:30.190;0;;44.331;0;1:38.577;0;2:07.282;0;181.6;53:57.399;16:53;0:44.331;1:38.577;2:07.282;268.5;Thomas Dozin;;
107;0;11;4:28.960;2;;43.639;0;1:35.561;2;2:09.760;0;182.4;58:26.359;16:58;0:43.639;1:35.561;2:09.760;275.9;Thomas Dozin;;
11;0;1;2:43.872;0;;;0;;0;2:20.355;0;299.4;2:43.872;16:02;;;2:20.355;;Henrik Lindberg;;
11;0;2;4:32.557;0;;45.168;0;1:40.780;0;2:06.609;0;180.0;7:16.429;16:07;0:45.168;1:40.780;2:06.609;214.2;Henrik Lindberg;;
11;0;3;5:08.955;0;B;43.277;0;1:41.756;0;2:43.922;0;158.8;12:25.384;16:12;0:43.277;1:41.756;2:43.922;233.5;Henrik Lindberg;;
11;0;4;18:06.983;0;;14:27.716;0;1:37.182;0;2:02.085;0;45.1;30:32.367;16:30;14:27.716;1:37.182;2:02.085;254.1;Henrik Lindberg;0:13:51;
11;0;5;4:17.886;0;;42.459;0;1:34.116;2;2:01.311;0;190.3;34:50.253;16:34;0:42.459;1:34.116;2:01.311;286.8;Henrik Lindberg;;
11;0;6;4:13.848;2;;41.060;0;1:34.188;0;1:58.600;2;193.3;39:04.101;16:39;0:41.060;1:34.188;1:58.600;292.1;Henrik Lindberg;;
11;0;7;4:26.801;0;B;40.998;2;1:34.287;0;2:11.516;0;183.9;43:30.902;16:43;0:40.998;1:34.287;2:11.516;236.5;Henrik Lindberg;;
11;0;8;10:13.683;0;B;5:29.255;0;2:02.580;0;2:41.848;0;80.0;53:44.585;16:53;5:29.255;2:02.580;2:41.848;225.7;Henrik Lindberg;0:04:51;
111;0;1;4:17.474;0;;;0;;0;2:22.793;0;190.6;4:17.474;16:04;;;2:22.793;202.7;Mike Donovan;;
111;0;2;4:54.786;0;B;47.395;0;1:44.218;0;2:23.173;0;166.4;9:12.260;16:09;0:47.395;1:44.218;2:23.173;212.2;Mike Donovan;;
111;0;3;12:07.255;0;;8:03.876;0;1:53.531;0;2:09.848;0;67.5;21:19.515;16:21;8:03.876;1:53.531;2:09.848;225.3;Mike Donovan;0:07:27;
111;0;4;4:27.431;0;;44.406;0;1:40.215;0;2:02.810;0;183.5;25:46.946;16:25;0:44.406;1:40.215;2:02.810;270.4;Mike Donovan;;
111;0;5;4:20.130;0;;42.434;0;1:37.458;0;2:00.238;0;188.6;30:07.076;16:30;0:42.434;1:37.458;2:00.238;280.2;Mike Donovan;;
111;0;6;4:14.449;0;;42.000;0;1:36.054;0;1:56.395;0;192.8;34:21.525;16:34;0:42.000;1:36.054;1:56.395;283.1;Mike Donovan;;
111;0;7;4:12.480;0;;40.076;0;1:36.652;0;1:55.752;0;194.3;38:34.005;16:38;0:40.076;1:36.652;1:55.752;279.4;Mike Donovan;;
111;0;8;4:11.327;0;;40.218;0;1:35.512;0;1:55.597;0;195.2;42:45.332;16:42;0:40.218;1:35.512;1:55.597;280.9;Mike Donovan;;
111;0;9;4:07.009;0;;39.330;0;1:34.174;0;1:53.505;0;198.6;46:52.341;16:46;0:39.330;1:34.174;1:53.505;282.3;Mike Donovan;;
111;0;10;4:07.924;0;;39.051;0;1:35.201;0;1:53.672;0;197.9;51:00.265;16:51;0:39.051;1:35.201;1:53.672;282.3;Mike Donovan;;
