NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;
1;2;1;2:29.554;0;;1:02.805;0;43.787;0;42.962;0;144.9;2:29.554;14:54;1:02.805;0:43.787;0:42.962;273.4;Marcel Fässler;0:00:25;
1;2;2;1:57.856;0;;36.664;0;40.601;0;40.591;0;183.8;4:27.410;14:56;0:36.664;0:40.601;0:40.591;279.0;Marcel Fässler;;
1;2;3;1:49.654;0;;32.705;0;38.715;0;38.234;1;197.6;6:17.064;14:58;0:32.705;0:38.715;0:38.234;278.4;Marcel Fässler;;
1;2;4;1:49.520;0;;32.083;0;37.842;0;39.595;0;197.8;8:06.584;14:59;0:32.083;0:37.842;0:39.595;276.8;Marcel Fässler;;
1;2;5;1:50.874;0;;32.378;0;39.184;0;39.312;0;195.4;9:57.458;15:01;0:32.378;0:39.184;0:39.312;275.6;Marcel Fässler;;
1;2;6;1:51.732;0;;33.209;0;39.357;0;39.166;0;193.9;11:49.190;15:03;0:33.209;0:39.357;0:39.166;279.0;Marcel Fässler;;
1;2;7;1:49.302;0;;32.745;0;38.241;0;38.316;0;198.2;13:38.492;15:05;0:32.745;0:38.241;0:38.316;274.5;Marcel Fässler;;
1;2;8;1:48.405;0;;32.082;1;37.784;1;38.539;0;199.9;15:26.897;15:07;0:32.082;0:37.784;0:38.539;280.7;Marcel Fässler;;
1;2;9;2:06.917;0;B;34.494;0;40.189;0;52.234;0;170.7;17:33.814;15:09;0:34.494;0:40.189;0:52.234;274.5;Marcel Fässler;;
1;2;10;6:22.206;0;;5:03.750;0;39.374;0;39.082;0;56.7;23:56.020;15:15;5:03.750;0:39.374;0:39.082;273.4;Marcel Fässler;0:04:40;
1;2;11;1:50.342;0;;32.415;0;38.027;0;39.900;0;196.3;25:46.362;15:17;0:32.415;0:38.027;0:39.900;274.5;Marcel Fässler;;
1;2;12;1:50.706;0;;32.614;0;38.480;0;39.612;0;195.7;27:37.068;15:19;0:32.614;0:38.480;0:39.612;277.3;Marcel Fässler;;
1;2;13;2:03.426;0;B;32.518;0;40.924;0;49.984;0;175.5;29:40.494;15:21;0:32.518;0:40.924;0:49.984;253.6;Marcel Fässler;;
1;1;14;4:18.987;0;;3:01.139;0;39.638;0;38.210;0;83.7;33:59.481;15:25;3:01.139;0:39.638;0:38.210;277.3;Benoit Tréluyer;0:02:36;
