NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;
1;1;1;54:07.591;0;;52:44.968;0;42.036;0;40.587;0;6.7;54:07.591;16:14;52:44.968;0:42.036;0:40.587;262.4;Benoit Tréluyer;;
1;1;2;2:02.106;0;B;32.879;0;38.848;0;50.379;0;177.4;56:09.697;16:16;0:32.879;0:38.848;0:50.379;272.3;Benoit Tréluyer;;
1;1;3;2:24.458;0;;1:03.036;0;38.365;0;43.057;0;150.0;58:34.155;16:18;1:03.036;0:38.365;0:43.057;241.5;Benoit Tréluyer;0:00:35;
1;1;4;1:45.820;3;;31.346;2;37.130;1;37.344;3;204.7;1:00:19.975;16:20;0:31.346;0:37.130;0:37.344;274.0;Benoit Tréluyer;;
1;1;5;1:57.558;0;B;31.413;0;36.951;3;49.194;0;184.3;1:02:17.533;16:22;0:31.413;0:36.951;0:49.194;276.2;Benoit Tréluyer;;
12;0;1;56:27.380;0;B;;0;;0;;0;6.4;56:27.380;16:16;;;;;Nicolas Prost;;
12;1;2;2:22.179;0;;1:00.564;0;40.752;0;40.863;0;152.4;58:49.559;16:18;1:00.564;0:40.752;0:40.863;236.1;Neel Jani;;
12;1;3;1:48.792;0;;32.383;0;37.999;2;38.410;2;199.1;1:00:38.351;16:20;0:32.383;0:37.999;0:38.410;271.3;Neel Jani;;
12;1;4;1:56.199;0;;32.272;0;41.753;0;42.174;0;186.4;1:02:34.550;16:22;0:32.272;0:41.753;0:42.174;256.5;Neel Jani;;
12;1;5;1:48.630;2;;32.192;2;38.002;0;38.436;0;199.4;1:04:23.180;16:24;0:32.192;0:38.002;0:38.436;270.7;Neel Jani;;
