NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;
1;0;1;6:03.155;0;;4:19.584;0;56.761;0;46.810;0;54.0;6:03.155;08:51;4:19.584;0:56.761;0:46.810;170.1;Marchy LEE;0:03:29;
1;0;2;2:10.867;0;;44.130;0;48.870;0;37.867;0;150.0;8:14.022;08:53;0:44.130;0:48.870;0:37.867;263.4;Marchy LEE;;
1;0;3;2:09.660;0;;43.413;0;48.392;0;37.855;0;151.3;10:23.682;08:55;0:43.413;0:48.392;0:37.855;264.7;Marchy LEE;;
1;0;4;2:09.369;0;;43.405;0;48.171;0;37.793;0;151.7;12:33.051;08:57;0:43.405;0:48.171;0:37.793;265.4;Marchy LEE;;
1;0;5;2:16.331;0;;43.150;2;47.420;2;45.761;0;143.9;14:49.382;08:59;0:43.150;0:47.420;0:45.761;266.0;Marchy LEE;;
1;0;6;2:08.191;2;;43.162;0;47.481;0;37.548;2;153.1;16:57.573;09:01;0:43.162;0:47.481;0:37.548;266.0;Marchy LEE;;
1;0;7;2:27.868;0;B;43.683;0;50.778;0;53.407;0;132.7;19:25.441;09:04;0:43.683;0:50.778;0:53.407;170.6;Marchy LEE;;
13;0;1;3:21.519;0;;1:25.897;0;1:11.888;0;43.734;0;97.4;3:21.519;08:48;1:25.897;1:11.888;0:43.734;229.3;Adrian FU;0:00:31;
13;0;2;2:22.864;0;;48.543;0;53.790;0;40.531;0;137.4;5:44.383;08:50;0:48.543;0:53.790;0:40.531;259.0;Adrian FU;;
13;0;3;2:22.862;0;;48.119;0;53.674;0;41.069;0;137.4;8:07.245;08:53;0:48.119;0:53.674;0:41.069;257.1;Adrian FU;;
13;0;4;2:22.637;0;;48.804;0;53.550;0;40.283;0;137.6;10:29.882;08:55;0:48.804;0:53.550;0:40.283;262.1;Adrian FU;;
13;0;5;2:19.401;0;;47.443;0;51.888;2;40.070;0;140.8;12:49.283;08:57;0:47.443;0:51.888;0:40.070;261.5;Adrian FU;;
13;0;6;2:18.872;2;;47.307;2;52.204;0;39.361;2;141.3;15:08.155;09:00;0:47.307;0:52.204;0:39.361;262.1;Adrian FU;;
13;0;7;2:52.317;0;B;47.826;0;53.734;0;1:10.757;0;113.9;18:00.472;09:03;0:47.826;0:53.734;1:10.757;247.7;Adrian FU;;
23;0;1;2:36.906;0;;1:00.459;0;55.929;0;40.518;0;125.1;2:36.906;08:47;1:00.459;0:55.929;0:40.518;258.4;Alex AU;;
23;0;2;5:44.974;0;B;51.885;0;1:49.910;0;3:03.179;0;56.9;8:21.880;08:53;0:51.885;1:49.910;3:03.179;43.5;Alex AU;;
23;0;3;3:41.026;0;;2:07.355;0;53.779;0;39.892;0;88.8;12:02.906;08:57;2:07.355;0:53.779;0:39.892;260.9;Alex AU;0:01:21;
23;0;4;2:15.208;0;;45.851;0;50.511;0;38.846;0;145.1;14:18.114;08:59;0:45.851;0:50.511;0:38.846;264.1;Alex AU;;
23;0;5;2:13.611;2;;45.183;2;49.732;2;38.696;2;146.9;16:31.725;09:01;0:45.183;0:49.732;0:38.696;264.1;Alex AU;;
23;0;6;2:35.320;0;B;47.115;0;53.198;0;55.007;0;126.3;19:07.045;09:04;0:47.115;0:53.198;0:55.007;222.2;Alex AU;;
3;0;1;3:37.222;0;;1:42.706;0;1:07.099;2;47.417;2;90.3;3:37.222;08:48;1:42.706;1:07.099;0:47.417;186.9;Hugues RIPERT;0:00:44;
3;0;2;3:18.117;0;B;48.527;2;1:07.341;0;1:22.249;0;99.1;6:55.339;08:51;0:48.527;1:07.341;1:22.249;256.5;Hugues RIPERT;;
33;0;1;3:05.375;0;;1:08.128;0;1:05.364;0;51.883;0;105.9;3:05.375;08:48;1:08.128;1:05.364;0:51.883;168.0;Zheng SUN;0:00:17;
33;0;2;2:13.453;0;;44.220;0;51.001;0;38.232;0;147.0;5:18.828;08:50;0:44.220;0:51.001;0:38.232;263.4;Zheng SUN;;
33;0;3;2:09.717;0;;43.769;0;47.934;2;38.014;0;151.3;7:28.545;08:52;0:43.769;0:47.934;0:38.014;265.4;Zheng SUN;;
33;0;4;2:09.454;2;;43.387;2;48.069;0;37.998;2;151.6;9:37.999;08:54;0:43.387;0:48.069;0:37.998;266.7;Zheng SUN;;
33;0;5;2:48.062;0;B;52.631;0;56.015;0;59.416;0;116.8;12:26.061;08:57;0:52.631;0:56.015;0:59.416;173.4;Zheng SUN;;
33;0;6;7:14.766;0;;4:57.548;0;58.502;0;1:18.716;0;45.1;19:40.827;09:04;4:57.548;0:58.502;1:18.716;221.8;Zheng SUN;0:04:17;
55;0;1;3:02.448;0;;1:21.756;0;57.255;0;43.437;0;107.6;3:02.448;08:48;1:21.756;0:57.255;0:43.437;201.1;Kyong-Ouk YOU;0:00:29;
55;0;2;2:29.482;0;;45.058;0;53.532;0;50.892;0;131.3;5:31.930;08:50;0:45.058;0:53.532;0:50.892;123.7;Kyong-Ouk YOU;;
55;0;3;2:11.080;0;;43.894;0;48.800;0;38.386;0;149.7;7:43.010;08:52;0:43.894;0:48.800;0:38.386;267.3;Kyong-Ouk YOU;;
55;0;4;2:31.886;0;;49.233;0;1:00.113;0;42.540;0;129.2;10:14.896;08:55;0:49.233;1:00.113;0:42.540;208.5;Kyong-Ouk YOU;;
55;0;5;2:09.748;2;;43.735;2;48.095;2;37.918;2;151.2;12:24.644;08:57;0:43.735;0:48.095;0:37.918;267.3;Kyong-Ouk YOU;;
55;0;6;2:09.859;0;;43.815;0;48.118;0;37.926;0;151.1;14:34.503;08:59;0:43.815;0:48.118;0:37.926;270.0;Kyong-Ouk YOU;;
55;0;7;2:30.973;0;B;46.572;0;51.131;0;53.270;0;130.0;17:05.476;09:02;0:46.572;0:51.131;0:53.270;223.1;Kyong-Ouk YOU;;
6;0;1;4:51.641;0;;3:08.868;0;59.307;0;43.466;0;67.3;4:51.641;08:49;3:08.868;0:59.307;0:43.466;203.4;David ZHU;0:02:12;
6;0;2;2:12.921;0;;44.867;0;49.501;0;38.553;0;147.6;7:04.562;08:52;0:44.867;0:49.501;0:38.553;263.4;David ZHU;;
6;0;3;2:10.783;0;;44.274;0;48.550;0;37.959;0;150.0;9:15.345;08:54;0:44.274;0:48.550;0:37.959;264.7;David ZHU;;
6;0;4;2:09.694;2;;43.732;0;47.976;2;37.986;0;151.3;11:25.039;08:56;0:43.732;0:47.976;0:37.986;265.4;David ZHU;;
6;0;5;2:09.764;0;;43.703;0;48.240;0;37.821;0;151.2;13:34.803;08:58;0:43.703;0:48.240;0:37.821;266.0;David ZHU;;
6;0;6;2:09.748;0;;43.702;0;48.469;0;37.577;2;151.2;15:44.551;09:00;0:43.702;0:48.469;0:37.577;266.7;David ZHU;;
6;0;7;2:09.854;0;;43.602;2;48.379;0;37.873;0;151.1;17:54.405;09:02;0:43.602;0:48.379;0:37.873;266.7;David ZHU;;
6;0;8;2:56.698;0;B;54.585;0;1:00.768;0;1:01.345;0;111.1;20:51.103;09:05;0:54.585;1:00.768;1:01.345;194.6;David ZHU;;
66;0;1;2:56.840;0;;1:09.565;0;59.660;0;47.615;0;111.0;2:56.840;08:47;1:09.565;0:59.660;0:47.615;177.0;Ran ZHANG;0:00:15;
66;0;2;2:25.917;0;;49.052;0;56.635;0;40.230;0;134.5;5:22.757;08:50;0:49.052;0:56.635;0:40.230;260.9;Ran ZHANG;;
66;0;3;2:19.470;0;;46.901;0;52.792;0;39.777;0;140.7;7:42.227;08:52;0:46.901;0:52.792;0:39.777;262.8;Ran ZHANG;;
66;0;4;2:18.924;0;;46.677;0;52.942;0;39.305;0;141.3;10:01.151;08:55;0:46.677;0:52.942;0:39.305;263.4;Ran ZHANG;;
66;0;5;2:16.606;0;;46.064;0;51.561;0;38.981;0;143.7;12:17.757;08:57;0:46.064;0:51.561;0:38.981;264.1;Ran ZHANG;;
66;0;6;2:16.096;0;;46.023;0;51.579;0;38.494;2;144.2;14:33.853;08:59;0:46.023;0:51.579;0:38.494;264.7;Ran ZHANG;;
