NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;
1;0;1;3:05.863;0;;1:19.775;0;1:01.668;0;44.420;0;105.6;3:05.863;12:23;1:19.775;1:01.668;0:44.420;206.9; Wong-Hui;0:00:28;
1;0;2;2:16.443;0;;45.882;0;52.246;0;38.315;0;143.8;5:22.306;12:25;0:45.882;0:52.246;0:38.315;272.7; Wong-Hui;;
1;0;3;2:14.423;0;;45.423;0;50.783;0;38.217;0;146.0;7:36.729;12:27;0:45.423;0:50.783;0:38.217;272.0; Wong-Hui;;
1;0;4;2:13.755;0;;45.097;2;50.649;0;38.009;0;146.7;9:50.484;12:29;0:45.097;0:50.649;0:38.009;273.4; Wong-Hui;;
1;0;5;2:13.283;2;;45.113;0;50.450;2;37.720;2;147.2;12:03.767;12:32;0:45.113;0:50.450;0:37.720;275.5; Wong-Hui;;
1;0;6;2:25.715;0;;51.650;0;54.077;0;39.988;0;134.7;14:29.482;12:34;0:51.650;0:54.077;0:39.988;235.8; Wong-Hui;;
1;0;7;2:30.543;0;B;46.518;0;54.910;0;49.115;0;130.4;17:00.025;12:37;0:46.518;0:54.910;0:49.115;220.9; Wong-Hui;;
11;0;1;3:11.113;0;;1:29.955;0;58.057;0;43.101;2;102.7;3:11.113;12:23;1:29.955;0:58.057;0:43.101;204.5;Eric Yeo;0:00:39;
11;0;2;2:42.938;0;B;49.315;2;53.562;2;1:00.061;0;120.4;5:54.051;12:25;0:49.315;0:53.562;1:00.061;158.4;Eric Yeo;;
12;0;1;2:56.829;0;;1:16.556;0;58.680;0;41.593;0;111.0;2:56.829;12:22;1:16.556;0:58.680;0:41.593;271.4; Lo-Tong;0:00:24;
12;0;2;2:29.714;0;;51.933;0;59.079;0;38.702;0;131.1;5:26.543;12:25;0:51.933;0:59.079;0:38.702;273.4; Lo-Tong;;
12;0;3;2:25.135;0;;51.099;0;55.724;0;38.312;0;135.2;7:51.678;12:27;0:51.099;0:55.724;0:38.312;271.4; Lo-Tong;;
12;0;4;2:14.328;0;;45.690;0;50.271;0;38.367;0;146.1;10:06.006;12:30;0:45.690;0:50.271;0:38.367;273.4; Lo-Tong;;
12;0;5;2:15.693;0;;45.828;0;51.111;0;38.754;0;144.6;12:21.699;12:32;0:45.828;0:51.111;0:38.754;274.1; Lo-Tong;;
12;0;6;2:12.888;2;;45.142;2;49.820;2;37.926;2;147.7;14:34.587;12:34;0:45.142;0:49.820;0:37.926;275.5; Lo-Tong;;
12;0;7;2:37.405;0;B;49.374;0;55.881;0;52.150;0;124.7;17:11.992;12:37;0:49.374;0:55.881;0:52.150;265.4; Lo-Tong;;
2;0;1;2:55.192;0;;1:23.453;0;53.078;0;38.661;0;112.0;2:55.192;12:22;1:23.453;0:53.078;0:38.661;274.8; Cheng-Lok;0:00:36;
2;0;2;2:16.018;0;;45.986;0;;0;;0;144.3;5:11.210;12:25;0:45.986;;;272.7; Cheng-Lok;;
2;0;3;2:14.590;0;;45.601;0;50.775;0;38.214;0;145.8;7:25.800;12:27;0:45.601;0:50.775;0:38.214;276.9; Cheng-Lok;;
2;0;4;2:15.636;0;;46.119;0;50.828;0;38.689;0;144.7;9:41.436;12:29;0:46.119;0:50.828;0:38.689;277.6; Cheng-Lok;;
2;0;5;2:13.780;2;;45.689;0;50.114;2;37.977;0;146.7;11:55.216;12:31;0:45.689;0:50.114;0:37.977;275.5; Cheng-Lok;;
2;0;6;2:14.092;0;;45.556;2;50.542;0;37.994;0;146.3;14:09.308;12:34;0:45.556;0:50.542;0:37.994;275.5; Cheng-Lok;;
2;0;7;2:14.664;0;;46.278;0;50.554;0;37.832;2;145.7;16:23.972;12:36;0:46.278;0:50.554;0:37.832;276.9; Cheng-Lok;;
22;0;1;2:45.417;0;;1:05.266;0;55.429;0;44.722;0;118.6;2:45.417;12:22;1:05.266;0:55.429;0:44.722;218.2; Tu-Chen;0:00:10;
22;0;2;2:17.201;0;;47.064;0;51.638;0;38.499;0;143.0;5:02.618;12:25;0:47.064;0:51.638;0:38.499;271.4; Tu-Chen;;
22;0;3;2:15.334;0;;45.372;0;51.458;0;38.504;0;145.0;7:17.952;12:27;0:45.372;0:51.458;0:38.504;269.3; Tu-Chen;;
22;0;4;2:13.400;2;;45.121;0;50.430;0;37.849;0;147.1;9:31.352;12:29;0:45.121;0:50.430;0:37.849;272.0; Tu-Chen;;
22;0;5;2:13.876;0;;44.914;2;50.502;0;38.460;0;146.6;11:45.228;12:31;0:44.914;0:50.502;0:38.460;273.4; Tu-Chen;;
22;0;6;2:15.014;0;;46.273;0;50.403;0;38.338;0;145.3;14:00.242;12:34;0:46.273;0:50.403;0:38.338;268.0; Tu-Chen;;
22;0;7;2:13.841;0;;45.763;0;50.269;2;37.809;2;146.6;16:14.083;12:36;0:45.763;0:50.269;0:37.809;274.1; Tu-Chen;;
24;0;1;2:39.319;0;B;55.057;0;53.544;0;50.718;0;123.2;2:39.319;12:22;0:55.057;0:53.544;0:50.718;214.7; Chou-Yoshihiro;0:00:08;
24;0;2;3:11.125;0;;1:39.586;0;51.432;0;40.107;0;102.7;5:50.444;12:25;1:39.586;0:51.432;0:40.107;268.7; Chou-Yoshihiro;0:00:58;
24;0;3;2:15.384;2;;46.166;0;50.946;0;38.272;2;144.9;8:05.828;12:28;0:46.166;0:50.946;0:38.272;271.4; Chou-Yoshihiro;;
24;0;4;2:15.550;0;;45.874;2;50.762;0;38.914;0;144.8;10:21.378;12:30;0:45.874;0:50.762;0:38.914;272.0; Chou-Yoshihiro;;
24;0;5;2:15.429;0;;46.399;0;50.555;2;38.475;0;144.9;12:36.807;12:32;0:46.399;0:50.555;0:38.475;271.4; Chou-Yoshihiro;;
24;0;6;2:15.653;0;;46.021;0;51.234;0;38.398;0;144.7;14:52.460;12:34;0:46.021;0:51.234;0:38.398;274.8; Chou-Yoshihiro;;
24;0;7;2:15.588;0;;46.286;0;50.856;0;38.446;0;144.7;17:08.048;12:37;0:46.286;0:50.856;0:38.446;276.9; Chou-Yoshihiro;;
3;0;1;3:04.840;0;B;1:17.120;0;53.617;0;54.103;0;106.2;3:04.840;12:23;1:17.120;0:53.617;0:54.103;237.9;Kenan Chen;0:00:31;
3;0;2;3:20.711;0;;1:35.905;0;1:03.945;0;40.861;0;97.8;6:25.551;12:26;1:35.905;1:03.945;0:40.861;228.8;Kenan Chen;0:00:51;
3;0;3;2:13.822;2;;45.495;0;50.386;2;37.941;0;146.6;8:39.373;12:28;0:45.495;0:50.386;0:37.941;272.7;Kenan Chen;;
3;0;4;2:13.921;0;;45.695;0;50.408;0;37.818;2;146.5;10:53.294;12:30;0:45.695;0:50.408;0:37.818;273.4;Kenan Chen;;
3;0;5;2:26.854;0;B;45.447;2;50.741;0;50.666;0;133.6;13:20.148;12:33;0:45.447;0:50.741;0:50.666;240.0;Kenan Chen;;
36;0;1;2:50.345;0;;1:10.194;0;57.927;0;42.224;0;115.2;2:50.345;12:22;1:10.194;0:57.927;0:42.224;243.8;Han Lin;0:00:21;
36;0;2;2:24.709;0;;49.099;0;55.828;0;39.782;0;135.6;5:15.054;12:25;0:49.099;0:55.828;0:39.782;269.3;Han Lin;;
36;0;3;2:24.690;0;;49.066;0;55.242;0;40.382;0;135.6;7:39.744;12:27;0:49.066;0:55.242;0:40.382;268.7;Han Lin;;
36;0;4;2:21.430;0;;48.008;0;53.922;0;39.500;0;138.8;10:01.174;12:30;0:48.008;0:53.922;0:39.500;269.3;Han Lin;;
36;0;5;2:22.132;0;;47.763;0;55.185;0;39.184;2;138.1;12:23.306;12:32;0:47.763;0:55.185;0:39.184;271.4;Han Lin;;
36;0;6;2:19.366;0;;46.965;0;53.179;0;39.222;0;140.8;14:42.672;12:34;0:46.965;0:53.179;0:39.222;270.0;Han Lin;;
36;0;7;2:19.131;2;;46.761;2;52.649;2;39.721;0;141.0;17:01.803;12:37;0:46.761;0:52.649;0:39.721;274.8;Han Lin;;
37;0;1;2:31.521;0;B;53.243;0;51.876;0;46.402;0;129.5;2:31.521;12:22;0:53.243;0:51.876;0:46.402;254.1;Davide Rizzo;0:00:07;
37;0;2;3:13.010;0;;1:42.665;0;49.722;0;40.623;0;101.7;5:44.531;12:25;1:42.665;0:49.722;0:40.623;213.9;Davide Rizzo;0:01:01;
37;0;3;2:10.475;3;;44.272;0;48.949;2;37.254;3;150.4;7:55.006;12:27;0:44.272;0:48.949;0:37.254;276.2;Davide Rizzo;;
37;0;4;2:11.222;0;;44.170;3;49.041;0;38.011;0;149.5;10:06.228;12:30;0:44.170;0:49.041;0:38.011;276.9;Davide Rizzo;;
37;0;5;2:48.322;0;B;49.328;0;57.982;0;1:01.012;0;116.6;12:54.550;12:32;0:49.328;0:57.982;1:01.012;147.5;Davide Rizzo;;
38;0;1;2:41.244;0;;1:07.347;0;53.717;0;40.180;0;121.7;2:41.244;12:22;1:07.347;0:53.717;0:40.180;272.0; Chao-Lu;0:00:20;
38;0;2;2:15.963;0;;46.266;0;51.186;0;38.511;2;144.3;4:57.207;12:24;0:46.266;0:51.186;0:38.511;275.5; Chao-Lu;;
38;0;3;2:16.152;0;;46.156;0;51.003;0;38.993;0;144.1;7:13.359;12:27;0:46.156;0:51.003;0:38.993;274.8; Chao-Lu;;
38;0;4;2:15.579;0;;45.815;0;50.838;0;38.926;0;144.7;9:28.938;12:29;0:45.815;0:50.838;0:38.926;273.4; Chao-Lu;;
38;0;5;2:15.915;0;;45.735;2;51.266;0;38.914;0;144.4;11:44.853;12:31;0:45.735;0:51.266;0:38.914;275.5; Chao-Lu;;
38;0;6;2:15.252;2;;46.030;0;50.427;2;38.795;0;145.1;14:00.105;12:34;0:46.030;0:50.427;0:38.795;275.5; Chao-Lu;;
38;0;7;2:16.989;0;;46.800;0;51.456;0;38.733;0;143.2;16:17.094;12:36;0:46.800;0:51.456;0:38.733;275.5; Chao-Lu;;
6;0;1;2:44.933;0;B;1:00.279;0;54.654;0;50.000;0;119.0;2:44.933;12:22;1:00.279;0:54.654;0:50.000;176.2; Garbagnati-Indrasasana;0:00:12;
6;0;2;3:07.563;0;;1:37.450;0;51.520;0;38.593;0;104.6;5:52.496;12:25;1:37.450;0:51.520;0:38.593;272.7; Garbagnati-Indrasasana;0:00:54;
