NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;
1;1;1;2:15.697;0;B;51.646;0;51.290;0;32.761;0;156.3;2:15.697;08:57;0:51.646;0:51.290;0:32.761;260.2;André Lotterer;0:00:18;
1;1;2;9:18.017;0;;7:56.617;0;50.376;0;31.024;0;38.0;11:33.713;09:06;7:56.617;0:50.376;0:31.024;263.4;André Lotterer;0:07:28;
1;1;3;1:52.015;0;;35.898;0;46.525;0;29.592;0;189.3;13:25.728;09:08;0:35.898;0:46.525;0:29.592;270.0;André Lotterer;;
1;1;4;1:47.945;2;;33.102;0;45.471;0;29.372;0;196.4;15:13.673;09:10;0:33.102;0:45.471;0:29.372;270.0;André Lotterer;;
1;1;5;1:49.789;0;;32.974;0;45.617;0;31.198;0;193.1;17:03.462;09:12;0:32.974;0:45.617;0:31.198;268.0;André Lotterer;;
1;1;6;1:48.072;0;;32.783;3;45.239;2;30.050;0;196.2;18:51.534;09:13;0:32.783;0:45.239;0:30.050;271.4;André Lotterer;;
1;1;7;1:48.743;0;;33.250;0;46.262;0;29.231;2;195.0;20:40.277;09:15;0:33.250;0:46.262;0:29.231;269.3;André Lotterer;;
1;1;8;1:58.902;0;B;33.390;0;46.081;0;39.431;0;178.3;22:39.179;09:17;0:33.390;0:46.081;0:39.431;185.6;André Lotterer;;
12;0;1;2:36.092;0;;50.762;0;1:11.789;0;33.541;0;135.8;2:36.092;08:57;0:50.762;1:11.789;0:33.541;244.9;Nicolas Prost;0:00:16;
12;0;2;1:57.097;0;;36.810;0;49.186;0;31.101;0;181.1;4:33.189;08:59;0:36.810;0:49.186;0:31.101;260.2;Nicolas Prost;;
12;0;3;2:12.921;0;B;40.568;0;55.705;0;36.648;0;159.5;6:46.110;09:01;0:40.568;0:55.705;0:36.648;233.8;Nicolas Prost;;
12;0;4;4:32.553;0;;3:13.823;0;47.987;0;30.743;0;77.8;11:18.662;09:06;3:13.823;0:47.987;0:30.743;260.2;Nicolas Prost;0:02:44;
12;0;5;1:52.652;0;;34.794;0;47.317;0;30.541;0;188.2;13:11.314;09:08;0:34.794;0:47.317;0:30.541;262.8;Nicolas Prost;;
12;0;6;1:53.583;0;;34.609;0;47.369;0;31.605;0;186.7;15:04.897;09:10;0:34.609;0:47.369;0:31.605;261.5;Nicolas Prost;;
12;0;7;1:50.591;2;;33.655;2;47.003;2;29.933;2;191.7;16:55.488;09:11;0:33.655;0:47.003;0:29.933;262.1;Nicolas Prost;;
12;0;8;1:53.898;0;B;34.285;0;47.600;0;32.013;0;186.2;18:49.386;09:13;0:34.285;0:47.600;0:32.013;255.9;Nicolas Prost;;
12;1;9;3:23.644;0;;2:01.674;1;49.459;1;32.511;0;104.1;22:13.030;09:17;2:01.674;0:49.459;0:32.511;259.6;Neel Jani;0:01:28;
12;1;10;2:20.983;0;B;39.784;0;49.749;0;51.450;0;150.4;24:34.013;09:19;0:39.784;0:49.749;0:51.450;150.8;Neel Jani;;
13;1;1;2:39.282;0;;1:11.684;0;55.061;0;32.537;0;133.1;2:39.282;08:57;1:11.684;0:55.061;0:32.537;252.9;Harold Primat;0:00:32;
13;1;2;2:04.833;0;B;36.430;0;49.199;0;39.204;0;169.9;4:44.115;08:59;0:36.430;0:49.199;0:39.204;259.6;Harold Primat;;
13;1;3;6:31.402;0;;5:11.937;0;48.099;0;31.366;0;54.2;11:15.516;09:06;5:11.937;0:48.099;0:31.366;257.8;Harold Primat;0:04:40;
13;1;4;1:54.081;0;;34.991;0;48.378;0;30.712;0;185.9;13:09.597;09:08;0:34.991;0:48.378;0:30.712;260.9;Harold Primat;;
13;1;5;1:53.903;0;;34.612;0;48.071;0;31.220;0;186.2;15:03.500;09:10;0:34.612;0:48.071;0:31.220;252.3;Harold Primat;;
