NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;
1;0;1;2:05.837;0;;50.544;0;45.686;0;29.607;0;168.5;2:05.837;16:02;0:50.544;0:45.686;0:29.607;268.0;Marcel Fässler;;
1;0;2;1:46.748;0;;32.629;0;44.461;0;29.658;0;198.6;3:52.585;16:03;0:32.629;0:44.461;0:29.658;270.7;Marcel Fässler;;
1;0;3;1:48.590;0;;32.089;0;45.740;0;30.761;0;195.3;5:41.175;16:05;0:32.089;0:45.740;0:30.761;270.7;Marcel Fässler;;
1;0;4;1:50.521;0;;32.459;0;44.767;0;33.295;0;191.9;7:31.696;16:07;0:32.459;0:44.767;0:33.295;272.0;Marcel Fässler;;
1;0;5;1:48.274;0;;32.716;0;45.201;0;30.357;0;195.8;9:19.970;16:09;0:32.716;0:45.201;0:30.357;271.4;Marcel Fässler;;
1;0;6;1:50.390;0;;34.002;0;45.743;0;30.645;0;192.1;11:10.360;16:11;0:34.002;0:45.743;0:30.645;272.0;Marcel Fässler;;
1;0;7;1:46.978;0;;32.187;0;45.017;0;29.774;0;198.2;12:57.338;16:12;0:32.187;0:45.017;0:29.774;272.0;Marcel Fässler;;
1;0;8;1:49.349;0;;32.548;0;47.144;0;29.657;0;193.9;14:46.687;16:14;0:32.548;0:47.144;0:29.657;269.3;Marcel Fässler;;
1;0;9;1:45.614;0;B;32.113;0;44.173;0;29.328;2;200.8;16:32.301;16:16;0:32.113;0:44.173;0:29.328;274.1;Marcel Fässler;;
1;0;10;6:52.123;0;;5:37.177;0;45.257;0;29.689;0;51.5;23:24.424;16:23;5:37.177;0:45.257;0:29.689;271.4;Marcel Fässler;0:05:09;
1;0;11;1:46.023;0;;32.057;0;44.202;0;29.764;0;200.0;25:10.447;16:25;0:32.057;0:44.202;0:29.764;271.4;Marcel Fässler;;
1;0;12;1:48.259;0;;32.000;0;46.094;0;30.165;0;195.9;26:58.706;16:26;0:32.000;0:46.094;0:30.165;269.3;Marcel Fässler;;
1;0;13;1:46.525;0;;32.019;0;44.004;2;30.502;0;199.1;28:45.231;16:28;0:32.019;0:44.004;0:30.502;270.7;Marcel Fässler;;
1;0;14;1:46.054;0;;32.321;0;44.220;0;29.513;0;199.9;30:31.285;16:30;0:32.321;0:44.220;0:29.513;272.0;Marcel Fässler;;
1;0;15;1:45.859;2;;31.884;3;44.356;0;29.619;0;200.3;32:17.144;16:32;0:31.884;0:44.356;0:29.619;270.0;Marcel Fässler;;
1;0;16;1:47.814;0;;33.450;0;44.629;0;29.735;0;196.7;34:04.958;16:34;0:33.450;0:44.629;0:29.735;270.0;Marcel Fässler;;
1;0;17;1:47.321;0;B;33.038;0;44.625;0;29.658;0;197.6;35:52.279;16:35;0:33.038;0:44.625;0:29.658;268.7;Marcel Fässler;;
1;1;18;5:00.107;0;;3:44.754;0;45.385;0;29.968;0;70.7;40:52.386;16:40;3:44.754;0:45.385;0:29.968;268.0;André Lotterer;0:03:18;
1;1;19;1:48.910;0;;33.452;0;45.147;0;30.311;0;194.7;42:41.296;16:42;0:33.452;0:45.147;0:30.311;269.3;André Lotterer;;
1;1;20;1:46.829;0;;32.543;0;44.671;0;29.615;1;198.5;44:28.125;16:44;0:32.543;0:44.671;0:29.615;270.0;André Lotterer;;
1;1;21;1:47.167;0;;32.313;0;45.019;0;29.835;0;197.9;46:15.292;16:46;0:32.313;0:45.019;0:29.835;269.3;André Lotterer;;
1;1;22;1:47.343;0;;33.148;0;44.397;0;29.798;0;197.5;48:02.635;16:48;0:33.148;0:44.397;0:29.798;271.4;André Lotterer;;
1;1;23;1:49.134;0;;34.218;0;45.224;0;29.692;0;194.3;49:51.769;16:49;0:34.218;0:45.224;0:29.692;269.3;André Lotterer;;
