NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;
1;0;1;2:29.001;0;;44.601;0;1:07.654;0;36.746;0;169.2;2:29.001;16:24;0:44.601;1:07.654;0:36.746;253.5; Smithson;;
1;0;2;2:22.164;0;;40.465;0;1:05.587;0;36.112;0;177.4;4:51.165;16:26;0:40.465;1:05.587;0:36.112;259.6; Smithson;;
1;0;3;2:23.517;0;;41.081;0;1:04.865;0;37.571;0;175.7;7:14.682;16:29;0:41.081;1:04.865;0:37.571;257.1; Smithson;;
1;0;4;2:33.706;0;;41.458;0;1:07.209;0;45.039;0;164.0;9:48.388;16:31;0:41.458;1:07.209;0:45.039;248.8; Smithson;;
1;0;5;4:05.170;0;;1:33.150;0;1:37.793;0;54.227;0;102.8;13:53.558;16:36;1:33.150;1:37.793;0:54.227;106.4; Smithson;;
1;0;6;4:06.664;0;;1:34.026;0;1:37.797;0;54.841;0;102.2;18:00.222;16:40;1:34.026;1:37.797;0:54.841;71.3; Smithson;;
1;0;7;4:13.870;0;;1:44.368;0;1:31.849;0;57.653;0;99.3;22:14.092;16:44;1:44.368;1:31.849;0:57.653;78.5; Smithson;;
1;0;8;3:34.780;0;;1:05.472;0;1:28.978;0;1:00.330;0;117.4;25:48.872;16:47;1:05.472;1:28.978;1:00.330;162.7; Smithson;;
1;0;9;4:00.837;0;;2:19.826;0;1:05.440;0;35.571;0;104.7;29:49.709;16:51;2:19.826;1:05.440;0:35.571;234.3; Smithson;;
1;0;10;2:19.065;0;;39.378;0;1:03.418;0;36.269;0;181.3;32:08.774;16:54;0:39.378;1:03.418;0:36.269;262.8; Smithson;;
1;0;11;2:19.489;0;;39.758;0;1:03.351;0;36.380;0;180.8;34:28.263;16:56;0:39.758;1:03.351;0:36.380;262.1; Smithson;;
1;0;12;2:19.084;0;;39.731;0;1:03.531;0;35.822;0;181.3;36:47.347;16:58;0:39.731;1:03.531;0:35.822;259.0; Smithson;;
1;0;13;2:18.001;2;;39.241;0;1:03.246;2;35.514;2;182.7;39:05.348;17:01;0:39.241;1:03.246;0:35.514;261.5; Smithson;;
1;0;14;2:20.522;0;;39.233;2;1:04.826;0;36.463;0;179.4;41:25.870;17:03;0:39.233;1:04.826;0:36.463;263.4; Smithson;;
1;0;15;2:19.289;0;;39.667;0;1:03.715;0;35.907;0;181.0;43:45.159;17:05;0:39.667;1:03.715;0:35.907;260.2; Smithson;;
1;0;16;2:21.359;0;;39.409;0;1:05.168;0;36.782;0;178.4;46:06.518;17:08;0:39.409;1:05.168;0:36.782;264.1; Smithson;;
1;0;17;2:22.246;0;;41.131;0;1:04.683;0;36.432;0;177.3;48:28.764;17:10;0:41.131;1:04.683;0:36.432;259.0; Smithson;;
1;0;18;2:26.902;0;;42.875;0;1:06.075;0;37.952;0;171.6;50:55.666;17:13;0:42.875;1:06.075;0:37.952;254.7; Smithson;;
10;0;1;2:30.714;0;;45.170;0;1:08.478;0;37.066;0;167.3;2:30.714;16:24;0:45.170;1:08.478;0:37.066;233.3; Enestedt;;
10;0;2;2:23.992;2;;40.814;2;1:06.411;0;36.767;2;175.1;4:54.706;16:27;0:40.814;1:06.411;0:36.767;259.0; Enestedt;;
10;0;3;3:14.177;0;;40.828;0;1:06.339;0;1:27.010;0;129.9;8:08.883;16:30;0:40.828;1:06.339;1:27.010;259.0; Enestedt;;
10;0;4;3:04.216;0;;45.312;0;1:24.870;0;54.034;0;136.9;11:13.099;16:33;0:45.312;1:24.870;0:54.034;208.1; Enestedt;;
10;0;5;3:28.961;0;;1:21.364;0;1:16.923;0;50.674;0;120.7;14:42.060;16:36;1:21.364;1:16.923;0:50.674;179.4; Enestedt;;
10;0;6;3:48.963;0;;1:17.949;0;1:31.625;0;59.389;0;110.1;18:31.023;16:40;1:17.949;1:31.625;0:59.389;35.6; Enestedt;;
10;0;7;4:09.165;0;;1:47.051;0;1:23.140;0;58.974;0;101.2;22:40.188;16:44;1:47.051;1:23.140;0:58.974;35.5; Enestedt;;
10;0;8;3:35.133;0;;1:12.132;0;1:16.915;0;1:06.086;0;117.2;26:15.321;16:48;1:12.132;1:16.915;1:06.086;164.6; Enestedt;;
10;0;9;3:59.939;0;;2:14.956;0;1:07.339;0;37.644;0;105.1;30:15.260;16:52;2:14.956;1:07.339;0:37.644;235.8; Enestedt;;
10;0;10;2:27.548;0;;41.574;0;1:07.710;0;38.264;0;170.9;32:42.808;16:54;0:41.574;1:07.710;0:38.264;249.4; Enestedt;;
10;0;11;2:27.069;0;;42.039;0;1:06.687;0;38.343;0;171.4;35:09.877;16:57;0:42.039;1:06.687;0:38.343;210.1; Enestedt;;
10;0;12;2:27.435;0;;41.880;0;1:07.263;0;38.292;0;171.0;37:37.312;16:59;0:41.880;1:07.263;0:38.292;246.6; Enestedt;;
10;0;13;2:24.495;0;;41.223;0;1:06.074;0;37.198;0;174.5;40:01.807;17:02;0:41.223;1:06.074;0:37.198;256.5; Enestedt;;
10;0;14;2:24.975;0;;40.989;0;1:06.924;0;37.062;0;173.9;42:26.782;17:04;0:40.989;1:06.924;0:37.062;253.5; Enestedt;;
10;0;15;2:24.998;0;;41.387;0;1:06.054;2;37.557;0;173.9;44:51.780;17:07;0:41.387;1:06.054;0:37.557;256.5; Enestedt;;
