NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;
12;0;1;2:05.808;0;;;0;;0;;0;154.9;2:05.808;12:32;;;;;Salah SALAHUDDIN;;
12;0;2;2:37.474;0;;50.470;0;56.667;2;50.337;0;123.7;4:43.282;12:34;0:50.470;0:56.667;0:50.337;148.8;Salah SALAHUDDIN;;
12;0;3;2:37.112;2;;49.471;2;57.788;0;49.853;2;124.0;7:20.394;12:37;0:49.471;0:57.788;0:49.853;148.6;Salah SALAHUDDIN;;
2;0;1;2:26.901;0;;;0;;0;;0;132.6;2:26.901;12:32;;;;;Hamad AL-KHALIFA;;
2;0;2;7:30.887;0;;55.092;0;;0;;0;43.2;9:57.788;12:39;0:55.092;;;113.0;Hamad AL-KHALIFA;;
2;0;3;2:35.210;0;;49.768;0;56.269;0;49.173;0;125.5;12:32.998;12:42;0:49.768;0:56.269;0:49.173;153.1;Hamad AL-KHALIFA;;
2;0;4;2:34.124;0;;48.872;2;56.236;0;49.016;0;126.4;15:07.122;12:45;0:48.872;0:56.236;0:49.016;168.3;Hamad AL-KHALIFA;;
2;0;5;2:33.818;2;;49.006;0;56.222;2;48.590;2;126.7;17:40.940;12:47;0:49.006;0:56.222;0:48.590;171.5;Hamad AL-KHALIFA;;
20;0;1;2:16.372;0;;;0;;0;;0;142.9;2:16.372;12:32;;;;;Abdulaziz ASHKANANI;;
20;0;2;3:47.427;0;;57.011;0;1:56.105;0;54.311;0;85.7;6:03.799;12:36;0:57.011;1:56.105;0:54.311;152.4;Abdulaziz ASHKANANI;;
20;0;3;2:44.696;2;;53.512;0;59.323;2;51.861;2;118.3;8:48.495;12:38;0:53.512;0:59.323;0:51.861;143.0;Abdulaziz ASHKANANI;;
20;0;4;2:56.842;0;;1:01.527;0;1:03.019;0;52.296;0;110.2;11:45.337;12:41;1:01.527;1:03.019;0:52.296;141.8;Abdulaziz ASHKANANI;;
20;0;5;9:54.341;0;;51.974;2;;0;;0;32.8;21:39.678;12:51;0:51.974;;;154.4;Abdulaziz ASHKANANI;;
20;0;6;2:49.949;0;;54.714;0;1:01.308;0;53.927;0;114.6;24:29.627;12:54;0:54.714;1:01.308;0:53.927;146.8;Abdulaziz ASHKANANI;;
3;0;1;2:08.231;0;;;0;;0;;0;151.9;2:08.231;12:32;;;;;A.Rahman GHULOOM;;
3;0;2;2:49.529;0;;52.903;0;59.242;0;57.384;0;114.9;4:57.760;12:34;0:52.903;0:59.242;0:57.384;139.8;A.Rahman GHULOOM;;
3;0;3;2:36.956;0;;50.340;2;56.539;2;50.077;0;124.1;7:34.716;12:37;0:50.340;0:56.539;0:50.077;144.3;A.Rahman GHULOOM;;
3;0;4;2:36.593;2;;50.570;0;56.836;0;49.187;2;124.4;10:11.309;12:40;0:50.570;0:56.836;0:49.187;161.3;A.Rahman GHULOOM;;
4;0;1;2:24.466;0;;;0;;0;;0;134.9;2:24.466;12:32;;;;;Tim BIRKIN;;
4;0;2;2:56.221;0;;50.025;0;1:14.808;0;51.388;0;110.6;5:20.687;12:35;0:50.025;1:14.808;0:51.388;168.5;Tim BIRKIN;;
4;0;3;2:33.738;3;;49.142;0;56.302;2;48.294;3;126.7;7:54.425;12:37;0:49.142;0:56.302;0:48.294;165.2;Tim BIRKIN;;
4;0;4;5:48.328;0;;54.526;0;;0;;0;55.9;13:42.753;12:43;0:54.526;;;137.0;Tim BIRKIN;;
4;0;5;2:33.801;0;;48.767;0;56.422;0;48.612;0;126.7;16:16.554;12:46;0:48.767;0:56.422;0:48.612;160.3;Tim BIRKIN;;
5;0;1;2:05.158;0;;;0;;0;;0;155.7;2:05.158;12:32;;;;;Stephen KELLOGG;;
5;0;2;2:50.197;2;;54.610;0;1:01.315;2;54.272;0;114.5;4:55.355;12:34;0:54.610;1:01.315;0:54.272;124.1;Stephen KELLOGG;;
5;0;3;2:54.746;0;;54.456;2;1:05.009;0;55.281;0;111.5;7:50.101;12:37;0:54.456;1:05.009;0:55.281;142.8;Stephen KELLOGG;;
5;0;4;2:51.732;0;;55.376;0;1:02.157;0;54.199;2;113.5;10:41.833;12:40;0:55.376;1:02.157;0:54.199;152.0;Stephen KELLOGG;;
