NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;
1;0;1;21:14.901;0;;;0;;0;;0;15.3;21:14.901;14:51;;;;;Clemens SCHMID;;
1;0;2;2:07.179;0;;39.682;0;45.986;0;41.511;0;153.2;23:22.080;14:53;0:39.682;0:45.986;0:41.511;229.6;Clemens SCHMID;;
1;0;3;2:04.156;3;;39.228;3;45.253;3;39.675;0;156.9;25:26.236;14:55;0:39.228;0:45.253;0:39.675;245.2;Clemens SCHMID;;
1;0;4;2:04.163;0;;39.359;0;45.376;0;39.428;3;156.9;27:30.399;14:57;0:39.359;0:45.376;0:39.428;248.0;Clemens SCHMID;;
1;0;5;2:13.590;0;;39.300;0;45.286;0;49.004;0;145.8;29:43.989;14:59;0:39.300;0:45.286;0:49.004;244.6;Clemens SCHMID;;
11;0;1;17:40.365;0;;;0;;0;;0;18.4;17:40.365;14:47;;;;;Hasher AL MAKTOUM;;
11;0;2;2:22.969;0;;;0;;0;;0;136.3;20:03.334;14:50;;;;;Hasher AL MAKTOUM;;
11;0;3;2:06.337;0;;;0;;0;;0;154.2;22:09.671;14:52;;;;;Hasher AL MAKTOUM;;
11;0;4;2:04.816;2;;;0;;0;;0;156.1;24:14.487;14:54;;;;;Hasher AL MAKTOUM;;
11;0;5;2:04.847;0;;;0;;0;;0;156.1;26:19.334;14:56;;;;;Hasher AL MAKTOUM;;
11;0;6;2:05.057;0;;;0;;0;;0;155.8;28:24.391;14:58;;;;;Hasher AL MAKTOUM;;
13;0;1;7:25.236;0;;;0;;0;;0;43.8;7:25.236;14:37;;;;;Antonio GIANCOLA;;
13;0;2;2:10.436;0;;41.409;0;48.185;0;40.842;0;149.4;9:35.672;14:39;0:41.409;0:48.185;0:40.842;210.8;Antonio GIANCOLA;;
