NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;
1;2;1;2:15.165;0;;33.568;0;49.298;0;52.299;0;146.9;2:15.165;15:27;0:33.568;0:49.298;0:52.299;266.7;Marcel FÄSSLER;0:00:08;
1;2;2;2:06.484;0;;26.035;0;47.600;0;52.849;0;157.0;4:21.649;15:29;0:26.035;0:47.600;0:52.849;276.2;Marcel FÄSSLER;;
1;2;3;2:05.187;2;;25.768;2;47.267;2;52.152;0;158.6;6:26.836;15:31;0:25.768;0:47.267;0:52.152;276.2;Marcel FÄSSLER;;
1;2;4;2:05.592;0;;25.894;0;47.371;0;52.327;0;158.1;8:32.428;15:33;0:25.894;0:47.371;0:52.327;276.9;Marcel FÄSSLER;;
1;2;5;2:05.652;0;;25.792;0;47.786;0;52.074;2;158.0;10:38.080;15:35;0:25.792;0:47.786;0:52.074;250.0;Marcel FÄSSLER;;
1;2;6;2:10.150;0;B;25.850;0;47.354;0;56.946;0;152.6;12:48.230;15:37;0:25.850;0:47.354;0:56.946;279.8;Marcel FÄSSLER;;
12;1;1;6:15.842;0;;4:31.237;0;49.680;0;54.925;0;52.8;6:15.842;15:31;4:31.237;0:49.680;0:54.925;225.5;Nick HEIDFELD;0:04:05;
12;1;2;2:13.865;0;;26.460;0;49.684;0;57.721;0;148.3;8:29.707;15:33;0:26.460;0:49.684;0:57.721;246.6;Nick HEIDFELD;;
12;1;3;2:13.369;0;;26.096;2;49.490;0;57.783;0;148.9;10:43.076;15:35;0:26.096;0:49.490;0:57.783;198.5;Nick HEIDFELD;;
12;1;4;2:06.482;2;;26.112;0;47.980;2;52.390;2;157.0;12:49.558;15:37;0:26.112;0:47.980;0:52.390;273.4;Nick HEIDFELD;;
12;1;5;2:17.928;0;;27.230;0;52.087;0;58.611;0;144.0;15:07.486;15:40;0:27.230;0:52.087;0:58.611;275.5;Nick HEIDFELD;;
12;1;6;2:14.950;0;;26.283;0;48.178;0;1:00.489;0;147.1;17:22.436;15:42;0:26.283;0:48.178;1:00.489;276.2;Nick HEIDFELD;;
12;1;7;2:10.631;0;;26.948;0;49.340;0;54.343;0;152.0;19:33.067;15:44;0:26.948;0:49.340;0:54.343;264.7;Nick HEIDFELD;;
12;1;8;2:36.379;0;B;30.542;0;55.052;0;1:10.785;0;127.0;22:09.446;15:47;0:30.542;0:55.052;1:10.785;174.5;Nick HEIDFELD;;
2;2;1;2:25.211;0;;35.973;0;49.360;0;59.878;0;136.7;2:25.211;15:27;0:35.973;0:49.360;0:59.878;236.3;Allan McNISH;0:00:09;
2;2;2;2:04.423;0;;25.989;0;47.202;0;51.232;2;159.6;4:29.634;15:29;0:25.989;0:47.202;0:51.232;279.1;Allan McNISH;;
2;2;3;2:06.206;0;;26.919;0;47.731;0;51.556;0;157.3;6:35.840;15:31;0:26.919;0:47.731;0:51.556;276.2;Allan McNISH;;
2;2;4;2:04.067;2;;25.712;0;46.950;2;51.405;0;160.1;8:39.907;15:33;0:25.712;0:46.950;0:51.405;277.6;Allan McNISH;;
2;2;5;2:05.445;0;;25.664;0;47.675;0;52.106;0;158.3;10:45.352;15:35;0:25.664;0:47.675;0:52.106;279.1;Allan McNISH;;
2;2;6;2:05.105;0;;25.650;2;47.314;0;52.141;0;158.7;12:50.457;15:37;0:25.650;0:47.314;0:52.141;274.8;Allan McNISH;;
2;2;7;2:11.255;0;;26.870;0;51.869;0;52.516;0;151.3;15:01.712;15:40;0:26.870;0:51.869;0:52.516;228.8;Allan McNISH;;
2;2;8;2:10.739;0;B;27.394;0;47.688;0;55.657;0;151.9;17:12.451;15:42;0:27.394;0:47.688;0:55.657;270.7;Allan McNISH;;
2;2;9;4:07.164;0;;2:17.824;0;52.702;0;56.638;0;80.3;21:19.615;15:46;2:17.824;0:52.702;0:56.638;252.3;Allan McNISH;0:01:54;
2;2;10;2:37.654;0;B;31.196;0;52.479;0;1:13.979;0;126.0;23:57.269;15:48;0:31.196;0:52.479;1:13.979;184.6;Allan McNISH;;
24;0;1;7:46.107;0;;5:55.675;0;51.674;0;58.758;0;42.6;7:46.107;15:32;5:55.675;0:51.674;0:58.758;237.4;Olivier PLA;0:05:30;
24;0;2;2:12.023;2;;27.391;2;50.933;0;53.699;2;150.4;9:58.130;15:34;0:27.391;0:50.933;0:53.699;251.7;Olivier PLA;;
24;0;3;2:12.853;0;;27.523;0;51.069;0;54.261;0;149.5;12:10.983;15:37;0:27.523;0:51.069;0:54.261;258.4;Olivier PLA;;
24;0;4;2:16.541;0;B;27.656;0;50.709;0;58.176;0;145.4;14:27.524;15:39;0:27.656;0:50.709;0:58.176;260.2;Olivier PLA;;
24;0;5;4:20.840;0;;2:34.796;0;50.273;2;55.771;0;76.1;18:48.364;15:43;2:34.796;0:50.273;0:55.771;251.2;Olivier PLA;0:02:12;
24;0;6;2:13.658;0;;27.851;0;50.546;0;55.261;0;148.6;21:02.022;15:46;0:27.851;0:50.546;0:55.261;254.7;Olivier PLA;;
24;0;7;2:23.255;0;B;29.043;0;51.952;0;1:02.260;0;138.6;23:25.277;15:48;0:29.043;0:51.952;1:02.260;230.8;Olivier PLA;;
25;2;1;15:29.635;0;;13:32.649;0;57.139;0;59.847;0;21.4;15:29.635;15:40;13:32.649;0:57.139;0:59.847;202.6;Rudy JUNCO;0:12:46;
25;2;2;2:21.973;2;;30.101;2;54.379;2;57.493;2;139.9;17:51.608;15:42;0:30.101;0:54.379;0:57.493;221.3;Rudy JUNCO;;
25;2;3;2:34.685;0;B;31.578;0;55.430;0;1:07.677;0;128.4;20:26.293;15:45;0:31.578;0:55.430;1:07.677;222.7;Rudy JUNCO;;
26;1;1;2:51.433;0;;1:01.009;0;53.509;0;56.915;0;115.8;2:51.433;15:27;1:01.009;0:53.509;0:56.915;207.7;John MARTIN;0:00:34;
26;1;2;2:14.746;0;;28.376;0;51.093;0;55.277;0;147.4;5:06.179;15:30;0:28.376;0:51.093;0:55.277;243.8;John MARTIN;;
26;1;3;2:15.145;0;;28.088;0;51.441;0;55.616;0;146.9;7:21.324;15:32;0:28.088;0:51.441;0:55.616;247.7;John MARTIN;;
26;1;4;2:23.612;0;B;29.332;0;52.255;0;1:02.025;0;138.3;9:44.936;15:34;0:29.332;0:52.255;1:02.025;214.3;John MARTIN;;
26;1;5;3:31.671;0;;1:41.603;0;52.503;0;57.565;0;93.8;13:16.607;15:38;1:41.603;0:52.503;0:57.565;217.7;John MARTIN;0:01:17;
26;1;6;2:12.105;0;;27.979;0;49.991;0;54.135;0;150.3;15:28.712;15:40;0:27.979;0:49.991;0:54.135;252.3;John MARTIN;;
26;1;7;2:10.989;2;;27.352;2;49.582;2;54.055;2;151.6;17:39.701;15:42;0:27.352;0:49.582;0:54.055;220.9;John MARTIN;;
26;1;8;2:18.299;0;B;28.624;0;50.858;0;58.817;0;143.6;19:58.000;15:44;0:28.624;0:50.858;0:58.817;254.7;John MARTIN;;
31;1;1;3:06.677;0;;1:17.248;0;52.799;0;56.630;0;106.4;3:06.677;15:28;1:17.248;0:52.799;0:56.630;229.3;Vitantonio LIUZZI;0:00:48;
31;1;2;2:15.299;0;;28.151;0;51.479;0;55.669;0;146.8;5:21.976;15:30;0:28.151;0:51.479;0:55.669;251.2;Vitantonio LIUZZI;;
31;1;3;2:22.618;0;B;29.295;0;53.693;0;59.630;0;139.2;7:44.594;15:32;0:29.295;0:53.693;0:59.630;245.5;Vitantonio LIUZZI;;
31;1;4;4:49.175;0;;2:58.298;0;52.378;0;58.499;0;68.7;12:33.769;15:37;2:58.298;0:52.378;0:58.499;248.3;Vitantonio LIUZZI;0:02:31;
31;1;5;2:14.459;2;;27.916;2;50.946;2;55.597;2;147.7;14:48.228;15:39;0:27.916;0:50.946;0:55.597;252.9;Vitantonio LIUZZI;;
31;1;6;2:21.825;0;B;29.292;0;51.664;0;1:00.869;0;140.0;17:10.053;15:42;0:29.292;0:51.664;1:00.869;254.1;Vitantonio LIUZZI;;
31;0;7;7:14.605;0;B;4:54.712;1;1:04.725;1;1:15.168;1;45.7;24:24.658;15:49;4:54.712;1:04.725;1:15.168;159.1;Kevin WEEDA;0:04:21;
32;0;1;3:35.816;0;;1:46.146;0;53.834;0;55.836;0;92.0;3:35.816;15:28;1:46.146;0:53.834;0:55.836;207.3;Thomas HOLZER;0:01:18;
32;0;2;2:16.461;0;;28.096;2;51.249;0;57.116;0;145.5;5:52.277;15:30;0:28.096;0:51.249;0:57.116;250.0;Thomas HOLZER;;
32;0;3;2:15.043;2;;28.792;0;51.071;2;55.180;2;147.0;8:07.320;15:33;0:28.792;0:51.071;0:55.180;252.3;Thomas HOLZER;;
32;0;4;2:20.072;0;B;28.512;0;52.165;0;59.395;0;141.8;10:27.392;15:35;0:28.512;0:52.165;0:59.395;223.1;Thomas HOLZER;;
32;0;5;7:16.930;0;;5:25.843;0;52.883;0;58.204;0;45.4;17:44.322;15:42;5:25.843;0:52.883;0:58.204;210.1;Thomas HOLZER;0:05:02;
32;0;6;2:16.443;0;;28.546;0;51.674;0;56.223;0;145.5;20:00.765;15:45;0:28.546;0:51.674;0:56.223;224.5;Thomas HOLZER;;
32;0;7;2:32.911;0;B;30.555;0;54.791;0;1:07.565;0;129.9;22:33.676;15:47;0:30.555;0:54.791;1:07.565;168.2;Thomas HOLZER;;
