NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;
1;2;1;1:44.007;0;;32.027;0;27.508;0;44.472;0;157.9;1:44.007;15:31;0:32.027;0:27.508;0:44.472;155.6;Marcel FÄSSLER;0:00:14;
1;2;2;1:28.263;0;;19.973;0;26.257;0;42.033;3;186.1;3:12.270;15:33;0:19.973;0:26.257;0:42.033;287.2;Marcel FÄSSLER;;
1;2;3;1:28.647;0;;20.174;0;26.218;0;42.255;0;185.3;4:40.917;15:34;0:20.174;0:26.218;0:42.255;288.8;Marcel FÄSSLER;;
1;2;4;1:28.752;0;;19.875;0;26.136;0;42.741;0;185.1;6:09.669;15:36;0:19.875;0:26.136;0:42.741;290.3;Marcel FÄSSLER;;
1;2;5;1:28.153;0;;19.784;0;25.952;0;42.417;0;186.3;7:37.822;15:37;0:19.784;0:25.952;0:42.417;288.8;Marcel FÄSSLER;;
1;2;6;1:27.981;0;;19.862;0;25.905;0;42.214;0;186.7;9:05.803;15:39;0:19.862;0:25.905;0:42.214;291.1;Marcel FÄSSLER;;
1;2;7;1:28.108;0;;19.741;0;26.030;0;42.337;0;186.4;10:33.911;15:40;0:19.741;0:26.030;0:42.337;291.9;Marcel FÄSSLER;;
1;2;8;1:29.862;0;;19.784;0;25.746;2;44.332;0;182.8;12:03.773;15:42;0:19.784;0:25.746;0:44.332;289.5;Marcel FÄSSLER;;
1;2;9;1:29.658;0;;19.908;0;27.443;0;42.307;0;183.2;13:33.431;15:43;0:19.908;0:27.443;0:42.307;288.8;Marcel FÄSSLER;;
1;2;10;1:28.135;0;;19.871;0;26.169;0;42.095;0;186.4;15:01.566;15:45;0:19.871;0:26.169;0:42.095;288.8;Marcel FÄSSLER;;
1;2;11;1:29.098;0;;19.768;0;26.840;0;42.490;0;184.4;16:30.664;15:46;0:19.768;0:26.840;0:42.490;291.1;Marcel FÄSSLER;;
1;2;12;1:28.500;0;;19.958;0;25.789;0;42.753;0;185.6;17:59.164;15:47;0:19.958;0:25.789;0:42.753;290.3;Marcel FÄSSLER;;
1;2;13;1:28.706;0;;19.956;0;26.416;0;42.334;0;185.2;19:27.870;15:49;0:19.956;0:26.416;0:42.334;292.7;Marcel FÄSSLER;;
1;2;14;1:29.214;0;;19.819;0;25.792;0;43.603;0;184.1;20:57.084;15:50;0:19.819;0:25.792;0:43.603;290.3;Marcel FÄSSLER;;
1;2;15;1:28.967;0;;19.733;0;25.817;0;43.417;0;184.6;22:26.051;15:52;0:19.733;0:25.817;0:43.417;290.3;Marcel FÄSSLER;;
1;2;16;1:29.757;0;;19.684;2;26.744;0;43.329;0;183.0;23:55.808;15:53;0:19.684;0:26.744;0:43.329;291.1;Marcel FÄSSLER;;
1;2;17;1:29.396;0;;19.859;0;27.325;0;42.212;0;183.8;25:25.204;15:55;0:19.859;0:27.325;0:42.212;290.3;Marcel FÄSSLER;;
1;2;18;1:28.734;0;;19.823;0;26.664;0;42.247;0;185.1;26:53.938;15:56;0:19.823;0:26.664;0:42.247;289.5;Marcel FÄSSLER;;
1;2;19;1:29.040;0;;20.100;0;25.802;0;43.138;0;184.5;28:22.978;15:58;0:20.100;0:25.802;0:43.138;272.7;Marcel FÄSSLER;;
1;2;20;1:29.432;0;;19.902;0;26.040;0;43.490;0;183.7;29:52.410;15:59;0:19.902;0:26.040;0:43.490;264.7;Marcel FÄSSLER;;
1;2;21;1:29.505;0;;19.754;0;27.137;0;42.614;0;183.5;31:21.915;16:01;0:19.754;0:27.137;0:42.614;276.2;Marcel FÄSSLER;;
1;2;22;1:30.953;0;;19.804;0;26.705;0;44.444;0;180.6;32:52.868;16:02;0:19.804;0:26.705;0:44.444;265.4;Marcel FÄSSLER;;
1;2;23;1:28.973;0;;19.863;0;26.207;0;42.903;0;184.6;34:21.841;16:04;0:19.863;0:26.207;0:42.903;273.4;Marcel FÄSSLER;;
1;2;24;1:28.135;0;;20.012;0;25.890;0;42.233;0;186.4;35:49.976;16:05;0:20.012;0:25.890;0:42.233;291.9;Marcel FÄSSLER;;
1;2;25;1:31.062;0;;19.945;0;27.471;0;43.646;0;180.4;37:21.038;16:07;0:19.945;0:27.471;0:43.646;291.9;Marcel FÄSSLER;;
1;2;26;1:28.695;0;;19.757;0;26.446;0;42.492;0;185.2;38:49.733;16:08;0:19.757;0:26.446;0:42.492;291.9;Marcel FÄSSLER;;
1;2;27;1:28.264;0;;20.228;0;25.815;0;42.221;0;186.1;40:17.997;16:10;0:20.228;0:25.815;0:42.221;291.1;Marcel FÄSSLER;;
1;2;28;1:27.865;2;;19.748;0;25.930;0;42.187;0;187.0;41:45.862;16:11;0:19.748;0:25.930;0:42.187;291.1;Marcel FÄSSLER;;
1;2;29;1:34.915;0;B;20.411;0;26.333;0;48.171;0;173.1;43:20.777;16:13;0:20.411;0:26.333;0:48.171;291.9;Marcel FÄSSLER;;
1;2;30;3:04.057;0;;1:53.467;0;27.017;0;43.573;0;89.2;46:24.834;16:16;1:53.467;0:27.017;0:43.573;157.9;Marcel FÄSSLER;0:01:38;
1;2;31;1:30.153;0;;20.026;0;26.923;0;43.204;0;182.2;47:54.987;16:17;0:20.026;0:26.923;0:43.204;288.8;Marcel FÄSSLER;;
1;2;32;1:30.928;0;;19.967;0;27.158;0;43.803;0;180.7;49:25.915;16:19;0:19.967;0:27.158;0:43.803;290.3;Marcel FÄSSLER;;
1;2;33;1:30.123;0;;20.208;0;26.174;0;43.741;0;182.3;50:56.038;16:20;0:20.208;0:26.174;0:43.741;294.3;Marcel FÄSSLER;;
1;2;34;1:30.741;0;;20.586;0;26.277;0;43.878;0;181.0;52:26.779;16:22;0:20.586;0:26.277;0:43.878;291.9;Marcel FÄSSLER;;
1;2;35;1:33.391;0;B;19.915;0;26.210;0;47.266;0;175.9;54:00.170;16:24;0:19.915;0:26.210;0:47.266;290.3;Marcel FÄSSLER;;
1;0;36;2:27.403;0;;1:15.549;0;28.162;0;43.692;0;111.4;56:27.573;16:26;1:15.549;0:28.162;0:43.692;164.6;André LOTTERER;0:01:00;
1;0;37;1:29.893;0;;20.155;0;26.504;0;43.234;0;182.7;57:57.466;16:27;0:20.155;0:26.504;0:43.234;291.9;André LOTTERER;;
1;0;38;1:30.892;0;;20.103;0;26.931;0;43.858;0;180.7;59:28.358;16:29;0:20.103;0:26.931;0:43.858;291.9;André LOTTERER;;
1;0;39;1:30.499;0;;20.064;0;26.488;0;43.947;0;181.5;1:00:58.857;16:30;0:20.064;0:26.488;0:43.947;293.5;André LOTTERER;;
1;0;40;1:34.840;0;B;20.077;0;26.361;0;48.402;0;173.2;1:02:33.697;16:32;0:20.077;0:26.361;0:48.402;291.9;André LOTTERER;;
1;0;41;4:37.941;0;;3:27.275;0;27.269;0;43.397;0;59.1;1:07:11.638;16:37;3:27.275;0:27.269;0:43.397;154.1;André LOTTERER;0:03:11;
1;0;42;1:30.218;0;;20.269;0;26.454;0;43.495;0;182.1;1:08:41.856;16:38;0:20.269;0:26.454;0:43.495;291.1;André LOTTERER;;
1;0;43;1:29.525;0;;19.920;0;26.319;0;43.286;0;183.5;1:10:11.381;16:40;0:19.920;0:26.319;0:43.286;289.5;André LOTTERER;;
1;0;44;1:29.122;0;;19.921;0;26.234;1;42.967;1;184.3;1:11:40.503;16:41;0:19.921;0:26.234;0:42.967;290.3;André LOTTERER;;
1;0;45;1:29.676;0;;19.947;0;26.438;0;43.291;0;183.2;1:13:10.179;16:43;0:19.947;0:26.438;0:43.291;279.8;André LOTTERER;;
1;0;46;1:30.157;0;;19.876;1;26.361;0;43.920;0;182.2;1:14:40.336;16:44;0:19.876;0:26.361;0:43.920;293.5;André LOTTERER;;
1;0;47;1:37.377;0;B;20.060;0;26.876;0;50.441;0;168.7;1:16:17.713;16:46;0:20.060;0:26.876;0:50.441;291.1;André LOTTERER;;
1;1;48;2:31.148;0;;1:18.046;0;28.399;0;44.703;0;108.7;1:18:48.861;16:48;1:18.046;0:28.399;0:44.703;161.0;Benoit TRÉLUYER;0:01:02;
1;1;49;1:32.405;0;;20.206;0;28.475;0;43.724;0;177.8;1:20:21.266;16:50;0:20.206;0:28.475;0:43.724;281.2;Benoit TRÉLUYER;;
