NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;
1;0;1;36:55.988;0;;35:45.805;0;27.529;0;42.654;0;7.4;36:55.988;13:56;35:45.805;0:27.529;0:42.654;78.3;André LOTTERER;0:35:21;
1;0;2;1:26.481;0;;19.669;0;25.529;0;41.283;3;189.9;38:22.469;13:58;0:19.669;0:25.529;0:41.283;288.0;André LOTTERER;;
1;0;3;1:26.235;3;;19.441;2;25.367;2;41.427;0;190.5;39:48.704;13:59;0:19.441;0:25.367;0:41.427;290.3;André LOTTERER;;
1;0;4;1:41.085;0;B;22.527;0;30.221;0;48.337;0;162.5;41:29.789;14:01;0:22.527;0:30.221;0:48.337;238.4;André LOTTERER;;
1;1;5;2:36.816;0;;1:26.273;0;27.490;0;43.053;0;104.8;44:06.605;14:04;1:26.273;0:27.490;0:43.053;161.0;Benoit TRÉLUYER;0:01:10;
1;1;6;1:27.803;0;;19.720;0;25.790;0;42.293;0;187.1;45:34.408;14:05;0:19.720;0:25.790;0:42.293;288.8;Benoit TRÉLUYER;;
1;1;7;1:26.900;0;;19.542;0;25.535;0;41.823;0;189.0;47:01.308;14:07;0:19.542;0:25.535;0:41.823;289.5;Benoit TRÉLUYER;;
1;1;8;1:26.692;0;;19.536;1;25.422;1;41.734;1;189.5;48:28.000;14:08;0:19.536;0:25.422;0:41.734;291.1;Benoit TRÉLUYER;;
1;1;9;1:41.855;0;B;19.597;0;28.171;0;54.087;0;161.3;50:09.855;14:10;0:19.597;0:28.171;0:54.087;291.9;Benoit TRÉLUYER;;
12;0;1;38:18.065;0;;37:04.571;0;28.263;0;45.231;0;7.1;38:18.065;13:58;37:04.571;0:28.263;0:45.231;92.4;Andrea BELICCHI;0:36:42;
12;0;2;1:28.968;0;;20.009;0;26.436;0;42.523;2;184.6;39:47.033;13:59;0:20.009;0:26.436;0:42.523;285.7;Andrea BELICCHI;;
12;0;3;1:28.964;2;;19.957;0;26.335;2;42.672;0;184.6;41:15.997;14:01;0:19.957;0:26.335;0:42.672;287.2;Andrea BELICCHI;;
12;0;4;1:40.640;0;B;19.925;2;26.622;0;54.093;0;163.2;42:56.637;14:02;0:19.925;0:26.622;0:54.093;288.0;Andrea BELICCHI;;
12;1;5;3:31.731;0;;2:20.278;0;27.439;0;44.014;0;77.6;46:28.368;14:06;2:20.278;0:27.439;0:44.014;141.9;Mathias BECHE;0:02:04;
12;1;6;1:29.532;0;;20.158;0;26.586;0;42.788;1;183.5;47:57.900;14:07;0:20.158;0:26.586;0:42.788;285.0;Mathias BECHE;;
12;1;7;1:30.601;0;;19.980;1;26.391;0;44.230;0;181.3;49:28.501;14:09;0:19.980;0:26.391;0:44.230;287.2;Mathias BECHE;;
12;1;8;1:29.539;0;;19.981;0;26.375;1;43.183;0;183.5;50:58.040;14:10;0:19.981;0:26.375;0:43.183;287.2;Mathias BECHE;;
12;1;9;1:46.274;0;;22.540;0;34.623;0;49.111;0;154.6;52:44.314;14:12;0:22.540;0:34.623;0:49.111;255.9;Mathias BECHE;;
12;1;10;1:43.355;0;B;20.110;0;26.602;0;56.643;0;158.9;54:27.669;14:14;0:20.110;0:26.602;0:56.643;287.2;Mathias BECHE;;
2;2;1;36:42.402;0;;35:32.742;0;26.857;0;42.803;0;7.5;36:42.402;13:56;35:32.742;0:26.857;0:42.803;128.6;Allan McNISH;0:35:12;
