NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;
1;0;1;2:58.408;0;;38.429;0;58.977;0;1:21.002;0;92.1;2:58.408;10:59;0:38.429;0:58.977;1:21.002;138.1;André LOTTERER;;
1;0;2;2:46.512;0;;42.146;0;50.812;0;1:13.554;0;98.7;5:44.920;11:02;0:42.146;0:50.812;1:13.554;95.0;André LOTTERER;;
1;0;3;2:41.723;0;;38.507;0;49.583;0;1:13.633;0;101.6;8:26.643;11:05;0:38.507;0:49.583;1:13.633;86.2;André LOTTERER;;
1;0;4;2:41.142;0;;38.533;0;50.607;0;1:12.002;0;101.9;11:07.785;11:08;0:38.533;0:50.607;1:12.002;130.0;André LOTTERER;;
1;0;5;2:40.231;0;;38.397;0;49.846;0;1:11.988;0;102.5;13:48.016;11:10;0:38.397;0:49.846;1:11.988;93.5;André LOTTERER;;
1;0;6;2:40.153;0;;37.876;0;49.569;0;1:12.708;0;102.6;16:28.169;11:13;0:37.876;0:49.569;1:12.708;91.3;André LOTTERER;;
1;0;7;2:43.093;0;;39.162;0;47.050;0;1:16.881;0;100.7;19:11.262;11:16;0:39.162;0:47.050;1:16.881;117.1;André LOTTERER;;
1;0;8;3:22.985;0;;43.307;0;55.028;0;1:44.650;0;80.9;22:34.247;11:19;0:43.307;0:55.028;1:44.650;77.8;André LOTTERER;;
1;0;9;2:13:21.872;0;B;2:11:01.926;0;1:01.726;0;1:18.220;0;2.1;2:35:56.111;13:32;2:11:01.926;1:01.726;1:18.220;69.8;André LOTTERER;;
1;0;10;3:42.933;0;;1:32.882;0;46.462;0;1:23.589;0;73.7;2:39:39.044;13:36;1:32.882;0:46.462;1:23.589;134.8;André LOTTERER;0:01:13;
1;0;11;2:43.712;0;B;33.488;0;48.187;0;1:22.037;0;100.3;2:42:22.756;13:39;0:33.488;0:48.187;1:22.037;133.5;André LOTTERER;;
1;0;12;3:31.827;0;;2:05.749;0;35.711;0;50.367;3;77.5;2:45:54.583;13:42;2:05.749;0:35.711;0:50.367;145.2;André LOTTERER;0:01:46;
1;0;13;2:04.228;0;B;24.350;0;35.673;0;1:04.205;0;132.2;2:47:58.811;13:45;0:24.350;0:35.673;1:04.205;189.8;André LOTTERER;;
1;0;14;3:40.586;0;;2:11.299;0;38.084;0;51.203;0;74.5;2:51:39.397;13:48;2:11.299;0:38.084;0:51.203;130.0;André LOTTERER;0:01:51;
1;0;15;2:04.095;3;;23.436;3;35.364;3;1:05.295;0;132.4;2:53:43.492;13:50;0:23.436;0:35.364;1:05.295;227.8;André LOTTERER;;
1;0;16;4:11.435;0;;45.722;0;50.314;0;2:35.399;0;65.3;2:57:54.927;13:54;0:45.722;0:50.314;2:35.399;114.8;André LOTTERER;;
12;0;1;3:03.426;0;;44.046;0;56.459;0;1:22.921;0;89.6;3:03.426;11:00;0:44.046;0:56.459;1:22.921;118.8;Andrea BELICCHI;;
12;0;2;2:46.914;0;;40.780;0;50.760;0;1:15.374;0;98.4;5:50.340;11:02;0:40.780;0:50.760;1:15.374;99.0;Andrea BELICCHI;;
12;0;3;2:39.192;2;;37.959;2;50.199;0;1:11.034;0;103.2;8:29.532;11:05;0:37.959;0:50.199;1:11.034;83.4;Andrea BELICCHI;;
12;0;4;2:40.977;0;;40.167;0;49.341;2;1:11.469;0;102.0;11:10.509;11:08;0:40.167;0:49.341;1:11.469;99.2;Andrea BELICCHI;;
12;0;5;2:40.022;0;;39.627;0;50.410;0;1:09.985;2;102.7;13:50.531;11:10;0:39.627;0:50.410;1:09.985;102.5;Andrea BELICCHI;;
12;0;6;2:40.445;0;;39.733;0;49.414;0;1:11.298;0;102.4;16:30.976;11:13;0:39.733;0:49.414;1:11.298;109.0;Andrea BELICCHI;;
12;0;7;2:43.850;0;;38.920;0;49.433;0;1:15.497;0;100.3;19:14.826;11:16;0:38.920;0:49.433;1:15.497;113.9;Andrea BELICCHI;;
12;0;8;3:28.374;0;;42.521;0;54.704;0;1:51.149;0;78.8;22:43.200;11:19;0:42.521;0:54.704;1:51.149;108.8;Andrea BELICCHI;;
12;0;9;2:13:19.723;0;;2:10:57.787;0;1:00.624;0;1:21.312;0;2.1;2:36:02.915;13:33;2:10:57.787;1:00.624;1:21.312;103.0;Andrea BELICCHI;;
12;0;10;2:54.601;0;;46.181;0;53.244;0;1:15.176;0;94.1;2:38:57.516;13:35;0:46.181;0:53.244;1:15.176;85.9;Andrea BELICCHI;;
12;0;11;2:50.761;0;;41.563;0;52.573;0;1:16.625;0;96.2;2:41:48.277;13:38;0:41.563;0:52.573;1:16.625;94.6;Andrea BELICCHI;;
12;0;12;2:47.632;0;;39.942;0;52.371;0;1:15.319;0;98.0;2:44:35.909;13:41;0:39.942;0:52.371;1:15.319;114.5;Andrea BELICCHI;;
12;0;13;2:47.766;0;;40.646;0;52.738;0;1:14.382;0;97.9;2:47:23.675;13:44;0:40.646;0:52.738;1:14.382;129.2;Andrea BELICCHI;;
12;0;14;2:48.869;0;;40.621;0;52.597;0;1:15.651;0;97.3;2:50:12.544;13:47;0:40.621;0:52.597;1:15.651;98.9;Andrea BELICCHI;;
12;0;15;2:47.668;0;;40.972;0;51.762;0;1:14.934;0;98.0;2:53:00.212;13:50;0:40.972;0:51.762;1:14.934;107.1;Andrea BELICCHI;;
12;0;16;3:09.437;0;;42.317;0;52.136;0;1:34.984;0;86.7;2:56:09.649;13:53;0:42.317;0:52.136;1:34.984;93.3;Andrea BELICCHI;;
