NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;
0;0;1;3:24.704;0;;1:59.608;0;1:00.628;0;24.468;0;75.8;3:24.704;12:58;1:59.608;1:00.628;0:24.468;;Constantino JUNIOR;;
0;0;2;1:44.519;0;;25.817;0;55.060;0;23.642;0;148.4;5:09.223;13:00;0:25.817;0:55.060;0:23.642;249.4;Constantino JUNIOR;;
0;0;3;1:39.534;0;;24.670;0;51.592;0;23.272;0;155.9;6:48.757;13:01;0:24.670;0:51.592;0:23.272;252.3;Constantino JUNIOR;;
0;0;4;1:38.913;2;;24.661;0;51.072;2;23.180;2;156.8;8:27.670;13:03;0:24.661;0:51.072;0:23.180;252.9;Constantino JUNIOR;;
0;0;5;2:15.725;0;B;32.693;0;1:04.615;0;38.417;0;114.3;10:43.395;13:05;0:32.693;1:04.615;0:38.417;246.6;Constantino JUNIOR;;
0;0;6;4:00.104;0;;2:41.244;0;55.354;0;23.506;0;64.6;14:43.499;13:09;2:41.244;0:55.354;0:23.506;;Constantino JUNIOR;0:02:19;
0;0;7;1:39.103;0;;24.633;2;51.170;0;23.300;0;156.5;16:22.602;13:11;0:24.633;0:51.170;0:23.300;252.3;Constantino JUNIOR;;
0;0;8;1:39.229;0;;24.717;0;51.202;0;23.310;0;156.3;18:01.831;13:13;0:24.717;0:51.202;0:23.310;252.9;Constantino JUNIOR;;
0;0;9;2:17.183;0;B;30.213;0;1:02.604;0;44.366;0;113.1;20:19.014;13:15;0:30.213;1:02.604;0:44.366;250.6;Constantino JUNIOR;;
10;0;1;2:44.305;0;;1:25.885;0;54.747;0;23.673;0;94.4;2:44.305;12:57;1:25.885;0:54.747;0:23.673;;Adalberto BAPTISTA;;
10;0;2;1:44.212;0;;25.311;0;55.279;0;23.622;0;148.9;4:28.517;12:59;0:25.311;0:55.279;0:23.622;247.7;Adalberto BAPTISTA;;
10;0;3;1:40.985;0;;25.074;0;52.362;0;23.549;0;153.6;6:09.502;13:01;0:25.074;0:52.362;0:23.549;249.4;Adalberto BAPTISTA;;
10;0;4;1:41.034;0;;25.136;0;52.314;0;23.584;0;153.5;7:50.536;13:02;0:25.136;0:52.314;0:23.584;250.0;Adalberto BAPTISTA;;
10;0;5;1:40.405;2;;24.911;0;52.009;2;23.485;2;154.5;9:30.941;13:04;0:24.911;0:52.009;0:23.485;250.6;Adalberto BAPTISTA;;
10;0;6;2:05.949;0;B;24.842;2;55.912;0;45.195;0;123.2;11:36.890;13:06;0:24.842;0:55.912;0:45.195;249.4;Adalberto BAPTISTA;;
10;0;7;6:56.115;0;;5:37.291;0;55.097;0;23.727;0;37.3;18:33.005;13:13;5:37.291;0:55.097;0:23.727;;Adalberto BAPTISTA;0:05:18;
10;0;8;1:40.729;0;;24.960;0;52.237;0;23.532;0;154.0;20:13.734;13:15;0:24.960;0:52.237;0:23.532;250.0;Adalberto BAPTISTA;;
10;0;9;2:07.422;0;B;25.307;0;57.529;0;44.586;0;121.7;22:21.156;13:17;0:25.307;0:57.529;0:44.586;251.2;Adalberto BAPTISTA;;
10;0;10;7:39.871;0;;6:23.173;0;53.104;0;23.594;0;33.7;30:01.027;13:25;6:23.173;0:53.104;0:23.594;;Adalberto BAPTISTA;0:05:55;
10;0;11;1:41.160;0;;25.046;0;52.528;0;23.586;0;153.3;31:42.187;13:26;0:25.046;0:52.528;0:23.586;250.0;Adalberto BAPTISTA;;
10;0;12;1:41.114;0;;25.043;0;52.280;0;23.791;0;153.4;33:23.301;13:28;0:25.043;0:52.280;0:23.791;250.0;Adalberto BAPTISTA;;
10;0;13;2:34.299;0;B;27.276;0;1:07.764;0;59.259;0;100.5;35:57.600;13:30;0:27.276;1:07.764;0:59.259;249.4;Adalberto BAPTISTA;;
13;0;1;2:53.949;0;;1:34.506;0;55.754;0;23.689;0;89.2;2:53.949;12:57;1:34.506;0:55.754;0:23.689;;Pedro QUEIROLO;;
13;0;2;1:40.518;0;;25.032;0;51.898;0;23.588;0;154.3;4:34.467;12:59;0:25.032;0:51.898;0:23.588;248.8;Pedro QUEIROLO;;
13;0;3;1:39.733;2;;24.796;0;51.524;0;23.413;2;155.5;6:14.200;13:01;0:24.796;0:51.524;0:23.413;250.6;Pedro QUEIROLO;;
13;0;4;1:39.794;0;;24.685;2;51.590;0;23.519;0;155.4;7:53.994;13:02;0:24.685;0:51.590;0:23.519;250.6;Pedro QUEIROLO;;
13;0;5;2:05.895;0;B;29.256;0;57.708;0;38.931;0;123.2;9:59.889;13:04;0:29.256;0:57.708;0:38.931;230.3;Pedro QUEIROLO;;
13;0;6;8:32.090;0;;7:13.610;0;54.957;0;23.523;0;30.3;18:31.979;13:13;7:13.610;0:54.957;0:23.523;;Pedro QUEIROLO;0:06:54;
13;0;7;1:39.902;0;;24.855;0;51.496;2;23.551;0;155.3;20:11.881;13:15;0:24.855;0:51.496;0:23.551;250.0;Pedro QUEIROLO;;
13;0;8;2:07.623;0;;34.503;0;1:09.340;0;23.780;0;121.5;22:19.504;13:17;0:34.503;1:09.340;0:23.780;251.7;Pedro QUEIROLO;;
13;0;9;2:03.087;0;B;24.778;0;56.838;0;41.471;0;126.0;24:22.591;13:19;0:24.778;0:56.838;0:41.471;251.2;Pedro QUEIROLO;;
15;0;1;2:14.418;0;;53.513;0;57.149;0;23.756;0;115.4;2:14.418;12:57;0:53.513;0:57.149;0:23.756;;Marcel VISCONDE;;
15;0;2;1:40.094;0;;25.020;0;51.779;0;23.295;0;155.0;3:54.512;12:58;0:25.020;0:51.779;0:23.295;251.2;Marcel VISCONDE;;
