NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;
1;1;1;3:59.827;0;;54.721;0;1:28.357;0;1:36.749;0;204.6;3:59.827;09:03;0:54.721;1:28.357;1:36.749;234.2;Marcel FÄSSLER;0:00:18;
1;1;2;3:27.975;0;;33.040;0;1:21.047;0;1:33.888;1;235.9;7:27.802;09:07;0:33.040;1:21.047;1:33.888;321.0;Marcel FÄSSLER;;
1;1;3;3:29.212;0;;33.373;0;1:20.687;0;1:35.152;0;234.5;10:57.014;09:10;0:33.373;1:20.687;1:35.152;319.1;Marcel FÄSSLER;;
1;1;4;3:30.606;0;;32.812;1;1:20.420;0;1:37.374;0;233.0;14:27.620;09:14;0:32.812;1:20.420;1:37.374;322.9;Marcel FÄSSLER;;
1;1;5;3:26.963;2;;33.187;0;1:19.851;0;1:33.925;0;237.1;17:54.583;09:17;0:33.187;1:19.851;1:33.925;318.2;Marcel FÄSSLER;;
1;1;6;3:39.744;0;B;33.169;0;1:19.703;3;1:46.872;0;223.3;21:34.327;09:21;0:33.169;1:19.703;1:46.872;320.1;Marcel FÄSSLER;;
1;0;7;4:28.225;0;;1:32.254;0;1:21.454;0;1:34.517;0;182.9;26:02.552;09:26;1:32.254;1:21.454;1:34.517;317.2;André LOTTERER;0:01:07;
1;0;8;3:29.501;0;;33.448;0;1:20.527;1;1:35.526;0;234.2;29:32.053;09:29;0:33.448;1:20.527;1:35.526;321.0;André LOTTERER;;
1;0;9;3:28.488;0;;32.538;0;1:20.880;0;1:35.070;0;235.3;33:00.541;09:33;0:32.538;1:20.880;1:35.070;303.0;André LOTTERER;;
1;0;10;3:29.655;0;;33.439;0;1:21.360;0;1:34.856;0;234.0;36:30.196;09:36;0:33.439;1:21.360;1:34.856;301.3;André LOTTERER;;
1;0;11;3:28.064;0;;33.066;0;1:21.266;0;1:33.732;2;235.8;39:58.260;09:39;0:33.066;1:21.266;1:33.732;319.1;André LOTTERER;;
1;0;12;4:26.477;0;B;32.315;3;1:26.424;0;2:27.738;0;184.1;44:24.737;09:44;0:32.315;1:26.424;2:27.738;320.1;André LOTTERER;;
12;1;1;4:02.283;0;B;42.447;0;1:29.348;0;1:50.488;0;202.5;4:02.283;09:04;0:42.447;1:29.348;1:50.488;261.3;Neel JANI;0:00:04;
12;1;2;5:26.057;0;;2:19.959;0;1:25.851;0;1:40.247;0;150.5;9:28.340;09:09;2:19.959;1:25.851;1:40.247;304.7;Neel JANI;0:01:55;
12;1;3;3:39.128;0;;34.769;1;1:24.971;0;1:39.388;1;223.9;13:07.468;09:13;0:34.769;1:24.971;1:39.388;303.9;Neel JANI;;
12;1;4;3:45.919;0;B;35.498;0;1:24.783;1;1:45.638;0;217.2;16:53.387;09:16;0:35.498;1:24.783;1:45.638;304.7;Neel JANI;;
12;0;5;4:57.100;0;;1:49.208;0;1:26.183;0;1:41.709;1;165.1;21:50.487;09:21;1:49.208;1:26.183;1:41.709;265.8;Nicolas PROST;0:01:21;
12;0;6;3:48.408;0;B;35.788;1;1:26.073;1;1:46.547;0;214.8;25:38.895;09:25;0:35.788;1:26.073;1:46.547;307.3;Nicolas PROST;;
12;2;7;6:06.812;0;;3:03.370;0;1:25.599;0;1:37.843;0;133.8;31:45.707;09:31;3:03.370;1:25.599;1:37.843;303.9;Nick HEIDFELD;0:02:36;
12;2;8;3:36.618;0;;34.777;0;1:22.719;0;1:39.122;0;226.5;35:22.325;09:35;0:34.777;1:22.719;1:39.122;307.3;Nick HEIDFELD;;
12;2;9;3:30.391;2;;33.014;2;1:21.865;2;1:35.512;2;233.2;38:52.716;09:38;0:33.014;1:21.865;1:35.512;307.3;Nick HEIDFELD;;
12;2;10;4:18.644;0;B;33.079;0;1:22.546;0;2:23.019;0;189.7;43:11.360;09:43;0:33.079;1:22.546;2:23.019;308.2;Nick HEIDFELD;;
13;0;1;4:45.013;0;B;1:17.861;0;1:32.515;0;1:54.637;0;172.1;4:45.013;09:04;1:17.861;1:32.515;1:54.637;252.2;Andrea BELICCHI;0:00:35;
13;0;2;6:41.427;0;;3:30.182;0;1:28.061;0;1:43.184;0;122.2;11:26.440;09:11;3:30.182;1:28.061;1:43.184;303.9;Andrea BELICCHI;0:03:03;
13;0;3;3:37.190;0;;34.291;0;1:24.147;0;1:38.752;0;225.9;15:03.630;09:15;0:34.291;1:24.147;1:38.752;306.5;Andrea BELICCHI;;
13;0;4;3:35.707;0;;33.594;0;1:24.927;0;1:37.186;2;227.5;18:39.337;09:18;0:33.594;1:24.927;1:37.186;307.3;Andrea BELICCHI;;
13;0;5;3:34.437;2;;33.180;2;1:22.811;2;1:38.446;0;228.8;22:13.774;09:22;0:33.180;1:22.811;1:38.446;308.2;Andrea BELICCHI;;
13;0;6;3:45.410;0;B;35.025;0;1:24.249;0;1:46.136;0;217.7;25:59.184;09:25;0:35.025;1:24.249;1:46.136;304.7;Andrea BELICCHI;;
13;2;7;5:36.512;0;;2:28.803;0;1:26.249;0;1:41.460;1;145.8;31:35.696;09:31;2:28.803;1:26.249;1:41.460;306.5;Cong Fu CHENG;0:02:01;
13;2;8;3:40.584;0;;34.220;0;1:23.831;0;1:42.533;0;222.4;35:16.280;09:35;0:34.220;1:23.831;1:42.533;305.6;Cong Fu CHENG;;
13;2;9;3:44.964;0;B;33.745;1;1:23.545;1;1:47.674;0;218.1;39:01.244;09:39;0:33.745;1:23.545;1:47.674;305.6;Cong Fu CHENG;;
13;1;10;5:47.313;0;B;2:09.165;0;1:25.250;0;2:12.898;0;141.3;44:48.557;09:44;2:09.165;1:25.250;2:12.898;301.3;Mathias BECHE;0:01:44;
2;1;1;3:56.003;0;;53.208;0;1:25.184;0;1:37.611;0;207.9;3:56.003;09:03;0:53.208;1:25.184;1:37.611;310.0;Loïc DUVAL;0:00:15;
2;1;2;3:26.769;0;;32.898;1;1:21.146;0;1:32.725;3;237.3;7:22.772;09:07;0:32.898;1:21.146;1:32.725;315.4;Loïc DUVAL;;
2;1;3;3:37.840;0;B;33.516;0;1:20.649;1;1:43.675;0;225.2;11:00.612;09:11;0:33.516;1:20.649;1:43.675;314.5;Loïc DUVAL;;
2;0;4;4:39.262;0;;1:33.701;0;1:25.085;0;1:40.476;1;175.7;15:39.874;09:15;1:33.701;1:25.085;1:40.476;313.6;Tom KRISTENSEN;0:01:07;
2;0;5;5:25.906;0;B;32.907;1;1:20.704;1;3:32.295;0;150.5;21:05.780;09:21;0:32.907;1:20.704;3:32.295;316.3;Tom KRISTENSEN;;
2;2;6;7:28.023;0;;4:22.052;0;1:22.682;0;1:43.289;0;109.5;28:33.803;09:28;4:22.052;1:22.682;1:43.289;312.7;Allan McNISH;0:03:54;
2;2;7;3:27.784;0;;33.576;0;1:20.523;0;1:33.685;0;236.1;32:01.587;09:32;0:33.576;1:20.523;1:33.685;317.2;Allan McNISH;;
2;2;8;3:26.730;2;;33.003;0;1:20.377;0;1:33.350;0;237.3;35:28.317;09:35;0:33.003;1:20.377;1:33.350;318.2;Allan McNISH;;
2;2;9;3:26.864;0;;33.576;0;1:20.099;0;1:33.189;1;237.2;38:55.181;09:38;0:33.576;1:20.099;1:33.189;316.3;Allan McNISH;;
2;2;10;4:11.993;0;B;32.477;2;1:19.885;2;2:19.631;0;194.7;43:07.174;09:43;0:32.477;1:19.885;2:19.631;320.1;Allan McNISH;;
21;1;1;5:24.680;0;B;1:58.560;0;1:32.112;0;1:54.008;0;151.1;5:24.680;09:05;1:58.560;1:32.112;1:54.008;225.8;Danny WATTS;0:01:16;
21;1;2;11:11.250;0;;8:01.649;0;1:27.752;0;1:41.849;0;73.1;16:35.930;09:16;8:01.649;1:27.752;1:41.849;306.5;Danny WATTS;0:07:35;
21;1;3;3:45.175;0;;34.207;0;1:25.067;0;1:45.901;0;217.9;20:21.105;09:20;0:34.207;1:25.067;1:45.901;305.6;Danny WATTS;;
21;1;4;3:41.041;2;;33.869;0;1:24.950;0;1:42.222;0;222.0;24:02.146;09:24;0:33.869;1:24.950;1:42.222;309.1;Danny WATTS;;
21;1;5;3:45.394;0;;37.962;0;1:26.351;0;1:41.081;2;217.7;27:47.540;09:27;0:37.962;1:26.351;1:41.081;309.1;Danny WATTS;;
21;1;6;3:44.145;0;B;33.737;2;1:23.807;2;1:46.601;0;218.9;31:31.685;09:31;0:33.737;1:23.807;1:46.601;307.3;Danny WATTS;;
21;1;7;5:22.486;0;B;2:09.198;0;1:25.438;0;1:47.850;0;152.1;36:54.171;09:36;2:09.198;1:25.438;1:47.850;310.0;Danny WATTS;0:01:43;
24;1;1;5:10.176;0;B;1:28.112;0;1:35.242;0;2:06.822;0;158.2;5:10.176;09:05;1:28.112;1:35.242;2:06.822;262.6;David HEINEMEIER HANSSON;0:00:42;
24;1;2;7:33.481;0;B;3:59.472;0;1:32.298;0;2:01.711;0;108.2;12:43.657;09:12;3:59.472;1:32.298;2:01.711;289.3;David HEINEMEIER HANSSON;0:03:30;
24;1;3;4:46.425;0;;1:30.521;0;1:29.620;0;1:46.284;0;171.3;17:30.082;09:17;1:30.521;1:29.620;1:46.284;294.8;David HEINEMEIER HANSSON;0:01:02;
24;1;4;3:54.352;0;;36.531;0;1:30.348;0;1:47.473;0;209.4;21:24.434;09:21;0:36.531;1:30.348;1:47.473;272.5;David HEINEMEIER HANSSON;;
24;1;5;3:50.484;0;;37.095;0;1:28.670;0;1:44.719;0;212.9;25:14.918;09:25;0:37.095;1:28.670;1:44.719;297.2;David HEINEMEIER HANSSON;;
24;1;6;3:46.093;0;;35.503;2;1:28.069;0;1:42.521;2;217.0;29:01.011;09:29;0:35.503;1:28.069;1:42.521;296.4;David HEINEMEIER HANSSON;;
24;1;7;3:46.640;0;;36.110;0;1:27.536;0;1:42.994;0;216.5;32:47.651;09:32;0:36.110;1:27.536;1:42.994;296.4;David HEINEMEIER HANSSON;;
