NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;
1;2;1;4:12.775;0;;1:03.357;0;1:28.933;0;1:40.485;0;194.1;4:12.775;22:04;1:03.357;1:28.933;1:40.485;301.3;Benoit TRÉLUYER;0:00:24;
1;2;2;3:33.196;0;;35.138;0;1:22.543;0;1:35.515;0;230.1;7:45.971;22:07;0:35.138;1:22.543;1:35.515;319.1;Benoit TRÉLUYER;;
1;2;3;3:30.753;0;;32.951;0;1:22.428;0;1:35.374;1;232.8;11:16.724;22:11;0:32.951;1:22.428;1:35.374;316.3;Benoit TRÉLUYER;;
1;2;4;3:28.779;0;;32.842;1;1:20.074;1;1:35.863;0;235.0;14:45.503;22:14;0:32.842;1:20.074;1:35.863;321.0;Benoit TRÉLUYER;;
1;2;5;3:40.166;0;B;33.167;0;1:22.157;0;1:44.842;0;222.9;18:25.669;22:18;0:33.167;1:22.157;1:44.842;298.0;Benoit TRÉLUYER;;
1;0;6;8:46.820;0;;5:47.152;0;1:23.556;0;1:36.112;0;93.1;27:12.489;22:27;5:47.152;1:23.556;1:36.112;314.5;André LOTTERER;0:05:20;
1;0;7;3:25.856;0;;32.246;0;1:19.872;2;1:33.738;0;238.3;30:38.345;22:30;0:32.246;1:19.872;1:33.738;322.9;André LOTTERER;;
1;0;8;3:32.117;0;;32.141;0;1:20.235;0;1:39.741;0;231.3;34:10.462;22:34;0:32.141;1:20.235;1:39.741;324.9;André LOTTERER;;
1;0;9;3:30.361;0;;32.880;0;1:22.051;0;1:35.430;0;233.2;37:40.823;22:37;0:32.880;1:22.051;1:35.430;322.0;André LOTTERER;;
1;0;10;3:26.944;0;;32.253;0;1:20.223;0;1:34.468;0;237.1;41:07.767;22:41;0:32.253;1:20.223;1:34.468;322.9;André LOTTERER;;
1;0;11;3:25.474;2;;32.058;2;1:20.458;0;1:32.958;2;238.8;44:33.241;22:44;0:32.058;1:20.458;1:32.958;321.0;André LOTTERER;;
1;0;12;3:44.373;0;B;33.361;0;1:20.719;0;1:50.293;0;218.7;48:17.614;22:48;0:33.361;1:20.719;1:50.293;322.0;André LOTTERER;;
1;0;13;7:05.106;0;;4:05.811;0;1:23.389;0;1:35.906;0;115.4;55:22.720;22:55;4:05.811;1:23.389;1:35.906;318.2;André LOTTERER;0:03:42;
1;0;14;3:32.908;0;;32.679;0;1:21.970;0;1:38.259;0;230.4;58:55.628;22:58;0:32.679;1:21.970;1:38.259;318.2;André LOTTERER;;
1;0;15;3:30.364;0;;34.093;0;1:21.415;0;1:34.856;0;233.2;1:02:25.992;23:02;0:34.093;1:21.415;1:34.856;318.2;André LOTTERER;;
1;0;16;4:15.228;0;B;32.963;0;1:24.376;0;2:17.889;0;192.2;1:06:41.220;23:06;0:32.963;1:24.376;2:17.889;319.1;André LOTTERER;;
12;2;1;7:58.249;0;;4:51.838;0;1:25.502;0;1:40.909;0;102.6;7:58.249;22:07;4:51.838;1:25.502;1:40.909;298.8;Nick HEIDFELD;0:04:15;
12;2;2;3:30.423;2;;32.990;0;1:21.914;0;1:35.519;2;233.2;11:28.672;22:11;0:32.990;1:21.914;1:35.519;306.5;Nick HEIDFELD;;
12;2;3;3:50.389;0;;35.411;0;1:24.275;0;1:50.703;0;213.0;15:19.061;22:15;0:35.411;1:24.275;1:50.703;303.0;Nick HEIDFELD;;
12;2;4;3:36.644;0;;32.824;0;1:21.376;2;1:42.444;0;226.5;18:55.705;22:18;0:32.824;1:21.376;1:42.444;309.1;Nick HEIDFELD;;
12;2;5;3:46.978;0;B;32.798;2;1:25.592;0;1:48.588;0;216.2;22:42.683;22:22;0:32.798;1:25.592;1:48.588;309.1;Nick HEIDFELD;;
12;1;6;5:43.704;0;;2:29.340;0;1:25.373;0;1:48.991;0;142.8;28:26.387;22:28;2:29.340;1:25.373;1:48.991;304.7;Neel JANI;0:02:03;
12;1;7;3:55.657;0;;34.151;0;1:23.279;0;1:58.227;0;208.2;32:22.044;22:32;0:34.151;1:23.279;1:58.227;303.9;Neel JANI;;
12;1;8;3:37.446;0;;33.242;0;1:22.746;1;1:41.458;1;225.6;35:59.490;22:35;0:33.242;1:22.746;1:41.458;304.7;Neel JANI;;
12;1;9;3:44.414;0;B;33.155;1;1:23.101;0;1:48.158;0;218.6;39:43.904;22:39;0:33.155;1:23.101;1:48.158;307.3;Neel JANI;;
12;0;10;5:53.797;0;;2:41.088;0;1:26.871;0;1:45.838;0;138.7;45:37.701;22:45;2:41.088;1:26.871;1:45.838;279.5;Nicolas PROST;0:02:09;
12;0;11;3:49.338;0;;36.217;0;1:31.147;0;1:41.974;0;213.9;49:27.039;22:49;0:36.217;1:31.147;1:41.974;271.8;Nicolas PROST;;
12;0;12;3:41.075;0;;33.727;0;1:25.636;0;1:41.712;0;221.9;53:08.114;22:53;0:33.727;1:25.636;1:41.712;307.3;Nicolas PROST;;
12;0;13;3:37.145;0;;33.921;0;1:24.121;0;1:39.103;0;226.0;56:45.259;22:56;0:33.921;1:24.121;1:39.103;304.7;Nicolas PROST;;
12;0;14;3:35.468;0;;33.692;1;1:23.525;1;1:38.251;1;227.7;1:00:20.727;23:00;0:33.692;1:23.525;1:38.251;307.3;Nicolas PROST;;
12;0;15;3:44.360;0;;34.160;0;1:25.208;0;1:44.992;0;218.7;1:04:05.087;23:04;0:34.160;1:25.208;1:44.992;306.5;Nicolas PROST;;
12;0;16;5:10.595;0;B;46.063;0;1:54.731;0;2:29.801;0;158.0;1:09:15.682;23:09;0:46.063;1:54.731;2:29.801;222.1;Nicolas PROST;;
13;0;1;7:17.948;0;;4:10.983;0;1:25.895;0;1:41.070;0;112.0;7:17.948;22:07;4:10.983;1:25.895;1:41.070;297.2;Andrea BELICCHI;0:03:36;
13;0;2;3:32.167;2;;33.138;0;1:23.015;0;1:36.014;2;231.3;10:50.115;22:10;0:33.138;1:23.015;1:36.014;308.2;Andrea BELICCHI;;
13;0;3;3:35.056;0;;33.634;0;1:22.933;0;1:38.489;0;228.1;14:25.171;22:14;0:33.634;1:22.933;1:38.489;310.0;Andrea BELICCHI;;
13;0;4;3:45.966;0;B;33.106;2;1:22.291;2;1:50.569;0;217.1;18:11.137;22:18;0:33.106;1:22.291;1:50.569;310.9;Andrea BELICCHI;;
13;0;5;8:09.915;0;;5:01.987;0;1:25.102;0;1:42.826;0;100.1;26:21.052;22:26;5:01.987;1:25.102;1:42.826;303.0;Andrea BELICCHI;0:04:36;
13;0;6;3:43.342;0;;33.544;0;1:23.922;0;1:45.876;0;219.7;30:04.394;22:30;0:33.544;1:23.922;1:45.876;309.1;Andrea BELICCHI;;
13;0;7;4:10.217;0;;59.825;0;1:25.733;0;1:44.659;0;196.1;34:14.611;22:34;0:59.825;1:25.733;1:44.659;299.7;Andrea BELICCHI;;
13;0;8;3:39.048;0;;35.098;0;1:25.981;0;1:37.969;0;224.0;37:53.659;22:37;0:35.098;1:25.981;1:37.969;276.0;Andrea BELICCHI;;
