NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;
102;0;1;12:32.763;0;B;8:21.234;0;1:43.395;0;2:28.134;0;65.2;12:32.763;17:42;8:21.234;1:43.395;2:28.134;238.8;Vincenzo SAUTO;0:07:30;
102;0;2;13:18.098;0;;9:26.884;0;1:36.968;0;2:14.246;0;61.5;25:50.861;17:55;9:26.884;1:36.968;2:14.246;255.7;Vincenzo SAUTO;0:08:54;
102;0;3;4:13.351;0;;42.318;0;1:33.646;2;1:57.387;2;193.7;30:04.212;18:00;0:42.318;1:33.646;1:57.387;306.5;Vincenzo SAUTO;;
102;0;4;4:12.527;2;;40.932;0;1:34.123;0;1:57.472;0;194.3;34:16.739;18:04;0:40.932;1:34.123;1:57.472;294.8;Vincenzo SAUTO;;
102;0;5;4:34.486;0;;40.543;2;1:34.599;0;2:19.344;0;178.8;38:51.225;18:08;0:40.543;1:34.599;2:19.344;305.6;Vincenzo SAUTO;;
102;0;6;4:48.597;0;B;41.934;0;1:35.853;0;2:30.810;0;170.0;43:39.822;18:13;0:41.934;1:35.853;2:30.810;298.8;Vincenzo SAUTO;;
107;0;1;6:09.296;0;;1:57.504;0;2:00.218;0;2:11.574;0;132.9;6:09.296;17:36;1:57.504;2:00.218;2:11.574;204.5;Roger EDER;0:01:01;
107;0;2;4:25.259;0;;43.622;0;1:36.136;0;2:05.501;0;185.0;10:34.555;17:40;0:43.622;1:36.136;2:05.501;253.9;Roger EDER;;
107;0;3;4:53.845;0;B;46.851;0;1:37.743;0;2:29.251;0;167.0;15:28.400;17:45;0:46.851;1:37.743;2:29.251;244.2;Roger EDER;;
107;0;4;8:52.626;0;;5:03.995;0;1:43.741;0;2:04.890;0;92.1;24:21.026;17:54;5:03.995;1:43.741;2:04.890;224.9;Roger EDER;0:04:23;
107;0;5;4:17.796;2;;42.159;2;1:35.562;2;2:00.075;2;190.3;28:38.822;17:58;0:42.159;1:35.562;2:00.075;276.7;Roger EDER;;
107;0;6;4:27.513;0;B;42.728;0;1:36.317;0;2:08.468;0;183.4;33:06.335;18:03;0:42.728;1:36.317;2:08.468;278.1;Roger EDER;;
107;0;7;6:44.188;0;;2:47.917;0;1:37.552;0;2:18.719;0;121.4;39:50.523;18:09;2:47.917;1:37.552;2:18.719;288.5;Roger EDER;0:02:15;
107;0;8;5:01.839;0;B;42.587;0;1:40.790;0;2:38.462;0;162.6;44:52.362;18:14;0:42.587;1:40.790;2:38.462;283.9;Roger EDER;;
