NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;
1;2;1;2:11.545;0;;57.360;0;40.201;0;33.984;0;149.2;2:11.545;12:02;0:57.360;0:40.201;0:33.984;281.2;Marcel FÄSSLER;0:00:17;
1;2;2;1:49.337;0;;37.697;0;38.772;0;32.868;0;179.5;4:00.882;12:04;0:37.697;0:38.772;0:32.868;282.0;Marcel FÄSSLER;;
1;2;3;1:48.655;0;;37.381;2;38.530;3;32.744;3;180.6;5:49.537;12:05;0:37.381;0:38.530;0:32.744;283.5;Marcel FÄSSLER;;
1;2;4;2:24.004;0;B;37.508;0;41.567;0;1:04.929;0;136.3;8:13.541;12:08;0:37.508;0:41.567;1:04.929;254.7;Marcel FÄSSLER;;
1;2;5;3:43.736;0;B;2:13.948;0;46.644;0;43.144;0;87.7;11:57.277;12:11;2:13.948;0:46.644;0:43.144;268.0;Marcel FÄSSLER;0:01:23;
1;2;6;50:16.648;0;;49:01.903;0;40.639;0;34.106;0;6.5;1:02:13.925;13:02;49:01.903;0:40.639;0:34.106;278.4;Marcel FÄSSLER;0:48:25;
1;2;7;1:52.002;0;;38.834;0;39.805;0;33.363;0;175.2;1:04:05.927;13:04;0:38.834;0:39.805;0:33.363;276.9;Marcel FÄSSLER;;
1;2;8;1:50.965;0;;38.064;0;39.611;0;33.290;0;176.8;1:05:56.892;13:05;0:38.064;0:39.611;0:33.290;281.2;Marcel FÄSSLER;;
1;2;9;1:50.410;0;;37.673;0;39.576;0;33.161;0;177.7;1:07:47.302;13:07;0:37.673;0:39.576;0:33.161;282.0;Marcel FÄSSLER;;
1;2;10;1:50.009;2;;37.980;0;38.989;0;33.040;0;178.4;1:09:37.311;13:09;0:37.980;0:38.989;0:33.040;282.7;Marcel FÄSSLER;;
1;2;11;1:52.811;0;;39.079;0;40.373;0;33.359;0;174.0;1:11:30.122;13:11;0:39.079;0:40.373;0:33.359;282.0;Marcel FÄSSLER;;
1;2;12;1:52.987;0;;38.242;0;40.718;0;34.027;0;173.7;1:13:23.109;13:13;0:38.242;0:40.718;0:34.027;282.0;Marcel FÄSSLER;;
1;2;13;1:56.614;0;B;37.901;0;39.113;0;39.600;0;168.3;1:15:19.723;13:15;0:37.901;0:39.113;0:39.600;282.0;Marcel FÄSSLER;;
1;0;14;2:53.682;0;;1:38.829;0;40.771;0;34.082;0;113.0;1:18:13.405;13:18;1:38.829;0:40.771;0:34.082;279.1;André LOTTERER;0:01:03;
1;0;15;1:51.952;0;;38.398;0;39.981;1;33.573;1;175.3;1:20:05.357;13:20;0:38.398;0:39.981;0:33.573;280.5;André LOTTERER;;
1;0;16;2:26.203;0;B;38.155;1;40.821;0;1:07.227;0;134.2;1:22:31.560;13:22;0:38.155;0:40.821;1:07.227;153.4;André LOTTERER;;
1;1;17;16:30.750;0;;15:17.150;0;40.178;0;33.422;0;19.8;1:39:02.310;13:39;15:17.150;0:40.178;0:33.422;279.8;Benoit TRÉLUYER;0:14:42;
1;1;18;1:50.771;0;;37.871;0;39.636;0;33.264;0;177.2;1:40:53.081;13:40;0:37.871;0:39.636;0:33.264;279.8;Benoit TRÉLUYER;;
1;1;19;1:50.195;0;;37.735;1;39.029;1;33.431;0;178.1;1:42:43.276;13:42;0:37.735;0:39.029;0:33.431;282.0;Benoit TRÉLUYER;;
1;1;20;1:53.981;0;;38.001;0;42.600;0;33.380;0;172.2;1:44:37.257;13:44;0:38.001;0:42.600;0:33.380;281.2;Benoit TRÉLUYER;;
1;1;21;1:50.946;0;;37.998;0;39.841;0;33.107;0;176.9;1:46:28.203;13:46;0:37.998;0:39.841;0:33.107;285.0;Benoit TRÉLUYER;;
1;1;22;1:51.069;0;;38.136;0;39.733;0;33.200;0;176.7;1:48:19.272;13:48;0:38.136;0:39.733;0:33.200;281.2;Benoit TRÉLUYER;;
1;1;23;1:59.514;0;B;38.153;0;41.198;0;40.163;0;164.2;1:50:18.786;13:50;0:38.153;0:41.198;0:40.163;282.7;Benoit TRÉLUYER;;
1;1;24;5:21.434;0;;4:06.065;0;41.959;0;33.410;0;61.1;1:55:40.220;13:55;4:06.065;0:41.959;0:33.410;278.4;Benoit TRÉLUYER;0:03:29;
1;1;25;1:52.180;0;;38.579;0;40.399;0;33.202;0;174.9;1:57:32.400;13:57;0:38.579;0:40.399;0:33.202;282.0;Benoit TRÉLUYER;;
