NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;
1;2;1;37:07.734;0;;35:55.044;0;39.190;0;33.500;0;8.8;37:07.734;16:37;35:55.044;0:39.190;0:33.500;282.0;Marcel FÄSSLER;0:35:16;
1;2;2;1:48.163;0;;37.407;0;38.156;0;32.600;1;181.4;38:55.897;16:38;0:37.407;0:38.156;0:32.600;285.0;Marcel FÄSSLER;;
1;2;3;1:48.012;2;;37.223;1;38.111;3;32.678;0;181.7;40:43.909;16:40;0:37.223;0:38.111;0:32.678;283.5;Marcel FÄSSLER;;
1;2;4;1:55.226;0;B;37.489;0;38.406;0;39.331;0;170.3;42:39.135;16:42;0:37.489;0:38.406;0:39.331;284.2;Marcel FÄSSLER;;
1;1;5;2:51.282;0;;1:39.043;0;39.163;0;33.076;0;114.6;45:30.417;16:45;1:39.043;0:39.163;0:33.076;285.0;Benoit TRÉLUYER;0:01:04;
1;1;6;1:48.143;0;;37.367;0;38.485;1;32.291;3;181.5;47:18.560;16:47;0:37.367;0:38.485;0:32.291;283.5;Benoit TRÉLUYER;;
1;1;7;1:48.605;0;;37.266;0;38.875;0;32.464;0;180.7;49:07.165;16:49;0:37.266;0:38.875;0:32.464;284.2;Benoit TRÉLUYER;;
1;1;8;1:48.807;0;;37.047;2;38.837;0;32.923;0;180.4;50:55.972;16:50;0:37.047;0:38.837;0:32.923;287.2;Benoit TRÉLUYER;;
1;1;9;2:04.648;0;B;40.253;0;40.675;0;43.720;0;157.4;53:00.620;16:53;0:40.253;0:40.675;0:43.720;279.8;Benoit TRÉLUYER;;
1;1;10;4:18.871;0;;3:07.129;0;38.928;0;32.814;0;75.8;57:19.491;16:57;3:07.129;0:38.928;0:32.814;282.0;Benoit TRÉLUYER;0:02:33;
1;1;11;1:49.047;0;;38.035;0;38.623;0;32.389;0;180.0;59:08.538;16:59;0:38.035;0:38.623;0:32.389;284.2;Benoit TRÉLUYER;;
1;1;12;1:48.091;0;;37.159;0;38.639;0;32.293;0;181.5;1:00:56.629;17:00;0:37.159;0:38.639;0:32.293;286.5;Benoit TRÉLUYER;;
12;2;1;38:28.791;0;;37:12.764;0;41.674;0;34.353;0;8.5;38:28.791;16:38;37:12.764;0:41.674;0:34.353;279.8;Nicolas PROST;0:36:35;
12;2;2;1:51.113;0;;38.344;0;39.219;2;33.550;0;176.6;40:19.904;16:40;0:38.344;0:39.219;0:33.550;279.8;Nicolas PROST;;
12;2;3;1:51.296;0;;38.141;1;39.618;0;33.537;1;176.3;42:11.200;16:42;0:38.141;0:39.618;0:33.537;281.2;Nicolas PROST;;
12;2;4;2:04.079;0;B;39.036;0;41.319;0;43.724;0;158.2;44:15.279;16:44;0:39.036;0:41.319;0:43.724;282.7;Nicolas PROST;;
12;1;5;3:46.357;0;;2:31.102;0;41.126;0;34.129;0;86.7;48:01.636;16:48;2:31.102;0:41.126;0:34.129;279.8;Mathias BECHE;0:01:55;
12;1;6;1:51.521;0;;38.299;0;39.668;0;33.554;0;176.0;49:53.157;16:49;0:38.299;0:39.668;0:33.554;281.2;Mathias BECHE;;
12;1;7;1:50.888;2;;38.111;2;39.300;1;33.477;2;177.0;51:44.045;16:51;0:38.111;0:39.300;0:33.477;283.5;Mathias BECHE;;
12;1;8;2:22.160;0;B;44.323;0;46.611;0;51.226;0;138.0;54:06.205;16:54;0:44.323;0:46.611;0:51.226;180.3;Mathias BECHE;;
2;2;1;36:54.808;0;;35:41.704;0;38.920;0;34.184;0;8.9;36:54.808;16:36;35:41.704;0:38.920;0:34.184;280.5;Allan McNISH;0:35:03;
2;2;2;1:48.601;0;;37.299;0;38.609;0;32.693;2;180.7;38:43.409;16:38;0:37.299;0:38.609;0:32.693;282.7;Allan McNISH;;
2;2;3;1:48.502;0;;37.386;0;38.383;2;32.733;0;180.9;40:31.911;16:40;0:37.386;0:38.383;0:32.733;282.0;Allan McNISH;;
2;2;4;1:48.475;2;;37.139;2;38.526;0;32.810;0;180.9;42:20.386;16:42;0:37.139;0:38.526;0:32.810;281.2;Allan McNISH;;
2;2;5;1:56.673;0;B;37.334;0;38.732;0;40.607;0;168.2;44:17.059;16:44;0:37.334;0:38.732;0:40.607;284.2;Allan McNISH;;
2;0;6;2:58.255;0;;1:44.270;0;40.156;0;33.829;0;110.1;47:15.314;16:47;1:44.270;0:40.156;0:33.829;280.5;Tom KRISTENSEN;0:01:10;
2;0;7;1:50.335;0;;37.676;0;39.550;0;33.109;0;177.9;49:05.649;16:49;0:37.676;0:39.550;0:33.109;282.0;Tom KRISTENSEN;;
2;0;8;1:49.555;0;;37.673;1;39.129;1;32.753;1;179.1;50:55.204;16:50;0:37.673;0:39.129;0:32.753;282.0;Tom KRISTENSEN;;
2;0;9;1:50.162;0;;37.784;0;39.379;0;32.999;0;178.1;52:45.366;16:52;0:37.784;0:39.379;0:32.999;281.2;Tom KRISTENSEN;;
2;0;10;1:59.649;0;B;39.365;0;39.785;0;40.499;0;164.0;54:45.015;16:54;0:39.365;0:39.785;0:40.499;283.5;Tom KRISTENSEN;;
24;0;1;37:56.504;0;;36:36.382;0;43.890;0;36.232;0;8.6;37:56.504;16:37;36:36.382;0:43.890;0:36.232;239.5;Olivier PLA;0:35:54;
24;0;2;1:55.724;2;;39.706;0;41.085;2;34.933;0;169.6;39:52.228;16:39;0:39.706;0:41.085;0:34.933;264.7;Olivier PLA;;
24;0;3;1:55.965;0;;39.906;0;41.164;0;34.895;2;169.2;41:48.193;16:41;0:39.906;0:41.164;0:34.895;266.0;Olivier PLA;;
24;0;4;2:06.115;0;B;39.577;2;42.724;0;43.814;0;155.6;43:54.308;16:43;0:39.577;0:42.724;0:43.814;266.0;Olivier PLA;;
24;2;5;4:31.689;0;;3:10.110;0;45.368;0;36.211;0;72.2;48:25.997;16:48;3:10.110;0:45.368;0:36.211;264.1;Alex BRUNDLE;0:02:31;
24;2;6;1:57.972;0;;40.600;0;42.089;0;35.283;0;166.3;50:23.969;16:50;0:40.600;0:42.089;0:35.283;264.1;Alex BRUNDLE;;
24;2;7;1:56.801;0;;40.029;0;41.600;0;35.172;0;168.0;52:20.770;16:52;0:40.029;0:41.600;0:35.172;266.7;Alex BRUNDLE;;
24;2;8;1:56.353;0;;39.947;1;41.460;1;34.946;1;168.7;54:17.123;16:54;0:39.947;0:41.460;0:34.946;266.7;Alex BRUNDLE;;
24;2;9;2:22.621;0;B;42.644;0;49.391;0;50.586;0;137.6;56:39.744;16:56;0:42.644;0:49.391;0:50.586;221.8;Alex BRUNDLE;;
25;1;1;37:48.128;0;;36:25.048;0;46.218;0;36.862;0;8.7;37:48.128;16:37;36:25.048;0:46.218;0:36.862;242.7;Robbie KERR;0:35:43;
