NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;
11;0;1;2:37.025;0;;59.134;0;54.691;0;43.200;0;125.0;2:37.025;15:22;0:59.134;0:54.691;0:43.200;229.3;Len LIN;;
11;0;2;2:28.742;0;;49.561;0;55.663;0;43.518;0;131.9;5:05.767;15:24;0:49.561;0:55.663;0:43.518;227.4;Len LIN;;
11;0;3;2:28.793;0;;50.151;0;54.709;0;43.933;0;131.9;7:34.560;15:27;0:50.151;0:54.709;0:43.933;225.0;Len LIN;;
11;0;4;2:27.512;0;;49.754;0;54.148;0;43.610;0;133.0;10:02.072;15:29;0:49.754;0:54.148;0:43.610;226.4;Len LIN;;
11;0;5;2:25.857;0;;49.962;0;52.993;0;42.902;0;134.5;12:27.929;15:32;0:49.962;0:52.993;0:42.902;225.9;Len LIN;;
11;0;6;2:25.056;0;;48.621;0;53.548;0;42.887;2;135.3;14:52.985;15:34;0:48.621;0:53.548;0:42.887;225.5;Len LIN;;
11;0;7;2:24.554;2;;48.477;2;52.960;2;43.117;0;135.8;17:17.539;15:37;0:48.477;0:52.960;0:43.117;224.1;Len LIN;;
11;0;8;2:25.614;0;;48.642;0;53.480;0;43.492;0;134.8;19:43.153;15:39;0:48.642;0:53.480;0:43.492;224.5;Len LIN;;
11;0;9;2:26.405;0;;49.954;0;53.299;0;43.152;0;134.0;22:09.558;15:41;0:49.954;0:53.299;0:43.152;226.4;Len LIN;;
11;0;10;2:29.019;0;;49.553;0;54.685;0;44.781;0;131.7;24:38.577;15:44;0:49.553;0:54.685;0:44.781;221.3;Len LIN;;
12;0;1;2:39.958;0;;58.443;0;56.085;0;45.430;0;122.7;2:39.958;15:22;0:58.443;0:56.085;0:45.430;220.4;Benny HAN;;
12;0;2;2:32.028;0;;52.255;0;54.843;0;44.930;0;129.1;5:11.986;15:24;0:52.255;0:54.843;0:44.930;235.3;Benny HAN;;
12;0;3;2:29.799;0;;50.469;0;55.316;0;44.014;0;131.0;7:41.785;15:27;0:50.469;0:55.316;0:44.014;219.1;Benny HAN;;
12;0;4;2:29.041;0;;49.724;2;55.186;0;44.131;0;131.7;10:10.826;15:29;0:49.724;0:55.186;0:44.131;229.3;Benny HAN;;
12;0;5;2:27.792;2;;50.318;0;54.070;2;43.404;2;132.8;12:38.618;15:32;0:50.318;0:54.070;0:43.404;237.9;Benny HAN;;
12;0;6;2:28.956;0;;49.784;0;55.495;0;43.677;0;131.7;15:07.574;15:34;0:49.784;0:55.495;0:43.677;235.3;Benny HAN;;
12;0;7;2:28.770;0;;50.185;0;54.716;0;43.869;0;131.9;17:36.344;15:37;0:50.185;0:54.716;0:43.869;229.3;Benny HAN;;
12;0;8;2:29.016;0;;50.326;0;54.626;0;44.064;0;131.7;20:05.360;15:39;0:50.326;0:54.626;0:44.064;234.3;Benny HAN;;
12;0;9;2:29.257;0;;50.526;0;54.929;0;43.802;0;131.5;22:34.617;15:42;0:50.526;0:54.929;0:43.802;236.3;Benny HAN;;
12;0;10;2:30.521;0;;50.221;0;56.135;0;44.165;0;130.4;25:05.138;15:44;0:50.221;0:56.135;0:44.165;236.3;Benny HAN;;
21;0;1;2:34.441;0;;57.594;0;55.816;0;41.031;2;127.1;2:34.441;15:22;0:57.594;0:55.816;0:41.031;254.1;Jason YE;;
21;0;2;2:29.715;0;;50.793;0;56.594;0;42.328;0;131.1;5:04.156;15:24;0:50.793;0:56.594;0:42.328;229.8;Jason YE;;
21;0;3;2:29.624;0;;51.013;0;56.113;0;42.498;0;131.2;7:33.780;15:27;0:51.013;0:56.113;0:42.498;223.6;Jason YE;;
21;0;4;2:27.519;0;;50.094;0;55.720;0;41.705;0;133.0;10:01.299;15:29;0:50.094;0:55.720;0:41.705;235.8;Jason YE;;
21;0;5;2:27.627;0;;50.437;0;55.235;0;41.955;0;132.9;12:28.926;15:32;0:50.437;0:55.235;0:41.955;240.0;Jason YE;;
21;0;6;2:28.314;0;;51.163;0;54.880;2;42.271;0;132.3;14:57.240;15:34;0:51.163;0:54.880;0:42.271;230.8;Jason YE;;
21;0;7;2:26.867;2;;49.617;2;55.659;0;41.591;0;133.6;17:24.107;15:37;0:49.617;0:55.659;0:41.591;243.8;Jason YE;;
21;0;8;2:30.374;0;;50.290;0;57.948;0;42.136;0;130.5;19:54.481;15:39;0:50.290;0:57.948;0:42.136;226.9;Jason YE;;
21;0;9;2:29.435;0;;51.345;0;55.971;0;42.119;0;131.3;22:23.916;15:42;0:51.345;0:55.971;0:42.119;218.6;Jason YE;;
21;0;10;2:30.236;0;;51.150;0;56.654;0;42.432;0;130.6;24:54.152;15:44;0:51.150;0:56.654;0:42.432;230.8;Jason YE;;
22;0;1;2:38.797;0;;59.888;0;54.934;0;43.975;0;123.6;2:38.797;15:22;0:59.888;0:54.934;0:43.975;242.7;Don CAI;;
