NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;
1;0;1;3:40.302;0;;2:08.427;0;55.252;0;36.623;2;96.2;3:40.302;15:58;2:08.427;0:55.252;0:36.623;213.4;Raffaele MARCIELLO;0:01:29;
1;0;2;2:51.367;0;B;39.492;0;1:14.793;0;57.082;0;123.7;6:31.669;16:01;0:39.492;1:14.793;0:57.082;128.4;Raffaele MARCIELLO;;
1;0;3;6:02.265;0;B;4:23.728;0;53.763;0;44.774;0;58.5;12:33.933;16:07;4:23.728;0:53.763;0:44.774;216.0;Raffaele MARCIELLO;0:04:08;
1;0;4;3:55.166;0;;2:21.819;0;53.323;0;40.024;0;90.2;16:29.099;16:11;2:21.819;0:53.323;0:40.024;219.5;Raffaele MARCIELLO;0:02:01;
1;0;5;2:13.697;0;;43.510;0;50.817;0;39.370;0;158.6;18:42.796;16:13;0:43.510;0:50.817;0:39.370;221.3;Raffaele MARCIELLO;;
1;0;6;2:10.259;0;;41.526;0;49.657;0;39.076;0;162.8;20:53.055;16:15;0:41.526;0:49.657;0:39.076;220.9;Raffaele MARCIELLO;;
1;0;7;2:07.547;0;;40.100;0;48.431;0;39.016;0;166.2;23:00.602;16:18;0:40.100;0:48.431;0:39.016;222.2;Raffaele MARCIELLO;;
1;0;8;2:04.706;2;;38.987;2;47.763;2;37.956;0;170.0;25:05.308;16:20;0:38.987;0:47.763;0:37.956;222.2;Raffaele MARCIELLO;;
11;0;1;6:14.780;0;B;4:18.423;0;1:03.032;0;53.325;0;56.6;6:14.780;16:01;4:18.423;1:03.032;0:53.325;214.3;Felix SERRALLES;0:03:35;
11;0;2;4:52.062;0;;3:18.560;0;55.999;0;37.503;0;72.6;11:06.841;16:06;3:18.560;0:55.999;0:37.503;217.3;Felix SERRALLES;0:03:04;
11;0;3;2:11.839;0;;40.156;0;54.944;0;36.739;2;160.8;13:18.680;16:08;0:40.156;0:54.944;0:36.739;217.3;Felix SERRALLES;;
11;0;4;2:12.072;0;;39.605;2;54.707;0;37.760;0;160.5;15:30.752;16:10;0:39.605;0:54.707;0:37.760;217.3;Felix SERRALLES;;
11;0;5;2:09.949;2;;39.731;0;53.382;2;36.836;0;163.2;17:40.701;16:12;0:39.731;0:53.382;0:36.836;217.3;Felix SERRALLES;;
11;0;6;2:25.811;0;;40.285;0;1:07.568;0;37.958;0;145.4;20:06.512;16:15;0:40.285;1:07.568;0:37.958;217.3;Felix SERRALLES;;
11;0;7;2:29.001;0;B;40.567;0;57.645;0;50.789;0;142.3;22:35.513;16:17;0:40.567;0:57.645;0:50.789;178.2;Felix SERRALLES;;
12;0;1;5:53.120;0;B;3:57.698;0;1:02.217;0;53.205;0;60.0;5:53.120;16:00;3:57.698;1:02.217;0:53.205;216.0;Luis DERANI;0:03:14;
12;0;2;5:18.808;0;;3:44.733;0;56.645;0;37.430;0;66.5;11:11.927;16:06;3:44.733;0:56.645;0:37.430;216.4;Luis DERANI;0:03:29;
12;0;3;2:10.736;2;;40.138;0;53.823;2;36.775;2;162.2;13:22.663;16:08;0:40.138;0:53.823;0:36.775;217.7;Luis DERANI;;
12;0;4;2:10.876;0;;39.666;2;53.983;0;37.227;0;162.0;15:33.539;16:10;0:39.666;0:53.983;0:37.227;217.3;Luis DERANI;;
12;0;5;2:24.940;0;B;40.339;0;56.113;0;48.488;0;146.3;17:58.479;16:12;0:40.339;0:56.113;0:48.488;216.9;Luis DERANI;;
14;0;1;6:38.141;0;B;4:28.229;0;1:08.549;0;1:01.363;0;53.3;6:38.141;16:01;4:28.229;1:08.549;1:01.363;123.0;William BULLER;0:03:47;
14;0;2;4:13.693;0;;2:39.616;0;55.013;0;39.064;0;83.6;10:51.833;16:05;2:39.616;0:55.013;0:39.064;216.4;William BULLER;0:02:25;
14;0;3;2:16.334;0;B;39.767;0;52.891;0;43.676;0;155.5;13:08.167;16:08;0:39.767;0:52.891;0:43.676;216.0;William BULLER;;
14;0;4;3:12.239;0;;1:35.833;0;56.133;0;40.273;0;110.3;16:20.406;16:11;1:35.833;0:56.133;0:40.273;213.0;William BULLER;0:01:16;
14;0;5;2:14.819;0;;42.312;0;52.179;0;40.328;0;157.3;18:35.225;16:13;0:42.312;0:52.179;0:40.328;208.9;William BULLER;;
14;0;6;2:09.179;0;;39.951;0;50.615;0;38.613;0;164.1;20:44.404;16:15;0:39.951;0:50.615;0:38.613;218.6;William BULLER;;
14;0;7;2:06.718;0;;39.230;0;49.049;0;38.439;0;167.3;22:51.122;16:17;0:39.230;0:49.049;0:38.439;219.5;William BULLER;;
14;0;8;2:05.221;2;;38.329;2;48.638;2;38.254;2;169.3;24:56.343;16:19;0:38.329;0:48.638;0:38.254;219.5;William BULLER;;
15;0;1;3:23.155;0;;1:39.460;0;1:01.324;0;42.371;0;104.4;3:23.155;15:58;1:39.460;1:01.324;0:42.371;207.7;Richard GODDARD;0:00:58;
15;0;2;2:37.136;0;B;42.757;0;1:01.663;0;52.716;0;134.9;6:00.291;16:01;0:42.757;1:01.663;0:52.716;194.6;Richard GODDARD;;
15;0;3;4:52.805;0;;3:19.401;0;55.398;0;38.006;0;72.4;10:53.095;16:05;3:19.401;0:55.398;0:38.006;219.5;Richard GODDARD;0:03:04;
15;0;4;2:13.276;0;;40.623;0;55.130;0;37.523;0;159.1;13:06.371;16:08;0:40.623;0:55.130;0:37.523;219.5;Richard GODDARD;;
15;0;5;2:10.520;0;;40.156;0;53.268;0;37.096;0;162.5;15:16.891;16:10;0:40.156;0:53.268;0:37.096;219.5;Richard GODDARD;;
15;0;6;2:10.161;0;;39.538;0;53.008;0;37.615;0;162.9;17:27.052;16:12;0:39.538;0:53.008;0:37.615;222.7;Richard GODDARD;;
15;0;7;2:09.967;0;;39.719;0;52.915;0;37.333;0;163.1;19:37.019;16:14;0:39.719;0:52.915;0:37.333;221.3;Richard GODDARD;;
15;0;8;2:09.098;2;;39.511;0;52.500;2;37.087;2;164.2;21:46.117;16:16;0:39.511;0:52.500;0:37.087;219.5;Richard GODDARD;;
15;0;9;2:10.907;0;;39.306;2;52.865;0;38.736;0;162.0;23:57.024;16:18;0:39.306;0:52.865;0:38.736;221.8;Richard GODDARD;;
16;0;1;5:10.551;0;B;3:05.429;0;1:12.914;0;52.208;0;68.3;5:10.551;16:00;3:05.429;1:12.914;0:52.208;200.7;Tatiana CALDERÓN;0:02:20;
16;0;2;7:32.275;0;;5:55.220;0;57.644;0;39.411;0;46.9;12:42.825;16:07;5:55.220;0:57.644;0:39.411;204.5;Tatiana CALDERÓN;0:05:36;
16;0;3;2:14.901;0;;41.769;0;55.182;0;37.950;0;157.2;14:57.726;16:09;0:41.769;0:55.182;0:37.950;213.4;Tatiana CALDERÓN;;
16;0;4;2:18.364;0;;46.296;0;54.141;0;37.927;0;153.2;17:16.090;16:12;0:46.296;0:54.141;0:37.927;213.9;Tatiana CALDERÓN;;
16;0;5;2:13.161;0;;40.359;0;55.260;0;37.542;0;159.2;19:29.251;16:14;0:40.359;0:55.260;0:37.542;217.3;Tatiana CALDERÓN;;
16;0;6;2:14.092;0;;40.274;0;55.064;0;38.754;0;158.1;21:43.343;16:16;0:40.274;0:55.064;0:38.754;208.9;Tatiana CALDERÓN;;
16;0;7;2:11.446;2;;40.198;2;53.920;2;37.328;2;161.3;23:54.789;16:18;0:40.198;0:53.920;0:37.328;215.6;Tatiana CALDERÓN;;
16;0;8;2:20.716;0;;41.272;0;59.600;0;39.844;0;150.7;26:15.505;16:21;0:41.272;0:59.600;0:39.844;210.5;Tatiana CALDERÓN;;
17;0;1;6:16.990;0;B;4:19.996;0;1:02.613;0;54.381;0;56.2;6:16.990;16:01;4:19.996;1:02.613;0:54.381;212.2;Antonio GIOVINAZZI;0:03:38;
17;0;2;4:32.075;0;;2:58.909;0;55.763;0;37.403;0;77.9;10:49.064;16:05;2:58.909;0:55.763;0:37.403;219.1;Antonio GIOVINAZZI;0:02:48;
17;0;3;2:09.504;0;;39.840;0;53.348;0;36.316;2;163.7;12:58.568;16:07;0:39.840;0:53.348;0:36.316;214.3;Antonio GIOVINAZZI;;
17;0;4;2:08.953;2;;39.493;2;52.757;0;36.703;0;164.4;15:07.521;16:10;0:39.493;0:52.757;0:36.703;216.9;Antonio GIOVINAZZI;;
17;0;5;2:09.728;0;;40.210;0;52.516;0;37.002;0;163.4;17:17.249;16:12;0:40.210;0:52.516;0:37.002;216.0;Antonio GIOVINAZZI;;
17;0;6;2:14.654;0;;45.993;0;51.716;2;36.945;0;157.5;19:31.903;16:14;0:45.993;0:51.716;0:36.945;216.0;Antonio GIOVINAZZI;;
17;0;7;2:10.477;0;;41.095;0;52.153;0;37.229;0;162.5;21:42.380;16:16;0:41.095;0:52.153;0:37.229;216.9;Antonio GIOVINAZZI;;
17;0;8;2:10.429;0;;39.921;0;52.337;0;38.171;0;162.6;23:52.809;16:18;0:39.921;0:52.337;0:38.171;214.7;Antonio GIOVINAZZI;;
17;0;9;2:14.399;0;;41.332;0;54.927;0;38.140;0;157.8;26:07.208;16:21;0:41.332;0:54.927;0:38.140;214.3;Antonio GIOVINAZZI;;
