NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;
1;0;1;3:25.060;0;;56.950;0;1:36.340;0;51.770;0;123.0;3:25.060;11:18;0:56.950;1:36.340;0:51.770;123.3;Bert LONGIN;;
1;0;2;6:33.090;0;;4:20.347;0;1:27.652;0;45.091;0;64.1;9:58.150;11:24;4:20.347;1:27.652;0:45.091;164.9;Bert LONGIN;0:03:23;
1;0;3;2:49.491;0;;47.388;0;1:20.213;0;41.890;0;148.8;12:47.641;11:27;0:47.388;1:20.213;0:41.890;180.9;Bert LONGIN;;
1;0;4;2:38.351;0;;45.012;0;1:14.123;0;39.216;0;159.2;15:25.992;11:30;0:45.012;1:14.123;0:39.216;221.3;Bert LONGIN;;
1;0;5;4:12.545;0;;2:16.679;0;1:15.789;0;40.077;0;99.8;19:38.537;11:34;2:16.679;1:15.789;0:40.077;207.7;Bert LONGIN;0:01:26;
1;0;6;2:33.814;0;;43.056;0;1:11.579;0;39.179;0;163.9;22:12.351;11:37;0:43.056;1:11.579;0:39.179;234.3;Bert LONGIN;;
1;0;7;2:33.865;0;;43.027;0;1:11.704;0;39.134;0;163.9;24:46.216;11:39;0:43.027;1:11.704;0:39.134;234.3;Bert LONGIN;;
1;0;8;2:34.001;0;;42.973;0;1:11.691;0;39.337;0;163.7;27:20.217;11:42;0:42.973;1:11.691;0:39.337;242.7;Bert LONGIN;;
1;0;9;2:34.075;0;;42.909;0;1:11.994;0;39.172;0;163.6;29:54.292;11:44;0:42.909;1:11.994;0:39.172;246.6;Bert LONGIN;;
1;0;10;2:34.314;0;;42.669;0;1:12.391;0;39.254;0;163.4;32:28.606;11:47;0:42.669;1:12.391;0:39.254;242.7;Bert LONGIN;;
1;0;11;2:32.976;0;;42.500;0;1:11.924;0;38.552;2;164.8;35:01.582;11:50;0:42.500;1:11.924;0:38.552;244.9;Bert LONGIN;;
1;0;12;2:38.035;0;;42.663;0;1:12.017;0;43.355;0;159.5;37:39.617;11:52;0:42.663;1:12.017;0:43.355;245.5;Bert LONGIN;;
1;0;13;4:52.038;0;;2:57.709;0;1:14.853;0;39.476;0;86.3;42:31.655;11:57;2:57.709;1:14.853;0:39.476;202.6;Bert LONGIN;0:02:04;
1;0;14;2:31.924;0;;42.534;0;1:10.682;0;38.708;0;166.0;45:03.579;12:00;0:42.534;1:10.682;0:38.708;252.9;Bert LONGIN;;
1;0;15;2:34.214;0;;42.137;0;1:12.696;0;39.381;0;163.5;47:37.793;12:02;0:42.137;1:12.696;0:39.381;259.6;Bert LONGIN;;
1;0;16;4:25.415;0;;2:34.563;0;1:11.620;0;39.232;0;95.0;52:03.208;12:07;2:34.563;1:11.620;0:39.232;213.9;Bert LONGIN;0:01:46;
1;0;17;2:31.576;2;;41.862;2;1:10.678;2;39.036;0;166.3;54:34.784;12:09;0:41.862;1:10.678;0:39.036;256.5;Bert LONGIN;;
1;0;18;2:35.026;0;;42.055;0;1:12.803;0;40.168;0;162.6;57:09.810;12:12;0:42.055;1:12.803;0:40.168;247.1;Bert LONGIN;;
1;0;19;4:32.161;0;;2:40.331;0;1:12.197;0;39.633;0;92.6;1:01:41.971;12:16;2:40.331;1:12.197;0:39.633;220.4;Bert LONGIN;0:01:52;
10;0;1;4:26.007;0;;1:22.910;0;1:56.493;0;1:06.604;0;94.8;4:26.007;11:19;1:22.910;1:56.493;1:06.604;90.3;Melroy HEEMSKERK;;
10;0;2;4:21.714;0;;2:25.054;0;1:17.850;0;38.810;0;96.3;8:47.721;11:23;2:25.054;1:17.850;0:38.810;193.2;Melroy HEEMSKERK;0:01:22;
10;0;3;2:30.553;0;;43.103;0;1:09.388;0;38.062;3;167.5;11:18.274;11:26;0:43.103;1:09.388;0:38.062;237.9;Melroy HEEMSKERK;;
10;0;4;2:29.806;2;;41.953;2;1:08.553;3;39.300;0;168.3;13:48.080;11:28;0:41.953;1:08.553;0:39.300;257.1;Melroy HEEMSKERK;;
10;0;5;5:00.086;0;;3:10.961;0;1:10.422;0;38.703;0;84.0;18:48.166;11:33;3:10.961;1:10.422;0:38.703;215.6;Melroy HEEMSKERK;0:02:19;
10;0;6;5:05.598;0;;3:02.521;0;1:22.369;0;40.708;0;82.5;23:53.764;11:38;3:02.521;1:22.369;0:40.708;157.0;Melroy HEEMSKERK;0:02:01;
10;0;7;2:37.571;0;;43.727;0;1:13.406;0;40.438;0;160.0;26:31.335;11:41;0:43.727;1:13.406;0:40.438;240.5;Melroy HEEMSKERK;;
10;0;8;2:34.323;0;;42.809;0;1:11.844;0;39.670;0;163.4;29:05.658;11:44;0:42.809;1:11.844;0:39.670;238.9;Melroy HEEMSKERK;;
10;0;9;2:34.887;0;;42.651;0;1:12.235;0;40.001;0;162.8;31:40.545;11:46;0:42.651;1:12.235;0:40.001;251.2;Melroy HEEMSKERK;;
10;0;10;2:35.932;0;;42.793;0;1:12.306;0;40.833;0;161.7;34:16.477;11:49;0:42.793;1:12.306;0:40.833;245.5;Melroy HEEMSKERK;;
10;0;11;2:35.302;0;;43.282;0;1:12.332;0;39.688;0;162.4;36:51.779;11:51;0:43.282;1:12.332;0:39.688;239.5;Melroy HEEMSKERK;;
10;0;12;2:34.268;0;;42.800;0;1:12.197;0;39.271;0;163.4;39:26.047;11:54;0:42.800;1:12.197;0:39.271;242.2;Melroy HEEMSKERK;;
10;0;13;2:35.442;0;;42.885;0;1:13.318;0;39.239;0;162.2;42:01.489;11:57;0:42.885;1:13.318;0:39.239;238.9;Melroy HEEMSKERK;;
10;0;14;2:36.481;0;;42.968;0;1:13.775;0;39.738;0;161.1;44:37.970;11:59;0:42.968;1:13.775;0:39.738;242.2;Melroy HEEMSKERK;;
