NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;
1;2;1;42:13.752;0;;40:44.005;0;58.223;0;31.524;0;10.0;42:13.752;19:32;40:44.005;0:58.223;0:31.524;288.0;Marcel FÄSSLER;0:40:12;
1;2;2;1:59.865;0;;34.979;0;53.519;0;31.367;0;210.4;44:13.617;19:34;0:34.979;0:53.519;0:31.367;298.3;Marcel FÄSSLER;;
1;2;3;2:24.788;0;B;34.721;2;57.147;0;52.920;0;174.1;46:38.405;19:36;0:34.721;0:57.147;0:52.920;298.3;Marcel FÄSSLER;;
1;2;4;6:31.569;0;;5:05.004;0;54.887;0;31.678;0;64.4;53:09.973;19:43;5:05.004;0:54.887;0:31.678;293.5;Marcel FÄSSLER;0:04:39;
1;2;5;1:59.545;0;;34.945;0;53.264;0;31.336;0;210.9;55:09.518;19:45;0:34.945;0:53.264;0:31.336;297.5;Marcel FÄSSLER;;
1;2;6;1:59.336;2;;34.888;0;53.164;3;31.284;2;211.3;57:08.854;19:47;0:34.888;0:53.164;0:31.284;294.3;Marcel FÄSSLER;;
1;2;7;2:08.459;0;B;34.843;0;55.341;0;38.275;0;196.3;59:17.313;19:49;0:34.843;0:55.341;0:38.275;297.5;Marcel FÄSSLER;;
1;0;8;3:02.607;0;;1:34.616;0;55.856;0;32.135;0;138.1;1:02:19.920;19:52;1:34.616;0:55.856;0:32.135;292.7;André LOTTERER;0:01:09;
1;0;9;2:00.174;0;;34.920;1;53.753;1;31.501;1;209.8;1:04:20.094;19:54;0:34.920;0:53.753;0:31.501;293.5;André LOTTERER;;
1;0;10;2:06.939;0;;35.511;0;57.345;0;34.083;0;198.6;1:06:27.033;19:56;0:35.511;0:57.345;0:34.083;291.9;André LOTTERER;;
1;0;11;2:00.792;0;;34.938;0;54.257;0;31.597;0;208.7;1:08:27.825;19:58;0:34.938;0:54.257;0:31.597;296.7;André LOTTERER;;
1;0;12;2:10.703;0;B;34.986;0;55.136;0;40.581;0;192.9;1:10:38.528;20:00;0:34.986;0:55.136;0:40.581;296.7;André LOTTERER;;
12;2;1;43:20.817;0;;41:45.917;0;58.362;0;36.538;0;9.7;43:20.817;19:33;41:45.917;0:58.362;0:36.538;257.1;Nick HEIDFELD;0:41:12;
12;2;2;2:00.983;0;;35.653;0;53.696;0;31.634;0;208.4;45:21.800;19:35;0:35.653;0:53.696;0:31.634;288.8;Nick HEIDFELD;;
12;2;3;2:54.785;0;B;36.716;0;1:18.162;0;59.907;0;144.3;48:16.585;19:38;0:36.716;1:18.162;0:59.907;249.4;Nick HEIDFELD;;
12;2;4;6:03.260;0;;4:29.812;0;59.958;0;33.490;0;69.4;54:19.844;19:44;4:29.812;0:59.958;0:33.490;286.5;Nick HEIDFELD;0:04:03;
