NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;
1;0;1;2:53.393;0;;39.764;0;1:24.860;0;48.769;0;145.4;2:53.393;13:52;0:39.764;1:24.860;0:48.769;169.8;Bert LONGIN;0:00:02;
1;0;2;2:33.344;0;;42.816;0;1:12.052;0;38.476;0;164.4;5:26.737;13:55;0:42.816;1:12.052;0:38.476;238.4;Bert LONGIN;;
1;0;3;2:28.744;2;;41.871;2;1:08.978;0;37.895;2;169.5;7:55.481;13:57;0:41.871;1:08.978;0:37.895;244.3;Bert LONGIN;;
1;0;4;2:31.484;0;;41.943;0;1:08.766;2;40.775;0;166.4;10:26.965;14:00;0:41.943;1:08.766;0:40.775;259.6;Bert LONGIN;;
10;0;1;5:00.160;0;;3:04.891;0;1:16.376;0;38.893;0;84.0;5:00.160;13:55;3:04.891;1:16.376;0:38.893;183.1;Melroy HEEMSKERK;0:02:32;
10;0;2;2:28.117;2;;41.734;2;1:08.585;2;37.798;2;170.2;7:28.277;13:57;0:41.734;1:08.585;0:37.798;243.8;Melroy HEEMSKERK;;
11;0;1;2:47.519;0;;53.721;0;1:13.574;0;40.224;0;150.5;2:47.519;13:52;0:53.721;1:13.574;0:40.224;204.5;Olivier VAN OOST;0:00:25;
11;0;2;2:36.143;2;;44.099;0;1:12.101;2;39.943;2;161.5;5:23.662;13:55;0:44.099;1:12.101;0:39.943;225.0;Olivier VAN OOST;;
11;0;3;2:37.137;0;;43.709;2;1:12.958;0;40.470;0;160.5;8:00.799;13:58;0:43.709;1:12.958;0:40.470;237.9;Olivier VAN OOST;;
11;0;4;2:38.313;0;;44.016;0;1:13.184;0;41.113;0;159.3;10:39.112;14:00;0:44.016;1:13.184;0:41.113;218.2;Olivier VAN OOST;;
12;1;1;3:48.639;0;;1:34.480;0;1:26.738;0;47.421;0;110.3;3:48.639;13:53;1:34.480;1:26.738;0:47.421;200.4;Sven VAN LAERE;0:00:58;
12;1;2;2:52.569;0;;48.911;0;1:18.844;2;44.814;0;146.1;6:41.208;13:56;0:48.911;1:18.844;0:44.814;225.9;Sven VAN LAERE;;
12;1;3;2:53.583;0;;48.209;0;1:20.368;0;45.006;0;145.3;9:34.791;13:59;0:48.209;1:20.368;0:45.006;235.3;Sven VAN LAERE;;
12;1;4;2:51.913;0;;47.884;0;1:19.532;0;44.497;0;146.7;12:26.704;14:02;0:47.884;1:19.532;0:44.497;234.3;Sven VAN LAERE;;
12;1;5;3:00.869;0;;47.698;0;1:23.572;0;49.599;0;139.4;15:27.573;14:05;0:47.698;1:23.572;0:49.599;238.4;Sven VAN LAERE;;
12;1;6;4:23.785;0;;2:11.862;0;1:25.866;0;46.057;0;95.6;19:51.358;14:09;2:11.862;1:25.866;0:46.057;208.1;Sven VAN LAERE;0:01:16;
12;1;7;2:50.921;2;;47.301;2;1:19.850;0;43.770;2;147.5;22:42.279;14:12;0:47.301;1:19.850;0:43.770;237.4;Sven VAN LAERE;;
14;0;1;2:45.768;0;;52.191;0;1:12.923;0;40.654;0;152.1;2:45.768;13:52;0:52.191;1:12.923;0:40.654;200.7;Sven HEYROWSKY;0:00:22;
14;0;2;2:36.916;0;;44.261;0;1:12.393;0;40.262;0;160.7;5:22.684;13:55;0:44.261;1:12.393;0:40.262;222.2;Sven HEYROWSKY;;
14;0;3;2:49.696;0;;44.743;0;1:22.149;0;42.804;0;148.6;8:12.380;13:58;0:44.743;1:22.149;0:42.804;216.4;Sven HEYROWSKY;;
