NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;3:02.637;0;;1:35.566;0;46.471;0;40.600;0;106.7;3:02.637;10:23;1:35.566;0:46.471;0:40.600;225.3;Mathias LAUDA;;;;;;
1;0;2;2:07.907;0;;41.482;0;46.372;0;40.053;0;152.3;5:10.544;10:25;0:41.482;0:46.372;0:40.053;228.1;Mathias LAUDA;;;;;;
1;0;3;2:07.512;0;;40.873;0;45.812;0;40.827;0;152.8;7:18.056;10:27;0:40.873;0:45.812;0:40.827;226.7;Mathias LAUDA;;;;;;
1;0;4;2:07.152;0;;41.049;0;45.973;0;40.130;0;153.2;9:25.208;10:29;0:41.049;0:45.973;0:40.130;227.2;Mathias LAUDA;;;;;;
1;0;5;2:07.066;0;;40.853;0;46.015;0;40.198;0;153.3;11:32.274;10:31;0:40.853;0:46.015;0:40.198;229.6;Mathias LAUDA;;;;;;
1;0;6;2:07.169;0;;40.828;0;46.048;0;40.293;0;153.2;13:39.443;10:33;0:40.828;0:46.048;0:40.293;228.1;Mathias LAUDA;;;;;;
1;0;7;7:56.303;0;;40.766;0;;0;;0;40.9;21:35.746;10:41;0:40.766;;;229.1;Mathias LAUDA;;;;;;
1;0;8;2:07.132;0;;41.094;0;45.907;0;40.131;0;153.3;23:42.878;10:43;0:41.094;0:45.907;0:40.131;227.2;Mathias LAUDA;;;;;;
1;0;9;2:08.077;0;;40.686;2;47.072;0;40.319;0;152.1;25:50.955;10:45;0:40.686;0:47.072;0:40.319;228.1;Mathias LAUDA;;;;;;
1;0;10;2:06.888;0;;40.923;0;46.015;0;39.950;2;153.5;27:57.843;10:47;0:40.923;0:46.015;0:39.950;229.6;Mathias LAUDA;;;;;;
1;0;11;2:06.840;2;;40.933;0;45.746;2;40.161;0;153.6;30:04.683;10:50;0:40.933;0:45.746;0:40.161;229.6;Mathias LAUDA;;;;;;
10;0;1;4:22.810;0;;;0;;0;;0;74.1;4:22.810;10:24;;;;;Vikash ANAND;;;;;;
10;0;2;2:09.649;0;;41.496;0;46.869;0;41.284;0;150.3;6:32.459;10:26;0:41.496;0:46.869;0:41.284;223.9;Vikash ANAND;;;;;;
