NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;3:53.236;0;;2:25.222;0;47.345;0;40.669;0;83.5;3:53.236;14:33;2:25.222;0:47.345;0:40.669;187.5;Mathias LAUDA;;;;;;
1;0;2;2:06.575;0;;40.804;0;45.674;0;40.097;0;153.9;5:59.811;14:35;0:40.804;0:45.674;0:40.097;225.3;Mathias LAUDA;;;;;;
1;0;3;2:05.991;0;;40.519;0;45.471;0;40.001;0;154.6;8:05.802;14:38;0:40.519;0:45.471;0:40.001;226.7;Mathias LAUDA;;;;;;
1;0;4;6:30.383;0;;42.434;0;;0;;0;49.9;14:36.185;14:44;0:42.434;;;227.6;Mathias LAUDA;;;;;;
1;0;5;6:09.071;0;;42.283;0;;0;;0;52.8;20:45.255;14:50;0:42.283;;;215.9;Mathias LAUDA;;;;;;
1;0;6;2:07.443;0;;40.940;0;46.362;0;40.141;0;152.9;22:52.698;14:52;0:40.940;0:46.362;0:40.141;224.3;Mathias LAUDA;;;;;;
1;0;7;2:06.817;0;;40.849;0;46.102;0;39.866;2;153.6;24:59.515;14:54;0:40.849;0:46.102;0:39.866;225.3;Mathias LAUDA;;;;;;
1;0;8;2:05.600;2;;40.467;0;45.227;2;39.906;0;155.1;27:05.115;14:57;0:40.467;0:45.227;0:39.906;226.2;Mathias LAUDA;;;;;;
1;0;9;2:05.916;0;;40.598;0;45.237;0;40.081;0;154.7;29:11.031;14:59;0:40.598;0:45.237;0:40.081;227.2;Mathias LAUDA;;;;;;
1;0;10;2:06.132;0;;40.577;0;45.395;0;40.160;0;154.5;31:17.163;15:01;0:40.577;0:45.395;0:40.160;227.6;Mathias LAUDA;;;;;;
10;0;1;4:06.533;0;;2:34.995;0;50.252;0;41.286;0;79.0;4:06.533;14:34;2:34.995;0:50.252;0:41.286;203.7;Vikash ANAND;;;;;;
10;0;2;2:07.230;0;;41.648;0;45.902;0;39.680;0;153.1;6:13.763;14:36;0:41.648;0:45.902;0:39.680;222.5;Vikash ANAND;;;;;;
10;0;3;2:07.244;0;;41.943;0;45.531;0;39.770;0;153.1;8:21.007;14:38;0:41.943;0:45.531;0:39.770;226.2;Vikash ANAND;;;;;;
10;0;4;2:05.516;0;;40.738;0;45.117;0;39.661;0;155.2;10:26.523;14:40;0:40.738;0:45.117;0:39.661;226.2;Vikash ANAND;;;;;;
10;0;5;2:06.202;0;;40.794;0;45.067;2;40.341;0;154.4;12:32.725;14:42;0:40.794;0:45.067;0:40.341;227.2;Vikash ANAND;;;;;;
10;0;6;2:05.392;0;;40.589;0;45.284;0;39.519;2;155.4;14:38.117;14:44;0:40.589;0:45.284;0:39.519;227.6;Vikash ANAND;;;;;;
10;0;7;6:30.117;0;;40.912;0;;0;;0;49.9;21:08.233;14:51;0:40.912;;;226.2;Vikash ANAND;;;;;;
10;0;8;2:07.757;0;;41.597;0;46.337;0;39.823;0;152.5;23:15.990;14:53;0:41.597;0:46.337;0:39.823;225.3;Vikash ANAND;;;;;;
10;0;9;2:08.723;0;;40.843;0;47.900;0;39.980;0;151.4;25:24.713;14:55;0:40.843;0:47.900;0:39.980;225.8;Vikash ANAND;;;;;;
10;0;10;2:07.326;0;;40.632;0;46.890;0;39.804;0;153.0;27:32.039;14:57;0:40.632;0:46.890;0:39.804;224.8;Vikash ANAND;;;;;;
10;0;11;2:05.597;0;;40.615;0;45.233;0;39.749;0;155.1;29:37.636;14:59;0:40.615;0:45.233;0:39.749;225.8;Vikash ANAND;;;;;;
10;0;12;2:05.551;0;;40.801;0;45.151;0;39.599;0;155.2;31:43.187;15:01;0:40.801;0:45.151;0:39.599;226.7;Vikash ANAND;;;;;;
10;0;13;2:05.282;2;;40.429;2;45.171;0;39.682;0;155.5;33:48.469;15:03;0:40.429;0:45.171;0:39.682;225.8;Vikash ANAND;;;;;;
11;0;1;3:37.066;0;;2:07.453;0;48.266;0;41.347;0;89.8;3:37.066;14:33;2:07.453;0:48.266;0:41.347;193.2;Freddie HUNT;;;;;;
11;0;2;2:07.605;0;;41.395;0;45.952;0;40.258;0;152.7;5:44.671;14:35;0:41.395;0:45.952;0:40.258;222.5;Freddie HUNT;;;;;;
11;0;3;2:06.764;0;;41.105;0;45.620;2;40.039;0;153.7;7:51.435;14:37;0:41.105;0:45.620;0:40.039;224.8;Freddie HUNT;;;;;;
11;0;4;2:07.363;0;;40.537;2;46.420;0;40.406;0;153.0;9:58.798;14:39;0:40.537;0:46.420;0:40.406;225.8;Freddie HUNT;;;;;;
11;0;5;2:17.491;0;;40.922;0;45.886;0;50.683;0;141.7;12:16.289;14:42;0:40.922;0:45.886;0:50.683;225.8;Freddie HUNT;;;;;;
11;0;6;2:07.942;0;;40.541;0;46.077;0;41.324;0;152.3;14:24.231;14:44;0:40.541;0:46.077;0:41.324;226.2;Freddie HUNT;;;;;;
11;0;7;2:14.149;0;;41.207;0;49.046;0;43.896;0;145.2;16:38.380;14:46;0:41.207;0:49.046;0:43.896;224.8;Freddie HUNT;;;;;;
11;0;8;5:30.610;0;;44.531;0;;0;;0;58.9;22:08.989;14:52;0:44.531;;;184.0;Freddie HUNT;;;;;;
11;0;9;2:10.391;0;;42.852;0;46.940;0;40.599;0;149.4;24:19.380;14:54;0:42.852;0:46.940;0:40.599;215.4;Freddie HUNT;;;;;;
11;0;10;2:06.765;0;;41.048;0;45.835;0;39.882;0;153.7;26:26.145;14:56;0:41.048;0:45.835;0:39.882;224.3;Freddie HUNT;;;;;;
11;0;11;2:06.923;0;;41.249;0;45.686;0;39.988;0;153.5;28:33.068;14:58;0:41.249;0:45.686;0:39.988;224.8;Freddie HUNT;;;;;;
11;0;12;2:08.442;0;;41.035;0;46.082;0;41.325;0;151.7;30:41.510;15:00;0:41.035;0:46.082;0:41.325;226.2;Freddie HUNT;;;;;;
11;0;13;2:06.496;2;;40.577;0;46.099;0;39.820;2;154.0;32:48.006;15:02;0:40.577;0:46.099;0:39.820;225.8;Freddie HUNT;;;;;;
11;0;14;2:06.528;0;;40.675;0;45.630;0;40.223;0;154.0;34:54.534;15:04;0:40.675;0:45.630;0:40.223;226.2;Freddie HUNT;;;;;;
12;0;1;4:01.668;0;;2:27.944;0;50.553;0;43.171;0;80.6;4:01.668;14:34;2:27.944;0:50.553;0:43.171;148.6;Vinicius PAPARELI;;;;;;
12;0;2;2:08.341;0;;41.870;0;46.057;0;40.414;0;151.8;6:10.009;14:36;0:41.870;0:46.057;0:40.414;220.7;Vinicius PAPARELI;;;;;;
12;0;3;2:07.745;0;;41.188;0;46.312;0;40.245;0;152.5;8:17.754;14:38;0:41.188;0:46.312;0:40.245;223.9;Vinicius PAPARELI;;;;;;
12;0;4;2:07.213;0;;41.224;0;45.867;0;40.122;0;153.2;10:24.967;14:40;0:41.224;0:45.867;0:40.122;223.9;Vinicius PAPARELI;;;;;;
12;0;5;2:07.087;0;;41.030;0;45.562;0;40.495;0;153.3;12:32.054;14:42;0:41.030;0:45.562;0:40.495;218.5;Vinicius PAPARELI;;;;;;
12;0;6;8:31.573;0;;40.824;0;;0;;0;38.1;21:03.626;14:51;0:40.824;;;224.3;Vinicius PAPARELI;;;;;;
12;0;7;2:09.193;0;;42.669;0;46.291;0;40.233;0;150.8;23:12.819;14:53;0:42.669;0:46.291;0:40.233;214.2;Vinicius PAPARELI;;;;;;
12;0;8;2:14.505;0;;41.243;0;52.216;0;41.046;0;144.9;25:27.324;14:55;0:41.243;0:52.216;0:41.046;222.5;Vinicius PAPARELI;;;;;;
12;0;9;2:06.771;2;;41.004;0;45.912;0;39.855;2;153.7;27:34.095;14:57;0:41.004;0:45.912;0:39.855;223.9;Vinicius PAPARELI;;;;;;
12;0;10;2:15.599;0;;40.832;0;45.172;2;49.595;0;143.7;29:49.694;14:59;0:40.832;0:45.172;0:49.595;225.8;Vinicius PAPARELI;;;;;;
12;0;11;2:07.507;0;;41.373;0;45.737;0;40.397;0;152.8;31:57.201;15:01;0:41.373;0:45.737;0:40.397;223.9;Vinicius PAPARELI;;;;;;
12;0;12;2:07.543;0;;40.763;2;45.493;0;41.287;0;152.8;34:04.744;15:04;0:40.763;0:45.493;0:41.287;225.8;Vinicius PAPARELI;;;;;;
15;0;1;1:58.458;0;;;0;;0;;0;164.5;1:58.458;14:31;;;;;Advait DEODHAR;;;;;;
15;0;2;2:19.429;0;;47.034;0;49.353;0;43.042;0;139.7;4:17.887;14:34;0:47.034;0:49.353;0:43.042;152.6;Advait DEODHAR;;;;;;
15;0;3;2:08.030;0;;41.542;0;46.193;0;40.295;0;152.2;6:25.917;14:36;0:41.542;0:46.193;0:40.295;219.4;Advait DEODHAR;;;;;;
15;0;4;2:07.282;2;;40.934;2;46.158;0;40.190;2;153.1;8:33.199;14:38;0:40.934;0:46.158;0:40.190;222.0;Advait DEODHAR;;;;;;
