NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;
1;1;1;37:50.569;0;;36:13.499;0;49.253;0;47.817;0;8.7;37:50.569;18:42;36:13.499;0:49.253;0:47.817;241.1;Loïc DUVAL;0:35:49.357;
1;1;2;1:51.217;0;;23.854;1;42.611;0;44.752;0;178.5;39:41.786;18:44;0:23.854;0:42.611;0:44.752;229.3;Loïc DUVAL;;
1;1;3;1:53.630;0;;24.356;0;43.148;0;46.126;0;174.8;41:35.416;18:46;0:24.356;0:43.148;0:46.126;217.3;Loïc DUVAL;;
1;1;4;1:50.929;0;;23.854;0;42.571;0;44.504;2;179.0;43:26.345;18:48;0:23.854;0:42.571;0:44.504;251.2;Loïc DUVAL;;
1;1;5;1:53.831;0;B;24.343;0;42.301;1;47.187;0;174.4;45:20.176;18:50;0:24.343;0:42.301;0:47.187;250.0;Loïc DUVAL;;
1;0;6;3:28.428;0;;1:59.653;0;42.994;0;45.781;0;95.3;48:48.604;18:53;1:59.653;0:42.994;0:45.781;240.5;Lucas DI GRASSI;0:01:39.480;
1;0;7;1:50.881;2;;23.613;0;42.084;0;45.184;0;179.1;50:39.485;18:55;0:23.613;0:42.084;0:45.184;232.3;Lucas DI GRASSI;;
1;0;8;1:50.914;0;;23.822;0;42.032;0;45.060;0;179.0;52:30.399;18:57;0:23.822;0:42.032;0:45.060;242.7;Lucas DI GRASSI;;
1;0;9;2:11.589;0;B;34.168;0;48.795;0;48.626;0;150.9;54:41.988;18:59;0:34.168;0:48.795;0:48.626;198.9;Lucas DI GRASSI;;
1;0;10;5:51.923;0;;4:18.748;0;42.187;0;50.988;0;56.4;1:00:33.910;19:05;4:18.748;0:42.187;0:50.988;243.2;Lucas DI GRASSI;0:03:59.645;
1;0;11;1:51.011;0;;24.030;0;41.930;0;45.051;0;178.9;1:02:24.921;19:07;0:24.030;0:41.930;0:45.051;226.4;Lucas DI GRASSI;;
1;0;12;1:50.097;0;;23.476;2;41.790;2;44.831;1;180.4;1:04:15.018;19:09;0:23.476;0:41.790;0:44.831;243.2;Lucas DI GRASSI;;
12;2;1;35:45.305;0;;34:12.095;0;45.982;0;47.228;0;9.3;35:45.305;18:40;34:12.095;0:45.982;0:47.228;280.5;Mathias BECHE;0:33:49.860;
12;2;2;1:54.054;0;;24.358;0;43.445;0;46.251;0;174.1;37:39.359;18:42;0:24.358;0:43.445;0:46.251;288.0;Mathias BECHE;;
12;2;3;1:53.271;0;;24.204;0;43.136;2;45.931;2;175.3;39:32.630;18:44;0:24.204;0:43.136;0:45.931;288.0;Mathias BECHE;;
12;2;4;1:53.269;2;;23.937;2;43.384;0;45.948;0;175.3;41:25.899;18:46;0:23.937;0:43.384;0:45.948;288.8;Mathias BECHE;;
12;2;5;2:01.198;0;B;24.391;0;44.554;0;52.253;0;163.8;43:27.097;18:48;0:24.391;0:44.554;0:52.253;238.9;Mathias BECHE;;
12;1;6;4:50.874;0;;3:09.057;0;46.128;0;55.689;0;68.3;48:17.971;18:53;3:09.057;0:46.128;0:55.689;286.5;Nick HEIDFELD;0:02:47.990;
12;1;7;1:54.699;0;;24.398;0;43.586;1;46.715;1;173.1;50:12.670;18:55;0:24.398;0:43.586;0:46.715;288.0;Nick HEIDFELD;;
13;2;1;34:30.669;0;;32:53.380;0;45.962;0;51.327;0;9.6;34:30.669;18:39;32:53.380;0:45.962;0:51.327;237.4;Fabio LEIMER;0:32:29.471;
13;2;2;1:54.173;2;;24.216;2;43.856;0;46.101;2;173.9;36:24.842;18:41;0:24.216;0:43.856;0:46.101;287.2;Fabio LEIMER;;
13;2;3;2:02.845;0;;24.516;0;48.033;0;50.296;0;161.6;38:27.687;18:43;0:24.516;0:48.033;0:50.296;254.1;Fabio LEIMER;;
13;2;4;1:54.184;0;;24.256;0;43.483;1;46.445;0;173.9;40:21.871;18:45;0:24.256;0:43.483;0:46.445;286.5;Fabio LEIMER;;
