NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;
1;0;1;1:37.528;0;;22.724;0;29.263;0;45.541;0;168.4;1:37.528;14:55;0:22.724;0:29.263;0:45.541;184.3;Takamoto KATSUTA;;
1;0;2;1:36.179;0;;21.785;0;28.900;0;45.494;0;170.8;3:13.707;14:56;0:21.785;0:28.900;0:45.494;251.7;Takamoto KATSUTA;;
1;0;3;1:35.844;2;;21.670;0;28.712;0;45.462;3;171.4;4:49.551;14:58;0:21.670;0:28.712;0:45.462;252.3;Takamoto KATSUTA;;
1;0;4;1:36.090;0;;21.706;0;28.768;0;45.616;0;171.0;6:25.641;15:00;0:21.706;0:28.768;0:45.616;252.3;Takamoto KATSUTA;;
1;0;5;1:35.960;0;;21.701;0;28.670;2;45.589;0;171.2;8:01.601;15:01;0:21.701;0:28.670;0:45.589;252.3;Takamoto KATSUTA;;
1;0;6;1:36.094;0;;21.708;0;28.760;0;45.626;0;170.9;9:37.695;15:03;0:21.708;0:28.760;0:45.626;252.9;Takamoto KATSUTA;;
1;0;7;1:36.030;0;;21.745;0;28.710;0;45.575;0;171.1;11:13.725;15:04;0:21.745;0:28.710;0:45.575;252.9;Takamoto KATSUTA;;
1;0;8;1:36.015;0;;21.732;0;28.725;0;45.558;0;171.1;12:49.740;15:06;0:21.732;0:28.725;0:45.558;252.9;Takamoto KATSUTA;;
1;0;9;1:36.311;0;;21.782;0;28.723;0;45.806;0;170.6;14:26.051;15:08;0:21.782;0:28.723;0:45.806;252.9;Takamoto KATSUTA;;
1;0;10;1:36.260;0;;21.719;0;28.785;0;45.756;0;170.7;16:02.311;15:09;0:21.719;0:28.785;0:45.756;253.5;Takamoto KATSUTA;;
1;0;11;1:36.321;0;;21.713;0;28.822;0;45.786;0;170.5;17:38.632;15:11;0:21.713;0:28.822;0:45.786;252.9;Takamoto KATSUTA;;
1;0;12;1:36.635;0;;21.658;0;29.022;0;45.955;0;170.0;19:15.267;15:13;0:21.658;0:29.022;0:45.955;252.9;Takamoto KATSUTA;;
1;0;13;1:36.558;0;;21.741;0;28.906;0;45.911;0;170.1;20:51.825;15:14;0:21.741;0:28.906;0:45.911;252.9;Takamoto KATSUTA;;
1;0;14;1:36.401;0;;21.727;0;28.794;0;45.880;0;170.4;22:28.226;15:16;0:21.727;0:28.794;0:45.880;253.5;Takamoto KATSUTA;;
1;0;15;1:36.501;0;;21.639;2;28.945;0;45.917;0;170.2;24:04.727;15:17;0:21.639;0:28.945;0:45.917;252.9;Takamoto KATSUTA;;
1;0;16;1:36.530;0;;21.713;0;28.911;0;45.906;0;170.2;25:41.257;15:19;0:21.713;0:28.911;0:45.906;254.1;Takamoto KATSUTA;;
