NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
0;0;1;1:42.170;0;;27.123;0;51.334;0;23.713;0;151.8;1:42.170;14:01;0:27.123;0:51.334;0:23.713;;Constantino JUNIOR;;;;;;
0;0;2;1:37.271;0;;24.587;0;49.111;0;23.573;2;159.5;3:19.441;14:03;0:24.587;0:49.111;0:23.573;251.2;Constantino JUNIOR;;;;;;
0;0;3;1:36.081;2;;24.154;2;48.269;2;23.658;0;161.5;4:55.522;14:04;0:24.154;0:48.269;0:23.658;254.1;Constantino JUNIOR;;;;;;
0;0;4;2:10.026;0;B;28.593;0;59.349;0;42.084;0;119.3;7:05.548;14:07;0:28.593;0:59.349;0:42.084;250.6;Constantino JUNIOR;;;;;;
1;0;1;1:47.185;0;;30.875;0;52.615;0;23.695;0;144.7;1:47.185;14:01;0:30.875;0:52.615;0:23.695;;Ricardo ROSSET;;;;;;
1;0;2;1:36.540;0;;24.523;0;48.394;0;23.623;0;160.7;3:23.725;14:03;0:24.523;0:48.394;0:23.623;253.5;Ricardo ROSSET;;;;;;
1;0;3;1:35.933;2;;24.273;2;48.145;2;23.515;2;161.7;4:59.658;14:04;0:24.273;0:48.145;0:23.515;255.9;Ricardo ROSSET;;;;;;
1;0;4;2:12.349;0;B;28.878;0;59.124;0;44.347;0;117.2;7:12.007;14:07;0:28.878;0:59.124;0:44.347;254.7;Ricardo ROSSET;;;;;;
10;0;1;3:10.769;0;;1:46.649;0;59.786;0;24.334;0;81.3;3:10.769;14:03;1:46.649;0:59.786;0:24.334;;Adalberto BAPTISTA;;S;;;;
10;0;2;1:40.333;0;;26.503;0;49.937;0;23.893;0;154.6;4:51.102;14:04;0:26.503;0:49.937;0:23.893;243.2;Adalberto BAPTISTA;;S;;;;
10;0;3;1:37.207;0;;24.711;0;48.646;2;23.850;0;159.6;6:28.309;14:06;0:24.711;0:48.646;0:23.850;251.7;Adalberto BAPTISTA;;S;;;;
10;0;4;1:36.976;2;;24.445;2;48.942;0;23.589;2;160.0;8:05.285;14:08;0:24.445;0:48.942;0:23.589;252.3;Adalberto BAPTISTA;;S;;;;
10;0;5;1:37.144;0;;24.581;0;48.927;0;23.636;0;159.7;9:42.429;14:09;0:24.581;0:48.927;0:23.636;252.9;Adalberto BAPTISTA;;S;;;;
10;0;6;1:37.270;0;;24.458;0;49.009;0;23.803;0;159.5;11:19.699;14:11;0:24.458;0:49.009;0:23.803;254.7;Adalberto BAPTISTA;;S;;;;
10;0;7;1:51.700;0;B;24.570;0;49.093;0;38.037;0;138.9;13:11.399;14:13;0:24.570;0:49.093;0:38.037;255.3;Adalberto BAPTISTA;;S;;;;
13;0;1;1:58.336;0;;38.808;0;55.195;0;24.333;0;131.1;1:58.336;14:01;0:38.808;0:55.195;0:24.333;;Pedro QUEIROLO;;;;;;
13;0;2;1:50.199;0;;28.446;0;58.010;0;23.743;0;140.8;3:48.535;14:03;0:28.446;0:58.010;0:23.743;252.3;Pedro QUEIROLO;;;;;;
13;0;3;1:36.432;2;;24.400;0;48.416;0;23.616;0;160.9;5:24.967;14:05;0:24.400;0:48.416;0:23.616;253.5;Pedro QUEIROLO;;;;;;
13;0;4;1:36.567;0;;24.362;0;48.605;0;23.600;2;160.6;7:01.534;14:07;0:24.362;0:48.605;0:23.600;254.1;Pedro QUEIROLO;;;;;;
13;0;5;1:36.531;0;;24.407;0;48.276;2;23.848;0;160.7;8:38.065;14:08;0:24.407;0:48.276;0:23.848;254.1;Pedro QUEIROLO;;;;;;
13;0;6;1:45.145;0;;24.232;2;56.330;0;24.583;0;147.5;10:23.210;14:10;0:24.232;0:56.330;0:24.583;253.5;Pedro QUEIROLO;;;;;;
13;0;7;1:37.591;0;;24.766;0;48.852;0;23.973;0;159.0;12:00.801;14:12;0:24.766;0:48.852;0:23.973;255.3;Pedro QUEIROLO;;;;;;
13;0;8;1:36.575;0;;24.297;0;48.664;0;23.614;0;160.6;13:37.376;14:13;0:24.297;0:48.664;0:23.614;254.1;Pedro QUEIROLO;;;;;;
13;0;9;1:48.250;0;;33.427;0;50.859;0;23.964;0;143.3;15:25.626;14:15;0:33.427;0:50.859;0:23.964;253.5;Pedro QUEIROLO;;;;;;
15;0;1;1:57.620;0;;37.089;0;56.143;0;24.388;0;131.9;1:57.620;14:01;0:37.089;0:56.143;0:24.388;;Marcel VISCONDE;;;;;;
15;0;2;1:45.518;0;;27.127;0;54.700;0;23.691;0;147.0;3:43.138;14:03;0:27.127;0:54.700;0:23.691;247.7;Marcel VISCONDE;;;;;;
15;0;3;1:37.125;0;;24.615;0;48.770;0;23.740;0;159.7;5:20.263;14:05;0:24.615;0:48.770;0:23.740;254.1;Marcel VISCONDE;;;;;;
15;0;4;1:36.748;0;;24.404;0;48.653;0;23.691;0;160.3;6:57.011;14:06;0:24.404;0:48.653;0:23.691;253.5;Marcel VISCONDE;;;;;;
15;0;5;1:36.216;2;;24.299;2;48.387;2;23.530;2;161.2;8:33.227;14:08;0:24.299;0:48.387;0:23.530;253.5;Marcel VISCONDE;;;;;;
15;0;6;2:44.043;0;B;32.447;0;1:14.260;0;57.336;0;94.6;11:17.270;14:11;0:32.447;1:14.260;0:57.336;253.5;Marcel VISCONDE;;;;;;
17;0;1;2:52.082;0;;1:26.667;0;1:00.373;0;25.042;0;90.1;2:52.082;14:02;1:26.667;1:00.373;0:25.042;;Marcelo STALLONE;;M;;;;
17;0;2;1:39.092;0;;25.556;0;49.552;0;23.984;0;156.5;4:31.174;14:04;0:25.556;0:49.552;0:23.984;248.8;Marcelo STALLONE;;M;;;;
17;0;3;1:37.708;0;;24.749;0;49.235;0;23.724;2;158.8;6:08.882;14:06;0:24.749;0:49.235;0:23.724;252.3;Marcelo STALLONE;;M;;;;
17;0;4;1:37.374;2;;24.622;0;48.887;2;23.865;0;159.3;7:46.256;14:07;0:24.622;0:48.887;0:23.865;253.5;Marcelo STALLONE;;M;;;;
17;0;5;2:13.364;0;B;24.536;2;49.281;0;59.547;0;116.3;9:59.620;14:09;0:24.536;0:49.281;0:59.547;253.5;Marcelo STALLONE;;M;;;;
18;0;1;3:17.713;0;;1:51.451;0;1:01.963;0;24.299;0;78.5;3:17.713;14:03;1:51.451;1:01.963;0:24.299;;Carlos AMBRÓSIO;0:01:12.047;S;;;;
18;0;2;1:44.198;0;;24.923;0;55.285;0;23.990;0;148.9;5:01.911;14:05;0:24.923;0:55.285;0:23.990;251.2;Carlos AMBRÓSIO;;S;;;;
18;0;3;1:37.342;0;;24.792;0;48.634;0;23.916;0;159.4;6:39.253;14:06;0:24.792;0:48.634;0:23.916;254.1;Carlos AMBRÓSIO;;S;;;;
18;0;4;1:37.357;0;;24.764;0;48.685;0;23.908;0;159.3;8:16.610;14:08;0:24.764;0:48.685;0:23.908;252.9;Carlos AMBRÓSIO;;S;;;;
18;0;5;1:37.167;0;;24.646;0;48.810;0;23.711;0;159.6;9:53.777;14:09;0:24.646;0:48.810;0:23.711;252.3;Carlos AMBRÓSIO;;S;;;;
18;0;6;1:36.571;2;;24.669;0;48.413;2;23.489;3;160.6;11:30.348;14:11;0:24.669;0:48.413;0:23.489;253.5;Carlos AMBRÓSIO;;S;;;;
18;0;7;1:37.157;0;;24.584;2;48.901;0;23.672;0;159.7;13:07.505;14:13;0:24.584;0:48.901;0:23.672;254.7;Carlos AMBRÓSIO;;S;;;;
18;0;8;2:04.972;0;B;28.448;0;57.983;0;38.541;0;124.1;15:12.477;14:15;0:28.448;0:57.983;0:38.541;251.7;Carlos AMBRÓSIO;;S;;;;
20;0;1;3:00.396;0;;1:38.960;0;56.357;0;25.079;0;86.0;3:00.396;14:03;1:38.960;0:56.357;0:25.079;;Carlos SILVEIRA;;M;;;;
20;0;2;1:39.734;0;;25.645;0;49.827;0;24.262;0;155.5;4:40.130;14:04;0:25.645;0:49.827;0:24.262;247.7;Carlos SILVEIRA;;M;;;;
20;0;3;1:38.123;0;;25.026;0;49.097;0;24.000;0;158.1;6:18.253;14:06;0:25.026;0:49.097;0:24.000;252.9;Carlos SILVEIRA;;M;;;;
20;0;4;1:38.146;0;;25.372;0;49.005;0;23.769;2;158.1;7:56.399;14:07;0:25.372;0:49.005;0:23.769;245.5;Carlos SILVEIRA;;M;;;;
20;0;5;1:38.377;0;;25.234;0;49.175;0;23.968;0;157.7;9:34.776;14:09;0:25.234;0:49.175;0:23.968;250.0;Carlos SILVEIRA;;M;;;;
20;0;6;1:37.962;2;;24.999;2;48.997;2;23.966;0;158.4;11:12.738;14:11;0:24.999;0:48.997;0:23.966;248.8;Carlos SILVEIRA;;M;;;;
20;0;7;1:57.072;0;B;26.664;0;52.542;0;37.866;0;132.5;13:09.810;14:13;0:26.664;0:52.542;0:37.866;247.1;Carlos SILVEIRA;;M;;;;
27;0;1;1:57.248;0;;36.530;0;55.940;0;24.778;0;132.3;1:57.248;14:01;0:36.530;0:55.940;0:24.778;;Ricardo BAPTISTA;;;;;;
27;0;2;1:42.459;0;;26.461;0;52.077;0;23.921;0;151.4;3:39.707;14:03;0:26.461;0:52.077;0:23.921;244.3;Ricardo BAPTISTA;;;;;;
27;0;3;1:36.910;0;;24.606;0;48.634;0;23.670;0;160.1;5:16.617;14:05;0:24.606;0:48.634;0:23.670;252.9;Ricardo BAPTISTA;;;;;;
27;0;4;1:35.971;2;;24.282;2;48.150;2;23.539;2;161.6;6:52.588;14:06;0:24.282;0:48.150;0:23.539;252.9;Ricardo BAPTISTA;;;;;;
27;0;5;2:06.899;0;B;28.534;0;58.527;0;39.838;0;122.2;8:59.487;14:08;0:28.534;0:58.527;0:39.838;252.3;Ricardo BAPTISTA;;;;;;
3;0;1;2:15.427;0;;49.406;0;1:01.948;0;24.073;0;114.5;2:15.427;14:02;0:49.406;1:01.948;0:24.073;;Franco GIAFFONE;;S;;;;
3;0;2;1:44.720;0;;26.723;0;54.239;0;23.758;0;148.1;4:00.147;14:04;0:26.723;0:54.239;0:23.758;252.9;Franco GIAFFONE;;S;;;;
3;0;3;1:36.482;0;;24.312;0;48.569;0;23.601;2;160.8;5:36.629;14:05;0:24.312;0:48.569;0:23.601;254.7;Franco GIAFFONE;;S;;;;
3;0;4;1:36.769;0;;24.318;0;48.493;0;23.958;0;160.3;7:13.398;14:07;0:24.318;0:48.493;0:23.958;255.3;Franco GIAFFONE;;S;;;;
3;0;5;1:36.285;2;;24.218;0;48.407;2;23.660;0;161.1;8:49.683;14:08;0:24.218;0:48.407;0:23.660;253.5;Franco GIAFFONE;;S;;;;
3;0;6;1:36.635;0;;24.190;0;48.666;0;23.779;0;160.5;10:26.318;14:10;0:24.190;0:48.666;0:23.779;254.7;Franco GIAFFONE;;S;;;;
3;0;7;2:05.376;0;;33.602;0;1:03.694;0;28.080;0;123.7;12:31.694;14:12;0:33.602;1:03.694;0:28.080;222.7;Franco GIAFFONE;;S;;;;
3;0;8;1:51.949;0;;30.457;0;57.826;0;23.666;0;138.6;14:23.643;14:14;0:30.457;0:57.826;0:23.666;176.8;Franco GIAFFONE;;S;;;;
3;0;9;1:37.789;0;;24.110;2;48.881;0;24.798;0;158.6;16:01.432;14:16;0:24.110;0:48.881;0:24.798;254.1;Franco GIAFFONE;;S;;;;
34;0;1;2:26.245;0;;1:05.714;0;56.661;0;23.870;0;106.1;2:26.245;14:02;1:05.714;0:56.661;0:23.870;;Maurizio BILLI;;M;;;;
34;0;2;1:39.378;0;;24.683;0;51.134;0;23.561;2;156.1;4:05.623;14:04;0:24.683;0:51.134;0:23.561;254.1;Maurizio BILLI;;M;;;;
34;0;3;1:40.011;0;;24.434;0;51.689;0;23.888;0;155.1;5:45.634;14:05;0:24.434;0:51.689;0:23.888;258.4;Maurizio BILLI;;M;;;;
34;0;4;1:36.698;0;;24.357;0;48.755;0;23.586;0;160.4;7:22.332;14:07;0:24.357;0:48.755;0:23.586;254.7;Maurizio BILLI;;M;;;;
34;0;5;1:36.585;0;;24.445;0;48.543;2;23.597;0;160.6;8:58.917;14:08;0:24.445;0:48.543;0:23.597;255.3;Maurizio BILLI;;M;;;;
34;0;6;1:36.456;0;;24.338;0;48.553;0;23.565;0;160.8;10:35.373;14:10;0:24.338;0:48.553;0:23.565;255.3;Maurizio BILLI;;M;;;;
