NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;
1;0;1;1:59.572;0;;38.918;0;48.832;0;31.822;0;177.4;1:59.572;10:31;0:38.918;0:48.832;0:31.822;237.4;Nicholas LATIFI;;
1;0;2;1:53.965;0;;35.019;0;47.498;0;31.448;0;186.1;3:53.537;10:32;0:35.019;0:47.498;0:31.448;237.4;Nicholas LATIFI;;
1;0;3;1:57.526;0;;34.823;0;47.368;0;35.335;0;180.4;5:51.063;10:34;0:34.823;0:47.368;0:35.335;237.4;Nicholas LATIFI;;
1;0;4;2:14.027;0;;42.794;0;54.551;0;36.682;0;158.2;8:05.090;10:37;0:42.794;0:54.551;0:36.682;204.2;Nicholas LATIFI;;
1;0;5;3:03.961;0;;38.871;0;1:13.545;0;1:11.545;0;115.3;11:09.051;10:40;0:38.871;1:13.545;1:11.545;65.5;Nicholas LATIFI;;
1;0;6;2:50.825;0;;57.093;0;1:11.748;0;41.984;0;124.1;13:59.876;10:43;0:57.093;1:11.748;0:41.984;118.0;Nicholas LATIFI;;
1;0;7;1:56.856;0;;35.699;0;49.342;0;31.815;0;181.5;15:56.732;10:44;0:35.699;0:49.342;0:31.815;238.4;Nicholas LATIFI;;
1;0;8;1:53.462;0;;34.892;0;47.371;0;31.199;0;186.9;17:50.194;10:46;0:34.892;0:47.371;0:31.199;238.9;Nicholas LATIFI;;
1;0;9;1:53.120;0;;34.686;0;47.124;0;31.310;0;187.5;19:43.314;10:48;0:34.686;0:47.124;0:31.310;240.0;Nicholas LATIFI;;
1;0;10;1:53.248;0;;34.740;0;47.162;0;31.346;0;187.3;21:36.562;10:50;0:34.740;0:47.162;0:31.346;239.5;Nicholas LATIFI;;
1;0;11;1:53.231;0;;34.780;0;47.041;0;31.410;0;187.3;23:29.793;10:52;0:34.780;0:47.041;0:31.410;239.5;Nicholas LATIFI;;
1;0;12;1:53.170;0;;34.810;0;47.107;0;31.253;0;187.4;25:22.963;10:54;0:34.810;0:47.107;0:31.253;241.1;Nicholas LATIFI;;
1;0;13;1:53.194;0;;34.848;0;47.171;0;31.175;2;187.3;27:16.157;10:56;0:34.848;0:47.171;0:31.175;240.0;Nicholas LATIFI;;
1;0;14;1:52.842;2;;34.659;2;46.909;2;31.274;0;187.9;29:08.999;10:58;0:34.659;0:46.909;0:31.274;240.5;Nicholas LATIFI;;
1;0;15;1:53.147;0;;34.729;0;47.107;0;31.311;0;187.4;31:02.146;11:00;0:34.729;0:47.107;0:31.311;239.5;Nicholas LATIFI;;
1;0;16;1:53.346;0;;34.763;0;47.276;0;31.307;0;187.1;32:55.492;11:01;0:34.763;0:47.276;0:31.307;240.0;Nicholas LATIFI;;
1;0;17;1:53.334;0;;34.815;0;47.253;0;31.266;0;187.1;34:48.826;11:03;0:34.815;0:47.253;0:31.266;241.1;Nicholas LATIFI;;
1;0;18;1:53.840;0;;34.777;0;47.676;0;31.387;0;186.3;36:42.666;11:05;0:34.777;0:47.676;0:31.387;242.2;Nicholas LATIFI;;
10;0;1;2:06.400;0;;42.670;0;51.104;0;32.626;0;167.8;2:06.400;10:31;0:42.670;0:51.104;0:32.626;243.8;John BRYANT-MEISNER;;
10;0;2;1:57.382;0;;35.767;0;49.300;0;32.315;0;180.7;4:03.782;10:33;0:35.767;0:49.300;0:32.315;240.5;John BRYANT-MEISNER;;
10;0;3;1:55.725;0;;34.956;0;47.789;0;32.980;0;183.3;5:59.507;10:35;0:34.956;0:47.789;0:32.980;235.8;John BRYANT-MEISNER;;
10;0;4;2:13.389;0;;43.430;0;54.483;0;35.476;0;159.0;8:12.896;10:37;0:43.430;0:54.483;0:35.476;200.0;John BRYANT-MEISNER;;
10;0;5;3:05.998;0;;38.732;0;1:14.255;0;1:13.011;0;114.0;11:18.894;10:40;0:38.732;1:14.255;1:13.011;75.5;John BRYANT-MEISNER;;
10;0;6;2:45.025;0;;56.030;0;1:09.279;0;39.716;0;128.5;14:03.919;10:43;0:56.030;1:09.279;0:39.716;99.8;John BRYANT-MEISNER;;
10;0;7;1:55.900;0;;35.486;0;48.258;0;32.156;0;183.0;15:59.819;10:45;0:35.486;0:48.258;0:32.156;242.7;John BRYANT-MEISNER;;
10;0;8;1:55.625;0;;35.670;0;48.160;0;31.795;0;183.4;17:55.444;10:46;0:35.670;0:48.160;0:31.795;237.9;John BRYANT-MEISNER;;
10;0;9;1:53.986;0;;34.961;0;47.656;0;31.369;0;186.0;19:49.430;10:48;0:34.961;0:47.656;0:31.369;237.4;John BRYANT-MEISNER;;
10;0;10;1:54.217;0;;34.966;0;47.637;0;31.614;0;185.7;21:43.647;10:50;0:34.966;0:47.637;0:31.614;241.1;John BRYANT-MEISNER;;
10;0;11;1:54.396;0;;34.859;2;47.933;0;31.604;0;185.4;23:38.043;10:52;0:34.859;0:47.933;0:31.604;237.4;John BRYANT-MEISNER;;
10;0;12;1:54.177;0;;35.047;0;47.608;0;31.522;0;185.7;25:32.220;10:54;0:35.047;0:47.608;0:31.522;237.4;John BRYANT-MEISNER;;
10;0;13;1:53.909;0;;34.941;0;47.583;2;31.385;0;186.2;27:26.129;10:56;0:34.941;0:47.583;0:31.385;238.4;John BRYANT-MEISNER;;
10;0;14;1:54.365;0;;35.092;0;47.639;0;31.634;0;185.4;29:20.494;10:58;0:35.092;0:47.639;0:31.634;240.5;John BRYANT-MEISNER;;
10;0;15;1:54.062;0;;34.921;0;47.635;0;31.506;0;185.9;31:14.556;11:00;0:34.921;0:47.635;0:31.506;239.5;John BRYANT-MEISNER;;
10;0;16;1:56.650;0;;35.759;0;48.920;0;31.971;0;181.8;33:11.206;11:02;0:35.759;0:48.920;0:31.971;239.5;John BRYANT-MEISNER;;
10;0;17;1:56.229;0;;35.886;0;48.665;0;31.678;0;182.5;35:07.435;11:04;0:35.886;0:48.665;0:31.678;247.1;John BRYANT-MEISNER;;
10;0;18;1:53.851;2;;34.928;0;47.630;0;31.293;2;186.3;37:01.286;11:06;0:34.928;0:47.630;0:31.293;242.7;John BRYANT-MEISNER;;
11;0;1;2:10.222;0;B;40.647;0;50.241;0;39.334;0;162.9;2:10.222;10:31;0:40.647;0:50.241;0:39.334;242.7;Richard GODDARD;;
