NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;2:30.019;0;;;0;;0;;0;129.9;2:30.019;14:27;;;;;Zaid ASHKANANI;;G;;Al Nabooda Racing;;
1;0;2;2:11.009;0;;42.749;0;47.538;0;40.722;0;148.7;4:41.028;14:29;0:42.749;0:47.538;0:40.722;187.5;Zaid ASHKANANI;;G;;Al Nabooda Racing;;
1;0;3;2:07.636;0;;40.194;0;46.787;0;40.655;0;152.6;6:48.664;14:31;0:40.194;0:46.787;0:40.655;228.1;Zaid ASHKANANI;;G;;Al Nabooda Racing;;
1;0;4;2:07.149;0;;39.889;0;46.930;0;40.330;0;153.2;8:55.813;14:33;0:39.889;0:46.930;0:40.330;229.6;Zaid ASHKANANI;;G;;Al Nabooda Racing;;
1;0;5;2:06.628;0;;39.682;0;46.467;0;40.479;0;153.9;11:02.441;14:36;0:39.682;0:46.467;0:40.479;230.1;Zaid ASHKANANI;;G;;Al Nabooda Racing;;
1;0;6;2:06.670;0;;39.699;0;46.549;0;40.422;0;153.8;13:09.111;14:38;0:39.699;0:46.549;0:40.422;229.1;Zaid ASHKANANI;;G;;Al Nabooda Racing;;
1;0;7;2:06.918;0;;39.920;0;46.526;0;40.472;0;153.5;15:16.029;14:40;0:39.920;0:46.526;0:40.472;230.6;Zaid ASHKANANI;;G;;Al Nabooda Racing;;
1;0;8;4:40.986;0;;39.816;0;;0;;0;69.3;19:57.015;14:44;0:39.816;;;229.1;Zaid ASHKANANI;;G;;Al Nabooda Racing;;
1;0;9;2:15.390;0;;43.323;0;49.651;0;42.416;0;143.9;22:12.405;14:47;0:43.323;0:49.651;0:42.416;190.4;Zaid ASHKANANI;;G;;Al Nabooda Racing;;
1;0;10;2:09.700;0;;40.177;0;47.584;0;41.939;0;150.2;24:22.105;14:49;0:40.177;0:47.584;0:41.939;226.2;Zaid ASHKANANI;;G;;Al Nabooda Racing;;
1;0;11;2:07.097;0;;39.525;2;46.629;0;40.943;0;153.3;26:29.202;14:51;0:39.525;0:46.629;0:40.943;234.5;Zaid ASHKANANI;;G;;Al Nabooda Racing;;
1;0;12;2:05.823;0;;39.612;0;46.205;0;40.006;2;154.8;28:35.025;14:53;0:39.612;0:46.205;0:40.006;234.0;Zaid ASHKANANI;;G;;Al Nabooda Racing;;
1;0;13;2:05.679;2;;39.536;0;46.056;2;40.087;0;155.0;30:40.704;14:55;0:39.536;0:46.056;0:40.087;235.6;Zaid ASHKANANI;;G;;Al Nabooda Racing;;
11;0;1;15:25.543;0;;;0;;0;;0;21.1;15:25.543;14:40;;;;;Hasher AL MAKTOUM;;G;;Sky Dive Dubai Falcons;;
11;0;2;2:07.256;0;;40.551;0;46.603;0;40.102;0;153.1;17:32.799;14:42;0:40.551;0:46.603;0:40.102;205.6;Hasher AL MAKTOUM;;G;;Sky Dive Dubai Falcons;;
11;0;3;2:05.458;2;;39.747;0;45.867;2;39.844;2;155.3;19:38.257;14:44;0:39.747;0:45.867;0:39.844;222.5;Hasher AL MAKTOUM;;G;;Sky Dive Dubai Falcons;;
11;0;4;2:05.718;0;;39.623;0;46.138;0;39.957;0;155.0;21:43.975;14:46;0:39.623;0:46.138;0:39.957;238.2;Hasher AL MAKTOUM;;G;;Sky Dive Dubai Falcons;;
11;0;5;2:05.870;0;;39.538;2;46.451;0;39.881;0;154.8;23:49.845;14:48;0:39.538;0:46.451;0:39.881;221.6;Hasher AL MAKTOUM;;G;;Sky Dive Dubai Falcons;;
11;0;6;2:05.653;0;;39.549;0;45.952;0;40.152;0;155.1;25:55.498;14:50;0:39.549;0:45.952;0:40.152;232.5;Hasher AL MAKTOUM;;G;;Sky Dive Dubai Falcons;;
14;0;1;20:58.108;0;;;0;;0;;0;15.5;20:58.108;14:45;;;;;Charlie FRIJNS;;G;;Frijns Structural Steel ME;;
14;0;2;2:30.185;0;;50.138;0;55.978;0;44.069;0;129.7;23:28.293;14:48;0:50.138;0:55.978;0:44.069;178.8;Charlie FRIJNS;;G;;Frijns Structural Steel ME;;
14;0;3;2:07.612;0;;40.257;0;46.713;0;40.642;0;152.7;25:35.905;14:50;0:40.257;0:46.713;0:40.642;231.5;Charlie FRIJNS;;G;;Frijns Structural Steel ME;;
14;0;4;2:05.542;2;;39.535;0;46.009;0;39.998;2;155.2;27:41.447;14:52;0:39.535;0:46.009;0:39.998;238.2;Charlie FRIJNS;;G;;Frijns Structural Steel ME;;
14;0;5;2:05.896;0;;39.487;2;45.987;0;40.422;0;154.8;29:47.343;14:54;0:39.487;0:45.987;0:40.422;235.6;Charlie FRIJNS;;G;;Frijns Structural Steel ME;;
14;0;6;2:06.184;0;;39.526;0;45.961;2;40.697;0;154.4;31:53.527;14:56;0:39.526;0:45.961;0:40.697;233.5;Charlie FRIJNS;;G;;Frijns Structural Steel ME;;
15;0;1;1:53.927;0;;;0;;0;;0;171.0;1:53.927;14:26;;;;;Rob FRIJNS;;B;;Frijns Structural Steel ME;;
15;0;2;2:13.964;0;;42.810;0;49.243;0;41.911;0;145.4;4:07.891;14:29;0:42.810;0:49.243;0:41.911;172.3;Rob FRIJNS;;B;;Frijns Structural Steel ME;;
15;0;3;2:10.178;0;;41.050;0;47.800;0;41.328;0;149.7;6:18.069;14:31;0:41.050;0:47.800;0:41.328;209.6;Rob FRIJNS;;B;;Frijns Structural Steel ME;;
15;0;4;2:22.405;0;;40.818;0;49.730;0;51.857;0;136.8;8:40.474;14:33;0:40.818;0:49.730;0:51.857;218.5;Rob FRIJNS;;B;;Frijns Structural Steel ME;;
15;0;5;4:49.022;0;;42.804;0;;0;;0;67.4;13:29.496;14:38;0:42.804;;;182.7;Rob FRIJNS;;B;;Frijns Structural Steel ME;;
15;0;6;2:32.763;0;;50.527;0;57.207;0;45.029;0;127.5;16:02.259;14:41;0:50.527;0:57.207;0:45.029;187.8;Rob FRIJNS;;B;;Frijns Structural Steel ME;;
15;0;7;2:10.848;0;;40.916;0;48.644;0;41.288;0;148.9;18:13.107;14:43;0:40.916;0:48.644;0:41.288;213.7;Rob FRIJNS;;B;;Frijns Structural Steel ME;;
15;0;8;2:09.414;2;;40.691;0;47.583;2;41.140;0;150.5;20:22.521;14:45;0:40.691;0:47.583;0:41.140;217.6;Rob FRIJNS;;B;;Frijns Structural Steel ME;;
15;0;9;2:09.441;0;;40.563;2;47.836;0;41.042;2;150.5;22:31.962;14:47;0:40.563;0:47.836;0:41.042;210.4;Rob FRIJNS;;B;;Frijns Structural Steel ME;;
2;0;1;1:35.388;0;;;0;;0;;0;204.3;1:35.388;14:26;;;;;Jeffrey SCHMIDT;;G;;Al Nabooda Racing;;
2;0;2;2:06.927;0;;40.280;0;46.271;0;40.376;0;153.5;3:42.315;14:28;0:40.280;0:46.271;0:40.376;223.9;Jeffrey SCHMIDT;;G;;Al Nabooda Racing;;
2;0;3;2:06.448;0;;39.790;0;46.328;0;40.330;0;154.1;5:48.763;14:30;0:39.790;0:46.328;0:40.330;228.6;Jeffrey SCHMIDT;;G;;Al Nabooda Racing;;
2;0;4;2:06.469;0;;39.738;0;46.406;0;40.325;0;154.1;7:55.232;14:32;0:39.738;0:46.406;0:40.325;229.1;Jeffrey SCHMIDT;;G;;Al Nabooda Racing;;
2;0;5;11:34.278;0;;39.799;0;;0;;0;28.1;19:29.510;14:44;0:39.799;;;230.1;Jeffrey SCHMIDT;;G;;Al Nabooda Racing;;
2;0;6;2:08.137;0;;40.851;0;46.852;0;40.434;0;152.0;21:37.647;14:46;0:40.851;0:46.852;0:40.434;206.0;Jeffrey SCHMIDT;;G;;Al Nabooda Racing;;
2;0;7;2:05.117;0;;39.493;0;45.824;0;39.800;2;155.7;23:42.764;14:48;0:39.493;0:45.824;0:39.800;235.1;Jeffrey SCHMIDT;;G;;Al Nabooda Racing;;
2;0;8;2:04.610;3;;39.288;3;45.409;3;39.913;0;156.4;25:47.374;14:50;0:39.288;0:45.409;0:39.913;237.1;Jeffrey SCHMIDT;;G;;Al Nabooda Racing;;
21;0;1;14:11.368;0;;;0;;0;;0;22.9;14:11.368;14:39;;;;;Magnus ÖHMAN;;B;;Mtech;;
21;0;2;2:15.758;0;;44.693;0;48.957;0;42.108;0;143.5;16:27.126;14:41;0:44.693;0:48.957;0:42.108;177.9;Magnus ÖHMAN;;B;;Mtech;;
21;0;3;2:08.931;0;;40.867;0;47.436;0;40.628;0;151.1;18:36.057;14:43;0:40.867;0:47.436;0:40.628;207.2;Magnus ÖHMAN;;B;;Mtech;;
21;0;4;2:07.954;0;;39.994;0;47.390;0;40.570;0;152.3;20:44.011;14:45;0:39.994;0:47.390;0:40.570;220.2;Magnus ÖHMAN;;B;;Mtech;;
21;0;5;2:07.506;0;;40.153;0;47.131;0;40.222;2;152.8;22:51.517;14:47;0:40.153;0:47.131;0:40.222;226.2;Magnus ÖHMAN;;B;;Mtech;;
21;0;6;2:07.090;2;;39.766;2;46.844;2;40.480;0;153.3;24:58.607;14:49;0:39.766;0:46.844;0:40.480;233.0;Magnus ÖHMAN;;B;;Mtech;;
21;0;7;2:07.330;0;;39.951;0;46.904;0;40.475;0;153.0;27:05.937;14:52;0:39.951;0:46.904;0:40.475;223.4;Magnus ÖHMAN;;B;;Mtech;;
32;0;1;4:09.038;0;;;0;;0;;0;78.2;4:09.038;14:29;;;;;Ryan CULLEN;;G;;Cullen Motorsport;;
32;0;2;2:15.728;0;;44.108;0;50.461;0;41.159;0;143.5;6:24.766;14:31;0:44.108;0:50.461;0:41.159;172.0;Ryan CULLEN;;G;;Cullen Motorsport;;
32;0;3;2:06.035;0;;39.672;0;46.374;0;39.989;0;154.6;8:30.801;14:33;0:39.672;0:46.374;0:39.989;228.6;Ryan CULLEN;;G;;Cullen Motorsport;;
