NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;3:47.115;0;;2:25.588;0;32.592;0;48.935;0;72.3;3:47.115;15:03;2:25.588;0:32.592;0:48.935;127.5;Alex YOONG;0:02:04.523;;;Audi TEDA Racing Team;;
1;0;2;1:41.476;3;;22.133;2;31.590;3;47.753;3;161.9;5:28.591;15:05;0:22.133;0:31.590;0:47.753;274.1;Alex YOONG;;;;Audi TEDA Racing Team;;
1;0;3;2:05.948;0;B;23.659;0;36.266;0;1:06.023;0;130.4;7:34.539;15:07;0:23.659;0:36.266;1:06.023;202.6;Alex YOONG;;;;Audi TEDA Racing Team;;
11;0;1;1:50.461;0;;28.118;0;33.091;0;49.252;0;148.7;1:50.461;15:01;0:28.118;0:33.091;0:49.252;130.6;Kyong-Ouk YOU;0:00:06.610;4R;;Audi Korea;;
11;0;2;1:41.870;2;;22.183;2;31.774;2;47.913;2;161.3;3:32.331;15:03;0:22.183;0:31.774;0:47.913;266.0;Kyong-Ouk YOU;;4R;;Audi Korea;;
11;0;3;1:59.280;0;B;23.040;0;33.488;0;1:02.752;0;137.7;5:31.611;15:05;0:23.040;0:33.488;1:02.752;232.8;Kyong-Ouk YOU;;4R;;Audi Korea;;
26;0;1;4:24.058;0;;2:58.058;0;36.190;0;49.810;0;62.2;4:24.058;15:04;2:58.058;0:36.190;0:49.810;122.6;Wei Fung THONG;0:02:35.169;;;Starspeed Racing;;
26;0;2;1:41.979;2;;22.099;2;31.873;2;48.007;2;161.1;6:06.037;15:06;0:22.099;0:31.873;0:48.007;274.1;Wei Fung THONG;;;;Starspeed Racing;;
26;0;3;1:53.588;0;B;22.838;0;33.631;0;57.119;0;144.6;7:59.625;15:07;0:22.838;0:33.631;0:57.119;266.7;Wei Fung THONG;;;;Starspeed Racing;;
39;0;1;2:22.574;0;;57.746;0;34.724;0;50.104;0;115.2;2:22.574;15:02;0:57.746;0:34.724;0:50.104;120.1;Stefano MONTESI;0:00:36.015;4R;;Team Betterlife;;
39;0;2;1:48.252;2;;22.485;2;36.528;0;49.239;2;151.7;4:10.826;15:04;0:22.485;0:36.528;0:49.239;268.7;Stefano MONTESI;;4R;;Team Betterlife;;
39;0;3;2:11.508;0;B;24.283;0;33.387;2;1:13.838;0;124.9;6:22.334;15:06;0:24.283;0:33.387;1:13.838;184.0;Stefano MONTESI;;4R;;Team Betterlife;;
66;0;1;3:18.010;0;;1:55.876;0;33.135;0;48.999;0;83.0;3:18.010;15:03;1:55.876;0:33.135;0:48.999;127.4;Rahel FREY;0:01:34.406;;;Castrol Racing Team;;
66;0;2;1:42.047;2;;22.166;2;31.935;2;47.946;2;161.0;5:00.057;15:05;0:22.166;0:31.935;0:47.946;272.7;Rahel FREY;;;;Castrol Racing Team;;
66;0;3;1:51.250;0;B;22.494;0;32.873;0;55.883;0;147.7;6:51.307;15:06;0:22.494;0:32.873;0:55.883;250.0;Rahel FREY;;;;Castrol Racing Team;;
8;0;1;2:47.394;0;;1:25.637;0;32.932;0;48.825;0;98.1;2:47.394;15:02;1:25.637;0:32.932;0:48.825;130.9;Aditya PATEL;0:01:05.117;4R;;Team Audi R8 LMS Cup;;
8;0;2;1:41.695;2;;21.943;3;31.769;2;47.983;2;161.5;4:29.089;15:04;0:21.943;0:31.769;0:47.983;272.7;Aditya PATEL;;4R;;Team Audi R8 LMS Cup;;
8;0;3;1:57.408;0;B;22.795;0;34.118;0;1:00.495;0;139.9;6:26.497;15:06;0:22.795;0:34.118;1:00.495;230.8;Aditya PATEL;;4R;;Team Audi R8 LMS Cup;;
88;0;1;4:51.637;0;;3:26.618;0;35.032;0;49.987;0;56.3;4:51.637;15:04;3:26.618;0:35.032;0:49.987;122.6;Marchy LEE;0:03:05.032;4R;;Audi Hong Kong Team;;
88;0;2;1:41.630;2;;21.985;2;31.631;2;48.014;2;161.6;6:33.267;15:06;0:21.985;0:31.631;0:48.014;272.0;Marchy LEE;;4R;;Audi Hong Kong Team;;
88;0;3;2:08.959;0;B;24.838;0;39.116;0;1:05.005;0;127.4;8:42.226;15:08;0:24.838;0:39.116;1:05.005;242.7;Marchy LEE;;4R;;Audi Hong Kong Team;;
99;0;1;5:22.697;0;;3:57.785;0;34.350;0;50.562;0;50.9;5:22.697;15:05;3:57.785;0:34.350;0:50.562;110.0;Congfu CHENG;0:03:35.434;4R;;FAW-VW Audi Racing Team;;
99;0;2;1:41.984;2;;22.267;2;31.713;2;48.004;2;161.1;7:04.681;15:07;0:22.267;0:31.713;0:48.004;269.3;Congfu CHENG;;4R;;FAW-VW Audi Racing Team;;
99;0;3;1:58.948;0;B;22.659;0;33.926;0;1:02.363;0;138.1;9:03.629;15:09;0:22.659;0:33.926;1:02.363;251.2;Congfu CHENG;;4R;;FAW-VW Audi Racing Team;;
