NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;4:17.485;0;;2:41.439;0;40.172;0;55.874;0;63.8;4:17.485;10:04;2:41.439;0:40.172;0:55.874;88.7;Alex YOONG;0:02:13.441;;;Audi TEDA Racing Team;;
1;0;2;2:04.239;0;;24.480;0;36.837;0;1:02.922;0;132.2;6:21.724;10:06;0:24.480;0:36.837;1:02.922;213.9;Alex YOONG;;;;Audi TEDA Racing Team;;
1;0;3;1:50.406;0;;25.548;0;35.130;0;49.728;0;148.8;8:12.130;10:08;0:25.548;0:35.130;0:49.728;190.8;Alex YOONG;;;;Audi TEDA Racing Team;;
1;0;4;1:48.140;0;;23.156;0;33.477;0;51.507;0;151.9;10:00.270;10:10;0:23.156;0:33.477;0:51.507;238.9;Alex YOONG;;;;Audi TEDA Racing Team;;
1;0;5;2:02.990;0;B;25.781;0;35.931;0;1:01.278;0;133.6;12:03.260;10:12;0:25.781;0:35.931;1:01.278;178.2;Alex YOONG;;;;Audi TEDA Racing Team;;
1;0;6;5:47.052;0;;4:24.282;0;33.513;0;49.257;0;47.3;17:50.312;10:17;4:24.282;0:33.513;0:49.257;126.3;Alex YOONG;0:04:05.553;;;Audi TEDA Racing Team;;
1;0;7;1:44.211;0;;22.674;0;32.711;0;48.826;0;157.6;19:34.523;10:19;0:22.674;0:32.711;0:48.826;259.0;Alex YOONG;;;;Audi TEDA Racing Team;;
1;0;8;1:43.701;0;;22.404;0;32.468;0;48.829;0;158.4;21:18.224;10:21;0:22.404;0:32.468;0:48.829;262.1;Alex YOONG;;;;Audi TEDA Racing Team;;
1;0;9;1:49.906;0;B;22.686;0;32.881;0;54.339;0;149.5;23:08.130;10:23;0:22.686;0:32.881;0:54.339;259.0;Alex YOONG;;;;Audi TEDA Racing Team;;
1;0;10;4:54.873;0;;3:22.911;0;36.497;0;55.465;0;55.7;28:03.003;10:28;3:22.911;0:36.497;0:55.465;129.7;Alex YOONG;0:03:04.769;;;Audi TEDA Racing Team;;
1;0;11;1:47.240;0;;22.497;0;33.899;0;50.844;0;153.2;29:50.243;10:29;0:22.497;0:33.899;0:50.844;271.4;Alex YOONG;;;;Audi TEDA Racing Team;;
1;0;12;1:43.295;0;;22.343;0;32.294;0;48.658;0;159.0;31:33.538;10:31;0:22.343;0:32.294;0:48.658;271.4;Alex YOONG;;;;Audi TEDA Racing Team;;
1;0;13;1:53.051;0;B;22.385;0;32.302;0;58.364;0;145.3;33:26.589;10:33;0:22.385;0:32.302;0:58.364;270.0;Alex YOONG;;;;Audi TEDA Racing Team;;
1;0;14;5:46.585;0;;4:25.081;0;32.748;0;48.756;0;47.4;39:13.174;10:39;4:25.081;0:32.748;0:48.756;134.2;Alex YOONG;0:04:07.504;;;Audi TEDA Racing Team;;
1;0;15;1:42.960;0;;21.886;2;32.379;0;48.695;0;159.5;40:56.134;10:40;0:21.886;0:32.379;0:48.695;271.4;Alex YOONG;;;;Audi TEDA Racing Team;;
1;0;16;1:43.197;0;;22.469;0;32.081;0;48.647;0;159.2;42:39.331;10:42;0:22.469;0:32.081;0:48.647;269.3;Alex YOONG;;;;Audi TEDA Racing Team;;
1;0;17;1:42.136;0;;21.940;0;32.052;0;48.144;2;160.8;44:21.467;10:44;0:21.940;0:32.052;0:48.144;272.0;Alex YOONG;;;;Audi TEDA Racing Team;;
1;0;18;1:49.603;0;B;22.551;0;32.535;0;54.517;0;149.9;46:11.070;10:46;0:22.551;0:32.535;0:54.517;245.5;Alex YOONG;;;;Audi TEDA Racing Team;;
1;0;19;4:45.628;0;;3:24.932;0;32.458;0;48.238;0;57.5;50:56.698;10:50;3:24.932;0:32.458;0:48.238;135.8;Alex YOONG;0:03:07.418;;;Audi TEDA Racing Team;;
1;0;20;1:42.022;2;;22.048;0;31.722;2;48.252;0;161.0;52:38.720;10:52;0:22.048;0:31.722;0:48.252;273.4;Alex YOONG;;;;Audi TEDA Racing Team;;
1;0;21;1:49.359;0;B;22.631;0;32.367;0;54.361;0;150.2;54:28.079;10:54;0:22.631;0:32.367;0:54.361;273.4;Alex YOONG;;;;Audi TEDA Racing Team;;
11;0;1;2:28.062;0;;50.895;0;42.031;0;55.136;0;110.9;2:28.062;10:02;0:50.895;0:42.031;0:55.136;82.3;Kyong-Ouk YOU;0:00:23.377;4R;;Audi Korea;;
11;0;2;1:53.637;0;;24.667;0;36.328;0;52.642;0;144.6;4:21.699;10:04;0:24.667;0:36.328;0:52.642;188.8;Kyong-Ouk YOU;;4R;;Audi Korea;;
11;0;3;1:50.249;0;;24.365;0;34.866;0;51.018;0;149.0;6:11.948;10:06;0:24.365;0:34.866;0:51.018;188.8;Kyong-Ouk YOU;;4R;;Audi Korea;;
11;0;4;1:46.318;0;;23.180;0;33.568;0;49.570;0;154.5;7:58.266;10:07;0:23.180;0:33.568;0:49.570;235.8;Kyong-Ouk YOU;;4R;;Audi Korea;;
11;0;5;2:00.930;0;B;22.716;0;32.953;0;1:05.261;0;135.8;9:59.196;10:09;0:22.716;0:32.953;1:05.261;257.8;Kyong-Ouk YOU;;4R;;Audi Korea;;
11;0;6;5:31.596;0;;4:05.701;0;33.747;0;52.148;0;49.5;15:30.792;10:15;4:05.701;0:33.747;0:52.148;131.4;Kyong-Ouk YOU;0:03:46.448;4R;;Audi Korea;;
11;0;7;1:45.085;0;;22.709;0;32.939;0;49.437;0;156.3;17:15.877;10:17;0:22.709;0:32.939;0:49.437;259.0;Kyong-Ouk YOU;;4R;;Audi Korea;;
