NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;2:32.383;0;;1:17.294;0;41.603;0;33.486;0;128.8;2:32.383;10:49;1:17.294;0:41.603;0:33.486;299.2;Anthony DAVIDSON;0:00:36.457;LMP1;H;Toyota Racing;Toyota;
1;0;2;1:50.010;0;;37.370;0;40.094;0;32.546;0;178.4;4:22.393;10:51;0:37.370;0:40.094;0:32.546;288.0;Anthony DAVIDSON;;LMP1;H;Toyota Racing;Toyota;
1;0;3;1:55.656;0;B;37.386;0;39.500;1;38.770;0;169.7;6:18.049;10:53;0:37.386;0:39.500;0:38.770;304.2;Anthony DAVIDSON;;LMP1;H;Toyota Racing;Toyota;
1;0;4;2:26.846;0;;1:13.705;0;40.729;0;32.412;0;133.6;8:44.895;10:55;1:13.705;0:40.729;0:32.412;304.2;Anthony DAVIDSON;0:00:41.155;LMP1;H;Toyota Racing;Toyota;
1;0;5;1:50.289;0;;37.317;1;40.926;0;32.046;0;177.9;10:35.184;10:57;0:37.317;0:40.926;0:32.046;304.2;Anthony DAVIDSON;;LMP1;H;Toyota Racing;Toyota;
1;0;6;1:49.750;0;;37.404;0;40.323;0;32.023;0;178.8;12:24.934;10:59;0:37.404;0:40.323;0:32.023;305.1;Anthony DAVIDSON;;LMP1;H;Toyota Racing;Toyota;
1;0;7;1:49.581;0;;37.505;0;39.885;0;32.191;0;179.1;14:14.515;11:01;0:37.505;0:39.885;0:32.191;305.9;Anthony DAVIDSON;;LMP1;H;Toyota Racing;Toyota;
1;0;8;2:01.028;0;B;37.475;0;40.224;0;43.329;0;162.1;16:15.543;11:03;0:37.475;0:40.224;0:43.329;305.9;Anthony DAVIDSON;;LMP1;H;Toyota Racing;Toyota;
1;0;9;10:41.280;0;;9:28.926;0;40.265;0;32.089;0;30.6;26:56.823;11:13;9:28.926;0:40.265;0:32.089;300.8;Anthony DAVIDSON;0:08:55.897;LMP1;H;Toyota Racing;Toyota;
1;0;10;1:50.510;0;;37.816;0;40.917;0;31.777;1;177.6;28:47.333;11:15;0:37.816;0:40.917;0:31.777;300.8;Anthony DAVIDSON;;LMP1;H;Toyota Racing;Toyota;
1;0;11;1:49.525;0;;37.390;0;40.283;0;31.852;0;179.2;30:36.858;11:17;0:37.390;0:40.283;0:31.852;300.0;Anthony DAVIDSON;;LMP1;H;Toyota Racing;Toyota;
1;0;12;1:50.838;0;;38.100;0;40.904;0;31.834;0;177.0;32:27.696;11:19;0:38.100;0:40.904;0:31.834;302.5;Anthony DAVIDSON;;LMP1;H;Toyota Racing;Toyota;
1;0;13;1:56.089;0;B;37.560;0;39.940;0;38.589;0;169.0;34:23.785;11:21;0:37.560;0:39.940;0:38.589;304.2;Anthony DAVIDSON;;LMP1;H;Toyota Racing;Toyota;
1;1;14;6:45.885;0;;5:31.995;0;41.573;0;32.317;0;48.3;41:09.670;11:28;5:31.995;0:41.573;0:32.317;302.5;Sébastien BUEMI;0:04:57.986;LMP1;H;Toyota Racing;Toyota;
1;1;15;1:49.610;0;;37.636;0;40.132;0;31.842;0;179.0;42:59.280;11:29;0:37.636;0:40.132;0:31.842;299.2;Sébastien BUEMI;;LMP1;H;Toyota Racing;Toyota;
1;1;16;1:49.974;0;;37.692;0;39.976;0;32.306;0;178.4;44:49.254;11:31;0:37.692;0:39.976;0:32.306;299.2;Sébastien BUEMI;;LMP1;H;Toyota Racing;Toyota;
1;1;17;1:50.355;0;;37.366;0;41.287;0;31.702;2;177.8;46:39.609;11:33;0:37.366;0:41.287;0:31.702;295.9;Sébastien BUEMI;;LMP1;H;Toyota Racing;Toyota;
1;1;18;1:49.151;0;;37.560;0;39.693;0;31.898;0;179.8;48:28.760;11:35;0:37.560;0:39.693;0:31.898;297.5;Sébastien BUEMI;;LMP1;H;Toyota Racing;Toyota;
1;1;19;1:56.880;0;B;37.338;0;40.669;0;38.873;0;167.9;50:25.640;11:37;0:37.338;0:40.669;0:38.873;304.2;Sébastien BUEMI;;LMP1;H;Toyota Racing;Toyota;
1;1;20;3:26.115;0;;2:13.888;0;40.080;0;32.147;0;95.2;53:51.755;11:40;2:13.888;0:40.080;0:32.147;303.4;Sébastien BUEMI;0:01:41.369;LMP1;H;Toyota Racing;Toyota;
1;1;21;1:48.059;0;;36.998;0;39.151;2;31.910;0;181.6;55:39.814;11:42;0:36.998;0:39.151;0:31.910;297.5;Sébastien BUEMI;;LMP1;H;Toyota Racing;Toyota;
1;1;22;1:49.220;0;;37.462;0;40.035;0;31.723;0;179.7;57:29.034;11:44;0:37.462;0:40.035;0:31.723;302.5;Sébastien BUEMI;;LMP1;H;Toyota Racing;Toyota;
1;1;23;1:56.842;0;B;37.127;0;40.837;0;38.878;0;167.9;59:25.876;11:46;0:37.127;0:40.837;0:38.878;300.8;Sébastien BUEMI;;LMP1;H;Toyota Racing;Toyota;
1;1;24;3:17.200;0;;1:57.490;0;43.424;0;36.286;0;99.5;1:02:43.076;11:49;1:57.490;0:43.424;0:36.286;241.1;Sébastien BUEMI;0:01:22.213;LMP1;H;Toyota Racing;Toyota;
1;1;25;1:47.724;2;;36.791;2;39.223;0;31.710;0;182.2;1:04:30.800;11:51;0:36.791;0:39.223;0:31.710;300.0;Sébastien BUEMI;;LMP1;H;Toyota Racing;Toyota;
1;1;26;1:50.293;0;;37.357;0;40.667;0;32.269;0;177.9;1:06:21.093;11:53;0:37.357;0:40.667;0:32.269;301.7;Sébastien BUEMI;;LMP1;H;Toyota Racing;Toyota;
