NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;1;1;2:04.008;0;;48.985;0;41.576;0;33.447;0;158.2;2:04.008;14:02;0:48.985;0:41.576;0:33.447;283.5;Sébastien BUEMI;0:00:07.072;LMP1;H;Toyota Racing;Toyota;
1;1;2;1:45.411;0;;36.177;1;38.178;2;31.056;0;186.2;3:49.419;14:03;0:36.177;0:38.178;0:31.056;302.5;Sébastien BUEMI;;LMP1;H;Toyota Racing;Toyota;
1;1;3;1:45.410;2;;36.216;0;38.179;0;31.015;2;186.2;5:34.829;14:05;0:36.216;0:38.179;0:31.015;301.7;Sébastien BUEMI;;LMP1;H;Toyota Racing;Toyota;
1;1;4;1:54.077;0;B;36.535;0;39.219;0;38.323;0;172.0;7:28.906;14:07;0:36.535;0:39.219;0:38.323;305.9;Sébastien BUEMI;;LMP1;H;Toyota Racing;Toyota;
1;0;5;3:48.674;0;;2:32.745;0;43.556;0;32.373;0;85.8;11:17.580;14:11;2:32.745;0:43.556;0:32.373;303.4;Anthony DAVIDSON;0:01:57.775;LMP1;H;Toyota Racing;Toyota;
1;0;6;1:49.548;0;;35.877;2;40.365;0;33.306;0;179.1;13:07.128;14:13;0:35.877;0:40.365;0:33.306;255.3;Anthony DAVIDSON;;LMP1;H;Toyota Racing;Toyota;
1;0;7;1:46.152;0;;36.363;0;38.663;0;31.126;0;184.9;14:53.280;14:14;0:36.363;0:38.663;0:31.126;302.5;Anthony DAVIDSON;;LMP1;H;Toyota Racing;Toyota;
1;0;8;1:46.142;0;;36.485;0;38.559;1;31.098;1;184.9;16:39.422;14:16;0:36.485;0:38.559;0:31.098;301.7;Anthony DAVIDSON;;LMP1;H;Toyota Racing;Toyota;
1;0;9;2:05.935;0;B;41.326;0;44.287;0;40.322;0;155.8;18:45.357;14:18;0:41.326;0:44.287;0:40.322;252.3;Anthony DAVIDSON;;LMP1;H;Toyota Racing;Toyota;
12;1;1;2:20.843;0;B;59.337;0;41.197;0;40.309;0;139.3;2:20.843;14:02;0:59.337;0:41.197;0:40.309;296.7;Mathias BECHE;0:00:20.450;LMP1;;Rebellion Racing;Rebellion;
