NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;2:10.215;0;;44.898;0;47.764;0;37.553;0;150.7;2:10.215;10:29;0:44.898;0:47.764;0:37.553;262.8;Alex YOONG;;;;Audi TEDA Racing Team;;
1;0;2;2:09.261;0;;43.933;0;47.471;0;37.857;0;151.8;4:19.476;10:31;0:43.933;0:47.471;0:37.857;259.0;Alex YOONG;;;;Audi TEDA Racing Team;;
1;0;3;2:09.335;0;;44.068;0;47.487;0;37.780;0;151.7;6:28.811;10:33;0:44.068;0:47.487;0:37.780;257.8;Alex YOONG;;;;Audi TEDA Racing Team;;
1;0;4;2:08.900;0;;44.037;0;47.554;0;37.309;0;152.2;8:37.711;10:35;0:44.037;0:47.554;0:37.309;262.8;Alex YOONG;;;;Audi TEDA Racing Team;;
1;0;5;2:08.908;0;;43.895;0;47.337;0;37.676;0;152.2;10:46.619;10:37;0:43.895;0:47.337;0:37.676;259.6;Alex YOONG;;;;Audi TEDA Racing Team;;
1;0;6;2:07.642;0;;43.502;2;47.037;0;37.103;0;153.7;12:54.261;10:39;0:43.502;0:47.037;0:37.103;270.0;Alex YOONG;;;;Audi TEDA Racing Team;;
1;0;7;2:08.571;0;;43.796;0;47.199;0;37.576;0;152.6;15:02.832;10:41;0:43.796;0:47.199;0:37.576;260.9;Alex YOONG;;;;Audi TEDA Racing Team;;
1;0;8;2:08.563;0;;43.875;0;47.392;0;37.296;0;152.6;17:11.395;10:44;0:43.875;0:47.392;0:37.296;260.9;Alex YOONG;;;;Audi TEDA Racing Team;;
1;0;9;2:09.013;0;;43.860;0;47.415;0;37.738;0;152.1;19:20.408;10:46;0:43.860;0:47.415;0:37.738;257.1;Alex YOONG;;;;Audi TEDA Racing Team;;
1;0;10;2:09.054;0;;43.979;0;47.385;0;37.690;0;152.1;21:29.462;10:48;0:43.979;0:47.385;0:37.690;260.2;Alex YOONG;;;;Audi TEDA Racing Team;;
