NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;8:00.772;0;;6:33.168;0;52.927;0;34.677;0;44.1;8:00.772;13:50;6:33.168;0:52.927;0:34.677;197.4;Felix ROSENQVIST;0:05:54.559;   T;;Prema Powerteam;;
1;0;2;1:58.031;0;;36.196;0;48.186;0;33.649;0;179.7;9:58.803;13:51;0:36.196;0:48.186;0:33.649;220.0;Felix ROSENQVIST;;   T;;Prema Powerteam;;
1;0;3;1:51.007;4;;34.246;2;46.091;0;30.670;4;191.0;11:49.810;13:53;0:34.246;0:46.091;0:30.670;233.3;Felix ROSENQVIST;;   T;;Prema Powerteam;;
1;0;4;1:54.482;0;;34.326;0;46.063;0;34.093;0;185.2;13:44.292;13:55;0:34.326;0:46.063;0:34.093;188.2;Felix ROSENQVIST;;   T;;Prema Powerteam;;
1;0;5;1:51.327;0;;34.344;0;46.230;0;30.753;0;190.5;15:35.619;13:57;0:34.344;0:46.230;0:30.753;232.3;Felix ROSENQVIST;;   T;;Prema Powerteam;;
1;0;6;1:51.341;0;;34.473;0;46.061;4;30.807;0;190.5;17:26.960;13:59;0:34.473;0:46.061;0:30.807;232.3;Felix ROSENQVIST;;   T;;Prema Powerteam;;
1;0;7;1:59.295;0;B;34.581;0;48.449;0;36.265;0;177.8;19:26.255;14:01;0:34.581;0:48.449;0:36.265;223.1;Felix ROSENQVIST;;   T;;Prema Powerteam;;
10;0;1;6:40.447;0;;5:05.779;0;56.398;0;38.270;0;53.0;6:40.447;13:48;5:05.779;0:56.398;0:38.270;174.8;George RUSSELL;0:04:25.329;R T;;Carlin;;
10;0;2;1:59.934;0;;38.698;0;49.069;0;32.167;0;176.8;8:40.381;13:50;0:38.698;0:49.069;0:32.167;214.7;George RUSSELL;;R T;;Carlin;;
10;0;3;1:52.333;0;;34.652;0;46.581;0;31.100;0;188.8;10:32.714;13:52;0:34.652;0:46.581;0:31.100;229.8;George RUSSELL;;R T;;Carlin;;
10;0;4;1:51.870;0;;34.456;0;46.364;0;31.050;0;189.6;12:24.584;13:54;0:34.456;0:46.364;0:31.050;231.3;George RUSSELL;;R T;;Carlin;;
10;0;5;1:51.652;2;;34.482;0;46.260;2;30.910;2;189.9;14:16.236;13:56;0:34.482;0:46.260;0:30.910;231.3;George RUSSELL;;R T;;Carlin;;
10;0;6;1:51.890;0;;34.438;2;46.421;0;31.031;0;189.5;16:08.126;13:58;0:34.438;0:46.421;0:31.031;230.3;George RUSSELL;;R T;;Carlin;;
10;0;7;1:59.199;0;;37.590;0;49.814;0;31.795;0;177.9;18:07.325;14:00;0:37.590;0:49.814;0:31.795;228.8;George RUSSELL;;R T;;Carlin;;
10;0;8;2:02.295;0;B;34.486;0;46.575;0;41.234;0;173.4;20:09.620;14:02;0:34.486;0:46.575;0:41.234;141.5;George RUSSELL;;R T;;Carlin;;
11;0;1;4:16.290;0;;2:51.016;0;52.113;0;33.161;0;82.7;4:16.290;13:46;2:51.016;0:52.113;0:33.161;216.4;Fabian SCHILLER;0:02:11.443;R T;;Team West-Tec F3;;
