NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;3:46.323;0;;1:18.568;0;1:34.834;0;52.921;0;93.9;3:46.323;10:31;1:18.568;1:34.834;0:52.921;156.5;Felix ROSENQVIST;;   T;;Prema Powerteam;;
1;0;2;3:01.793;0;;55.691;0;1:15.666;0;50.436;0;116.9;6:48.116;10:34;0:55.691;1:15.666;0:50.436;80.8;Felix ROSENQVIST;;   T;;Prema Powerteam;;
1;0;3;2:15.551;0;;37.498;0;52.616;0;45.437;0;156.7;9:03.667;10:36;0:37.498;0:52.616;0:45.437;208.9;Felix ROSENQVIST;;   T;;Prema Powerteam;;
1;0;4;3:08.281;0;;52.509;0;1:18.731;0;57.041;0;112.8;12:11.948;10:39;0:52.509;1:18.731;0:57.041;139.9;Felix ROSENQVIST;;   T;;Prema Powerteam;;
1;0;5;3:09.747;0;;54.780;0;1:24.192;0;50.775;0;112.0;15:21.695;10:42;0:54.780;1:24.192;0:50.775;56.0;Felix ROSENQVIST;;   T;;Prema Powerteam;;
1;0;6;1:55.783;0;;35.763;0;48.750;0;31.270;0;183.5;17:17.478;10:44;0:35.763;0:48.750;0:31.270;229.8;Felix ROSENQVIST;;   T;;Prema Powerteam;;
1;0;7;1:54.149;0;;35.445;0;47.654;0;31.050;0;186.1;19:11.627;10:46;0:35.445;0:47.654;0:31.050;229.8;Felix ROSENQVIST;;   T;;Prema Powerteam;;
1;0;8;1:53.274;0;;34.978;0;47.451;0;30.845;0;187.5;21:04.901;10:48;0:34.978;0:47.451;0:30.845;228.8;Felix ROSENQVIST;;   T;;Prema Powerteam;;
1;0;9;1:52.982;0;;34.982;0;47.108;0;30.892;0;188.0;22:57.883;10:50;0:34.982;0:47.108;0:30.892;231.3;Felix ROSENQVIST;;   T;;Prema Powerteam;;
1;0;10;1:52.372;3;;34.759;2;46.776;0;30.837;0;189.0;24:50.255;10:52;0:34.759;0:46.776;0:30.837;230.8;Felix ROSENQVIST;;   T;;Prema Powerteam;;
1;0;11;3:12.029;0;;57.885;0;1:23.621;0;50.523;0;110.6;28:02.284;10:55;0:57.885;1:23.621;0:50.523;147.5;Felix ROSENQVIST;;   T;;Prema Powerteam;;
1;0;12;3:04.892;0;;54.208;0;1:22.882;0;47.802;0;114.9;31:07.176;10:58;0:54.208;1:22.882;0:47.802;128.4;Felix ROSENQVIST;;   T;;Prema Powerteam;;
1;0;13;1:52.835;0;;35.080;0;47.010;0;30.745;0;188.3;33:00.011;11:00;0:35.080;0:47.010;0:30.745;231.8;Felix ROSENQVIST;;   T;;Prema Powerteam;;
1;0;14;1:52.377;0;;34.827;0;46.759;2;30.791;0;189.0;34:52.388;11:02;0:34.827;0:46.759;0:30.791;231.3;Felix ROSENQVIST;;   T;;Prema Powerteam;;
1;0;15;1:52.518;0;;34.998;0;46.826;0;30.694;3;188.8;36:44.906;11:04;0:34.998;0:46.826;0:30.694;232.3;Felix ROSENQVIST;;   T;;Prema Powerteam;;
10;0;1;3:49.494;0;;1:22.091;0;1:34.493;0;52.910;0;92.6;3:49.494;10:31;1:22.091;1:34.493;0:52.910;179.1;George RUSSELL;;R T;;Carlin;;
10;0;2;3:12.438;0;;56.919;0;1:13.599;0;1:01.920;0;110.4;7:01.932;10:34;0:56.919;1:13.599;1:01.920;80.1;George RUSSELL;;R T;;Carlin;;
10;0;3;2:20.045;0;;40.029;0;58.642;0;41.374;0;151.7;9:21.977;10:36;0:40.029;0:58.642;0:41.374;196.4;George RUSSELL;;R T;;Carlin;;
10;0;4;3:03.604;0;;48.502;0;1:16.731;0;58.371;0;115.7;12:25.581;10:39;0:48.502;1:16.731;0:58.371;142.3;George RUSSELL;;R T;;Carlin;;
10;0;5;3:05.093;0;;56.838;0;1:22.387;0;45.868;0;114.8;15:30.674;10:42;0:56.838;1:22.387;0:45.868;71.0;George RUSSELL;;R T;;Carlin;;
10;0;6;2:00.024;0;;37.973;0;49.968;0;32.083;0;177.0;17:30.698;10:44;0:37.973;0:49.968;0:32.083;232.3;George RUSSELL;;R T;;Carlin;;
10;0;7;1:59.660;0;;36.128;0;52.135;0;31.397;0;177.5;19:30.358;10:46;0:36.128;0:52.135;0:31.397;231.3;George RUSSELL;;R T;;Carlin;;
10;0;8;1:55.938;0;;36.398;0;48.420;0;31.120;0;183.2;21:26.296;10:48;0:36.398;0:48.420;0:31.120;233.8;George RUSSELL;;R T;;Carlin;;
10;0;9;1:55.460;0;;35.266;0;49.331;0;30.863;0;184.0;23:21.756;10:50;0:35.266;0:49.331;0:30.863;232.3;George RUSSELL;;R T;;Carlin;;
10;0;10;1:57.047;0;;34.813;0;47.476;0;34.758;0;181.5;25:18.803;10:52;0:34.813;0:47.476;0:34.758;231.8;George RUSSELL;;R T;;Carlin;;
10;0;11;2:52.793;0;;38.235;0;1:24.234;0;50.324;0;122.9;28:11.596;10:55;0:38.235;1:24.234;0:50.324;157.0;George RUSSELL;;R T;;Carlin;;
10;0;12;3:01.124;0;;55.320;0;1:22.510;0;43.294;0;117.3;31:12.720;10:58;0:55.320;1:22.510;0:43.294;161.7;George RUSSELL;;R T;;Carlin;;
10;0;13;1:54.574;0;;35.483;0;48.145;0;30.946;0;185.4;33:07.294;11:00;0:35.483;0:48.145;0:30.946;241.1;George RUSSELL;;R T;;Carlin;;
10;0;14;1:52.698;0;;34.754;0;46.905;0;31.039;0;188.5;34:59.992;11:02;0:34.754;0:46.905;0:31.039;244.9;George RUSSELL;;R T;;Carlin;;
