NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;11:05.524;0;;8:42.214;0;1:35.550;0;47.760;0;37.9;11:05.524;11:26;8:42.214;1:35.550;0:47.760;150.8;Nicolas     VAN DIERENDONCK;;CHA;;Thems Racing by DVB;;
1;0;2;2:40.896;0;;44.939;2;1:14.937;2;41.020;0;156.7;13:46.420;11:28;0:44.939;1:14.937;0:41.020;217.3;Nicolas     VAN DIERENDONCK;;CHA;;Thems Racing by DVB;;
1;0;3;2:36.868;0;;;0;;0;40.001;0;160.7;16:23.288;11:31;;;0:40.001;;Nicolas     VAN DIERENDONCK;;CHA;;Thems Racing by DVB;;
1;0;4;2:35.058;2;;;0;;0;39.654;2;162.6;18:58.346;11:33;;;0:39.654;;Nicolas     VAN DIERENDONCK;;CHA;;Thems Racing by DVB;;
21;0;1;3:33.491;0;;1:03.880;0;1:35.915;0;53.696;0;118.1;3:33.491;11:18;1:03.880;1:35.915;0:53.696;120.5;Tjarco A  JILESEN;;CHA;;PG Motorsport;;
21;0;2;2:52.397;0;;47.350;0;1:21.834;0;43.213;0;146.3;6:25.888;11:21;0:47.350;1:21.834;0:43.213;201.9;Tjarco A  JILESEN;;CHA;;PG Motorsport;;
21;0;3;2:45.480;0;;45.689;0;1:18.052;0;41.739;0;152.4;9:11.368;11:24;0:45.689;1:18.052;0:41.739;225.0;Tjarco A  JILESEN;;CHA;;PG Motorsport;;
21;0;4;2:43.588;0;;44.823;0;1:17.409;0;41.356;0;154.1;11:54.956;11:26;0:44.823;1:17.409;0:41.356;226.9;Tjarco A  JILESEN;;CHA;;PG Motorsport;;
21;0;5;2:40.058;0;;44.051;2;1:15.327;2;40.680;0;157.5;14:35.014;11:29;0:44.051;1:15.327;0:40.680;219.5;Tjarco A  JILESEN;;CHA;;PG Motorsport;;
21;0;6;2:38.666;0;;;0;;0;40.456;0;158.9;17:13.680;11:32;;;0:40.456;;Tjarco A  JILESEN;;CHA;;PG Motorsport;;
21;0;7;2:38.308;2;;;0;;0;40.254;2;159.3;19:51.988;11:34;;;0:40.254;;Tjarco A  JILESEN;;CHA;;PG Motorsport;;
4;0;1;3:41.686;0;;1:08.360;0;1:41.735;0;51.591;0;113.7;3:41.686;11:18;1:08.360;1:41.735;0:51.591;131.7;Pierre-Yves A  PAQUE;;CUP;;Speedlover;;
