NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;2;1;1:45.169;0;;38.666;0;40.841;0;25.662;0;147.3;1:45.169;18:01:45.169;0:38.666;0:40.841;0:25.662;245.5;Brendon HARTLEY;0:00:05.724;LMP1;H;Porsche Team;Porsche;
1;2;2;1:32.942;0;;31.462;0;37.716;0;23.764;0;166.7;3:18.111;18:03:18.111;0:31.462;0:37.716;0:23.764;285.7;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;3;1:30.928;0;;30.797;0;37.362;0;22.769;0;170.4;4:49.039;18:04:49.039;0:30.797;0:37.362;0:22.769;292.7;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;4;1:29.341;0;;30.473;0;36.634;0;22.234;0;173.4;6:18.380;18:06:18.380;0:30.473;0:36.634;0:22.234;291.1;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;5;1:28.595;0;;30.263;0;36.318;0;22.014;0;174.9;7:46.975;18:07:46.975;0:30.263;0:36.318;0:22.014;300.0;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;6;1:28.665;0;;30.107;0;36.194;0;22.364;0;174.8;9:15.640;18:09:15.640;0:30.107;0:36.194;0:22.364;291.9;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;7;1:27.077;0;;30.229;0;35.030;0;21.818;1;177.9;10:42.717;18:10:42.717;0:30.229;0:35.030;0:21.818;302.5;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;8;1:26.677;0;;30.091;0;34.697;0;21.889;0;178.8;12:09.394;18:12:09.394;0:30.091;0:34.697;0:21.889;292.7;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;9;1:27.216;0;;30.164;0;35.184;0;21.868;0;177.7;13:36.610;18:13:36.610;0:30.164;0:35.184;0:21.868;291.9;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;10;1:27.002;0;;30.050;0;34.617;0;22.335;0;178.1;15:03.612;18:15:03.612;0:30.050;0:34.617;0:22.335;293.5;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;11;1:27.907;0;;30.205;0;35.788;0;21.914;0;176.3;16:31.519;18:16:31.519;0:30.205;0:35.788;0:21.914;294.3;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;12;1:27.281;0;;30.107;0;34.296;0;22.878;0;177.5;17:58.800;18:17:58.800;0:30.107;0:34.296;0:22.878;293.5;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;13;1:27.085;0;;30.573;0;34.320;0;22.192;0;177.9;19:25.885;18:19:25.885;0:30.573;0:34.320;0:22.192;295.9;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;14;1:26.058;2;;30.151;0;34.035;2;21.872;0;180.0;20:51.943;18:20:51.943;0:30.151;0:34.035;0:21.872;294.3;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;15;1:32.077;0;B;29.790;2;34.582;0;27.705;0;168.3;22:24.020;18:22:24.020;0:29.790;0:34.582;0:27.705;304.2;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;0;16;3:01.157;0;;2:03.934;0;34.902;0;22.321;0;85.5;25:25.177;18:25:25.177;2:03.934;0:34.902;0:22.321;265.4;Timo BERNHARD;0:01:37.147;LMP1;H;Porsche Team;Porsche;
1;0;17;1:30.236;0;;30.279;0;37.310;0;22.647;0;171.7;26:55.413;18:26:55.413;0:30.279;0:37.310;0:22.647;294.3;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;18;1:27.771;0;;30.320;0;35.131;0;22.320;0;176.5;28:23.184;18:28:23.184;0:30.320;0:35.131;0:22.320;292.7;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;19;1:28.100;0;;30.291;0;35.213;0;22.596;0;175.9;29:51.284;18:29:51.284;0:30.291;0:35.213;0:22.596;291.1;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
