NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;2;1;1:38.629;0;;40.491;0;35.763;0;22.375;0;157.1;1:38.629;14:41:38.629;0:40.491;0:35.763;0:22.375;254.1;Brendon HARTLEY;0:00:08.260;LMP1;H;Porsche Team;Porsche;
1;2;2;1:25.384;2;;29.829;0;33.764;0;21.791;2;181.5;3:04.013;14:43:04.013;0:29.829;0:33.764;0:21.791;291.1;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;3;1:29.877;0;;31.132;0;35.919;0;22.826;0;172.4;4:33.890;14:44:33.890;0:31.132;0:35.919;0:22.826;273.4;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;4;1:31.742;0;B;29.579;1;33.640;2;28.523;0;168.9;6:05.632;14:46:05.632;0:29.579;0:33.640;0:28.523;296.7;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;1;5;3:39.621;0;;2:38.317;0;37.845;0;23.459;0;70.6;9:45.253;14:49:45.253;2:38.317;0:37.845;0:23.459;249.4;Mark WEBBER;0:02:08.623;LMP1;H;Porsche Team;Porsche;
1;1;6;1:25.541;0;;29.627;0;34.012;0;21.902;0;181.1;11:10.794;14:51:10.794;0:29.627;0:34.012;0:21.902;285.7;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;7;1:39.260;0;;33.289;0;40.983;0;24.988;0;156.1;12:50.054;14:52:50.054;0:33.289;0:40.983;0:24.988;260.2;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;8;1:25.417;0;;29.568;2;33.983;1;21.866;1;181.4;14:15.471;14:54:15.471;0:29.568;0:33.983;0:21.866;285.0;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;9;1:36.394;0;B;33.737;0;35.594;0;27.063;0;160.7;15:51.865;14:55:51.865;0:33.737;0:35.594;0:27.063;262.8;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;2;10;6:46.174;0;;5:47.437;0;36.032;0;22.705;0;38.1;22:38.038;15:02:38.039;5:47.437;0:36.032;0:22.705;247.7;Brendon HARTLEY;0:05:19.183;LMP1;H;Porsche Team;Porsche;
1;2;11;1:25.512;0;;29.631;0;33.732;0;22.149;0;181.2;24:03.550;15:04:03.551;0:29.631;0:33.732;0:22.149;290.3;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;12;1:41.767;0;B;31.467;0;39.520;0;30.780;0;152.3;25:45.317;15:05:45.318;0:31.467;0:39.520;0:30.780;267.3;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
13;1;1;2:02.416;0;;59.477;0;38.581;0;24.358;0;126.6;2:02.416;14:42:02.416;0:59.477;0:38.581;0:24.358;254.1;Dominik KRAIHAMER;0:00:25.494;LMP1;;Rebellion Racing;Rebellion;
13;1;2;1:29.877;2;;31.171;1;35.648;2;23.058;2;172.4;3:32.293;14:43:32.293;0:31.171;0:35.648;0:23.058;320.5;Dominik KRAIHAMER;;LMP1;;Rebellion Racing;Rebellion;
13;1;3;1:41.413;0;B;31.272;0;38.005;0;32.136;0;152.8;5:13.706;14:45:13.706;0:31.272;0:38.005;0:32.136;323.4;Dominik KRAIHAMER;;LMP1;;Rebellion Racing;Rebellion;
13;2;4;4:36.182;0;;3:32.783;0;38.184;0;25.215;0;56.1;9:49.888;14:49:49.888;3:32.783;0:38.184;0:25.215;265.4;Alexandre IMPERATORI;0:03:03.148;LMP1;;Rebellion Racing;Rebellion;
13;2;5;1:29.942;0;;31.025;2;35.731;1;23.186;1;172.3;11:19.830;14:51:19.830;0:31.025;0:35.731;0:23.186;326.3;Alexandre IMPERATORI;;LMP1;;Rebellion Racing;Rebellion;
13;2;6;1:47.661;0;B;35.120;0;41.404;0;31.137;0;143.9;13:07.491;14:53:07.491;0:35.120;0:41.404;0:31.137;232.8;Alexandre IMPERATORI;;LMP1;;Rebellion Racing;Rebellion;
2;1;1;1:34.814;0;;35.349;0;35.927;0;23.538;0;163.4;1:34.814;14:41:34.814;0:35.349;0:35.927;0:23.538;253.5;Neel JANI;0:00:03.432;LMP1;H;Porsche Team;Porsche;
