NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;1;1;9:20.690;0;;8:07.943;0;40.107;0;32.640;0;34.7;9:20.690;10:09:20.690;8:07.943;0:40.107;0:32.640;178.5;Timo BERNHARD;0:07:33.966;LMP1;;PORSCHE TEAM;;
1;1;2;1:42.510;0;;33.289;0;37.417;0;31.804;0;190.1;11:03.200;10:11:03.200;0:33.289;0:37.417;0:31.804;243.5;Timo BERNHARD;;LMP1;;PORSCHE TEAM;;
1;1;3;1:42.222;2;;33.244;0;37.239;2;31.739;2;190.6;12:45.422;10:12:45.422;0:33.244;0:37.239;0:31.739;248.0;Timo BERNHARD;;LMP1;;PORSCHE TEAM;;
1;1;4;1:46.986;0;B;33.135;4;37.538;0;36.313;0;182.1;14:32.408;10:14:32.408;0:33.135;0:37.538;0:36.313;256.8;Timo BERNHARD;;LMP1;;PORSCHE TEAM;;
1;0;5;8:49.186;0;;7:34.271;0;41.542;0;33.373;0;36.8;23:21.594;10:23:21.594;7:34.271;0:41.542;0:33.373;151.1;Gustavo MENEZES;0:06:50.362;LMP1;;PORSCHE TEAM;;
1;0;6;1:46.521;0;;34.092;0;39.582;0;32.847;0;182.9;25:08.115;10:25:08.115;0:34.092;0:39.582;0:32.847;243.0;Gustavo MENEZES;;LMP1;;PORSCHE TEAM;;
1;0;7;1:45.879;0;;34.155;0;39.328;0;32.396;0;184.0;26:53.994;10:26:53.994;0:34.155;0:39.328;0:32.396;244.1;Gustavo MENEZES;;LMP1;;PORSCHE TEAM;;
1;0;8;1:45.067;0;;33.894;0;38.686;0;32.487;0;185.4;28:39.061;10:28:39.061;0:33.894;0:38.686;0:32.487;258.0;Gustavo MENEZES;;LMP1;;PORSCHE TEAM;;
1;0;9;1:46.441;0;;33.923;0;39.763;0;32.755;0;183.0;30:25.502;10:30:25.502;0:33.923;0:39.763;0:32.755;260.5;Gustavo MENEZES;;LMP1;;PORSCHE TEAM;;
1;0;10;1:44.991;0;;33.964;0;38.631;0;32.396;0;185.6;32:10.493;10:32:10.493;0:33.964;0:38.631;0:32.396;256.2;Gustavo MENEZES;;LMP1;;PORSCHE TEAM;;
1;0;11;1:46.844;0;;35.910;0;38.521;0;32.413;0;182.4;33:57.337;10:33:57.337;0:35.910;0:38.521;0:32.413;258.6;Gustavo MENEZES;;LMP1;;PORSCHE TEAM;;
1;0;12;1:44.867;0;;33.889;0;38.660;0;32.318;0;185.8;35:42.204;10:35:42.204;0:33.889;0:38.660;0:32.318;261.1;Gustavo MENEZES;;LMP1;;PORSCHE TEAM;;
1;0;13;1:45.601;0;;33.968;0;39.077;0;32.556;0;184.5;37:27.805;10:37:27.805;0:33.968;0:39.077;0:32.556;259.9;Gustavo MENEZES;;LMP1;;PORSCHE TEAM;;
1;0;14;1:49.784;0;B;33.791;0;38.884;0;37.109;0;177.5;39:17.589;10:39:17.589;0:33.791;0:38.884;0:37.109;259.2;Gustavo MENEZES;;LMP1;;PORSCHE TEAM;;
1;0;15;14:00.314;0;;12:49.264;0;38.495;0;32.555;0;23.2;53:17.903;10:53:17.903;12:49.264;0:38.495;0:32.555;178.8;Gustavo MENEZES;0:12:18.430;LMP1;;PORSCHE TEAM;;
1;0;16;1:45.164;0;;33.944;0;38.694;0;32.526;0;185.3;55:03.067;10:55:03.067;0:33.944;0:38.694;0:32.526;255.6;Gustavo MENEZES;;LMP1;;PORSCHE TEAM;;
1;0;17;1:44.622;0;;33.872;0;38.496;0;32.254;0;186.2;56:47.689;10:56:47.689;0:33.872;0:38.496;0:32.254;256.8;Gustavo MENEZES;;LMP1;;PORSCHE TEAM;;
1;0;18;1:45.083;0;;33.825;0;38.763;0;32.495;0;185.4;58:32.772;10:58:32.772;0:33.825;0:38.763;0:32.495;258.0;Gustavo MENEZES;;LMP1;;PORSCHE TEAM;;
1;0;19;1:44.969;0;;34.019;0;38.512;0;32.438;0;185.6;1:00:17.741;11:00:17.741;0:34.019;0:38.512;0:32.438;256.2;Gustavo MENEZES;;LMP1;;PORSCHE TEAM;;
1;0;20;1:44.942;0;;33.975;0;38.537;0;32.430;0;185.7;1:02:02.683;11:02:02.683;0:33.975;0:38.537;0:32.430;259.9;Gustavo MENEZES;;LMP1;;PORSCHE TEAM;;
1;0;21;1:46.095;0;;33.967;0;39.609;0;32.519;0;183.6;1:03:48.778;11:03:48.778;0:33.967;0:39.609;0:32.519;256.8;Gustavo MENEZES;;LMP1;;PORSCHE TEAM;;
1;0;22;1:45.137;0;;34.048;0;38.618;0;32.471;0;185.3;1:05:33.915;11:05:33.915;0:34.048;0:38.618;0:32.471;257.4;Gustavo MENEZES;;LMP1;;PORSCHE TEAM;;
1;0;23;1:45.407;0;;33.953;0;38.995;0;32.459;0;184.8;1:07:19.322;11:07:19.322;0:33.953;0:38.995;0:32.459;253.2;Gustavo MENEZES;;LMP1;;PORSCHE TEAM;;
1;0;24;1:49.309;0;B;33.908;0;38.834;0;36.567;0;178.2;1:09:08.631;11:09:08.631;0:33.908;0:38.834;0:36.567;256.2;Gustavo MENEZES;;LMP1;;PORSCHE TEAM;;
1;0;25;8:13.975;0;;7:02.213;0;39.247;0;32.515;0;39.4;1:17:22.606;11:17:22.606;7:02.213;0:39.247;0:32.515;179.4;Gustavo MENEZES;0:06:31.143;LMP1;;PORSCHE TEAM;;
1;0;26;1:43.626;0;;33.652;0;37.999;1;31.975;1;188.0;1:19:06.232;11:19:06.232;0:33.652;0:37.999;0:31.975;253.2;Gustavo MENEZES;;LMP1;;PORSCHE TEAM;;
1;0;27;1:44.008;0;;33.622;0;38.058;0;32.328;0;187.3;1:20:50.240;11:20:50.240;0:33.622;0:38.058;0:32.328;256.8;Gustavo MENEZES;;LMP1;;PORSCHE TEAM;;
1;0;28;1:45.521;0;;33.576;1;38.548;0;33.397;0;184.6;1:22:35.761;11:22:35.761;0:33.576;0:38.548;0:33.397;256.8;Gustavo MENEZES;;LMP1;;PORSCHE TEAM;;
1;0;29;1:44.697;0;;33.788;0;38.327;0;32.582;0;186.1;1:24:20.458;11:24:20.458;0:33.788;0:38.327;0:32.582;257.4;Gustavo MENEZES;;LMP1;;PORSCHE TEAM;;
1;0;30;1:44.854;0;;33.947;0;38.492;0;32.415;0;185.8;1:26:05.312;11:26:05.312;0:33.947;0:38.492;0:32.415;256.2;Gustavo MENEZES;;LMP1;;PORSCHE TEAM;;
1;0;31;1:44.484;0;;33.707;0;38.404;0;32.373;0;186.5;1:27:49.796;11:27:49.796;0:33.707;0:38.404;0:32.373;255.0;Gustavo MENEZES;;LMP1;;PORSCHE TEAM;;
1;0;32;1:44.905;0;;33.741;0;38.763;0;32.401;0;185.7;1:29:34.701;11:29:34.701;0:33.741;0:38.763;0:32.401;256.2;Gustavo MENEZES;;LMP1;;PORSCHE TEAM;;
1;0;33;1:44.654;0;;33.965;0;38.461;0;32.228;0;186.2;1:31:19.355;11:31:19.355;0:33.965;0:38.461;0:32.228;254.4;Gustavo MENEZES;;LMP1;;PORSCHE TEAM;;
1;0;34;1:49.404;0;B;33.823;0;38.550;0;37.031;0;178.1;1:33:08.759;11:33:08.759;0:33.823;0:38.550;0:37.031;255.6;Gustavo MENEZES;;LMP1;;PORSCHE TEAM;;
1;2;35;13:54.613;0;;12:30.203;0;48.081;0;36.329;0;23.3;1:47:03.372;11:47:03.372;12:30.203;0:48.081;0:36.329;103.3;Yannick DALMAS;0:11:45.925;LMP1;;PORSCHE TEAM;;
1;2;36;1:52.282;0;;36.518;0;41.248;0;34.516;0;173.5;1:48:55.654;11:48:55.654;0:36.518;0:41.248;0:34.516;207.2;Yannick DALMAS;;LMP1;;PORSCHE TEAM;;
1;2;37;1:50.041;0;;35.933;0;40.264;0;33.844;0;177.1;1:50:45.695;11:50:45.695;0:35.933;0:40.264;0:33.844;239.7;Yannick DALMAS;;LMP1;;PORSCHE TEAM;;
1;2;38;1:48.358;0;;34.965;0;39.930;0;33.463;0;179.8;1:52:34.053;11:52:34.053;0:34.965;0:39.930;0:33.463;248.0;Yannick DALMAS;;LMP1;;PORSCHE TEAM;;
1;2;39;1:49.087;0;;35.316;0;40.211;0;33.560;0;178.6;1:54:23.140;11:54:23.140;0:35.316;0:40.211;0:33.560;245.2;Yannick DALMAS;;LMP1;;PORSCHE TEAM;;
1;2;40;1:49.858;0;;34.828;0;40.000;0;35.030;0;177.3;1:56:12.998;11:56:12.998;0:34.828;0:40.000;0:35.030;246.8;Yannick DALMAS;;LMP1;;PORSCHE TEAM;;
1;2;41;1:47.636;0;;34.687;1;39.801;0;33.148;0;181.0;1:58:00.634;11:58:00.634;0:34.687;0:39.801;0:33.148;250.8;Yannick DALMAS;;LMP1;;PORSCHE TEAM;;
1;2;42;1:47.584;0;;34.751;0;39.641;0;33.192;0;181.1;1:59:48.218;11:59:48.218;0:34.751;0:39.641;0:33.192;248.5;Yannick DALMAS;;LMP1;;PORSCHE TEAM;;
1;2;43;1:49.408;0;;36.709;0;39.601;1;33.098;1;178.1;2:01:37.626;12:01:37.626;0:36.709;0:39.601;0:33.098;242.4;Yannick DALMAS;;LMP1;;PORSCHE TEAM;;
2;0;1;9:44.726;0;B;8:20.195;0;42.354;0;42.177;0;33.3;9:44.726;10:09:44.726;8:20.195;0:42.354;0:42.177;105.9;Neel JANI;0:07:38.041;LMP1;;PORSCHE TEAM;;
2;0;2;8:58.502;0;;7:45.574;0;39.800;0;33.128;0;36.2;18:43.228;10:18:43.228;7:45.574;0:39.800;0:33.128;177.9;Neel JANI;0:07:13.771;LMP1;;PORSCHE TEAM;;
2;0;3;1:45.767;0;;34.177;0;39.049;0;32.541;0;184.2;20:28.995;10:20:28.995;0:34.177;0:39.049;0:32.541;244.6;Neel JANI;;LMP1;;PORSCHE TEAM;;
2;0;4;1:45.126;0;;33.848;0;38.996;0;32.282;0;185.3;22:14.121;10:22:14.121;0:33.848;0:38.996;0:32.282;250.8;Neel JANI;;LMP1;;PORSCHE TEAM;;
2;0;5;1:49.994;0;B;33.870;0;37.843;0;38.281;0;177.1;24:04.115;10:24:04.115;0:33.870;0:37.843;0:38.281;253.2;Neel JANI;;LMP1;;PORSCHE TEAM;;
2;0;6;2:58.167;0;;1:42.365;0;39.382;0;36.420;0;109.4;27:02.282;10:27:02.282;1:42.365;0:39.382;0:36.420;177.6;Neel JANI;0:01:10.814;LMP1;;PORSCHE TEAM;;
2;0;7;1:42.491;0;;33.168;2;37.524;0;31.799;0;190.1;28:44.773;10:28:44.773;0:33.168;0:37.524;0:31.799;251.4;Neel JANI;;LMP1;;PORSCHE TEAM;;
2;0;8;1:43.727;0;;33.257;0;38.551;0;31.919;0;187.8;30:28.500;10:30:28.500;0:33.257;0:38.551;0:31.919;253.2;Neel JANI;;LMP1;;PORSCHE TEAM;;
2;0;9;1:43.836;0;;33.446;0;38.188;0;32.202;0;187.6;32:12.336;10:32:12.336;0:33.446;0:38.188;0:32.202;287.4;Neel JANI;;LMP1;;PORSCHE TEAM;;
