NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
11;0;1;2:08.422;0;;44.698;0;44.743;0;38.981;0;151.7;2:08.422;13:50:45.417;0:44.698;0:44.743;0:38.981;184.6;Felipe DRUGOVICH;;;;;;
11;0;2;2:03.559;0;;39.760;0;44.617;0;39.182;0;157.7;4:11.981;13:52:48.976;0:39.760;0:44.617;0:39.182;229.6;Felipe DRUGOVICH;;;;;;
11;0;3;2:03.677;0;;39.820;0;44.765;0;39.092;0;157.5;6:15.658;13:54:52.653;0:39.820;0:44.765;0:39.092;231.5;Felipe DRUGOVICH;;;;;;
11;0;4;2:02.765;0;;39.855;0;44.171;0;38.739;0;158.7;8:18.423;13:56:55.418;0:39.855;0:44.171;0:38.739;228.6;Felipe DRUGOVICH;;;;;;
11;0;5;2:02.836;0;;39.928;0;44.102;0;38.806;0;158.6;10:21.259;13:58:58.254;0:39.928;0:44.102;0:38.806;231.0;Felipe DRUGOVICH;;;;;;
11;0;6;2:02.890;0;;39.719;0;44.321;0;38.850;0;158.5;12:24.149;14:01:01.144;0:39.719;0:44.321;0:38.850;229.1;Felipe DRUGOVICH;;;;;;
11;0;7;2:02.812;0;;39.686;0;44.394;0;38.732;2;158.6;14:26.961;14:03:03.956;0:39.686;0:44.394;0:38.732;231.0;Felipe DRUGOVICH;;;;;;
11;0;8;2:02.618;2;;39.702;0;44.031;2;38.885;0;158.9;16:29.579;14:05:06.574;0:39.702;0:44.031;0:38.885;231.5;Felipe DRUGOVICH;;;;;;
11;0;9;2:02.721;0;;39.765;0;44.184;0;38.772;0;158.8;18:32.300;14:07:09.295;0:39.765;0:44.184;0:38.772;229.6;Felipe DRUGOVICH;;;;;;
11;0;10;2:02.787;0;;39.671;2;44.243;0;38.873;0;158.7;20:35.087;14:09:12.082;0:39.671;0:44.243;0:38.873;230.6;Felipe DRUGOVICH;;;;;;
13;0;1;2:16.073;0;;48.146;0;47.170;0;40.757;0;143.2;2:16.073;13:50:53.068;0:48.146;0:47.170;0:40.757;167.2;Bobby EBERLE;;;;;;
13;0;2;2:06.526;0;;40.878;0;45.473;0;40.175;0;154.0;4:22.599;13:52:59.594;0:40.878;0:45.473;0:40.175;224.3;Bobby EBERLE;;;;;;
13;0;3;2:06.999;0;;41.761;0;45.427;0;39.811;0;153.4;6:29.598;13:55:06.593;0:41.761;0:45.427;0:39.811;224.3;Bobby EBERLE;;;;;;
13;0;4;2:05.767;0;;40.527;0;45.342;2;39.898;0;154.9;8:35.365;13:57:12.360;0:40.527;0:45.342;0:39.898;226.7;Bobby EBERLE;;;;;;
13;0;5;2:06.013;0;;40.489;0;45.387;0;40.137;0;154.6;10:41.378;13:59:18.373;0:40.489;0:45.387;0:40.137;227.6;Bobby EBERLE;;;;;;
13;0;6;2:06.058;0;;40.783;0;45.501;0;39.774;0;154.6;12:47.436;14:01:24.431;0:40.783;0:45.501;0:39.774;228.1;Bobby EBERLE;;;;;;
13;0;7;2:06.039;0;;40.681;0;45.449;0;39.909;0;154.6;14:53.475;14:03:30.470;0:40.681;0:45.449;0:39.909;229.1;Bobby EBERLE;;;;;;
13;0;8;2:06.610;0;;40.275;0;46.492;0;39.843;0;153.9;17:00.085;14:05:37.080;0:40.275;0:46.492;0:39.843;228.6;Bobby EBERLE;;;;;;
13;0;9;2:06.884;0;;40.588;0;45.904;0;40.392;0;153.6;19:06.969;14:07:43.964;0:40.588;0:45.904;0:40.392;229.6;Bobby EBERLE;;;;;;
13;0;10;2:05.218;2;;40.258;2;45.386;0;39.574;2;155.6;21:12.187;14:09:49.182;0:40.258;0:45.386;0:39.574;228.1;Bobby EBERLE;;;;;;
