NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;2;1;1:51.445;0;B;24.719;0;41.488;0;45.238;0;178.2;1:51.445;10:31:51.445;0:24.719;0:41.488;0:45.238;260.9;Brendon HARTLEY;0:00:04.181;LMP1;H;Porsche Team;Porsche;
1;2;2;7:33.486;0;;6:00.729;0;46.402;0;46.355;0;43.8;9:24.931;10:39:24.931;6:00.729;0:46.402;0:46.355;213.9;Brendon HARTLEY;0:05:40.522;LMP1;H;Porsche Team;Porsche;
1;2;3;1:47.576;0;;23.081;0;40.086;0;44.409;0;184.6;11:12.507;10:41:12.507;0:23.081;0:40.086;0:44.409;262.1;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;4;1:55.794;0;;25.480;0;45.673;0;44.641;0;171.5;13:08.301;10:43:08.301;0:25.480;0:45.673;0:44.641;251.7;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;5;1:46.051;2;;22.747;2;40.067;2;43.237;2;187.2;14:54.352;10:44:54.352;0:22.747;0:40.067;0:43.237;261.5;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;6;1:51.978;0;B;23.522;0;42.525;0;45.931;0;177.3;16:46.330;10:46:46.330;0:23.522;0:42.525;0:45.931;201.5;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;0;7;3:52.443;0;;2:24.211;0;42.961;0;45.271;0;85.4;20:38.773;10:50:38.773;2:24.211;0:42.961;0:45.271;268.7;Timo BERNHARD;0:02:04.086;LMP1;H;Porsche Team;Porsche;
1;0;8;1:46.640;0;;22.751;1;40.475;1;43.414;1;186.2;22:25.413;10:52:25.413;0:22.751;0:40.475;0:43.414;266.0;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;9;2:06.674;0;;26.616;0;49.427;0;50.631;0;156.8;24:32.087;10:54:32.087;0:26.616;0:49.427;0:50.631;185.6;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;10;1:47.011;0;;22.819;0;40.502;0;43.690;0;185.6;26:19.098;10:56:19.098;0:22.819;0:40.502;0:43.690;268.7;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;11;1:58.128;0;B;25.393;0;44.571;0;48.164;0;168.1;28:17.226;10:58:17.226;0:25.393;0:44.571;0:48.164;211.8;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;2;12;10:09.175;0;;8:41.155;0;40.994;0;47.026;0;32.6;38:26.401;11:08:26.401;8:41.155;0:40.994;0:47.026;281.2;Brendon HARTLEY;0:08:21.753;LMP1;H;Porsche Team;Porsche;
1;2;13;1:47.894;0;;23.150;0;40.630;0;44.114;0;184.0;40:14.295;11:10:14.295;0:23.150;0:40.630;0:44.114;260.2;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
