NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
50;2;1;2:14.718;0;;30.898;0;51.408;0;52.412;0;147.4;2:14.718;17:47:14.718;0:30.898;0:51.408;0:52.412;216.4;Ricky TAYLOR;0:00:04.659;LMGTE Am;;Larbre Competition;Chevrolet;
50;2;2;2:07.968;0;;27.716;0;49.206;0;51.046;0;155.2;4:22.686;17:49:22.686;0:27.716;0:49.206;0:51.046;253.5;Ricky TAYLOR;;LMGTE Am;;Larbre Competition;Chevrolet;
50;2;3;2:07.019;0;;27.397;0;48.970;0;50.652;2;156.3;6:29.705;17:51:29.705;0:27.397;0:48.970;0:50.652;254.1;Ricky TAYLOR;;LMGTE Am;;Larbre Competition;Chevrolet;
50;2;4;2:06.986;2;;27.321;2;48.929;2;50.736;0;156.4;8:36.691;17:53:36.691;0:27.321;0:48.929;0:50.736;255.3;Ricky TAYLOR;;LMGTE Am;;Larbre Competition;Chevrolet;
50;2;5;2:12.506;0;B;27.571;0;50.239;0;54.696;0;149.9;10:49.197;17:55:49.197;0:27.571;0:50.239;0:54.696;222.7;Ricky TAYLOR;;LMGTE Am;;Larbre Competition;Chevrolet;
50;0;6;3:41.802;0;;1:56.411;0;52.405;0;52.986;0;89.5;14:30.999;17:59:30.999;1:56.411;0:52.405;0:52.986;239.5;Lars VILJOEN;0:01:31.072;LMGTE Am;;Larbre Competition;Chevrolet;
50;0;7;2:11.394;0;;28.371;0;51.107;0;51.916;1;151.1;16:42.393;18:01:42.393;0:28.371;0:51.107;0:51.916;246.0;Lars VILJOEN;;LMGTE Am;;Larbre Competition;Chevrolet;
50;0;8;2:17.767;0;;31.473;0;52.554;0;53.740;0;144.1;19:00.160;18:04:00.160;0:31.473;0:52.554;0:53.740;236.8;Lars VILJOEN;;LMGTE Am;;Larbre Competition;Chevrolet;
50;0;9;2:10.147;0;;27.930;1;50.244;1;51.973;0;152.6;21:10.307;18:06:10.307;0:27.930;0:50.244;0:51.973;250.0;Lars VILJOEN;;LMGTE Am;;Larbre Competition;Chevrolet;
51;0;1;5:13.316;0;;3:23.258;0;56.953;0;53.105;0;63.4;5:13.316;17:50:13.316;3:23.258;0:56.953;0:53.105;72.9;Gianmaria BRUNI;0:02:52.724;LMGTE Pro;;AF Corse;Ferrari;
51;0;2;2:04.525;3;;26.825;2;47.965;2;49.735;1;159.5;7:17.841;17:52:17.841;0:26.825;0:47.965;0:49.735;254.7;Gianmaria BRUNI;;LMGTE Pro;;AF Corse;Ferrari;
51;0;3;2:12.464;0;B;26.932;0;48.007;0;57.525;0;149.9;9:30.305;17:54:30.305;0:26.932;0:48.007;0:57.525;255.9;Gianmaria BRUNI;;LMGTE Pro;;AF Corse;Ferrari;
51;1;4;4:34.744;0;;2:50.736;0;51.632;0;52.376;0;72.3;14:05.049;17:59:05.049;2:50.736;0:51.632;0:52.376;252.9;James CALADO;0:02:27.360;LMGTE Pro;;AF Corse;Ferrari;
51;1;5;2:09.889;0;;27.942;0;50.273;0;51.674;0;152.9;16:14.938;18:01:14.938;0:27.942;0:50.273;0:51.674;254.7;James CALADO;;LMGTE Pro;;AF Corse;Ferrari;
51;1;6;2:05.118;0;;26.851;1;48.722;0;49.545;2;158.7;18:20.056;18:03:20.056;0:26.851;0:48.722;0:49.545;255.9;James CALADO;;LMGTE Pro;;AF Corse;Ferrari;
51;1;7;2:05.257;0;;26.951;0;48.489;1;49.817;0;158.5;20:25.313;18:05:25.313;0:26.951;0:48.489;0:49.817;256.5;James CALADO;;LMGTE Pro;;AF Corse;Ferrari;
66;0;1;3:39.337;0;;1:56.819;0;50.308;0;52.210;0;90.5;3:39.337;17:48:39.337;1:56.819;0:50.308;0:52.210;256.5;Stefan MÜCKE;0:01:32.186;LMGTE Pro;;Ford Chip Ganassi Team UK;Ford;
66;0;2;2:04.775;0;;27.080;0;48.182;0;49.513;2;159.1;5:44.112;17:50:44.112;0:27.080;0:48.182;0:49.513;260.2;Stefan MÜCKE;;LMGTE Pro;;Ford Chip Ganassi Team UK;Ford;
66;0;3;2:04.557;2;;26.974;1;47.932;3;49.651;0;159.4;7:48.669;17:52:48.669;0:26.974;0:47.932;0:49.651;259.6;Stefan MÜCKE;;LMGTE Pro;;Ford Chip Ganassi Team UK;Ford;
66;0;4;2:13.873;0;B;28.176;0;50.788;0;54.909;0;148.3;10:02.542;17:55:02.542;0:28.176;0:50.788;0:54.909;241.1;Stefan MÜCKE;;LMGTE Pro;;Ford Chip Ganassi Team UK;Ford;
66;1;5;3:30.400;0;;1:50.843;0;49.058;0;50.499;0;94.4;13:32.942;17:58:32.942;1:50.843;0:49.058;0:50.499;238.9;Olivier PLA;0:01:28.365;LMGTE Pro;;Ford Chip Ganassi Team UK;Ford;
66;1;6;2:05.129;0;;27.031;0;48.235;1;49.863;0;158.7;15:38.071;18:00:38.071;0:27.031;0:48.235;0:49.863;257.1;Olivier PLA;;LMGTE Pro;;Ford Chip Ganassi Team UK;Ford;
66;1;7;2:05.051;0;;26.959;2;48.265;0;49.827;0;158.8;17:43.122;18:02:43.122;0:26.959;0:48.265;0:49.827;259.0;Olivier PLA;;LMGTE Pro;;Ford Chip Ganassi Team UK;Ford;
66;1;8;2:05.142;0;;26.996;0;48.419;0;49.727;1;158.7;19:48.264;18:04:48.264;0:26.996;0:48.419;0:49.727;256.5;Olivier PLA;;LMGTE Pro;;Ford Chip Ganassi Team UK;Ford;
66;1;9;2:17.953;0;B;27.490;0;54.831;0;55.632;0;143.9;22:06.217;18:07:06.217;0:27.490;0:54.831;0:55.632;198.2;Olivier PLA;;LMGTE Pro;;Ford Chip Ganassi Team UK;Ford;
67;1;1;3:59.756;0;;2:14.999;0;49.352;0;55.405;0;82.8;3:59.756;17:48:59.756;2:14.999;0:49.352;0:55.405;247.7;Andy PRIAULX;0:01:51.628;LMGTE Pro;;Ford Chip Ganassi Team UK;Ford;
67;1;2;2:04.987;0;;26.842;2;48.350;0;49.795;0;158.9;6:04.743;17:51:04.743;0:26.842;0:48.350;0:49.795;252.3;Andy PRIAULX;;LMGTE Pro;;Ford Chip Ganassi Team UK;Ford;
67;1;3;2:04.902;2;;26.895;0;48.201;0;49.806;0;159.0;8:09.645;17:53:09.645;0:26.895;0:48.201;0:49.806;256.5;Andy PRIAULX;;LMGTE Pro;;Ford Chip Ganassi Team UK;Ford;
67;1;4;2:04.951;0;;26.973;0;48.191;1;49.787;1;158.9;10:14.596;17:55:14.596;0:26.973;0:48.191;0:49.787;256.5;Andy PRIAULX;;LMGTE Pro;;Ford Chip Ganassi Team UK;Ford;
67;1;5;2:09.403;0;B;27.891;0;49.270;0;52.242;0;153.5;12:23.999;17:57:23.999;0:27.891;0:49.270;0:52.242;244.3;Andy PRIAULX;;LMGTE Pro;;Ford Chip Ganassi Team UK;Ford;
67;2;6;3:20.748;0;;1:41.150;0;48.796;0;50.802;0;98.9;15:44.747;18:00:44.747;1:41.150;0:48.796;0:50.802;253.5;Harry TINCKNELL;0:01:19.014;LMGTE Pro;;Ford Chip Ganassi Team UK;Ford;
67;2;7;2:04.373;0;;26.885;0;48.050;2;49.438;3;159.7;17:49.120;18:02:49.120;0:26.885;0:48.050;0:49.438;252.9;Harry TINCKNELL;;LMGTE Pro;;Ford Chip Ganassi Team UK;Ford;
67;2;8;2:05.099;0;;26.846;1;48.207;0;50.046;0;158.7;19:54.219;18:04:54.219;0:26.846;0:48.207;0:50.046;255.3;Harry TINCKNELL;;LMGTE Pro;;Ford Chip Ganassi Team UK;Ford;
67;2;9;2:05.213;0;;27.038;0;48.196;0;49.979;0;158.6;21:59.432;18:06:59.432;0:27.038;0:48.196;0:49.979;256.5;Harry TINCKNELL;;LMGTE Pro;;Ford Chip Ganassi Team UK;Ford;
71;0;1;3:49.499;0;;2:07.470;0;50.540;0;51.489;0;86.5;3:49.499;17:48:49.499;2:07.470;0:50.540;0:51.489;250.0;Davide RIGON;0:01:42.793;LMGTE Pro;;AF Corse;Ferrari;
71;0;2;2:04.549;2;;26.881;0;48.084;2;49.584;0;159.4;5:54.048;17:50:54.048;0:26.881;0:48.084;0:49.584;255.9;Davide RIGON;;LMGTE Pro;;AF Corse;Ferrari;
71;0;3;2:04.570;0;;26.848;0;48.148;0;49.574;2;159.4;7:58.618;17:52:58.618;0:26.848;0:48.148;0:49.574;257.8;Davide RIGON;;LMGTE Pro;;AF Corse;Ferrari;
71;0;4;2:11.094;0;B;26.825;1;49.751;0;54.518;0;151.5;10:09.712;17:55:09.712;0:26.825;0:49.751;0:54.518;255.3;Davide RIGON;;LMGTE Pro;;AF Corse;Ferrari;
