NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;4:18.172;0;B;1:07.987;0;1:24.850;0;1:45.335;0;190.0;4:18.172;09:04:18.172;1:07.987;1:24.850;1:45.335;260.7;Timo BERNHARD;0:00:31.318;LMP1;H;Porsche Team;Porsche;
1;0;2;24:02.692;0;;20:58.606;0;1:21.542;0;1:42.544;2;34.0;28:20.864;09:28:20.864;20:58.606;1:21.542;1:42.544;314.5;Timo BERNHARD;0:20:35.607;LMP1;H;Porsche Team;Porsche;
1;0;3;3:36.909;0;B;33.017;2;1:19.868;1;1:44.024;0;226.2;31:57.773;09:31:57.773;0:33.017;1:19.868;1:44.024;318.2;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;2;4;4:53.142;0;;1:47.037;0;1:19.239;2;1:46.866;1;167.4;36:50.915;09:36:50.915;1:47.037;1:19.239;1:46.866;323.9;Brendon HARTLEY;0:01:23.936;LMP1;H;Porsche Team;Porsche;
12;0;1;4:48.231;0;B;1:23.170;0;1:29.332;0;1:55.729;0;170.2;4:48.231;09:04:48.231;1:23.170;1:29.332;1:55.729;269.1;Nicolas PROST;0:00:41.543;LMP1;;Rebellion Racing;Rebellion;
12;0;2;22:44.653;0;;19:28.198;0;1:31.190;0;1:45.265;2;36.0;27:32.884;09:27:32.884;19:28.198;1:31.190;1:45.265;235.2;Nicolas PROST;0:18:58.916;LMP1;;Rebellion Racing;Rebellion;
12;0;3;3:47.889;0;B;35.972;2;1:23.925;2;1:47.992;0;215.3;31:20.773;09:31:20.773;0:35.972;1:23.925;1:47.992;323.9;Nicolas PROST;;LMP1;;Rebellion Racing;Rebellion;
12;1;4;5:24.353;0;B;1:58.048;1;1:24.485;1;2:01.820;1;151.3;36:45.126;09:36:45.126;1:58.048;1:24.485;2:01.820;309.1;Nick HEIDFELD;0:01:31.426;LMP1;;Rebellion Racing;Rebellion;
13;1;1;4:23.457;0;;1:13.768;0;1:27.042;0;1:42.647;0;186.2;4:23.457;09:04:23.457;1:13.768;1:27.042;1:42.647;275.3;Alexandre IMPERATORI;0:00:34.763;LMP1;;Rebellion Racing;Rebellion;
13;1;2;3:38.619;2;;35.052;1;1:21.357;2;1:42.210;2;224.4;8:02.076;09:08:02.076;0:35.052;1:21.357;1:42.210;328.8;Alexandre IMPERATORI;;LMP1;;Rebellion Racing;Rebellion;
