NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
109;0;1;3:10.923;0;;1:52.145;0;53.447;0;25.331;0;96.9;3:10.923;15:33:10.923;1:52.145;0:53.447;0:25.331;228.5;Joachim Bölting;0:00:47.949;2f;;PROsport Performance;;
109;0;2;2:30.513;0;B;1:05.827;0;53.604;0;31.082;0;122.9;5:41.436;15:35:41.436;1:05.827;0:53.604;0:31.082;231.2;Joachim Bölting;;2f;;PROsport Performance;;
109;0;3;3:15.374;0;;1:59.813;0;50.967;0;24.594;0;94.7;8:56.810;15:38:56.810;1:59.813;0:50.967;0:24.594;232.1;Joachim Bölting;0:01:01.005;2f;;PROsport Performance;;
109;0;4;2:17.706;0;;1:02.720;0;50.520;0;24.466;0;134.3;11:14.516;15:41:14.516;1:02.720;0:50.520;0:24.466;233.1;Joachim Bölting;;2f;;PROsport Performance;;
109;0;5;2:17.870;0;;1:03.432;0;49.773;0;24.665;0;134.1;13:32.386;15:43:32.386;1:03.432;0:49.773;0:24.665;234.0;Joachim Bölting;;2f;;PROsport Performance;;
109;0;6;2:16.816;0;;1:03.007;0;49.710;0;24.099;0;135.2;15:49.202;15:45:49.202;1:03.007;0:49.710;0:24.099;234.0;Joachim Bölting;;2f;;PROsport Performance;;
109;0;7;2:17.886;0;;1:03.559;0;49.910;0;24.417;0;134.1;18:07.088;15:48:07.088;1:03.559;0:49.910;0:24.417;234.0;Joachim Bölting;;2f;;PROsport Performance;;
109;0;8;2:16.548;0;;1:01.958;2;49.993;0;24.597;0;135.4;20:23.636;15:50:23.636;1:01.958;0:49.993;0:24.597;233.5;Joachim Bölting;;2f;;PROsport Performance;;
109;0;9;2:16.011;2;;1:02.449;0;49.456;2;24.106;0;136.0;22:39.647;15:52:39.647;1:02.449;0:49.456;0:24.106;233.5;Joachim Bölting;;2f;;PROsport Performance;;
109;0;10;2:18.840;0;;1:04.001;0;50.374;0;24.465;0;133.2;24:58.487;15:54:58.487;1:04.001;0:50.374;0:24.465;234.5;Joachim Bölting;;2f;;PROsport Performance;;
109;0;11;2:18.691;0;;1:03.601;0;50.964;0;24.126;0;133.3;27:17.178;15:57:17.178;1:03.601;0:50.964;0:24.126;234.0;Joachim Bölting;;2f;;PROsport Performance;;
109;0;12;2:16.891;0;;1:02.638;0;50.260;0;23.993;2;135.1;29:34.069;15:59:34.069;1:02.638;0:50.260;0:23.993;232.6;Joachim Bölting;;2f;;PROsport Performance;;
109;0;13;2:16.468;0;;1:02.342;0;50.083;0;24.043;0;135.5;31:50.537;16:01:50.537;1:02.342;0:50.083;0:24.043;232.1;Joachim Bölting;;2f;;PROsport Performance;;
111;0;1;3:26.377;0;;2:09.980;0;51.371;0;25.026;0;89.6;3:26.377;15:33:26.377;2:09.980;0:51.371;0:25.026;229.9;Jens Kempe;;2f;;Jens;;
111;0;2;2:18.810;0;;1:03.744;0;50.122;0;24.944;0;133.2;5:45.187;15:35:45.187;1:03.744;0:50.122;0:24.944;231.2;Jens Kempe;;2f;;Jens;;
111;0;3;2:18.511;0;;1:03.785;0;50.145;0;24.581;0;133.5;8:03.698;15:38:03.698;1:03.785;0:50.145;0:24.581;229.4;Jens Kempe;;2f;;Jens;;
111;0;4;2:18.775;0;;1:04.436;0;49.976;0;24.363;0;133.3;10:22.473;15:40:22.473;1:04.436;0:49.976;0:24.363;230.3;Jens Kempe;;2f;;Jens;;
111;0;5;2:17.561;2;;1:03.421;0;49.899;2;24.241;2;134.4;12:40.034;15:42:40.034;1:03.421;0:49.899;0:24.241;229.4;Jens Kempe;;2f;;Jens;;
111;0;6;2:26.181;0;B;1:03.483;0;50.943;0;31.755;0;126.5;15:06.215;15:45:06.215;1:03.483;0:50.943;0:31.755;227.2;Jens Kempe;;2f;;Jens;;
111;0;7;5:55.137;0;;4:39.988;0;50.188;0;24.961;0;52.1;21:01.352;15:51:01.352;4:39.988;0:50.188;0:24.961;229.4;Jens Kempe;;2f;;Jens;;
111;0;8;2:20.022;0;;1:03.057;2;51.188;0;25.777;0;132.1;23:21.374;15:53:21.374;1:03.057;0:51.188;0:25.777;213.5;Jens Kempe;;2f;;Jens;;
111;0;9;2:17.914;0;;1:03.107;0;50.032;0;24.775;0;134.1;25:39.288;15:55:39.288;1:03.107;0:50.032;0:24.775;230.3;Jens Kempe;;2f;;Jens;;
111;0;10;2:18.976;0;;1:03.600;0;50.788;0;24.588;0;133.1;27:58.264;15:57:58.264;1:03.600;0:50.788;0:24.588;215.5;Jens Kempe;;2f;;Jens;;
111;0;11;2:21.518;0;;1:04.862;0;51.810;0;24.846;0;130.7;30:19.782;16:00:19.782;1:04.862;0:51.810;0:24.846;229.9;Jens Kempe;;2f;;Jens;;
121;0;1;2:59.892;0;;1:44.786;0;50.063;0;25.043;0;102.8;2:59.892;15:32:59.892;1:44.786;0:50.063;0:25.043;241.7;Martin Meenen;0:00:39.244;5e;;a-workx;;
121;0;2;2:13.680;0;;1:01.645;0;48.179;0;23.856;0;138.3;5:13.572;15:35:13.572;1:01.645;0:48.179;0:23.856;248.9;Martin Meenen;;5e;;a-workx;;
121;0;3;2:09.356;0;;59.399;0;46.720;0;23.237;0;143.0;7:22.928;15:37:22.928;0:59.399;0:46.720;0:23.237;250.0;Martin Meenen;;5e;;a-workx;;
121;0;4;2:09.202;0;;58.650;0;47.291;0;23.261;0;143.1;9:32.130;15:39:32.130;0:58.650;0:47.291;0:23.261;250.0;Martin Meenen;;5e;;a-workx;;
121;0;5;2:08.906;0;;59.054;0;46.508;0;23.344;0;143.5;11:41.036;15:41:41.036;0:59.054;0:46.508;0:23.344;251.6;Martin Meenen;;5e;;a-workx;;
121;0;6;2:14.747;0;B;58.760;0;46.900;0;29.087;0;137.2;13:55.783;15:43:55.783;0:58.760;0:46.900;0:29.087;251.6;Martin Meenen;;5e;;a-workx;;
121;0;7;3:47.246;0;;2:38.016;0;46.251;0;22.979;0;81.4;17:43.029;15:47:43.029;2:38.016;0:46.251;0:22.979;249.5;Martin Meenen;0:01:42.118;5e;;a-workx;;
121;0;8;2:08.690;0;;59.120;0;46.509;0;23.061;0;143.7;19:51.719;15:49:51.719;0:59.120;0:46.509;0:23.061;251.1;Martin Meenen;;5e;;a-workx;;
121;0;9;2:07.185;2;;58.138;2;46.118;2;22.929;0;145.4;21:58.904;15:51:58.904;0:58.138;0:46.118;0:22.929;249.5;Martin Meenen;;5e;;a-workx;;
121;0;10;2:07.890;0;;58.802;0;46.242;0;22.846;2;144.6;24:06.794;15:54:06.794;0:58.802;0:46.242;0:22.846;251.6;Martin Meenen;;5e;;a-workx;;
121;0;11;2:15.385;0;B;59.320;0;47.171;0;28.894;0;136.6;26:22.179;15:56:22.179;0:59.320;0:47.171;0:28.894;238.8;Martin Meenen;;5e;;a-workx;;
121;0;12;3:52.623;0;;2:42.307;0;46.915;0;23.401;0;79.5;30:14.802;16:00:14.802;2:42.307;0:46.915;0:23.401;247.9;Martin Meenen;0:01:47.719;5e;;a-workx;;
124;0;1;2:22.179;0;;1:11.912;0;47.466;0;22.801;0;130.1;2:22.179;15:32:22.179;1:11.912;0:47.466;0:22.801;255.5;Felix Wimmer;;7e;;Herberth Motorsport;;
124;0;2;2:03.662;0;;57.065;0;44.052;0;22.545;0;149.5;4:25.841;15:34:25.841;0:57.065;0:44.052;0:22.545;261.2;Felix Wimmer;;7e;;Herberth Motorsport;;
124;0;3;2:02.333;0;;56.388;0;44.110;0;21.835;0;151.2;6:28.174;15:36:28.174;0:56.388;0:44.110;0:21.835;258.8;Felix Wimmer;;7e;;Herberth Motorsport;;
124;0;4;2:02.818;0;;56.370;0;44.719;0;21.729;0;150.6;8:30.992;15:38:30.992;0:56.370;0:44.719;0:21.729;259.4;Felix Wimmer;;7e;;Herberth Motorsport;;
124;0;5;2:02.812;0;;56.024;2;44.365;0;22.423;0;150.6;10:33.804;15:40:33.804;0:56.024;0:44.365;0:22.423;260.6;Felix Wimmer;;7e;;Herberth Motorsport;;
124;0;6;2:02.578;0;;56.620;0;44.141;0;21.817;0;150.9;12:36.382;15:42:36.382;0:56.620;0:44.141;0:21.817;257.7;Felix Wimmer;;7e;;Herberth Motorsport;;
124;0;7;2:14.578;0;B;57.538;0;44.082;0;32.958;0;137.4;14:50.960;15:44:50.960;0:57.538;0:44.082;0:32.958;259.4;Felix Wimmer;;7e;;Herberth Motorsport;;
124;0;8;3:56.408;0;;2:49.743;0;44.928;0;21.737;0;78.2;18:47.368;15:48:47.368;2:49.743;0:44.928;0:21.737;258.3;Felix Wimmer;;7e;;Herberth Motorsport;;
124;0;9;2:01.794;0;;56.298;0;43.763;3;21.733;0;151.8;20:49.162;15:50:49.162;0:56.298;0:43.763;0:21.733;258.8;Felix Wimmer;;7e;;Herberth Motorsport;;
124;0;10;2:03.327;0;;57.013;0;44.441;0;21.873;0;150.0;22:52.489;15:52:52.489;0:57.013;0:44.441;0:21.873;258.3;Felix Wimmer;;7e;;Herberth Motorsport;;
124;0;11;2:03.254;0;;56.711;0;43.982;0;22.561;0;150.0;24:55.743;15:54:55.743;0:56.711;0:43.982;0:22.561;259.4;Felix Wimmer;;7e;;Herberth Motorsport;;
124;0;12;2:04.211;0;;57.791;0;44.429;0;21.991;0;148.9;26:59.954;15:56:59.954;0:57.791;0:44.429;0:21.991;259.4;Felix Wimmer;;7e;;Herberth Motorsport;;
124;0;13;2:02.838;0;;56.117;0;44.787;0;21.934;0;150.5;29:02.792;15:59:02.792;0:56.117;0:44.787;0:21.934;258.8;Felix Wimmer;;7e;;Herberth Motorsport;;
124;0;14;2:01.782;3;;56.247;0;43.818;0;21.717;2;151.9;31:04.574;16:01:04.574;0:56.247;0:43.818;0:21.717;259.4;Felix Wimmer;;7e;;Herberth Motorsport;;
125;0;1;3:17.890;0;;2:02.618;0;50.554;0;24.718;0;93.5;3:17.890;15:33:17.890;2:02.618;0:50.554;0:24.718;245.8;Edward Lewis Brauner;0:00:59.525;5e;;Team Car Tech Motorsport;;
125;0;2;2:11.497;0;;1:00.111;0;47.693;0;23.693;0;140.6;5:29.387;15:35:29.387;1:00.111;0:47.693;0:23.693;254.3;Edward Lewis Brauner;;5e;;Team Car Tech Motorsport;;
125;0;3;2:11.923;0;;1:00.306;0;47.590;0;24.027;0;140.2;7:41.310;15:37:41.310;1:00.306;0:47.590;0:24.027;243.2;Edward Lewis Brauner;;5e;;Team Car Tech Motorsport;;
125;0;4;2:07.471;2;;58.402;0;46.086;0;22.983;0;145.1;9:48.781;15:39:48.781;0:58.402;0:46.086;0:22.983;252.2;Edward Lewis Brauner;;5e;;Team Car Tech Motorsport;;
125;0;5;2:05.923;0;;58.462;0;45.564;2;21.897;2;146.9;11:54.704;15:41:54.704;0:58.462;0:45.564;0:21.897;252.7;Edward Lewis Brauner;;5e;;Team Car Tech Motorsport;;
125;0;6;2:18.292;0;B;58.439;0;46.137;0;33.716;0;133.7;14:12.996;15:44:12.996;0:58.439;0:46.137;0:33.716;252.7;Edward Lewis Brauner;;5e;;Team Car Tech Motorsport;;
