NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
50;2;1;2:37.748;0;;1:21.102;0;48.780;0;27.866;0;117.2;2:37.748;14:17:37.748;1:21.102;0:48.780;0:27.866;160.5;Paolo RUBERTI;0:00:17.052;LMGTE Am;;Larbre Competition;Chevrolet;
50;2;2;2:09.714;0;;1:00.966;0;45.758;0;22.990;2;142.6;4:47.462;14:19:47.462;1:00.966;0:45.758;0:22.990;253.2;Paolo RUBERTI;;LMGTE Am;;Larbre Competition;Chevrolet;
50;2;3;2:07.184;2;;59.211;0;44.933;2;23.040;0;145.4;6:54.646;14:21:54.646;0:59.211;0:44.933;0:23.040;252.7;Paolo RUBERTI;;LMGTE Am;;Larbre Competition;Chevrolet;
50;2;4;2:07.691;0;;59.136;2;45.199;0;23.356;0;144.8;9:02.337;14:24:02.337;0:59.136;0:45.199;0:23.356;252.2;Paolo RUBERTI;;LMGTE Am;;Larbre Competition;Chevrolet;
50;2;5;2:15.691;0;B;1:00.312;0;45.615;0;29.764;0;136.3;11:18.028;14:26:18.028;1:00.312;0:45.615;0:29.764;249.5;Paolo RUBERTI;;LMGTE Am;;Larbre Competition;Chevrolet;
50;0;6;3:21.257;0;;2:05.408;0;50.414;0;25.435;0;91.9;14:39.285;14:29:39.285;2:05.408;0:50.414;0:25.435;234.5;Yutaka YAMAGISHI;0:01:06.392;LMGTE Am;;Larbre Competition;Chevrolet;
50;0;7;2:17.409;0;;1:04.351;0;48.908;0;24.150;0;134.6;16:56.694;14:31:56.694;1:04.351;0:48.908;0:24.150;249.5;Yutaka YAMAGISHI;;LMGTE Am;;Larbre Competition;Chevrolet;
50;0;8;2:11.969;0;;1:00.579;1;47.168;0;24.222;0;140.1;19:08.663;14:34:08.663;1:00.579;0:47.168;0:24.222;247.9;Yutaka YAMAGISHI;;LMGTE Am;;Larbre Competition;Chevrolet;
50;0;9;2:11.071;0;;1:00.836;0;46.415;1;23.820;1;141.1;21:19.734;14:36:19.734;1:00.836;0:46.415;0:23.820;252.2;Yutaka YAMAGISHI;;LMGTE Am;;Larbre Competition;Chevrolet;
51;1;1;3:11.666;0;;2:02.138;0;46.093;0;23.435;0;96.5;3:11.666;14:18:11.666;2:02.138;0:46.093;0:23.435;250.5;James CALADO;0:01:01.015;LMGTE Pro;;AF Corse;Ferrari;
51;1;2;2:06.477;0;;58.491;1;44.680;1;23.306;1;146.2;5:18.143;14:20:18.143;0:58.491;0:44.680;0:23.306;251.6;James CALADO;;LMGTE Pro;;AF Corse;Ferrari;
