NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;2;1;1:54.800;0;;40.229;0;28.099;0;46.472;0;181.6;1:54.800;14:01;0:40.229;0:28.099;0:46.472;282.7;Brendon HARTLEY;0:00:06.181;LMP1;H;Porsche Team;Porsche;
1;2;2;1:37.613;0;;29.254;0;25.370;2;42.989;0;213.6;3:32.413;14:03;0:29.254;0:25.370;0:42.989;291.9;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;3;1:47.651;0;;33.259;0;28.511;0;45.881;0;193.7;5:20.064;14:05;0:33.259;0:28.511;0:45.881;268.0;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;4;1:37.445;3;;29.105;3;25.394;0;42.946;3;213.9;6:57.509;14:06;0:29.105;0:25.394;0:42.946;290.3;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;5;3:03.352;0;B;30.684;0;28.078;0;2:04.590;0;113.7;10:00.861;14:10;0:30.684;0:28.078;2:04.590;281.2;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;0;6;2:06.986;0;;49.584;0;29.123;0;48.279;0;164.2;12:07.847;14:12;0:49.584;0:29.123;0:48.279;259.0;Timo BERNHARD;0:01:36.239;LMP1;H;Porsche Team;Porsche;
1;0;7;1:39.984;0;;29.580;0;25.468;1;44.936;0;208.5;13:47.831;14:13;0:29.580;0:25.468;0:44.936;295.1;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;8;1:54.738;0;;35.922;0;31.406;0;47.410;0;181.7;15:42.569;14:15;0:35.922;0:31.406;0:47.410;237.9;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;9;1:39.037;0;;29.448;1;25.621;0;43.968;0;210.5;17:21.606;14:17;0:29.448;0:25.621;0:43.968;293.5;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;10;15:12.234;0;B;33.031;0;27.175;0;14:12.028;0;22.9;32:33.840;14:32;0:33.031;0:27.175;14:12.028;268.0;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
