NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;4:37.010;0;;3:14.600;0;45.566;0;36.844;0;70.8;4:37.010;15:04:37.010;3:14.600;0:45.566;0:36.844;264.1;Alex YOONG;0:02:33.058;;;Audi TEDA Racing Team;;
1;0;2;2:04.098;3;;42.561;3;45.120;2;36.417;3;158.1;6:41.108;15:06:41.108;0:42.561;0:45.120;0:36.417;266.7;Alex YOONG;;;;Audi TEDA Racing Team;;
1;0;3;2:49.992;0;B;46.285;0;1:00.981;0;1:02.726;0;115.4;9:31.100;15:09:31.100;0:46.285;1:00.981;1:02.726;147.7;Alex YOONG;;;;Audi TEDA Racing Team;;
18;0;1;5:56.131;0;;4:23.528;0;48.018;0;44.585;0;55.1;5:56.131;15:05:56.131;4:23.528;0:48.018;0:44.585;191.5;Martin RUMP;0:03:33.864;;;Champion Racing Team;;
18;0;2;2:04.272;2;;42.750;2;45.089;3;36.433;2;157.9;8:00.403;15:08:00.403;0:42.750;0:45.089;0:36.433;266.7;Martin RUMP;;;;Champion Racing Team;;
18;0;3;2:25.546;0;B;46.350;0;53.279;0;45.917;0;134.8;10:25.949;15:10:25.949;0:46.350;0:53.279;0:45.917;249.4;Martin RUMP;;;;Champion Racing Team;;
21;0;1;3:37.903;0;;2:14.995;0;46.139;0;36.769;0;90.1;3:37.903;15:03:37.903;2:14.995;0:46.139;0:36.769;262.8;Wei Fung THONG;0:01:32.786;;;Phoenix Racing Asia;;
21;0;2;2:05.110;2;;42.613;2;45.956;0;36.541;2;156.9;5:43.013;15:05:43.013;0:42.613;0:45.956;0:36.541;267.3;Wei Fung THONG;;;;Phoenix Racing Asia;;
21;0;3;2:15.468;0;B;43.239;0;45.949;2;46.280;0;144.9;7:58.481;15:07:58.481;0:43.239;0:45.949;0:46.280;265.4;Wei Fung THONG;;;;Phoenix Racing Asia;;
37;0;1;2:39.440;0;;1:15.343;0;46.967;0;37.130;0;123.1;2:39.440;15:02:39.440;1:15.343;0:46.967;0:37.130;264.1;Anthony LIU;0:00:33.513;Am;;Absolute Racing;;
37;0;2;2:05.407;2;;42.868;2;45.692;2;36.847;2;156.5;4:44.847;15:04:44.847;0:42.868;0:45.692;0:36.847;267.3;Anthony LIU;;Am;;Absolute Racing;;
37;0;3;2:22.294;0;B;43.410;0;46.543;0;52.341;0;137.9;7:07.141;15:07:07.141;0:43.410;0:46.543;0:52.341;223.6;Anthony LIU;;Am;;Absolute Racing;;
6;0;1;5:09.611;0;;3:46.000;0;46.336;0;37.275;0;63.4;5:09.611;15:05:09.611;3:46.000;0:46.336;0:37.275;264.1;Alessio PICARIELLO;0:03:04.477;;;MGT Team by Absolute;;
6;0;2;2:04.553;2;;42.833;2;45.275;2;36.445;2;157.6;7:14.164;15:07:14.164;0:42.833;0:45.275;0:36.445;266.0;Alessio PICARIELLO;;;;MGT Team by Absolute;;
6;0;3;2:18.156;0;B;43.187;0;46.724;0;48.245;0;142.0;9:32.320;15:09:32.320;0:43.187;0:46.724;0:48.245;224.5;Alessio PICARIELLO;;;;MGT Team by Absolute;;
66;0;1;2:10.928;0;;47.615;0;46.223;0;37.090;0;149.9;2:10.928;15:02:10.928;0:47.615;0:46.223;0:37.090;265.4;Rahel FREY;0:00:06.102;;;Castrol Racing Team;;
66;0;2;2:04.815;2;;42.683;2;45.530;2;36.602;2;157.2;4:15.743;15:04:15.743;0:42.683;0:45.530;0:36.602;266.7;Rahel FREY;;;;Castrol Racing Team;;
66;0;3;2:19.375;0;B;44.184;0;47.345;0;47.846;0;140.8;6:35.118;15:06:35.118;0:44.184;0:47.345;0:47.846;232.3;Rahel FREY;;;;Castrol Racing Team;;
88;0;1;3:10.695;0;;1:46.392;0;46.963;0;37.340;0;102.9;3:10.695;15:03:10.695;1:46.392;0:46.963;0:37.340;260.9;Marchy LEE;0:01:04.139;;;Audi Hong Kong;;
88;0;2;2:05.191;2;;42.750;2;45.850;2;36.591;2;156.7;5:15.886;15:05:15.886;0:42.750;0:45.850;0:36.591;266.0;Marchy LEE;;;;Audi Hong Kong;;
88;0;3;2:20.176;0;B;44.300;0;48.052;0;47.824;0;140.0;7:36.062;15:07:36.062;0:44.300;0:48.052;0:47.824;241.6;Marchy LEE;;;;Audi Hong Kong;;
99;0;1;4:10.310;0;;2:46.747;0;46.530;0;37.033;0;78.4;4:10.310;15:04:10.310;2:46.747;0:46.530;0:37.033;265.4;Congfu CHENG;0:02:03.777;;;FAW-VW Audi Racing Team;;
99;0;2;2:05.388;2;;43.042;2;45.744;2;36.602;2;156.5;6:15.698;15:06:15.698;0:43.042;0:45.744;0:36.602;266.7;Congfu CHENG;;;;FAW-VW Audi Racing Team;;
99;0;3;2:33.685;0;B;47.681;0;52.876;0;53.128;0;127.7;8:49.383;15:08:49.383;0:47.681;0:52.876;0:53.128;212.2;Congfu CHENG;;;;FAW-VW Audi Racing Team;;
