NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
16;0;1;3:31.325;0;;1:41.154;0;1:03.452;0;46.719;0;92.9;3:31.325;13:08:31.325;1:41.154;1:03.452;0:46.719;223.6; Song BO;;B;;;;
16;0;2;2:42.136;0;;57.318;0;58.867;0;45.951;0;121.0;6:13.461;13:11:13.461;0:57.318;0:58.867;0:45.951;226.4; Song BO;;B;;;;
16;0;3;2:36.389;0;;52.267;0;58.390;2;45.732;0;125.5;8:49.850;13:13:49.850;0:52.267;0:58.390;0:45.732;225.9; Song BO;;B;;;;
16;0;4;2:39.697;0;;53.117;0;1:00.398;0;46.182;0;122.9;11:29.547;13:16:29.547;0:53.117;1:00.398;0:46.182;225.9; Song BO;;B;;;;
16;0;5;2:39.263;0;;53.130;0;59.372;0;46.761;0;123.2;14:08.810;13:19:08.810;0:53.130;0:59.372;0:46.761;223.6; Song BO;;B;;;;
16;0;6;2:54.785;0;B;53.493;0;1:01.591;0;59.701;0;112.3;17:03.595;13:22:03.595;0:53.493;1:01.591;0:59.701;222.2; Song BO;;B;;;;
16;0;7;3:00.734;0;;1:14.840;0;59.349;0;46.545;0;108.6;20:04.329;13:25:04.329;1:14.840;0:59.349;0:46.545;220.4; Song BO;;B;;;;
16;0;8;2:41.135;0;;53.383;0;1:01.417;0;46.335;0;121.8;22:45.464;13:27:45.464;0:53.383;1:01.417;0:46.335;221.8; Song BO;;B;;;;
16;0;9;2:37.680;0;;52.069;0;1:00.084;0;45.527;0;124.5;25:23.144;13:30:23.144;0:52.069;1:00.084;0:45.527;225.9; Song BO;;B;;;;
16;0;10;2:38.061;0;;52.592;0;59.862;0;45.607;0;124.2;28:01.205;13:33:01.205;0:52.592;0:59.862;0:45.607;226.9; Song BO;;B;;;;
16;0;11;2:36.178;2;;51.932;2;59.154;0;45.092;2;125.6;30:37.383;13:35:37.383;0:51.932;0:59.154;0:45.092;225.5; Song BO;;B;;;;
2;0;1;6:42.227;0;;4:51.749;0;1:03.039;0;47.439;0;48.8;6:42.227;13:11:42.227;4:51.749;1:03.039;0:47.439;224.1; Jason ZHU;0:03:53.582;B;;;;
2;0;2;2:39.341;0;;57.128;0;57.588;0;44.625;0;123.2;9:21.568;13:14:21.568;0:57.128;0:57.588;0:44.625;226.9; Jason ZHU;;B;;;;
2;0;3;2:33.187;0;;51.673;0;56.891;0;44.623;0;128.1;11:54.755;13:16:54.755;0:51.673;0:56.891;0:44.623;226.4; Jason ZHU;;B;;;;
2;0;4;2:31.788;0;;51.242;0;55.746;0;44.800;0;129.3;14:26.543;13:19:26.543;0:51.242;0:55.746;0:44.800;232.8; Jason ZHU;;B;;;;
2;0;5;2:30.135;0;;50.669;0;55.556;0;43.910;0;130.7;16:56.678;13:21:56.678;0:50.669;0:55.556;0:43.910;227.8; Jason ZHU;;B;;;;
2;0;6;2:28.797;0;;50.246;0;54.681;0;43.870;0;131.9;19:25.475;13:24:25.475;0:50.246;0:54.681;0:43.870;227.8; Jason ZHU;;B;;;;
2;0;7;2:28.196;2;;50.138;0;54.533;0;43.525;2;132.4;21:53.671;13:26:53.671;0:50.138;0:54.533;0:43.525;227.4; Jason ZHU;;B;;;;
2;0;8;2:28.534;0;;50.047;2;54.507;2;43.980;0;132.1;24:22.205;13:29:22.205;0:50.047;0:54.507;0:43.980;228.3; Jason ZHU;;B;;;;
2;0;9;2:32.511;0;;53.620;0;54.602;0;44.289;0;128.7;26:54.716;13:31:54.716;0:53.620;0:54.602;0:44.289;228.3; Jason ZHU;;B;;;;
2;0;10;2:49.810;0;B;51.811;0;59.000;0;58.999;0;115.6;29:44.526;13:34:44.526;0:51.811;0:59.000;0:58.999;207.3; Jason ZHU;;B;;;;
26;0;1;3:17.925;0;;1:29.684;0;1:00.887;0;47.354;0;99.1;3:17.925;13:08:17.925;1:29.684;1:00.887;0:47.354;213.9; Terbo YU;;B;;;;
26;0;2;2:34.406;0;;52.121;0;56.065;2;46.220;0;127.1;5:52.331;13:10:52.331;0:52.121;0:56.065;0:46.220;225.5; Terbo YU;;B;;;;
26;0;3;2:34.854;0;;51.968;0;57.226;0;45.660;0;126.7;8:27.185;13:13:27.185;0:51.968;0:57.226;0:45.660;226.9; Terbo YU;;B;;;;
26;0;4;2:33.665;2;;51.697;0;56.522;0;45.446;2;127.7;11:00.850;13:16:00.850;0:51.697;0:56.522;0:45.446;227.8; Terbo YU;;B;;;;
26;0;5;2:33.678;0;;51.508;2;56.520;0;45.650;0;127.7;13:34.528;13:18:34.528;0:51.508;0:56.520;0:45.650;222.2; Terbo YU;;B;;;;
26;0;6;2:46.049;0;B;51.867;0;56.254;0;57.928;0;118.2;16:20.577;13:21:20.577;0:51.867;0:56.254;0:57.928;227.4; Terbo YU;;B;;;;
3;0;1;3:09.488;0;;1:29.524;0;56.341;0;43.623;0;103.6;3:09.488;13:08:09.488;1:29.524;0:56.341;0:43.623;225.9; Jesse EEMIL;;A;;;;
3;0;2;2:25.300;0;;49.264;0;52.830;0;43.206;0;135.1;5:34.788;13:10:34.788;0:49.264;0:52.830;0:43.206;227.8; Jesse EEMIL;;A;;;;
3;0;3;2:25.788;0;;50.052;0;52.798;0;42.938;0;134.6;8:00.576;13:13:00.576;0:50.052;0:52.798;0:42.938;228.8; Jesse EEMIL;;A;;;;
3;0;4;2:24.339;0;;49.036;0;52.571;0;42.732;2;136.0;10:24.915;13:15:24.915;0:49.036;0:52.571;0:42.732;229.8; Jesse EEMIL;;A;;;;
3;0;5;2:33.892;0;B;48.881;0;52.513;0;52.498;0;127.5;12:58.807;13:17:58.807;0:48.881;0:52.513;0:52.498;230.3; Jesse EEMIL;;A;;;;
3;0;6;4:11.714;0;;2:36.078;0;52.604;0;43.032;0;78.0;17:10.521;13:22:10.521;2:36.078;0:52.604;0:43.032;229.8; Jesse EEMIL;;A;;;;
3;0;7;2:24.657;0;;49.044;0;52.635;0;42.978;0;135.7;19:35.178;13:24:35.178;0:49.044;0:52.635;0:42.978;230.3; Jesse EEMIL;;A;;;;
3;0;8;2:24.500;0;;49.219;0;52.508;3;42.773;0;135.8;21:59.678;13:26:59.678;0:49.219;0:52.508;0:42.773;229.3; Jesse EEMIL;;A;;;;
