NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;3:55.101;0;;2:23.771;0;50.547;0;40.783;0;83.5;3:55.101;14:38:55.101;2:23.771;0:50.547;0:40.783;212.6;Alex YOONG;0:01:37.678;;;Audi TEDA Racing Team;;
1;0;2;2:06.793;0;;43.695;0;46.100;0;36.998;0;154.8;6:01.894;14:41:01.894;0:43.695;0:46.100;0:36.998;265.4;Alex YOONG;;;;Audi TEDA Racing Team;;
1;0;3;2:04.224;2;;42.619;2;45.073;3;36.532;2;158.0;8:06.118;14:43:06.118;0:42.619;0:45.073;0:36.532;265.4;Alex YOONG;;;;Audi TEDA Racing Team;;
1;0;4;2:20.431;0;B;44.368;0;46.970;0;49.093;0;139.7;10:26.549;14:45:26.549;0:44.368;0:46.970;0:49.093;222.2;Alex YOONG;;;;Audi TEDA Racing Team;;
11;0;1;2:27.603;0;;56.256;0;50.645;0;40.702;0;132.9;2:27.603;14:37:27.603;0:56.256;0:50.645;0:40.702;221.8;Kyong-Ouk YOU;0:00:08.856;;;Team Audi Korea;;
11;0;2;2:07.520;0;;44.157;0;46.409;0;36.954;0;153.9;4:35.123;14:39:35.123;0:44.157;0:46.409;0:36.954;265.4;Kyong-Ouk YOU;;;;Team Audi Korea;;
11;0;3;2:05.486;0;;43.102;0;45.634;0;36.750;0;156.4;6:40.609;14:41:40.609;0:43.102;0:45.634;0:36.750;266.7;Kyong-Ouk YOU;;;;Team Audi Korea;;
11;0;4;2:05.086;2;;42.851;0;45.627;2;36.608;2;156.9;8:45.695;14:43:45.695;0:42.851;0:45.627;0:36.608;268.0;Kyong-Ouk YOU;;;;Team Audi Korea;;
11;0;5;2:05.098;0;;42.799;2;45.629;0;36.670;0;156.9;10:50.793;14:45:50.793;0:42.799;0:45.629;0:36.670;270.7;Kyong-Ouk YOU;;;;Team Audi Korea;;
11;0;6;2:26.648;0;B;46.026;0;48.737;0;51.885;0;133.8;13:17.441;14:48:17.441;0:46.026;0:48.737;0:51.885;227.8;Kyong-Ouk YOU;;;;Team Audi Korea;;
13;0;1;2:29.267;0;;56.498;0;51.894;0;40.875;0;131.5;2:29.267;14:37:29.267;0:56.498;0:51.894;0:40.875;238.4;Jing Zu SUN;0:00:07.204;Am;;Absolute Racing;;
13;0;2;2:10.741;0;;44.444;0;47.816;0;38.481;0;150.1;4:40.008;14:39:40.008;0:44.444;0:47.816;0:38.481;264.1;Jing Zu SUN;;Am;;Absolute Racing;;
13;0;3;2:10.096;0;;44.135;0;47.176;0;38.785;0;150.8;6:50.104;14:41:50.104;0:44.135;0:47.176;0:38.785;265.4;Jing Zu SUN;;Am;;Absolute Racing;;
13;0;4;2:11.203;0;;45.669;0;48.281;0;37.253;0;149.6;9:01.307;14:44:01.307;0:45.669;0:48.281;0:37.253;264.1;Jing Zu SUN;;Am;;Absolute Racing;;
13;0;5;2:07.867;0;;43.643;0;47.184;0;37.040;0;153.5;11:09.174;14:46:09.174;0:43.643;0:47.184;0:37.040;266.0;Jing Zu SUN;;Am;;Absolute Racing;;
13;0;6;2:07.067;0;;43.496;0;46.738;0;36.833;2;154.4;13:16.241;14:48:16.241;0:43.496;0:46.738;0:36.833;267.3;Jing Zu SUN;;Am;;Absolute Racing;;
13;0;7;2:06.910;2;;43.302;2;46.438;2;37.170;0;154.6;15:23.151;14:50:23.151;0:43.302;0:46.438;0:37.170;266.7;Jing Zu SUN;;Am;;Absolute Racing;;
18;0;1;5:42.953;0;;4:12.156;0;51.295;0;39.502;0;57.2;5:42.953;14:40:42.953;4:12.156;0:51.295;0:39.502;237.4;Martin RUMP;0:03:26.463;;;Champion Racing Team;;
18;0;2;2:11.902;0;;45.035;0;48.294;0;38.573;0;148.8;7:54.855;14:42:54.855;0:45.035;0:48.294;0:38.573;248.3;Martin RUMP;;;;Champion Racing Team;;
18;0;3;2:04.427;0;;42.508;0;45.419;0;36.500;0;157.7;9:59.282;14:44:59.282;0:42.508;0:45.419;0:36.500;266.7;Martin RUMP;;;;Champion Racing Team;;
18;0;4;2:03.936;3;;42.450;2;45.131;2;36.355;3;158.3;12:03.218;14:47:03.218;0:42.450;0:45.131;0:36.355;267.3;Martin RUMP;;;;Champion Racing Team;;
