NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
50;1;1;2:43.592;0;;1:16.240;0;46.832;0;40.520;0;120.0;2:43.592;13:52:43.592;1:16.240;0:46.832;0:40.520;166.7;Ricky TAYLOR;0:00:34.696;LMGTE Am;;Larbre Competition;Chevrolet;
50;1;2;2:06.115;2;;42.878;2;46.044;2;37.193;2;155.6;4:49.707;13:54:49.707;0:42.878;0:46.044;0:37.193;260.9;Ricky TAYLOR;;LMGTE Am;;Larbre Competition;Chevrolet;
50;1;3;2:16.185;0;B;43.088;0;47.081;0;46.016;0;144.1;7:05.892;13:57:05.892;0:43.088;0:47.081;0:46.016;246.0;Ricky TAYLOR;;LMGTE Am;;Larbre Competition;Chevrolet;
50;2;4;3:15.098;0;;1:47.798;0;48.128;0;39.172;0;100.6;10:20.990;14:00:20.990;1:47.798;0:48.128;0:39.172;209.3;Romain BRANDELA;0:01:08.407;LMGTE Am;;Larbre Competition;Chevrolet;
50;2;5;2:09.600;0;;44.394;0;47.470;1;37.736;1;151.4;12:30.590;14:02:30.590;0:44.394;0:47.470;0:37.736;261.5;Romain BRANDELA;;LMGTE Am;;Larbre Competition;Chevrolet;
50;2;6;2:24.526;0;B;44.208;1;51.782;0;48.536;0;135.8;14:55.116;14:04:55.116;0:44.208;0:51.782;0:48.536;222.7;Romain BRANDELA;;LMGTE Am;;Larbre Competition;Chevrolet;
51;0;1;4:04.275;0;;2:39.489;0;47.673;0;37.113;0;80.3;4:04.275;13:54:04.275;2:39.489;0:47.673;0:37.113;262.8;Gianmaria BRUNI;0:01:58.215;LMGTE Pro;;AF Corse;Ferrari;
51;0;2;2:02.124;0;;41.724;2;44.407;1;35.993;2;160.7;6:06.399;13:56:06.399;0:41.724;0:44.407;0:35.993;265.4;Gianmaria BRUNI;;LMGTE Pro;;AF Corse;Ferrari;
51;0;3;2:02.313;2;;41.795;0;44.484;0;36.034;0;160.4;8:08.712;13:58:08.712;0:41.795;0:44.484;0:36.034;265.4;Gianmaria BRUNI;;LMGTE Pro;;AF Corse;Ferrari;
51;0;4;2:11.389;0;B;42.391;0;45.944;0;43.054;0;149.4;10:20.101;14:00:20.101;0:42.391;0:45.944;0:43.054;265.4;Gianmaria BRUNI;;LMGTE Pro;;AF Corse;Ferrari;
