NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
50;2;1;2:42.271;0;;57.590;0;1:04.323;0;40.358;0;130.9;2:42.271;11:56;0:57.590;1:04.323;0:40.358;220.4;Paolo RUBERTI;0:00:12.005;LMGTE Am;;Larbre Competition;Chevrolet;
50;2;2;2:20.247;0;;44.954;0;58.371;0;36.922;0;151.5;5:02.518;11:59;0:44.954;0:58.371;0:36.922;239.5;Paolo RUBERTI;;LMGTE Am;;Larbre Competition;Chevrolet;
50;2;3;2:15.191;0;;41.363;0;57.341;0;36.487;0;157.1;7:17.709;12:01;0:41.363;0:57.341;0:36.487;240.5;Paolo RUBERTI;;LMGTE Am;;Larbre Competition;Chevrolet;
50;2;4;2:14.044;2;;40.616;2;57.002;2;36.426;2;158.5;9:31.753;12:03;0:40.616;0:57.002;0:36.426;241.1;Paolo RUBERTI;;LMGTE Am;;Larbre Competition;Chevrolet;
50;2;5;2:17.992;0;B;41.329;0;59.111;0;37.552;0;153.9;11:49.745;12:05;0:41.329;0:59.111;0:37.552;238.4;Paolo RUBERTI;;LMGTE Am;;Larbre Competition;Chevrolet;
50;0;6;3:44.736;0;;1:59.885;0;1:04.570;0;40.281;0;94.5;15:34.481;12:09;1:59.885;1:04.570;0:40.281;236.3;Yutaka YAMAGISHI;0:01:26.914;LMGTE Am;;Larbre Competition;Chevrolet;
50;0;7;2:24.817;0;;43.786;0;1:02.150;0;38.881;0;146.7;17:59.298;12:11;0:43.786;1:02.150;0:38.881;240.5;Yutaka YAMAGISHI;;LMGTE Am;;Larbre Competition;Chevrolet;
50;0;8;2:22.644;0;;42.918;1;1:01.050;1;38.676;1;148.9;20:21.942;12:14;0:42.918;1:01.050;0:38.676;240.5;Yutaka YAMAGISHI;;LMGTE Am;;Larbre Competition;Chevrolet;
51;1;1;3:48.492;0;;2:14.439;0;57.735;0;36.318;0;93.0;3:48.492;11:57;2:14.439;0:57.735;0:36.318;241.1;James CALADO;0:01:37.234;LMGTE Pro;;AF Corse;Ferrari;
51;1;2;2:11.764;0;;39.887;0;55.890;3;35.987;0;161.2;6:00.256;12:00;0:39.887;0:55.890;0:35.987;242.2;James CALADO;;LMGTE Pro;;AF Corse;Ferrari;
51;1;3;2:11.589;3;;39.709;3;55.983;0;35.897;3;161.4;8:11.845;12:02;0:39.709;0:55.983;0:35.897;242.7;James CALADO;;LMGTE Pro;;AF Corse;Ferrari;
51;1;4;2:16.226;0;B;41.151;0;57.221;0;37.854;0;155.9;10:28.071;12:04;0:41.151;0:57.221;0:37.854;242.7;James CALADO;;LMGTE Pro;;AF Corse;Ferrari;
51;0;5;3:55.153;0;;2:19.405;0;59.490;1;36.258;1;90.3;14:23.224;12:08;2:19.405;0:59.490;0:36.258;241.6;Gianmaria BRUNI;0:01:46.938;LMGTE Pro;;AF Corse;Ferrari;
51;0;6;2:37.087;0;B;50.056;1;1:05.073;0;41.958;0;135.2;17:00.311;12:11;0:50.056;1:05.073;0:41.958;184.9;Gianmaria BRUNI;;LMGTE Pro;;AF Corse;Ferrari;
66;1;1;2:55.870;0;;1:15.740;0;59.635;0;40.495;0;120.8;2:55.870;11:56;1:15.740;0:59.635;0:40.495;223.1;Stefan MÜCKE;0:00:35.833;LMGTE Pro;;Ford Chip Ganassi Team UK;Ford;
66;1;2;2:15.297;0;;41.096;0;57.781;0;36.420;2;157.0;5:11.167;11:59;0:41.096;0:57.781;0:36.420;243.8;Stefan MÜCKE;;LMGTE Pro;;Ford Chip Ganassi Team UK;Ford;
66;1;3;2:14.791;0;;40.479;1;57.660;1;36.652;0;157.6;7:25.958;12:01;0:40.479;0:57.660;0:36.652;245.5;Stefan MÜCKE;;LMGTE Pro;;Ford Chip Ganassi Team UK;Ford;
66;1;4;2:16.042;0;B;40.662;0;58.458;0;36.922;0;156.2;9:42.000;12:03;0:40.662;0:58.458;0:36.922;246.0;Stefan MÜCKE;;LMGTE Pro;;Ford Chip Ganassi Team UK;Ford;
66;2;5;3:51.139;0;;2:16.087;0;58.211;0;36.841;0;91.9;13:33.139;12:07;2:16.087;0:58.211;0:36.841;244.9;Olivier PLA;0:01:47.928;LMGTE Pro;;Ford Chip Ganassi Team UK;Ford;
66;2;6;2:14.160;2;;40.183;2;56.994;2;36.983;0;158.3;15:47.299;12:09;0:40.183;0:56.994;0:36.983;246.0;Olivier PLA;;LMGTE Pro;;Ford Chip Ganassi Team UK;Ford;
66;2;7;2:14.663;0;;40.435;0;57.531;0;36.697;1;157.8;18:01.962;12:12;0:40.435;0:57.531;0:36.697;243.8;Olivier PLA;;LMGTE Pro;;Ford Chip Ganassi Team UK;Ford;
66;2;8;2:28.922;0;;40.413;0;57.252;0;51.257;0;142.6;20:30.884;12:14;0:40.413;0:57.252;0:51.257;245.5;Olivier PLA;;LMGTE Pro;;Ford Chip Ganassi Team UK;Ford;
67;1;1;2:35.871;0;;59.011;0;59.485;0;37.375;0;136.3;2:35.871;11:56;0:59.011;0:59.485;0:37.375;242.2;Andy PRIAULX;0:00:21.282;LMGTE Pro;;Ford Chip Ganassi Team UK;Ford;
67;1;2;2:21.923;0;B;40.762;2;1:00.420;0;40.741;0;149.7;4:57.794;11:58;0:40.762;1:00.420;0:40.741;216.9;Andy PRIAULX;;LMGTE Pro;;Ford Chip Ganassi Team UK;Ford;
67;1;3;4:41.217;0;;3:04.251;0;56.742;2;40.224;0;75.5;9:39.011;12:03;3:04.251;0:56.742;0:40.224;177.0;Andy PRIAULX;0:02:36.707;LMGTE Pro;;Ford Chip Ganassi Team UK;Ford;
67;1;4;2:17.072;2;;41.605;0;58.361;0;37.106;0;155.0;11:56.083;12:05;0:41.605;0:58.361;0:37.106;244.9;Andy PRIAULX;;LMGTE Pro;;Ford Chip Ganassi Team UK;Ford;
67;1;5;2:15.337;0;B;41.149;0;57.739;0;36.449;2;157.0;14:11.420;12:08;0:41.149;0:57.739;0:36.449;242.2;Andy PRIAULX;;LMGTE Pro;;Ford Chip Ganassi Team UK;Ford;
67;2;6;4:53.789;0;;3:14.903;0;1:01.390;0;37.496;1;72.3;19:05.209;12:13;3:14.903;1:01.390;0:37.496;243.8;Harry TINCKNELL;0:02:45.513;LMGTE Pro;;Ford Chip Ganassi Team UK;Ford;
67;2;7;2:17.663;0;;41.632;1;58.258;1;37.773;0;154.3;21:22.872;12:15;0:41.632;0:58.258;0:37.773;203.4;Harry TINCKNELL;;LMGTE Pro;;Ford Chip Ganassi Team UK;Ford;
71;0;1;4:27.237;0;;2:51.900;0;58.188;0;37.149;0;79.5;4:27.237;11:58;2:51.900;0:58.188;0:37.149;242.2;Davide RIGON;0:02:13.634;LMGTE Pro;;AF Corse;Ferrari;
71;0;2;2:12.991;0;;40.474;0;56.481;0;36.036;0;159.7;6:40.228;12:00;0:40.474;0:56.481;0:36.036;242.2;Davide RIGON;;LMGTE Pro;;AF Corse;Ferrari;
71;0;3;2:11.900;2;;39.781;2;56.159;2;35.960;2;161.1;8:52.128;12:02;0:39.781;0:56.159;0:35.960;242.7;Davide RIGON;;LMGTE Pro;;AF Corse;Ferrari;
71;0;4;2:13.632;0;B;40.157;0;56.799;0;36.676;0;159.0;11:05.760;12:05;0:40.157;0:56.799;0:36.676;242.2;Davide RIGON;;LMGTE Pro;;AF Corse;Ferrari;
71;1;5;3:28.052;0;;1:53.102;0;58.050;0;36.900;0;102.1;14:33.812;12:08;1:53.102;0:58.050;0:36.900;242.7;Sam BIRD;0:01:22.957;LMGTE Pro;;AF Corse;Ferrari;
71;1;6;2:12.981;0;;40.102;1;56.670;1;36.209;1;159.7;16:46.793;12:10;0:40.102;0:56.670;0:36.209;242.2;Sam BIRD;;LMGTE Pro;;AF Corse;Ferrari;
71;1;7;2:14.027;0;;40.459;0;57.218;0;36.350;0;158.5;19:00.820;12:13;0:40.459;0:57.218;0:36.350;242.2;Sam BIRD;;LMGTE Pro;;AF Corse;Ferrari;
71;1;8;2:14.136;0;B;40.390;0;57.205;0;36.541;0;158.4;21:14.956;12:15;0:40.390;0:57.205;0:36.541;243.2;Sam BIRD;;LMGTE Pro;;AF Corse;Ferrari;
77;0;1;2:40.729;0;;1:03.463;0;58.515;0;38.751;0;132.2;2:40.729;11:56;1:03.463;0:58.515;0:38.751;238.4;Richard LIETZ;0:00:24.944;LMGTE Pro;;Dempsey - Proton Racing;Porsche;
77;0;2;2:14.263;0;;40.626;0;56.882;0;36.755;0;158.2;4:54.992;11:58;0:40.626;0:56.882;0:36.755;241.6;Richard LIETZ;;LMGTE Pro;;Dempsey - Proton Racing;Porsche;
77;0;3;2:13.475;2;;40.320;2;56.737;2;36.418;0;159.2;7:08.467;12:01;0:40.320;0:56.737;0:36.418;241.1;Richard LIETZ;;LMGTE Pro;;Dempsey - Proton Racing;Porsche;
77;0;4;2:14.386;0;B;40.654;0;57.412;0;36.320;2;158.1;9:22.853;12:03;0:40.654;0:57.412;0:36.320;241.6;Richard LIETZ;;LMGTE Pro;;Dempsey - Proton Racing;Porsche;
77;1;5;3:37.277;0;;2:01.656;0;58.515;0;37.106;0;97.8;13:00.130;12:07;2:01.656;0:58.515;0:37.106;241.6;Michael CHRISTENSEN;0:01:31.948;LMGTE Pro;;Dempsey - Proton Racing;Porsche;
77;1;6;2:15.213;0;;40.647;0;57.585;0;36.981;0;157.1;15:15.343;12:09;0:40.647;0:57.585;0:36.981;242.7;Michael CHRISTENSEN;;LMGTE Pro;;Dempsey - Proton Racing;Porsche;
77;1;7;2:14.170;0;;40.326;1;57.158;1;36.686;0;158.3;17:29.513;12:11;0:40.326;0:57.158;0:36.686;242.7;Michael CHRISTENSEN;;LMGTE Pro;;Dempsey - Proton Racing;Porsche;
77;1;8;2:14.307;0;;40.589;0;57.280;0;36.438;1;158.2;19:43.820;12:13;0:40.589;0:57.280;0:36.438;243.2;Michael CHRISTENSEN;;LMGTE Pro;;Dempsey - Proton Racing;Porsche;
77;1;9;2:24.499;0;B;40.604;0;1:01.848;0;42.047;0;147.0;22:08.319;12:16;0:40.604;1:01.848;0:42.047;187.5;Michael CHRISTENSEN;;LMGTE Pro;;Dempsey - Proton Racing;Porsche;
78;1;1;3:00.886;0;;1:18.891;0;59.053;0;42.942;0;117.4;3:00.886;11:57;1:18.891;0:59.053;0:42.942;240.0;Wolf HENZLER;0:00:39.081;LMGTE Am;;KCMG;Porsche;
78;1;2;2:15.710;0;;41.150;0;57.540;0;37.020;0;156.5;5:16.596;11:59;0:41.150;0:57.540;0:37.020;240.5;Wolf HENZLER;;LMGTE Am;;KCMG;Porsche;
78;1;3;2:15.622;0;;40.996;2;57.600;0;37.026;0;156.6;7:32.218;12:01;0:40.996;0:57.600;0:37.026;241.1;Wolf HENZLER;;LMGTE Am;;KCMG;Porsche;
78;1;4;2:15.510;2;;41.109;0;57.420;2;36.981;2;156.8;9:47.728;12:03;0:41.109;0:57.420;0:36.981;241.6;Wolf HENZLER;;LMGTE Am;;KCMG;Porsche;
78;1;5;2:19.706;0;B;42.281;0;1:00.332;0;37.093;0;152.1;12:07.434;12:06;0:42.281;1:00.332;0:37.093;241.1;Wolf HENZLER;;LMGTE Am;;KCMG;Porsche;
78;0;6;3:35.463;0;;1:55.085;0;1:01.701;0;38.677;0;98.6;15:42.897;12:09;1:55.085;1:01.701;0:38.677;238.9;Christian RIED;0:01:22.975;LMGTE Am;;KCMG;Porsche;
78;0;7;2:20.071;0;;42.695;0;59.550;0;37.826;1;151.7;18:02.968;12:12;0:42.695;0:59.550;0:37.826;240.5;Christian RIED;;LMGTE Am;;KCMG;Porsche;
78;0;8;2:19.288;0;;41.777;1;59.352;1;38.159;0;152.5;20:22.256;12:14;0:41.777;0:59.352;0:38.159;240.5;Christian RIED;;LMGTE Am;;KCMG;Porsche;
83;1;1;2:37.708;0;;56.620;0;1:01.315;0;39.773;0;134.7;2:37.708;11:56;0:56.620;1:01.315;0:39.773;235.8;Emmanuel COLLARD;0:00:18.257;LMGTE Am;;AF Corse;Ferrari;
83;1;2;3:15.267;0;B;51.591;0;1:30.068;0;53.608;0;108.8;5:52.975;11:59;0:51.591;1:30.068;0:53.608;116.4;Emmanuel COLLARD;;LMGTE Am;;AF Corse;Ferrari;
83;1;3;3:17.951;0;;1:40.287;0;59.521;0;38.143;0;107.3;9:10.926;12:03;1:40.287;0:59.521;0:38.143;238.9;Emmanuel COLLARD;0:01:11.914;LMGTE Am;;AF Corse;Ferrari;
83;1;4;2:19.064;2;;42.099;2;59.444;2;37.521;0;152.8;11:29.990;12:05;0:42.099;0:59.444;0:37.521;238.9;Emmanuel COLLARD;;LMGTE Am;;AF Corse;Ferrari;
83;1;5;2:18.934;0;B;42.107;0;59.584;0;37.243;2;152.9;13:48.924;12:07;0:42.107;0:59.584;0:37.243;238.4;Emmanuel COLLARD;;LMGTE Am;;AF Corse;Ferrari;
83;0;6;3:27.504;0;;1:46.072;0;1:02.425;0;39.007;0;102.4;17:16.428;12:11;1:46.072;1:02.425;0:39.007;235.3;François PERRODO;0:01:15.838;LMGTE Am;;AF Corse;Ferrari;
83;0;7;2:22.426;0;;43.105;0;1:01.137;0;38.184;0;149.2;19:38.854;12:13;0:43.105;1:01.137;0:38.184;238.9;François PERRODO;;LMGTE Am;;AF Corse;Ferrari;
83;0;8;2:21.199;0;;42.426;1;1:00.807;1;37.966;1;150.5;22:00.053;12:16;0:42.426;1:00.807;0:37.966;240.0;François PERRODO;;LMGTE Am;;AF Corse;Ferrari;
86;1;1;2:50.663;0;;1:09.405;0;59.801;0;41.457;0;124.5;2:50.663;11:56;1:09.405;0:59.801;0:41.457;186.2;Adam CARROLL;0:00:29.795;LMGTE Am;;Gulf Racing;Porsche;
86;1;2;2:16.420;0;;41.418;0;57.947;0;37.055;0;155.7;5:07.083;11:59;0:41.418;0:57.947;0:37.055;238.4;Adam CARROLL;;LMGTE Am;;Gulf Racing;Porsche;
86;1;3;2:15.944;2;;41.034;2;57.864;2;37.046;0;156.3;7:23.027;12:01;0:41.034;0:57.864;0:37.046;240.5;Adam CARROLL;;LMGTE Am;;Gulf Racing;Porsche;
86;1;4;2:16.322;0;B;41.453;0;58.297;0;36.572;2;155.8;9:39.349;12:03;0:41.453;0:58.297;0:36.572;241.6;Adam CARROLL;;LMGTE Am;;Gulf Racing;Porsche;
86;0;5;4:23.707;0;;2:41.644;0;1:02.055;0;40.008;0;80.6;14:03.056;12:08;2:41.644;1:02.055;0:40.008;235.3;Michael WAINWRIGHT;0:02:09.419;LMGTE Am;;Gulf Racing;Porsche;
86;0;6;2:24.769;0;;43.663;0;1:00.832;0;40.274;0;146.7;16:27.825;12:10;0:43.663;1:00.832;0:40.274;237.9;Michael WAINWRIGHT;;LMGTE Am;;Gulf Racing;Porsche;
86;0;7;2:23.685;0;;43.428;0;1:01.161;0;39.096;0;147.8;18:51.510;12:12;0:43.428;1:01.161;0:39.096;237.9;Michael WAINWRIGHT;;LMGTE Am;;Gulf Racing;Porsche;
86;0;8;2:22.225;0;;43.246;1;1:00.496;1;38.483;1;149.4;21:13.735;12:15;0:43.246;1:00.496;0:38.483;238.9;Michael WAINWRIGHT;;LMGTE Am;;Gulf Racing;Porsche;
88;2;1;3:12.839;0;;1:35.155;0;59.679;0;38.005;0;110.2;3:12.839;11:57;1:35.155;0:59.679;0:38.005;240.5;Klaus BACHLER;0:00:50.530;LMGTE Am;;Abu Dhabi-Proton Racing;Porsche;
88;2;2;2:16.187;0;;41.211;0;57.941;0;37.035;0;156.0;5:29.026;11:59;0:41.211;0:57.941;0:37.035;240.5;Klaus BACHLER;;LMGTE Am;;Abu Dhabi-Proton Racing;Porsche;
88;2;3;2:14.639;2;;40.611;0;57.345;2;36.683;0;157.8;7:43.665;12:01;0:40.611;0:57.345;0:36.683;239.5;Klaus BACHLER;;LMGTE Am;;Abu Dhabi-Proton Racing;Porsche;
88;2;4;2:14.680;0;;40.395;2;57.557;0;36.728;0;157.7;9:58.345;12:03;0:40.395;0:57.557;0:36.728;241.1;Klaus BACHLER;;LMGTE Am;;Abu Dhabi-Proton Racing;Porsche;
88;2;5;2:15.740;0;B;41.033;0;58.085;0;36.622;2;156.5;12:14.085;12:06;0:41.033;0:58.085;0:36.622;240.0;Klaus BACHLER;;LMGTE Am;;Abu Dhabi-Proton Racing;Porsche;
88;0;6;3:54.938;0;;2:16.924;0;1:00.177;0;37.837;0;90.4;16:09.023;12:10;2:16.924;1:00.177;0:37.837;239.5;Khaled AL QUBAISI;0:01:45.254;LMGTE Am;;Abu Dhabi-Proton Racing;Porsche;
88;0;7;2:16.293;0;;41.088;0;57.911;0;37.294;0;155.9;18:25.316;12:12;0:41.088;0:57.911;0:37.294;241.1;Khaled AL QUBAISI;;LMGTE Am;;Abu Dhabi-Proton Racing;Porsche;
