NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;1;1;2:19.937;0;;44.796;0;1:02.353;0;32.788;0;180.2;2:19.937;16:32:19.937;0:44.796;1:02.353;0:32.788;238.8;Mark WEBBER;0:00:12.478;LMP1;H;Porsche Team;Porsche;
1;1;2;2:01.075;0;;33.555;0;56.079;0;31.441;0;208.3;4:21.012;16:34:21.012;0:33.555;0:56.079;0:31.441;269.0;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;3;1:59.452;0;;33.667;0;55.769;0;30.016;0;211.1;6:20.464;16:36:20.464;0:33.667;0:55.769;0:30.016;288.9;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;4;2:01.140;0;;33.382;0;57.707;0;30.051;0;208.1;8:21.604;16:38:21.604;0:33.382;0:57.707;0:30.051;285.4;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;5;2:09.322;0;B;33.719;0;56.164;0;39.439;0;195.0;10:30.926;16:40:30.926;0:33.719;0:56.164;0:39.439;283.6;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;6;14:04.372;0;;12:32.925;0;1:00.748;0;30.699;0;29.9;24:35.298;16:54:35.298;12:32.925;1:00.748;0:30.699;253.0;Mark WEBBER;0:12:08.616;LMP1;H;Porsche Team;Porsche;
1;1;7;1:59.176;2;;33.410;0;55.668;2;30.098;0;211.6;26:34.474;16:56:34.474;0:33.410;0:55.668;0:30.098;278.6;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;8;2:01.283;0;;33.580;0;55.752;0;31.951;0;207.9;28:35.757;16:58:35.757;0:33.580;0:55.752;0:31.951;276.9;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;9;2:01.496;0;;34.227;0;56.706;0;30.563;0;207.5;30:37.253;17:00:37.253;0:34.227;0:56.706;0:30.563;292.5;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;10;1:59.874;0;;33.519;0;56.402;0;29.953;0;210.3;32:37.127;17:02:37.127;0:33.519;0:56.402;0:29.953;283.6;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;11;1:59.902;0;;33.543;0;56.179;0;30.180;0;210.3;34:37.029;17:04:37.029;0:33.543;0:56.179;0:30.180;283.6;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;12;2:02.041;0;;33.142;1;57.869;0;31.030;0;206.6;36:39.070;17:06:39.070;0:33.142;0:57.869;0:31.030;276.9;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;13;1:59.253;0;;33.468;0;55.905;0;29.880;3;211.4;38:38.323;17:08:38.323;0:33.468;0:55.905;0:29.880;281.9;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;14;2:00.654;0;;34.602;0;56.032;0;30.020;0;209.0;40:38.977;17:10:38.977;0:34.602;0:56.032;0:30.020;285.4;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;15;2:00.756;0;;33.611;0;56.837;0;30.308;0;208.8;42:39.733;17:12:39.733;0:33.611;0:56.837;0:30.308;278.6;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;16;2:00.296;0;;33.449;0;56.513;0;30.334;0;209.6;44:40.029;17:14:40.029;0:33.449;0:56.513;0:30.334;280.2;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;17;2:01.066;0;;33.746;0;56.882;0;30.438;0;208.3;46:41.095;17:16:41.095;0:33.746;0:56.882;0:30.438;278.6;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;18;2:00.821;0;;33.518;0;56.496;0;30.807;0;208.7;48:41.916;17:18:41.916;0:33.518;0:56.496;0:30.807;285.4;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;19;2:02.316;0;;33.553;0;58.436;0;30.327;0;206.1;50:44.232;17:20:44.232;0:33.553;0:58.436;0:30.327;292.5;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;20;2:03.009;0;;35.695;0;56.676;0;30.638;0;205.0;52:47.241;17:22:47.241;0:35.695;0:56.676;0:30.638;288.9;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;21;2:07.891;0;B;33.541;0;57.224;0;37.126;0;197.2;54:55.132;17:24:55.132;0:33.541;0:57.224;0:37.126;301.9;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;0;22;9:30.219;0;;8:01.804;0;57.694;0;30.721;0;44.2;1:04:25.351;17:34:25.351;8:01.804;0:57.694;0:30.721;287.1;Timo BERNHARD;0:07:38.266;LMP1;H;Porsche Team;Porsche;
1;0;23;2:01.266;0;;34.179;0;57.102;0;29.985;0;207.9;1:06:26.617;17:36:26.617;0:34.179;0:57.102;0:29.985;276.9;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;24;2:00.954;0;;33.642;0;57.077;0;30.235;0;208.5;1:08:27.571;17:38:27.571;0:33.642;0:57.077;0:30.235;283.6;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;25;2:00.127;0;;33.455;0;56.726;0;29.946;1;209.9;1:10:27.698;17:40:27.698;0:33.455;0:56.726;0:29.946;278.6;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;26;1:59.830;0;;33.352;0;56.428;1;30.050;0;210.4;1:12:27.528;17:42:27.528;0:33.352;0:56.428;0:30.050;288.9;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;27;2:05.832;0;;33.063;3;58.983;0;33.786;0;200.4;1:14:33.360;17:44:33.360;0:33.063;0:58.983;0:33.786;288.9;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
