NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
50;2;1;2:44.970;0;;53.320;0;1:12.999;0;38.651;0;152.8;2:44.970;16:07:44.970;0:53.320;1:12.999;0:38.651;145.8;Paolo RUBERTI;0:00:13.818;LMGTE Am;;Larbre Competition;Chevrolet;
50;2;2;2:20.755;0;;40.472;0;1:04.507;0;35.776;0;179.1;5:05.725;16:10:05.725;0:40.472;1:04.507;0:35.776;254.3;Paolo RUBERTI;;LMGTE Am;;Larbre Competition;Chevrolet;
50;2;3;2:19.340;2;;39.992;2;1:03.902;2;35.446;2;181.0;7:25.065;16:12:25.065;0:39.992;1:03.902;0:35.446;257.1;Paolo RUBERTI;;LMGTE Am;;Larbre Competition;Chevrolet;
50;2;4;2:28.027;0;B;40.069;0;1:04.088;0;43.870;0;170.3;9:53.092;16:14:53.092;0:40.069;1:04.088;0:43.870;254.3;Paolo RUBERTI;;LMGTE Am;;Larbre Competition;Chevrolet;
50;0;5;4:00.071;0;;2:04.302;0;1:16.342;0;39.427;0;105.0;13:53.163;16:18:53.163;2:04.302;1:16.342;0:39.427;209.9;Yutaka YAMAGISHI;0:01:29.714;LMGTE Am;;Larbre Competition;Chevrolet;
50;0;6;2:32.671;0;;42.718;0;1:09.829;0;40.124;0;165.2;16:25.834;16:21:25.834;0:42.718;1:09.829;0:40.124;246.3;Yutaka YAMAGISHI;;LMGTE Am;;Larbre Competition;Chevrolet;
50;0;7;2:27.840;0;;41.519;0;1:08.794;0;37.527;0;170.6;18:53.674;16:23:53.674;0:41.519;1:08.794;0:37.527;250.3;Yutaka YAMAGISHI;;LMGTE Am;;Larbre Competition;Chevrolet;
50;0;8;2:26.092;0;;40.988;0;1:07.841;1;37.263;1;172.6;21:19.766;16:26:19.766;0:40.988;1:07.841;0:37.263;253.0;Yutaka YAMAGISHI;;LMGTE Am;;Larbre Competition;Chevrolet;
50;0;9;2:35.197;0;B;40.637;1;1:08.427;0;46.133;0;162.5;23:54.963;16:28:54.963;0:40.637;1:08.427;0:46.133;254.3;Yutaka YAMAGISHI;;LMGTE Am;;Larbre Competition;Chevrolet;
51;1;1;4:10.446;0;;2:23.941;0;1:10.100;0;36.405;0;100.7;4:10.446;16:09:10.446;2:23.941;1:10.100;0:36.405;215.7;James CALADO;0:01:47.902;LMGTE Pro;;AF Corse;Ferrari;
51;1;2;2:18.819;0;;40.067;0;1:03.069;0;35.683;0;181.6;6:29.265;16:11:29.265;0:40.067;1:03.069;0:35.683;255.7;James CALADO;;LMGTE Pro;;AF Corse;Ferrari;
51;1;3;2:18.247;0;;39.889;1;1:02.782;0;35.576;0;182.4;8:47.512;16:13:47.512;0:39.889;1:02.782;0:35.576;255.7;James CALADO;;LMGTE Pro;;AF Corse;Ferrari;
51;1;4;2:18.087;0;;39.898;0;1:02.763;1;35.426;2;182.6;11:05.599;16:16:05.599;0:39.898;1:02.763;0:35.426;257.1;James CALADO;;LMGTE Pro;;AF Corse;Ferrari;
51;1;5;3:50.408;0;B;41.037;0;1:05.369;0;2:04.002;0;109.4;14:56.007;16:19:56.007;0:41.037;1:05.369;2:04.002;250.3;James CALADO;;LMGTE Pro;;AF Corse;Ferrari;
51;0;6;2:49.270;0;;57.502;0;1:13.385;0;38.383;0;149.0;17:45.277;16:22:45.277;0:57.502;1:13.385;0:38.383;232.8;Gianmaria BRUNI;0:01:46.294;LMGTE Pro;;AF Corse;Ferrari;
51;0;7;2:18.495;0;;39.928;0;1:02.958;0;35.609;0;182.1;20:03.772;16:25:03.772;0:39.928;1:02.958;0:35.609;255.7;Gianmaria BRUNI;;LMGTE Pro;;AF Corse;Ferrari;
51;0;8;2:18.119;0;;39.925;0;1:02.625;0;35.569;0;182.6;22:21.891;16:27:21.891;0:39.925;1:02.625;0:35.569;257.1;Gianmaria BRUNI;;LMGTE Pro;;AF Corse;Ferrari;
51;0;9;2:17.835;2;;39.819;2;1:02.559;2;35.457;1;182.9;24:39.726;16:29:39.726;0:39.819;1:02.559;0:35.457;258.6;Gianmaria BRUNI;;LMGTE Pro;;AF Corse;Ferrari;
66;1;1;4:20.030;0;;2:36.633;0;1:07.309;0;36.088;0;97.0;4:20.030;16:09:20.030;2:36.633;1:07.309;0:36.088;240.0;Stefan MÜCKE;0:02:01.510;LMGTE Pro;;Ford Chip Ganassi Team UK;Ford;
66;1;2;2:18.598;0;;39.867;0;1:03.292;0;35.439;2;181.9;6:38.628;16:11:38.628;0:39.867;1:03.292;0:35.439;258.6;Stefan MÜCKE;;LMGTE Pro;;Ford Chip Ganassi Team UK;Ford;
66;1;3;2:27.250;0;B;39.686;2;1:03.234;1;44.330;0;171.2;9:05.878;16:14:05.878;0:39.686;1:03.234;0:44.330;255.7;Stefan MÜCKE;;LMGTE Pro;;Ford Chip Ganassi Team UK;Ford;
66;2;4;4:33.188;0;;2:51.175;0;1:05.613;0;36.400;0;92.3;13:39.066;16:18:39.066;2:51.175;1:05.613;0:36.400;246.3;Olivier PLA;0:02:22.093;LMGTE Pro;;Ford Chip Ganassi Team UK;Ford;
66;2;5;2:18.163;2;;39.900;1;1:02.754;2;35.509;1;182.5;15:57.229;16:20:57.229;0:39.900;1:02.754;0:35.509;260.0;Olivier PLA;;LMGTE Pro;;Ford Chip Ganassi Team UK;Ford;
66;2;6;2:32.807;0;B;40.328;0;1:07.119;0;45.360;0;165.0;18:30.036;16:23:30.036;0:40.328;1:07.119;0:45.360;246.3;Olivier PLA;;LMGTE Pro;;Ford Chip Ganassi Team UK;Ford;
67;0;1;4:39.856;0;;2:53.696;0;1:08.098;0;38.062;0;90.1;4:39.856;16:09:39.856;2:53.696;1:08.098;0:38.062;236.4;Marino FRANCHITTI;0:02:17.781;LMGTE Pro;;Ford Chip Ganassi Team UK;Ford;
67;0;2;2:18.209;2;;39.992;0;1:02.927;1;35.290;2;182.4;6:58.065;16:11:58.065;0:39.992;1:02.927;0:35.290;258.6;Marino FRANCHITTI;;LMGTE Pro;;Ford Chip Ganassi Team UK;Ford;
67;0;3;2:31.238;0;B;39.823;2;1:05.113;0;46.302;0;166.7;9:29.303;16:14:29.303;0:39.823;1:05.113;0:46.302;257.1;Marino FRANCHITTI;;LMGTE Pro;;Ford Chip Ganassi Team UK;Ford;
67;1;4;5:01.070;0;;3:18.381;0;1:05.301;0;37.388;0;83.7;14:30.373;16:19:30.373;3:18.381;1:05.301;0:37.388;248.9;Andy PRIAULX;0:02:48.542;LMGTE Pro;;Ford Chip Ganassi Team UK;Ford;
67;1;5;2:18.627;0;;40.124;1;1:02.909;2;35.594;1;181.9;16:49.000;16:21:49.000;0:40.124;1:02.909;0:35.594;254.3;Andy PRIAULX;;LMGTE Pro;;Ford Chip Ganassi Team UK;Ford;
67;1;6;2:37.368;0;B;40.884;0;1:11.398;0;45.086;0;160.2;19:26.368;16:24:26.368;0:40.884;1:11.398;0:45.086;228.3;Andy PRIAULX;;LMGTE Pro;;Ford Chip Ganassi Team UK;Ford;
71;0;1;4:06.647;0;;2:21.590;0;1:08.485;0;36.572;0;102.2;4:06.647;16:09:06.647;2:21.590;1:08.485;0:36.572;247.6;Davide RIGON;0:01:45.451;LMGTE Pro;;AF Corse;Ferrari;
71;0;2;2:17.878;0;;39.967;0;1:02.592;1;35.319;0;182.9;6:24.525;16:11:24.525;0:39.967;1:02.592;0:35.319;257.1;Davide RIGON;;LMGTE Pro;;AF Corse;Ferrari;
71;0;3;2:17.632;3;;39.679;2;1:02.678;0;35.275;2;183.2;8:42.157;16:13:42.157;0:39.679;1:02.678;0:35.275;257.1;Davide RIGON;;LMGTE Pro;;AF Corse;Ferrari;
71;0;4;2:30.199;0;B;39.732;0;1:05.639;0;44.828;0;167.9;11:12.356;16:16:12.356;0:39.732;1:05.639;0:44.828;258.6;Davide RIGON;;LMGTE Pro;;AF Corse;Ferrari;
71;1;5;3:35.020;0;;1:49.698;0;1:08.775;0;36.547;0;117.3;14:47.376;16:19:47.376;1:49.698;1:08.775;0:36.547;247.6;Sam BIRD;0:01:19.984;LMGTE Pro;;AF Corse;Ferrari;
71;1;6;2:18.137;0;;39.899;0;1:02.829;0;35.409;0;182.5;17:05.513;16:22:05.513;0:39.899;1:02.829;0:35.409;257.1;Sam BIRD;;LMGTE Pro;;AF Corse;Ferrari;
71;1;7;2:17.813;0;;39.953;0;1:02.541;0;35.319;1;183.0;19:23.326;16:24:23.326;0:39.953;1:02.541;0:35.319;255.7;Sam BIRD;;LMGTE Pro;;AF Corse;Ferrari;
71;1;8;2:17.657;0;;39.853;1;1:02.477;3;35.327;0;183.2;21:40.983;16:26:40.983;0:39.853;1:02.477;0:35.327;257.1;Sam BIRD;;LMGTE Pro;;AF Corse;Ferrari;
71;1;9;3:00.372;0;B;47.585;0;1:19.881;0;52.906;0;139.8;24:41.355;16:29:41.355;0:47.585;1:19.881;0:52.906;173.3;Sam BIRD;;LMGTE Pro;;AF Corse;Ferrari;
71;1;10;2:27.285;0;B;;0;;0;;0;171.2;27:08.640;16:32:08.640;;;;;Sam BIRD;;LMGTE Pro;;AF Corse;Ferrari;
77;0;1;3:58.212;0;;2:15.256;0;1:06.425;0;36.531;0;105.8;3:58.212;16:08:58.212;2:15.256;1:06.425;0:36.531;243.8;Richard LIETZ;0:01:35.423;LMGTE Pro;;Dempsey - Proton Racing;Porsche;
77;0;2;2:19.602;2;;40.081;2;1:03.879;2;35.642;2;180.6;6:17.814;16:11:17.814;0:40.081;1:03.879;0:35.642;258.6;Richard LIETZ;;LMGTE Pro;;Dempsey - Proton Racing;Porsche;
77;0;3;2:30.002;0;B;40.287;0;1:06.214;0;43.501;0;168.1;8:47.816;16:13:47.816;0:40.287;1:06.214;0:43.501;254.3;Richard LIETZ;;LMGTE Pro;;Dempsey - Proton Racing;Porsche;
77;1;4;3:44.121;0;;1:59.454;0;1:07.838;0;36.829;0;112.5;12:31.937;16:17:31.937;1:59.454;1:07.838;0:36.829;250.3;Michael CHRISTENSEN;0:01:29.987;LMGTE Pro;;Dempsey - Proton Racing;Porsche;
77;1;5;2:20.471;0;;40.373;1;1:04.104;1;35.994;1;179.5;14:52.408;16:19:52.408;0:40.373;1:04.104;0:35.994;254.3;Michael CHRISTENSEN;;LMGTE Pro;;Dempsey - Proton Racing;Porsche;
77;1;6;2:32.088;0;B;41.536;0;1:05.914;0;44.638;0;165.8;17:24.496;16:22:24.496;0:41.536;1:05.914;0:44.638;251.6;Michael CHRISTENSEN;;LMGTE Pro;;Dempsey - Proton Racing;Porsche;
78;1;1;3:33.048;0;;1:36.480;0;1:19.026;0;37.542;0;118.3;3:33.048;16:08:33.048;1:36.480;1:19.026;0:37.542;191.8;Wolf HENZLER;0:00:52.278;LMGTE Am;;KCMG;Porsche;
