NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;0;1;4:06.872;0;;2:36.266;0;56.138;0;34.468;0;62.8;4:06.872;15:49:06.872;2:36.266;0:56.138;0:34.468;180.6;José Juan Gutierrez;;D1;;MaxyToys;;
10;0;2;2:21.723;0;;52.435;0;54.144;0;35.144;0;109.3;6:28.595;15:51:28.595;0:52.435;0:54.144;0:35.144;183.4;José Juan Gutierrez;;D1;;MaxyToys;;
10;0;3;2:18.707;2;;50.861;2;54.171;0;33.675;2;111.7;8:47.302;15:53:47.302;0:50.861;0:54.171;0:33.675;184.6;José Juan Gutierrez;;D1;;MaxyToys;;
10;0;4;2:19.184;0;;51.353;0;53.913;0;33.918;0;111.3;11:06.486;15:56:06.486;0:51.353;0:53.913;0:33.918;185.6;José Juan Gutierrez;;D1;;MaxyToys;;
10;0;5;2:20.662;0;;52.225;0;54.500;0;33.937;0;110.2;13:27.148;15:58:27.148;0:52.225;0:54.500;0:33.937;186.2;José Juan Gutierrez;;D1;;MaxyToys;;
10;0;6;2:20.028;0;;51.991;0;54.003;0;34.034;0;110.7;15:47.176;16:00:47.176;0:51.991;0:54.003;0:34.034;184.9;José Juan Gutierrez;;D1;;MaxyToys;;
10;0;7;2:18.808;0;;51.117;0;53.714;2;33.977;0;111.6;18:05.984;16:03:05.984;0:51.117;0:53.714;0:33.977;187.2;José Juan Gutierrez;;D1;;MaxyToys;;
121;0;1;4:15.982;0;;2:43.274;0;59.153;0;33.555;0;60.5;4:15.982;15:49:15.982;2:43.274;0:59.153;0:33.555;129.0;Jose Luis German;;C;;Cuadritos Racing Team;;
121;0;2;2:15.560;0;;48.756;0;54.252;0;32.552;0;114.3;6:31.542;15:51:31.542;0:48.756;0:54.252;0:32.552;147.3;Jose Luis German;;C;;Cuadritos Racing Team;;
121;0;3;2:12.597;0;;47.353;0;52.511;0;32.733;0;116.9;8:44.139;15:53:44.139;0:47.353;0:52.511;0:32.733;165.9;Jose Luis German;;C;;Cuadritos Racing Team;;
121;0;4;2:12.621;0;;47.699;0;52.421;0;32.501;0;116.8;10:56.760;15:55:56.760;0:47.699;0:52.421;0:32.501;167.4;Jose Luis German;;C;;Cuadritos Racing Team;;
121;0;5;2:09.691;0;;47.223;0;50.791;2;31.677;2;119.5;13:06.451;15:58:06.451;0:47.223;0:50.791;0:31.677;173.9;Jose Luis German;;C;;Cuadritos Racing Team;;
121;0;6;2:11.668;0;;48.103;0;51.483;0;32.082;0;117.7;15:18.119;16:00:18.119;0:48.103;0:51.483;0:32.082;151.9;Jose Luis German;;C;;Cuadritos Racing Team;;
121;0;7;2:11.044;0;;46.986;0;51.637;0;32.421;0;118.2;17:29.163;16:02:29.163;0:46.986;0:51.637;0:32.421;165.6;Jose Luis German;;C;;Cuadritos Racing Team;;
121;0;8;2:11.691;0;;46.879;0;52.266;0;32.546;0;117.7;19:40.854;16:04:40.854;0:46.879;0:52.266;0:32.546;181.8;Jose Luis German;;C;;Cuadritos Racing Team;;
121;0;9;2:17.104;0;;50.587;0;53.241;0;33.276;0;113.0;21:57.958;16:06:57.958;0:50.587;0:53.241;0:33.276;152.3;Jose Luis German;;C;;Cuadritos Racing Team;;
121;0;10;2:09.245;2;;46.363;2;50.928;0;31.954;0;119.9;24:07.203;16:09:07.203;0:46.363;0:50.928;0:31.954;184.6;Jose Luis German;;C;;Cuadritos Racing Team;;
123;0;1;3:53.939;0;;;0;;0;32.349;0;66.2;3:53.939;15:48:53.939;;;0:32.349;177.3;Jose Miguel Campero;;C;;Farben Motors;;
123;0;2;2:11.873;0;;47.547;0;51.394;0;32.932;0;117.5;6:05.812;15:51:05.812;0:47.547;0:51.394;0:32.932;206.5;Jose Miguel Campero;;C;;Farben Motors;;
123;0;3;2:09.792;0;;47.431;0;50.012;0;32.349;0;119.4;8:15.604;15:53:15.604;0:47.431;0:50.012;0:32.349;202.2;Jose Miguel Campero;;C;;Farben Motors;;
123;0;4;2:09.864;0;;46.551;0;50.770;0;32.543;0;119.3;10:25.468;15:55:25.468;0:46.551;0:50.770;0:32.543;205.3;Jose Miguel Campero;;C;;Farben Motors;;
123;0;5;2:08.458;0;;46.265;0;50.192;0;32.001;0;120.6;12:33.926;15:57:33.926;0:46.265;0:50.192;0:32.001;209.7;Jose Miguel Campero;;C;;Farben Motors;;
123;0;6;2:07.760;2;;46.135;2;49.908;2;31.717;2;121.3;14:41.686;15:59:41.686;0:46.135;0:49.908;0:31.717;208.1;Jose Miguel Campero;;C;;Farben Motors;;
123;0;7;2:08.909;0;;46.334;0;50.511;0;32.064;0;120.2;16:50.595;16:01:50.595;0:46.334;0:50.511;0:32.064;207.3;Jose Miguel Campero;;C;;Farben Motors;;
123;0;8;2:10.812;0;;48.052;0;50.642;0;32.118;0;118.4;19:01.407;16:04:01.407;0:48.052;0:50.642;0:32.118;181.5;Jose Miguel Campero;;C;;Farben Motors;;
123;0;9;2:10.555;0;;47.053;0;50.957;0;32.545;0;118.7;21:11.962;16:06:11.962;0:47.053;0:50.957;0:32.545;201.1;Jose Miguel Campero;;C;;Farben Motors;;
123;0;10;2:09.631;0;;47.201;0;50.601;0;31.829;0;119.5;23:21.593;16:08:21.593;0:47.201;0:50.601;0:31.829;196.7;Jose Miguel Campero;;C;;Farben Motors;;
123;0;11;2:10.555;0;;47.205;0;51.251;0;32.099;0;118.7;25:32.148;16:10:32.148;0:47.205;0:51.251;0:32.099;188.5;Jose Miguel Campero;;C;;Farben Motors;;
123;0;12;2:10.716;0;;46.716;0;52.020;0;31.980;0;118.5;27:42.864;16:12:42.864;0:46.716;0:52.020;0:31.980;200.4;Jose Miguel Campero;;C;;Farben Motors;;
123;0;13;2:08.680;0;;46.490;0;50.211;0;31.979;0;120.4;29:51.544;16:14:51.544;0:46.490;0:50.211;0:31.979;207.3;Jose Miguel Campero;;C;;Farben Motors;;
125;0;1;3:46.928;0;;2:24.379;0;49.667;0;32.882;0;68.3;3:46.928;15:48:46.928;2:24.379;0:49.667;0:32.882;208.5;Luis Alfonso Cervantes;;B;;Farben Motors;;
