NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;1;1;1:53.576;0;;42.325;0;39.043;0;32.208;0;171.5;1:53.576;13:01:53.576;0:42.325;0:39.043;0:32.208;123.7;Pietro FITTIPALDI;0:00:06.177;LMP1;H;PORSCHE LMP TEAM;;
1;1;2;1:44.340;0;;33.810;0;38.381;0;32.149;0;186.7;3:37.916;13:03:37.916;0:33.810;0:38.381;0:32.149;255.0;Pietro FITTIPALDI;;LMP1;H;PORSCHE LMP TEAM;;
1;1;3;1:44.298;0;;33.983;0;38.238;0;32.077;0;186.8;5:22.214;13:05:22.214;0:33.983;0:38.238;0:32.077;256.2;Pietro FITTIPALDI;;LMP1;H;PORSCHE LMP TEAM;;
1;1;4;1:44.089;0;;33.906;0;38.184;0;31.999;0;187.2;7:06.303;13:07:06.303;0:33.906;0:38.184;0:31.999;258.6;Pietro FITTIPALDI;;LMP1;H;PORSCHE LMP TEAM;;
1;1;5;1:49.390;0;B;33.786;0;37.866;0;37.738;0;178.1;8:55.693;13:08:55.693;0:33.786;0:37.866;0:37.738;261.1;Pietro FITTIPALDI;;LMP1;H;PORSCHE LMP TEAM;;
1;1;6;8:43.990;0;;7:34.340;0;37.868;0;31.782;0;37.2;17:39.683;13:17:39.683;7:34.340;0:37.868;0:31.782;152.4;Pietro FITTIPALDI;0:07:03.347;LMP1;H;PORSCHE LMP TEAM;;
1;1;7;1:42.275;3;;33.150;2;37.512;2;31.613;3;190.5;19:21.958;13:19:21.958;0:33.150;0:37.512;0:31.613;256.2;Pietro FITTIPALDI;;LMP1;H;PORSCHE LMP TEAM;;
1;1;8;1:42.778;0;;33.364;0;37.609;0;31.805;0;189.6;21:04.736;13:21:04.736;0:33.364;0:37.609;0:31.805;253.2;Pietro FITTIPALDI;;LMP1;H;PORSCHE LMP TEAM;;
1;1;9;1:42.571;0;;33.250;0;37.618;0;31.703;0;189.9;22:47.307;13:22:47.307;0:33.250;0:37.618;0:31.703;250.3;Pietro FITTIPALDI;;LMP1;H;PORSCHE LMP TEAM;;
1;1;10;1:52.934;0;B;36.036;0;39.232;0;37.666;0;172.5;24:40.241;13:24:40.241;0:36.036;0:39.232;0:37.666;257.4;Pietro FITTIPALDI;;LMP1;H;PORSCHE LMP TEAM;;
